time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,6.882,6.983,6.781,6.781,17000,115277.0,,,,,
2013-01-03,7.044,7.044,6.74,6.943,7180,49850.74,,,,,
2013-01-04,6.761,6.882,6.761,6.781,35570,241200.17,,,,,
2013-01-07,6.882,6.882,6.781,6.781,17310,117379.11,,,,,
2013-01-08,6.781,6.801,6.457,6.578,32770,215561.06,,,,,
2013-01-09,6.761,6.761,6.619,6.74,43670,294335.8,,,,,
2013-01-10,6.781,6.781,6.68,6.68,122890,820905.2,,,,,
2013-01-11,6.68,6.761,6.68,6.761,383500,2592843.5,,,,,
2013-01-14,6.781,6.801,6.74,6.74,170550,1149507.0,,,,,
2013-01-15,6.68,6.801,6.68,6.801,156030,1061160.03,,,,,
2013-01-16,7.044,7.044,6.72,6.74,187050,1260717.0,,,,,
2013-01-17,6.761,6.761,6.68,6.72,116680,784089.6,,,,,
2013-01-18,6.72,6.72,6.68,6.68,132630,885968.3999999999,,,,,
2013-01-21,6.68,6.68,6.578,6.619,95680,633305.9199999999,,,,,
2013-01-22,6.538,6.578,6.214,6.214,135330,840940.6200000001,,,,,
2013-01-23,6.214,6.437,6.194,6.214,95490,593374.86,,,,,
2013-01-24,6.214,6.356,6.214,6.356,98010,622951.5599999999,,,,,
2013-01-25,6.356,6.457,6.356,6.376,36470,232532.72,,,,,
2013-01-28,6.538,6.578,6.295,6.376,81310,518432.56000000006,,,,,
2013-01-29,6.275,6.356,6.214,6.336,58040,367741.44,,,,,
2013-01-30,6.295,6.376,6.275,6.336,70470,446497.92,,,,,
2013-01-31,6.376,6.417,6.336,6.336,20360,129000.96,,,,,
2013-02-01,6.336,6.417,6.315,6.356,38040,241782.24,,,,,
2013-02-04,6.417,6.417,6.356,6.356,11890,75572.84,,,,,
2013-02-05,6.295,6.376,6.214,6.214,12620,78420.68000000001,,,,,
2013-02-06,6.214,6.336,6.214,6.336,14880,94279.68,,,,,
2013-02-07,6.336,6.376,6.275,6.336,44480,281825.28,,,,,
2013-02-08,6.275,6.356,6.275,6.356,14150,89937.4,,,,,
2013-02-18,6.639,6.639,6.356,6.578,32050,210824.9,,,,,
2013-02-19,6.578,6.578,6.275,6.376,4000,25504.0,,,,,
2013-02-20,6.417,6.417,6.376,6.396,4630,29613.48,,,,,
2013-02-21,6.376,6.376,6.275,6.275,6970,43736.75,,,,,
2013-02-22,6.396,6.396,6.214,6.275,42380,265934.5,,,,,
2013-02-25,6.336,6.336,6.275,6.336,2470,15649.92,,,,,
2013-02-26,6.315,6.315,6.174,6.174,8090,49947.66,,,,,
