time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2016-11-25,13.172,13.172,8.96,8.96,3800,34048.0,,,,,,,,
2016-11-28,10.26,10.26,10.26,10.26,3400,34884.0,,,,,,,,
2016-11-29,8.96,8.96,8.96,8.96,3200,28672.000000000004,,,,,,,,
2016-11-30,8.736,8.736,8.064,8.064,7700,62092.8,,,,,,,,
2016-12-01,7.885,7.93,7.885,7.885,1200,9462.0,,,,,,,,
2016-12-02,7.661,7.661,7.616,7.616,3800,28940.8,,,,,,,,
2016-12-05,7.616,7.616,7.616,7.616,0,0.0,,,,,,,,
2016-12-06,7.392,7.392,6.944,6.944,11600,80550.4,,,,,,,,
2016-12-07,6.272,6.72,6.272,6.72,900,6048.0,,,,,,,,
2016-12-08,6.72,6.72,6.272,6.272,12600,79027.2,,,,,,,,
2016-12-09,6.272,6.272,5.6,5.645,7000,39515.0,,,,,,,,
2016-12-12,5.914,5.914,5.914,5.914,8100,47903.4,,,,,,,,
2016-12-13,6.496,6.496,6.496,6.496,100,649.6,,,,,,,,
2016-12-14,6.451,6.451,5.824,5.824,10500,61152.0,,,,,,,,
2016-12-15,5.824,5.824,5.6,5.6,17100,95760.0,,,,,,,,
2016-12-16,5.6,5.6,5.421,5.421,23300,126309.3,,,,,,,,
2016-12-19,5.421,5.466,5.421,5.466,1800,9838.8,,,,,,,,
2016-12-20,5.466,5.511,5.376,5.376,9300,49996.8,,,,,,,,
2016-12-21,5.376,5.421,5.331,5.331,5800,30919.800000000003,,,,,,,,
2016-12-22,5.331,5.331,5.331,5.331,2300,12261.3,,,,,,,,
2016-12-23,5.421,5.421,5.331,5.421,2000,10842.0,,,,,,,,
2016-12-26,5.376,5.376,5.376,5.376,0,0.0,,,,,,,,
2016-12-27,5.376,5.6,5.331,5.331,1400,7463.400000000001,,,,,,,,
2016-12-28,5.376,5.376,5.331,5.331,1100,5864.1,,,,,,,,
2016-12-29,5.331,5.376,5.331,5.376,1700,9139.2,,,,,,,,
2016-12-30,5.376,5.421,5.376,5.421,500,2710.5,,,,,,,,
2017-01-03,5.331,5.421,5.331,5.421,7000,37947.0,,,,,,,,
2017-01-04,5.421,5.421,5.331,5.331,2000,10662.0,,,,,,,,
2017-01-05,5.331,5.331,5.331,5.331,0,0.0,,,,,,,,
2017-01-06,5.287,5.287,5.287,5.287,2000,10574.0,,,,,,,,
2017-01-09,5.242,5.242,5.242,5.242,7000,36694.0,,,,,,,,
2017-01-10,5.152,5.152,5.152,5.152,1000,5152.0,,,,,,,,
2017-01-11,5.376,5.376,5.376,5.376,400,2150.4,,,,,,,,
2017-01-12,5.376,5.376,5.376,5.376,0,0.0,,,,,,,,
2017-01-13,5.376,5.376,5.376,5.376,0,0.0,,,,,,,,
2017-01-16,5.152,5.376,5.152,5.376,10100,54297.600000000006,,,,,,,,
2017-01-17,5.152,5.152,5.152,5.152,0,0.0,,,,,,,,
2017-01-18,5.107,5.107,5.107,5.107,3500,17874.5,,,,,,,,
2017-01-19,5.107,5.107,5.063,5.063,8000,40504.0,,,,,,,,
2017-01-20,5.107,5.331,5.107,5.331,900,4797.900000000001,,,,,,,,
2017-01-23,5.152,5.152,5.152,5.152,0,0.0,,,,,,,,
2017-01-24,5.152,5.152,5.152,5.152,0,0.0,,,,,,,,
2017-01-25,5.152,5.152,5.152,5.152,0,0.0,,,,,,,,
2017-02-02,5.063,5.063,5.063,5.063,1600,8100.799999999999,,,,,,,,
2017-02-03,5.063,5.063,5.063,5.063,0,0.0,,,,,,,,
2017-02-06,5.376,5.376,5.376,5.376,100,537.6,,,,,,,,
2017-02-07,5.376,5.376,5.331,5.331,1100,5864.1,,,,,,,,
2017-02-08,5.376,5.376,5.376,5.376,0,0.0,,,,,,,,
2017-02-09,5.376,5.376,5.376,5.376,0,0.0,,,,,,,,
2017-02-10,5.152,5.197,5.152,5.197,1500,7795.5,,,,,,,,
2017-02-13,5.152,5.152,5.152,5.152,8000,41216.0,,,,,,,,
2017-02-14,5.152,5.152,5.152,5.152,9500,48944.0,,,,,,,,
2017-02-15,5.197,5.287,5.197,5.287,6000,31722.0,,,,,,,,
2017-02-16,5.197,5.197,5.197,5.197,0,0.0,,,,,,,,
2017-02-17,5.242,5.376,5.242,5.331,6400,34118.4,,,,,,,,
2017-02-20,5.287,5.287,5.287,5.287,7600,40181.2,,,,,,,,
2017-02-21,5.287,5.331,5.287,5.331,3300,17592.300000000003,,,,,,,,
2017-02-22,5.376,5.376,5.331,5.331,1300,6930.3,,,,,,,,
2017-02-23,5.376,5.376,5.376,5.376,7500,40320.0,,,,,,,,
2017-02-24,5.376,5.376,5.376,5.376,1000,5376.0,,,,,,,,
2017-02-27,5.376,5.376,5.376,5.376,0,0.0,,,,,,,,
2017-02-28,5.466,5.466,5.421,5.421,8000,43368.0,,,,,,,,
2017-03-01,5.421,5.511,5.421,5.421,23200,125767.2,,,,,,,,
2017-03-02,5.466,5.466,5.466,5.466,6000,32796.0,,,,,,,,
2017-03-03,5.466,5.555,5.466,5.555,12000,66660.0,,,,,,,,
2017-03-06,5.466,5.555,5.466,5.555,8600,47773.0,,,,,,,,
2017-03-07,5.511,5.511,5.466,5.466,11000,60126.0,,,,,,,,
2017-03-08,5.466,5.466,5.466,5.466,2000,10932.0,,,,,,,,
2017-03-09,5.421,5.421,5.421,5.421,19500,105709.5,,,,,,,,
2017-03-10,5.421,5.421,5.376,5.376,7400,39782.4,,,,,,,,
2017-03-13,5.376,5.376,5.331,5.331,5500,29320.500000000004,,,,,,,,
2017-03-14,5.331,5.331,5.287,5.287,5000,26435.0,,,,,,,,
2017-03-15,5.376,5.376,5.242,5.242,2100,11008.2,,,,,,,,
2017-03-16,5.197,5.197,5.152,5.152,10000,51520.0,,,,,,,,
2017-03-17,5.197,5.197,5.063,5.063,15700,79489.09999999999,,,,,,,,
2017-03-20,5.152,5.152,5.152,5.152,3500,18032.0,,,,,,,,
2017-03-21,5.152,5.152,5.152,5.152,0,0.0,,,,,,,,
2017-03-22,5.152,5.197,5.152,5.152,11000,56672.0,,,,,,,,
2017-03-23,5.152,5.242,5.152,5.197,11500,59765.5,,,,,,,,
2017-03-24,5.197,5.645,5.197,5.645,18500,104432.5,,,,,,,,
2017-03-27,5.645,5.645,5.6,5.6,6000,33600.0,,,,,,,,
2017-03-28,5.645,5.645,5.6,5.645,10900,61530.49999999999,,,,,,,,
2017-03-29,5.6,5.6,5.331,5.331,16500,87961.5,,,,,,,,
2017-03-30,5.421,5.421,5.376,5.376,5000,26880.0,,,,,,,,
2017-03-31,5.645,5.645,5.6,5.6,2700,15119.999999999998,,,,,,,,
