time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2006-12-20,38.67,38.67,33.14,33.14,8600,285004.0,,,,,
2006-12-21,33.7,33.7,30.77,30.77,7000,215390.0,,,,,
2006-12-22,28.45,28.45,28.45,28.45,6900,196305.0,,,,,
2006-12-25,25.63,25.69,25.63,25.69,24000,616560.0,,,,,
2006-12-26,24.03,28.17,24.03,28.17,53400,1504278.0,,,,,
2006-12-27,29.28,29.61,29.28,29.44,43500,1280640.0,,,,,
2006-12-28,30.38,31.49,29.83,29.44,46800,1377792.0,,,,,
2006-12-29,31.49,31.49,29.28,29.28,33400,977952.0,,,,,
2007-01-02,30.66,31.93,30.66,29.28,22900,670512.0,,,,,
2007-01-03,30.11,30.38,27.84,28.73,17500,502775.0,,,,,
2007-01-04,28.73,30.38,27.9,30.33,20000,606600.0,,,,,
2007-01-05,31.05,31.16,29.55,29.55,8700,257085.0,,,,,
2007-01-08,30.11,30.11,29.0,29.61,8600,254646.0,,,,,
2007-01-09,28.17,29.55,27.9,28.17,55600,1566252.0,,,,,
2007-01-10,28.34,28.34,27.9,27.9,44700,1247130.0,,,,,
2007-01-11,28.73,28.73,27.34,27.62,30100,831362.0,,,,,
2007-01-12,24.91,28.73,24.91,28.73,43000,1235390.0,,,,,
2007-01-15,30.66,30.66,27.62,29.17,41100,1198887.0,,,,,
2007-01-16,31.43,31.43,28.17,28.17,51600,1453572.0,,,,,
2007-01-17,29.0,29.0,27.62,27.9,40600,1132740.0,,,,,
2007-01-18,27.9,28.17,27.57,28.17,42300,1191591.0,,,,,
2007-01-19,28.12,28.28,27.62,28.28,56200,1589336.0,,,,,
2007-01-22,28.17,28.17,27.34,28.28,42900,1213212.0,,,,,
2007-01-23,28.17,28.45,25.08,28.17,90700,2555019.0,,,,,
2007-01-24,28.45,30.66,27.9,30.66,143300,4393578.0,,,,,
2007-01-25,32.21,32.21,29.28,30.22,94400,2852768.0,,,,,
2007-01-26,29.83,30.66,29.28,30.38,22500,683550.0,,,,,
2007-01-29,30.0,30.66,30.0,30.49,38600,1176914.0,,,,,
2007-01-30,30.38,31.21,30.38,30.6,44800,1370880.0,,,,,
2007-01-31,33.75,33.75,32.04,33.75,95500,3223125.0,,,,,
2007-02-01,37.07,37.07,35.91,36.9,165300,6099570.0,,,,,
2007-02-02,37.01,39.22,37.01,38.95,156800,6107360.0,,,,,
2007-02-05,41.43,41.93,38.67,39.77,144700,5754719.0,,,,,
2007-02-06,40.33,40.77,37.84,38.67,55800,2157786.0,,,,,
2007-02-07,37.84,39.22,37.62,38.95,170300,6633185.000000001,,,,,
2007-02-08,38.12,42.76,37.56,38.12,30600,1166472.0,,,,,
2007-02-09,35.91,38.12,35.91,36.24,21300,771912.0,,,,,
2007-02-12,35.91,36.74,35.08,36.18,47300,1711314.0,,,,,
2007-02-13,39.72,39.72,36.46,38.12,25400,968248.0,,,,,
2007-02-14,38.67,38.67,37.56,38.67,31200,1206504.0,,,,,
2007-02-15,38.89,41.43,38.89,40.33,67400,2718242.0,,,,,
2007-02-26,44.86,44.86,41.98,44.86,79200,3552912.0,,,,,
2007-02-27,49.22,49.22,46.4,47.51,90900,4318659.0,,,,,
2007-02-28,48.06,49.16,46.13,46.13,61300,2827769.0,,,,,
2007-03-01,44.69,45.85,42.26,43.64,16800,733152.0,,,,,
2007-03-02,42.54,42.87,38.89,43.64,54300,2369652.0,,,,,
2007-03-05,45.02,45.68,43.09,45.68,53500,2443880.0,,,,,
2007-03-06,47.51,49.88,46.4,46.96,105800,4968368.0,,,,,
