time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2006-05-19,7.68,7.78,7.17,7.43,221300,1644259.0,,,,,
2006-05-22,7.48,7.78,7.27,7.41,273300,2025153.0,,,,,
2006-05-24,7.33,7.33,6.72,6.86,179700,1232742.0,,,,,
2006-05-26,6.9,6.9,6.55,6.66,117500,782550.0,,,,,
2006-05-29,6.66,6.66,6.0,6.08,191300,1163104.0,,,,,
2006-05-31,5.98,6.0,5.49,5.63,350300,1972189.0,,,,,
2006-06-01,5.26,6.18,5.22,6.06,226600,1373196.0,,,,,
2006-06-02,6.55,6.66,6.55,6.66,276300,1840158.0,,,,,
2006-06-05,7.31,7.31,6.68,6.7,246900,1654230.0,,,,,
2006-06-06,6.61,7.07,6.33,6.45,165300,1066185.0,,,,,
2006-06-07,6.39,6.39,6.08,6.25,84700,529375.0,,,,,
2006-06-08,6.14,6.39,6.14,6.25,79300,495625.0,,,,,
2006-06-09,6.35,6.43,6.14,6.29,152200,957338.0,,,,,
2006-06-12,6.16,6.16,5.84,5.94,247400,1469556.0,,,,,
2006-06-13,6.0,6.0,5.88,6.0,202500,1215000.0,,,,,
2006-06-14,6.08,6.17,6.04,6.15,155200,954480.0,,,,,
2006-06-15,6.17,6.19,6.04,6.13,101600,622808.0,,,,,
2006-06-16,6.15,6.15,5.88,6.13,84400,517372.0,,,,,
2006-06-19,5.94,5.94,5.83,5.9,82500,486750.00000000006,,,,,
2006-06-20,5.9,5.9,5.75,5.77,66100,381397.0,,,,,
2006-06-21,5.73,5.73,5.31,5.38,135900,731142.0,,,,,
2006-06-22,5.52,5.96,4.92,5.96,126700,755132.0,,,,,
2006-06-23,6.15,6.15,5.73,5.79,131100,759069.0,,,,,
2006-06-26,5.73,5.94,5.58,5.63,88700,499381.0,,,,,
2006-06-27,5.61,5.61,5.54,5.58,92100,513918.0,,,,,
2006-06-28,5.83,5.83,5.58,5.63,82300,463349.0,,,,,
2006-06-29,5.63,5.65,5.58,5.65,78700,444655.0,,,,,
2006-06-30,5.69,5.73,5.63,5.65,45200,255380.00000000003,,,,,
2006-07-03,5.71,5.71,5.63,5.52,85600,472512.0,,,,,
2006-07-04,5.67,5.67,5.52,5.52,58000,320160.0,,,,,
2006-07-05,5.52,5.52,5.46,5.52,70100,386952.0,,,,,
2006-07-06,5.48,5.63,5.42,5.52,58600,323472.0,,,,,
2006-07-07,5.54,5.61,5.52,5.52,53500,295320.0,,,,,
2006-07-10,5.61,5.61,5.5,5.52,19300,106536.0,,,,,
2006-07-11,5.52,5.52,5.48,5.52,41300,227976.0,,,,,
2006-07-12,5.48,5.52,5.42,6.06,54500,330270.0,,,,,
2006-07-13,5.5,5.56,5.46,5.63,44000,247720.0,,,,,
2006-07-14,5.54,5.63,5.46,5.63,124800,702624.0,,,,,
2006-07-17,5.67,5.79,5.0,5.63,167800,944714.0,,,,,
