time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2010-04-12,25.33,25.33,23.68,25.33,1248360,31620958.8,,,,,,,,
2010-04-13,26.39,26.59,25.66,26.59,465630,12381101.7,,,,,,,,
2010-04-14,26.59,27.64,25.66,25.66,216460,5554363.6,,,,,,,,
2010-04-15,26.26,26.26,25.07,26.26,208400,5472584.0,,,,,,,,
2010-04-16,25.73,26.06,25.2,25.2,246210,6204492.0,,,,,,,,
2010-04-19,24.87,25.07,24.41,24.41,195620,4775084.2,,,,,,,,
2010-04-20,25.07,25.07,23.62,23.62,192700,4551574.0,,,,,,,,
2010-04-21,24.41,24.41,23.82,24.28,243820,5919949.600000001,,,,,,,,
2010-04-22,25.47,25.47,25.4,25.47,850440,21660706.8,,,,,,,,
2010-04-26,26.06,26.06,25.47,25.47,364480,9283305.6,,,,,,,,
2010-04-27,25.4,25.73,25.0,25.07,88820,2226717.4,,,,,,,,
2010-04-28,25.0,26.32,24.61,26.32,643440,16935340.8,,,,,,,,
2010-04-29,27.58,27.58,27.58,27.58,655670,18083378.6,,,,,,,,
2010-05-04,28.9,28.9,28.9,28.9,295750,8547175.0,,,,,,,,
2010-05-05,28.04,30.28,28.04,29.36,1031090,30272802.4,,,,,,,,
2010-05-06,29.36,30.61,29.36,30.02,709430,21297088.6,,,,,,,,
2010-05-07,28.7,29.03,28.57,28.57,559080,15972915.6,,,,,,,,
2010-05-10,27.18,28.37,27.18,27.18,650160,17671348.8,,,,,,,,
2010-05-11,27.05,27.71,26.06,27.71,576910,15986176.1,,,,,,,,
2010-05-12,26.5,29.05,26.37,29.05,818360,23773358.0,,,,,,,,
2010-05-13,29.52,30.19,28.85,30.19,639000,19291410.0,,,,,,,,
2010-05-14,30.19,30.19,28.85,28.92,473590,13696222.8,,,,,,,,
2010-05-17,28.51,28.51,27.51,27.51,341700,9400167.0,,,,,,,,
2010-05-18,26.5,27.17,26.3,27.17,379810,10319437.7,,,,,,,,
2010-05-19,26.84,26.84,25.83,25.83,295630,7636122.899999999,,,,,,,,
2010-05-20,24.56,27.04,24.56,27.04,571200,15445248.0,,,,,,,,
2010-05-21,25.7,25.7,25.7,25.7,90590,2328163.0,,,,,,,,
2010-05-24,26.03,26.03,24.56,25.83,231470,5978870.1,,,,,,,,
2010-05-25,24.82,26.1,24.82,26.1,459140,11983554.0,,,,,,,,
2010-05-26,25.83,27.37,25.83,27.37,505220,13827871.4,,,,,,,,
2010-05-27,27.64,27.64,26.23,27.51,90490,2489379.9000000004,,,,,,,,
2010-05-28,28.11,28.85,27.51,28.25,291740,8241655.0,,,,,,,,
2010-05-31,28.25,28.25,26.84,27.51,339640,9343496.4,,,,,,,,
2010-06-01,26.3,27.24,26.3,27.17,155450,4223576.5,,,,,,,,
2010-06-02,25.83,26.84,25.83,26.17,70900,1855453.0,,,,,,,,
2010-06-03,26.23,26.97,25.5,26.64,201310,5362898.4,,,,,,,,
2010-06-04,26.37,26.97,25.83,26.5,211250,5598125.0,,,,,,,,
2010-06-07,25.36,25.83,25.23,25.83,157880,4078040.4,,,,,,,,
2010-06-08,25.83,26.17,25.5,26.17,255170,6677798.9,,,,,,,,
2010-06-09,26.17,27.44,26.17,27.44,998390,27395821.6,,,,,,,,
2010-06-10,27.44,28.18,27.31,28.18,514360,14494664.8,,,,,,,,
2010-06-11,28.18,28.18,26.9,28.04,309720,8684548.799999999,,,,,,,,
2010-06-14,26.77,27.98,26.77,26.84,339900,9122916.0,,,,,,,,
2010-06-15,26.37,27.58,26.17,26.23,345170,9053809.1,,,,,,,,
2010-06-16,26.23,26.97,26.23,26.97,157270,4241571.899999999,,,,,,,,
2010-06-17,26.84,26.84,26.17,26.5,91090,2413885.0,,,,,,,,
2010-06-18,26.5,27.11,25.83,26.37,92410,2436851.7,,,,,,,,
2010-06-21,26.7,26.7,26.17,26.23,85470,2241878.1,,,,,,,,
2010-06-22,25.83,26.3,25.43,25.5,354100,9029550.0,,,,,,,,
2010-06-23,25.5,25.83,25.43,25.5,118720,3027360.0,,,,,,,,
2010-06-24,25.5,25.7,25.36,25.5,196280,5005140.0,,,,,,,,
2010-06-25,25.83,25.83,25.29,25.29,158810,4016304.9,,,,,,,,
2010-06-28,25.43,25.5,24.96,24.96,60640,1513574.4,,,,,,,,
2010-06-29,24.96,25.5,24.96,25.09,38580,967972.2,,,,,,,,
2010-06-30,24.82,24.82,24.56,24.56,38600,948016.0,,,,,,,,
2010-07-01,24.56,24.69,23.82,23.82,62940,1499230.8,,,,,,,,
2010-07-02,23.82,24.49,23.82,24.49,50870,1245806.2999999998,,,,,,,,
2010-07-05,25.09,25.09,24.49,24.76,28480,705164.8,,,,,,,,
2010-07-06,24.82,24.82,24.02,24.62,31250,769375.0,,,,,,,,
2010-07-07,24.49,24.82,23.89,24.09,40340,971790.6,,,,,,,,
2010-07-08,24.49,24.49,23.75,24.09,57670,1389270.3,,,,,,,,
2010-07-09,24.22,24.22,23.89,24.09,68060,1639565.4,,,,,,,,
2010-07-12,23.75,24.15,22.95,24.02,45620,1095792.4,,,,,,,,
2010-07-13,24.15,25.16,24.02,24.82,120770,2997511.4,,,,,,,,
2010-07-14,25.43,25.43,24.82,25.29,173840,4396413.6,,,,,,,,
2010-07-15,25.09,25.09,24.76,24.76,74610,1847343.6,,,,,,,,
2010-07-16,24.76,24.82,24.35,24.35,52660,1282271.0,,,,,,,,
2010-07-19,24.49,24.49,24.02,24.09,30680,739081.2,,,,,,,,
2010-07-20,24.35,24.89,24.09,24.76,90810,2248455.6,,,,,,,,
2010-07-21,24.76,24.76,24.49,24.49,63270,1549482.2999999998,,,,,,,,
2010-07-22,24.29,24.49,23.89,23.89,30020,717177.8,,,,,,,,
2010-07-23,24.62,24.62,23.89,24.02,20530,493130.6,,,,,,,,
2010-07-26,23.48,24.62,23.48,23.68,4160,98508.8,,,,,,,,
2010-07-27,24.22,24.22,22.81,23.62,34630,817960.6,,,,,,,,
2010-07-28,23.68,24.09,23.28,23.35,58110,1356868.5,,,,,,,,
2010-07-29,22.74,23.48,22.74,23.15,10770,249325.5,,,,,,,,
2010-07-30,23.48,23.48,23.15,23.15,24930,577129.5,,,,,,,,
2010-08-02,23.82,23.82,22.95,22.95,24300,557685.0,,,,,,,,
2010-08-03,22.95,22.95,22.74,22.74,55080,1252519.2,,,,,,,,
2010-08-04,22.74,22.74,22.07,22.07,57690,1273218.3,,,,,,,,
2010-08-05,22.07,22.61,21.94,22.07,103730,2289321.1,,,,,,,,
2010-08-06,22.07,22.48,22.07,22.48,55190,1240671.2,,,,,,,,
2010-08-09,22.34,22.74,22.01,22.14,159640,3534429.6,,,,,,,,
2010-08-10,21.13,22.74,21.07,21.27,47250,1005007.5,,,,,,,,
2010-08-11,21.81,22.21,21.27,21.81,50880,1109692.8,,,,,,,,
2010-08-12,21.67,21.67,20.73,20.73,86160,1786096.8,,,,,,,,
2010-08-13,19.99,20.73,19.99,20.6,36520,752312.0,,,,,,,,
2010-08-16,21.47,21.47,20.73,21.13,60210,1272237.3,,,,,,,,
2010-08-17,21.13,21.13,20.26,20.26,24460,495559.6,,,,,,,,
2010-08-18,19.52,20.87,19.46,19.46,15510,301824.60000000003,,,,,,,,
2010-08-19,19.46,19.93,19.39,19.46,61880,1204184.8,,,,,,,,
2010-08-20,18.85,19.46,18.72,18.92,21250,402050.00000000006,,,,,,,,
2010-08-23,18.92,18.92,18.52,18.85,14760,278226.0,,,,,,,,
2010-08-24,18.85,18.85,17.91,17.91,21170,379154.7,,,,,,,,
2010-08-25,17.04,17.04,17.04,17.04,19630,334495.2,,,,,,,,
2010-08-26,16.24,17.04,16.24,16.24,34350,557844.0,,,,,,,,
2010-08-27,15.43,16.44,15.43,15.43,58250,898797.5,,,,,,,,
2010-08-30,16.17,16.17,15.43,16.17,30750,497227.50000000006,,,,,,,,
2010-08-31,15.63,16.97,15.63,16.77,95010,1593317.7,,,,,,,,
2010-09-01,16.91,17.11,16.44,17.11,32680,559154.7999999999,,,,,,,,
2010-09-06,17.44,17.91,17.44,17.91,65810,1178657.1,,,,,,,,
2010-09-07,17.44,18.12,17.38,17.44,21900,381936.0,,,,,,,,
2010-09-08,16.64,16.77,16.57,16.64,42070,700044.8,,,,,,,,
2010-09-09,17.24,17.24,16.64,17.18,13220,227119.6,,,,,,,,
2010-09-10,16.77,16.97,16.37,16.37,33150,542665.5,,,,,,,,
2010-09-13,16.77,16.77,15.77,16.77,20610,345629.7,,,,,,,,
2010-09-14,17.11,17.44,16.77,17.11,66070,1130457.7,,,,,,,,
2010-09-15,17.24,17.38,16.77,17.24,38500,663739.9999999999,,,,,,,,
2010-09-16,17.38,17.44,17.31,17.44,27000,470880.00000000006,,,,,,,,
2010-09-17,17.51,18.18,17.31,17.51,11210,196287.1,,,,,,,,
2010-09-20,17.44,17.51,17.44,17.44,87900,1532976.0,,,,,,,,
2010-09-21,17.58,17.58,17.18,17.58,84690,1488850.2,,,,,,,,
2010-09-22,17.11,17.71,17.11,17.11,30700,525277.0,,,,,,,,
2010-09-23,16.3,17.24,16.3,16.3,28050,457215.0,,,,,,,,
2010-09-24,16.84,17.11,16.77,17.11,181500,3105465.0,,,,,,,,
2010-09-27,17.36,17.91,17.36,17.36,134800,2340128.0,,,,,,,,
2010-09-28,17.5,18.04,17.43,17.5,86740,1517950.0,,,,,,,,
2010-09-29,17.5,17.84,17.5,17.5,34150,597625.0,,,,,,,,
2010-09-30,16.81,17.57,16.81,16.81,41010,689378.1,,,,,,,,
2010-10-01,16.81,17.09,16.81,16.81,2910,48917.1,,,,,,,,
2010-10-04,16.4,16.75,15.99,15.99,134630,2152733.7,,,,,,,,
2010-10-05,16.34,16.4,15.79,16.4,177820,2916247.9999999995,,,,,,,,
2010-10-06,16.27,17.02,16.06,17.02,193560,3294391.2,,,,,,,,
2010-10-07,17.09,17.36,16.54,16.68,181110,3020914.8,,,,,,,,
2010-10-08,16.68,16.75,16.2,16.2,143940,2331828.0,,,,,,,,
2010-10-11,16.2,16.34,15.52,16.27,248140,4037237.8,,,,,,,,
2010-10-12,16.27,16.75,16.2,16.34,227340,3714735.6,,,,,,,,
2010-10-13,15.79,16.47,15.79,16.34,230360,3764082.4,,,,,,,,
2010-10-14,16.34,16.75,16.13,16.47,205700,3387878.9999999995,,,,,,,,
2010-10-15,16.47,16.88,16.47,16.68,257710,4298602.8,,,,,,,,
2010-10-18,16.75,16.81,16.34,16.75,208110,3485842.5,,,,,,,,
2010-10-19,17.09,17.09,16.68,16.75,139180,2331265.0,,,,,,,,
2010-10-20,16.75,17.02,15.93,17.02,250120,4257042.399999999,,,,,,,,
2010-10-21,17.02,17.02,16.61,17.02,193800,3298476.0,,,,,,,,
2010-10-22,17.02,17.29,16.2,16.2,289830,4695246.0,,,,,,,,
2010-10-25,16.75,16.75,15.45,16.75,160010,2680167.5,,,,,,,,
