time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2018-05-07,17.005,17.452,15.662,17.452,31200,544502.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-05-08,18.705,18.705,17.005,17.005,4800,81624.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-05-09,18.258,18.258,16.11,16.11,23300,375363.0,100.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-05-10,16.11,16.11,15.752,15.752,22000,346544.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-05-11,16.378,16.378,15.662,16.11,10200,164322.0,100.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-05-14,15.662,15.662,15.573,15.573,33000,513909.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-05-15,15.662,16.11,15.662,16.11,4800,77328.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-05-16,16.11,16.11,16.11,16.11,5700,91827.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-05-17,15.662,15.662,15.573,15.662,34500,540339.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-05-18,15.662,15.662,15.662,15.662,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-05-21,15.483,15.573,15.215,15.215,55600,845954.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-05-22,15.215,15.483,15.215,15.483,1500,23224.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-05-23,15.662,15.662,15.662,15.662,300,4698.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-05-24,15.662,15.662,15.662,15.662,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-05-25,15.662,15.662,15.662,15.662,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-05-28,15.215,15.483,14.767,15.483,7200,111477.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-05-29,15.036,15.036,15.036,15.036,800,12028.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-05-30,15.394,15.394,15.394,15.394,20000,307880.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-05-31,15.662,15.662,15.662,15.662,2000,31324.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-06-01,15.662,15.662,15.662,15.662,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-06-04,15.394,15.394,15.394,15.394,3800,58497.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-06-05,15.394,15.394,15.394,15.394,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-06-06,14.857,15.394,14.857,15.394,200,3078.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-06-07,15.662,15.662,15.662,15.662,900,14095.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-06-08,15.662,15.662,15.662,15.662,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-06-11,15.662,15.662,15.662,15.662,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-06-12,14.678,14.678,14.678,14.678,400,5871.200000000001,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-06-13,14.678,14.678,14.678,14.678,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-06-14,15.394,15.394,15.394,15.394,100,1539.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-06-15,15.304,15.304,15.215,15.215,4300,65424.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-06-18,15.125,15.215,14.409,15.215,14400,219096.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-06-19,14.588,15.125,14.32,14.32,23660,338811.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-06-20,14.499,14.499,14.23,14.23,15310,217861.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-06-21,14.32,14.499,13.872,14.23,15300,217719.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-06-22,14.409,14.409,13.872,14.141,28300,400190.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-06-25,13.962,13.962,13.962,13.962,200,2792.4,0.0,200.0,0.0,0.0,,0.0,0.0,0.0
2018-06-26,13.962,13.962,13.872,13.872,7000,97104.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-06-27,14.32,14.32,14.141,14.141,2000,28282.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-06-28,14.23,14.23,14.23,14.23,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-06-29,13.514,13.783,13.425,13.514,17400,235143.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-07-02,14.32,14.767,13.425,13.872,15210,210993.12,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-07-03,14.051,14.051,13.872,13.872,11500,159528.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-07-04,15.215,15.215,14.32,14.32,50100,717432.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-07-05,14.32,14.946,14.32,14.946,2000,29892.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-07-06,14.767,15.125,14.32,15.125,54100,818262.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-07-09,14.767,14.767,14.499,14.588,45000,656460.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-07-10,15.215,15.215,15.215,15.215,5000,76075.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-07-11,14.32,14.32,14.32,14.32,1000,14320.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-07-12,14.767,14.767,14.767,14.767,16000,236272.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-07-13,14.767,14.767,14.767,14.767,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-07-16,14.767,14.767,14.767,14.767,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-07-17,14.767,14.767,14.767,14.767,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-07-18,14.767,14.767,14.767,14.767,400,5906.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-07-19,14.767,14.767,14.767,14.767,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-07-20,14.767,14.767,14.767,14.767,20700,305676.9,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-07-23,14.767,14.767,14.767,14.767,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-07-24,14.767,14.767,14.767,14.767,1000,14767.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-07-25,15.215,15.215,15.215,15.215,1000,15215.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-07-26,14.767,14.767,14.767,14.767,1000,14767.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-07-27,15.215,15.304,15.215,15.304,3006,46003.824,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-07-30,15.304,15.304,15.304,15.304,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-07-31,15.304,15.304,15.304,15.304,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-08-01,15.304,15.304,15.304,15.304,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-08-02,14.32,14.32,14.32,14.32,1000,14320.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-08-03,15.304,15.304,15.304,15.304,100,1530.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-08-06,14.32,14.32,14.32,14.32,2200,31504.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-08-07,14.32,14.32,14.32,14.32,2000,28640.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-08-08,14.32,14.32,14.32,14.32,1800,25776.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-08-09,14.32,14.32,14.32,14.32,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-08-10,14.32,14.32,14.32,14.32,1000,14320.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-08-13,14.32,14.32,14.32,14.32,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-08-14,14.32,14.32,14.32,14.32,4,57.28,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-08-15,14.32,14.32,14.32,14.32,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-08-16,14.767,14.767,14.767,14.767,300,4430.099999999999,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-08-17,15.304,15.304,15.304,15.304,3600,55094.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-08-20,15.304,15.304,15.304,15.304,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-08-21,15.304,15.304,15.304,15.304,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-08-22,15.304,15.304,15.304,15.304,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-08-23,15.304,15.304,15.304,15.304,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-08-24,15.304,15.304,15.304,15.304,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-08-27,15.215,15.215,15.215,15.215,20000,304300.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-08-28,15.215,15.215,15.215,15.215,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-08-29,15.215,15.215,15.215,15.215,4000,60860.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-08-30,14.32,15.215,14.32,15.215,1100,16736.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-08-31,14.409,14.409,14.409,14.409,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-09-04,15.215,15.215,15.215,15.215,110,1673.65,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-09-05,15.215,15.215,15.215,15.215,13000,197795.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-09-06,15.215,15.215,15.215,15.215,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2018-09-07,14.767,14.767,14.767,14.767,10050,148408.35,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
