time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2010-03-01,12.9,12.9,12.9,11.0,1860,20460.0,,,,,,,,
2010-03-02,11.7,11.7,11.7,11.7,10,117.0,,,,,,,,
2010-03-03,10.6,10.6,10.6,10.6,10,106.0,,,,,,,,
2010-03-04,9.6,10.0,9.6,9.6,5710,54816.0,,,,,,,,
2010-03-05,8.7,8.8,8.7,8.7,7550,65685.0,,,,,,,,
2010-03-08,7.9,7.9,7.9,7.9,5860,46294.0,,,,,,,,
2010-03-09,7.3,8.6,7.2,7.3,19059,139130.69999999998,,,,,,,,
2010-03-10,7.3,7.5,7.3,7.5,4000,30000.0,,,,,,,,
2010-03-11,7.4,7.5,6.9,7.0,4755,33285.0,,,,,,,,
2010-03-12,7.4,7.4,7.0,7.3,1900,13870.0,,,,,,,,
2010-03-15,7.2,7.2,6.5,7.0,17910,125370.0,,,,,,,,
2010-03-16,6.3,7.0,6.3,6.7,4000,26800.0,,,,,,,,
2010-03-17,7.0,7.2,6.9,6.9,11835,81661.5,,,,,,,,
2010-03-18,7.0,7.0,7.0,7.0,17950,125650.0,,,,,,,,
2010-03-19,7.0,7.0,7.0,7.0,6930,48510.0,,,,,,,,
2010-03-22,7.0,7.2,6.9,7.1,11900,84490.0,,,,,,,,
2010-03-23,7.0,7.3,6.8,7.3,13905,101506.5,,,,,,,,
2010-03-24,7.3,7.3,7.2,7.2,100,720.0,,,,,,,,
2010-03-26,7.0,7.3,7.0,7.3,7380,53874.0,,,,,,,,
2010-03-29,7.2,7.3,7.0,7.1,5860,41606.0,,,,,,,,
2010-03-30,7.3,7.3,7.0,0.0,11720,0.0,,,,,,,,
2010-03-31,7.1,7.2,6.4,7.0,5435,38045.0,,,,,,,,
2010-04-01,7.0,7.5,7.0,7.1,2805,19915.5,,,,,,,,
2010-04-02,7.0,7.3,7.0,7.3,15184,110843.2,,,,,,,,
2010-04-05,7.2,7.7,7.2,7.7,1730,13321.0,,,,,,,,
2010-04-06,7.0,8.2,6.8,7.2,8765,63108.0,,,,,,,,
2010-04-07,7.0,7.2,6.3,7.1,10345,73449.5,,,,,,,,
2010-04-08,7.0,7.2,6.3,7.2,10578,76161.6,,,,,,,,
2010-04-09,7.1,7.8,7.1,7.8,24835,193713.0,,,,,,,,
2010-04-12,7.8,8.3,6.9,8.2,11605,95161.0,,,,,,,,
2010-04-13,7.4,8.3,7.4,8.2,26390,216398.0,,,,,,,,
