time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2006-12-29,4.91,6.14,4.91,6.14,5100,31314.0,,,,,,,,
2007-01-02,6.14,6.14,6.14,6.14,0,0.0,,,,,,,,
2007-01-03,6.14,6.14,6.14,6.14,0,0.0,,,,,,,,
2007-01-04,6.14,6.14,6.14,6.14,0,0.0,,,,,,,,
2007-01-05,6.14,6.14,6.14,6.14,0,0.0,,,,,,,,
2007-01-08,6.51,6.51,6.51,6.51,100,651.0,,,,,,,,
2007-01-09,7.15,7.15,7.15,7.15,300,2145.0,,,,,,,,
2007-01-10,7.05,7.05,7.05,7.05,200,1410.0,,,,,,,,
2007-01-11,7.05,7.05,7.05,7.05,0,0.0,,,,,,,,
2007-01-12,7.05,7.05,7.05,7.05,0,0.0,,,,,,,,
2007-01-15,7.05,7.05,7.05,7.05,0,0.0,,,,,,,,
2007-01-16,7.05,7.05,7.05,7.05,0,0.0,,,,,,,,
2007-01-17,7.05,7.05,7.05,7.05,0,0.0,,,,,,,,
2007-01-18,7.05,7.05,7.05,7.05,0,0.0,,,,,,,,
2007-01-19,7.37,7.37,7.37,7.37,1000,7370.0,,,,,,,,
2007-01-22,7.37,7.37,7.37,7.37,0,0.0,,,,,,,,
2007-01-23,7.37,7.37,7.37,7.37,0,0.0,,,,,,,,
2007-01-24,7.37,7.37,7.37,7.37,0,0.0,,,,,,,,
2007-01-25,7.37,7.37,7.37,7.37,1100,8107.0,,,,,,,,
2007-01-26,7.37,7.37,7.37,7.37,0,0.0,,,,,,,,
2007-01-29,7.37,7.37,7.37,7.37,0,0.0,,,,,,,,
2007-01-30,7.37,7.37,7.37,7.37,0,0.0,,,,,,,,
2007-01-31,7.37,7.37,7.37,7.37,0,0.0,,,,,,,,
2007-02-01,7.37,7.37,7.37,7.37,0,0.0,,,,,,,,
2007-02-02,7.37,7.37,7.37,7.37,0,0.0,,,,,,,,
2007-02-05,7.83,7.83,7.06,7.06,1200,8472.0,,,,,,,,
2007-02-06,7.98,7.98,7.98,7.98,800,6384.0,,,,,,,,
2007-02-07,8.17,8.17,8.14,8.14,600,4884.0,,,,,,,,
2007-02-08,8.14,8.14,8.14,8.14,0,0.0,,,,,,,,
2007-02-09,8.14,8.14,8.14,8.14,0,0.0,,,,,,,,
2007-02-12,8.14,8.14,8.14,8.14,300,2442.0,,,,,,,,
2007-02-13,7.68,7.68,7.68,7.68,3700,28416.0,,,,,,,,
2007-02-14,7.68,7.75,7.68,7.75,6400,49600.0,,,,,,,,
2007-02-15,7.52,7.52,7.52,7.52,4000,30080.0,,,,,,,,
2007-02-26,7.63,7.98,7.52,7.98,12500,99750.0,,,,,,,,
2007-02-27,8.06,8.66,8.06,8.66,7200,62352.0,,,,,,,,
2007-02-28,9.23,9.23,9.21,9.21,3300,30393.000000000004,,,,,,,,
2007-03-01,8.9,9.92,8.9,8.9,5800,51620.0,,,,,,,,
