time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2011-03-15,12.12,12.12,7.93,8.39,145700,1222423.0,,,,,,,,
2011-03-16,8.86,8.86,8.39,8.39,93900,787821.0,,,,,,,,
2011-03-17,8.39,8.49,8.21,8.21,33500,275035.0,,,,,,,,
2011-03-18,8.3,8.67,8.3,8.67,87500,758625.0,,,,,,,,
2011-03-21,8.86,9.05,8.86,9.05,68500,619925.0,,,,,,,,
2011-03-22,9.05,9.33,8.86,9.23,86200,795626.0,,,,,,,,
2011-03-23,9.05,9.14,8.95,9.14,17100,156294.0,,,,,,,,
2011-03-24,8.95,9.05,8.58,8.77,42400,371848.0,,,,,,,,
2011-03-25,8.95,9.05,8.77,8.86,26400,233904.0,,,,,,,,
2011-03-28,8.95,9.05,8.39,8.39,50700,425373.0,,,,,,,,
2011-03-29,8.49,9.05,8.49,8.77,5300,46481.0,,,,,,,,
2011-03-30,8.49,8.58,8.49,8.58,20400,175032.0,,,,,,,,
2011-03-31,8.49,8.86,8.49,8.86,15000,132900.0,,,,,,,,
2011-04-01,8.39,8.77,8.3,8.3,34500,286350.0,,,,,,,,
2011-04-04,8.58,8.77,8.39,8.39,24300,203877.0,,,,,,,,
2011-04-05,8.58,8.58,7.93,8.39,24100,202199.0,,,,,,,,
2011-04-06,8.5,8.5,8.2,8.2,29800,244360.0,,,,,,,,
2011-04-07,8.0,8.3,8.0,8.3,26600,220780.00000000003,,,,,,,,
2011-04-08,7.6,8.0,7.5,8.0,11100,88800.0,,,,,,,,
2011-04-13,7.2,7.2,7.1,7.1,36000,255600.0,,,,,,,,
2011-04-14,7.4,7.5,7.4,7.5,4000,30000.0,,,,,,,,
2011-04-15,7.5,7.9,7.2,7.2,10000,72000.0,,,,,,,,
2011-04-18,7.9,7.9,7.2,7.2,3200,23040.0,,,,,,,,
2011-04-19,7.5,7.6,7.2,7.2,2700,19440.0,,,,,,,,
2011-04-20,7.6,7.7,7.6,7.6,3000,22800.0,,,,,,,,
2011-04-21,7.6,7.6,7.3,7.5,4400,33000.0,,,,,,,,
2011-04-22,7.2,7.5,7.2,7.3,25400,185420.0,,,,,,,,
2011-04-25,7.9,8.0,7.4,7.4,11300,83620.0,,,,,,,,
2011-04-26,7.3,7.8,7.3,7.6,8400,63840.0,,,,,,,,
2011-04-27,7.1,7.9,7.1,7.6,2600,19760.0,,,,,,,,
2011-04-28,7.2,7.9,7.2,7.3,3100,22630.0,,,,,,,,
2011-04-29,7.0,7.6,7.0,7.2,14200,102240.0,,,,,,,,
2011-05-04,6.9,7.6,6.9,7.6,1600,12160.0,,,,,,,,
2011-05-05,7.1,7.5,7.0,7.0,3600,25200.0,,,,,,,,
2011-05-06,7.4,7.4,7.1,7.1,1200,8520.0,,,,,,,,
2011-05-09,7.1,7.4,7.0,7.4,13000,96200.0,,,,,,,,
2011-05-10,6.9,6.9,6.8,6.9,20600,142140.0,,,,,,,,
2011-05-11,7.0,7.2,7.0,7.2,4700,33840.0,,,,,,,,
2011-05-12,6.8,6.9,6.8,6.8,3600,24480.0,,,,,,,,
2011-05-13,6.6,6.9,6.6,6.6,2900,19140.0,,,,,,,,
2011-05-16,6.9,7.0,6.9,6.9,22000,151800.0,,,,,,,,
2011-05-17,7.0,7.0,6.7,6.7,3300,22110.0,,,,,,,,
2011-05-18,6.8,6.8,6.8,6.8,4800,32640.0,,,,,,,,
2011-05-19,6.4,6.9,6.4,6.9,10600,73140.0,,,,,,,,
2011-05-20,6.9,6.9,6.9,6.9,1500,10350.0,,,,,,,,
2011-05-23,6.5,6.5,6.5,6.5,1300,8450.0,,,,,,,,
2011-05-24,6.5,6.5,6.2,6.2,6100,37820.0,,,,,,,,
2011-05-25,6.2,6.2,6.2,6.2,0,0.0,,,,,,,,
2011-05-26,6.0,6.1,6.0,6.1,13900,84790.0,,,,,,,,
2011-05-27,6.1,6.3,5.9,6.0,13400,80400.0,,,,,,,,
2011-05-30,6.3,6.4,5.6,5.6,2800,15679.999999999998,,,,,,,,
2011-05-31,6.4,6.5,5.9,5.9,10500,61950.00000000001,,,,,,,,
2011-06-01,6.1,6.3,6.1,6.2,2100,13020.0,,,,,,,,
2011-06-02,6.5,6.5,6.0,6.0,12500,75000.0,,,,,,,,
2011-06-03,6.5,6.7,6.0,6.0,13300,79800.0,,,,,,,,
2011-06-06,5.8,6.4,5.7,6.4,13100,83840.0,,,,,,,,
2011-06-07,6.2,6.2,5.9,6.0,33300,199800.0,,,,,,,,
2011-06-08,6.3,6.3,5.8,5.8,26100,151380.0,,,,,,,,
2011-06-09,6.4,6.4,6.4,6.4,15800,101120.0,,,,,,,,
2011-06-10,6.8,6.8,6.8,6.8,6800,46240.0,,,,,,,,
2011-06-13,7.2,7.2,7.2,7.2,12800,92160.0,,,,,,,,
2011-06-14,7.7,7.7,7.7,7.7,159600,1228920.0,,,,,,,,
2011-06-15,8.2,8.2,7.4,8.1,214500,1737450.0,,,,,,,,
2011-06-16,8.3,8.5,8.3,8.4,186700,1568280.0,,,,,,,,
2011-06-17,8.0,9.0,8.0,8.1,63200,511920.0,,,,,,,,
2011-06-20,7.8,8.3,7.6,8.1,117900,954990.0,,,,,,,,
2011-06-21,8.0,8.3,7.6,8.3,150600,1249980.0,,,,,,,,
2011-06-22,8.3,8.5,7.8,8.1,31600,255960.0,,,,,,,,
2011-06-23,8.1,8.1,7.8,7.8,45700,356460.0,,,,,,,,
2011-06-24,8.3,8.3,7.7,7.7,8300,63910.0,,,,,,,,
2011-06-27,8.0,8.2,8.0,8.0,71900,575200.0,,,,,,,,
2011-06-28,7.7,8.2,7.7,8.1,12300,99630.0,,,,,,,,
2011-06-29,8.0,8.1,8.0,8.1,66600,539460.0,,,,,,,,
2011-06-30,8.0,8.0,7.7,7.7,39500,304150.0,,,,,,,,
2011-07-01,7.4,8.0,7.4,7.8,33800,263640.0,,,,,,,,
2011-07-04,7.7,7.9,7.4,7.8,22200,173160.0,,,,,,,,
2011-07-05,7.9,8.1,7.2,8.1,60200,487620.0,,,,,,,,
2011-07-06,7.5,8.4,7.5,8.0,2900,23200.0,,,,,,,,
2011-07-07,7.6,8.0,7.6,7.6,7600,57760.0,,,,,,,,
2011-07-08,7.5,7.8,7.5,7.5,300,2250.0,,,,,,,,
2011-07-11,7.1,7.9,7.1,7.2,1200,8640.0,,,,,,,,
2011-07-12,7.3,7.5,7.2,7.2,12200,87840.0,,,,,,,,
2011-07-13,7.3,7.7,7.3,7.7,7200,55440.0,,,,,,,,
2011-07-14,7.8,8.0,7.3,7.4,5900,43660.0,,,,,,,,
2011-07-15,7.3,8.1,7.2,8.1,64200,520020.0,,,,,,,,
2011-07-18,8.3,8.5,8.0,8.5,176700,1501950.0,,,,,,,,
2011-07-19,8.6,8.9,8.5,8.9,168500,1499650.0,,,,,,,,
2011-07-20,9.2,9.4,8.7,8.9,14900,132610.0,,,,,,,,
2011-07-21,8.4,8.9,8.4,8.9,7000,62300.0,,,,,,,,
2011-07-22,9.3,9.3,8.6,9.0,104100,936900.0,,,,,,,,
2011-07-25,9.0,9.0,8.9,9.0,59500,535500.0,,,,,,,,
2011-07-26,8.9,9.0,8.7,8.9,48300,429870.0,,,,,,,,
2011-07-27,8.9,8.9,8.7,8.8,56500,497200.00000000006,,,,,,,,
2011-07-28,8.4,8.9,8.4,8.4,63700,535080.0,,,,,,,,
2011-07-29,8.8,9.0,8.8,8.9,230500,2051450.0,,,,,,,,
2011-08-01,8.5,9.0,8.5,9.0,100000,900000.0,,,,,,,,
2011-08-02,8.5,8.9,8.5,8.9,11100,98790.0,,,,,,,,
2011-08-03,8.4,9.0,8.4,8.9,500700,4456230.0,,,,,,,,
2011-08-04,8.6,8.9,8.6,8.9,164700,1465830.0,,,,,,,,
2011-08-05,8.3,8.9,8.3,8.9,25500,226950.0,,,,,,,,
2011-08-08,8.9,8.9,8.3,8.4,7900,66360.0,,,,,,,,
2011-08-09,8.0,8.0,7.9,7.9,4000,31600.0,,,,,,,,
2011-08-10,8.0,8.0,8.0,8.0,600,4800.0,,,,,,,,
