time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2011-07-22,1.08,1.08,1.08,1.08,44620,48189.600000000006,,,,,,,,
2011-07-25,1.03,1.03,1.03,1.03,5050,5201.5,,,,,,,,
2011-07-26,0.98,0.98,0.98,0.98,94030,92149.4,,,,,,,,
2011-07-27,0.93,0.98,0.93,0.98,119560,117168.8,,,,,,,,
2011-07-28,0.98,1.01,0.98,0.99,51380,50866.2,,,,,,,,
2011-07-29,0.97,0.99,0.97,0.99,7500,7425.0,,,,,,,,
2011-08-01,0.99,0.99,0.95,0.95,79830,75838.5,,,,,,,,
2011-08-02,0.91,0.91,0.9,0.9,55710,50139.0,,,,,,,,
2011-08-03,0.94,0.94,0.94,0.94,410,385.4,,,,,,,,
2011-08-04,0.97,0.98,0.95,0.98,9540,9349.2,,,,,,,,
2011-08-05,0.96,1.01,0.96,0.99,7880,7801.2,,,,,,,,
2011-08-08,0.95,0.98,0.95,0.95,38540,36613.0,,,,,,,,
2011-08-09,0.91,0.96,0.91,0.96,4030,3868.8,,,,,,,,
2011-08-10,0.92,0.96,0.92,0.96,5430,5212.8,,,,,,,,
2011-08-11,0.96,0.96,0.96,0.96,14370,13795.2,,,,,,,,
2011-08-12,1.01,1.01,0.96,0.98,160,156.8,,,,,,,,
2011-08-15,0.98,1.0,0.96,1.0,16010,16010.0,,,,,,,,
2011-08-16,1.01,1.01,0.95,0.95,1760,1672.0,,,,,,,,
2011-08-17,0.97,0.99,0.95,0.99,6030,5969.7,,,,,,,,
2011-08-18,0.99,1.01,0.97,1.01,1620,1636.2,,,,,,,,
2011-08-19,1.0,1.0,0.98,0.98,14960,14660.8,,,,,,,,
2011-08-22,1.02,1.02,0.96,0.99,10330,10226.7,,,,,,,,
2011-08-23,0.98,0.98,0.98,0.98,4050,3969.0,,,,,,,,
2011-08-24,1.03,1.03,0.96,0.98,10010,9809.8,,,,,,,,
2011-08-25,0.98,0.99,0.98,0.99,3070,3039.3,,,,,,,,
2011-08-26,0.98,0.98,0.97,0.98,9670,9476.6,,,,,,,,
2011-08-29,0.99,0.99,0.98,0.98,40,39.2,,,,,,,,
2011-08-30,0.98,0.98,0.98,0.98,760,744.8,,,,,,,,
2011-08-31,0.98,0.98,0.94,0.95,5860,5567.0,,,,,,,,
2011-09-01,0.99,0.99,0.91,0.91,2730,2484.3,,,,,,,,
2011-09-05,0.95,0.95,0.91,0.95,2530,2403.5,,,,,,,,
2011-09-06,0.97,0.97,0.9,0.97,2880,2793.6,,,,,,,,
2011-09-07,0.95,0.96,0.95,0.96,2020,1939.2,,,,,,,,
2011-09-08,0.95,0.95,0.95,0.95,10320,9804.0,,,,,,,,
2011-09-09,0.95,0.99,0.95,0.99,24630,24383.7,,,,,,,,
2011-09-12,1.0,1.0,1.0,1.0,5400,5400.0,,,,,,,,
2011-09-13,1.01,1.04,1.01,1.04,26080,27123.2,,,,,,,,
2011-09-14,1.07,1.08,1.05,1.06,10750,11395.0,,,,,,,,
2011-09-15,1.04,1.04,1.01,1.01,12020,12140.2,,,,,,,,
2011-09-16,1.01,1.01,0.97,0.97,7500,7275.0,,,,,,,,
2011-09-19,1.01,1.02,0.95,1.02,9310,9496.2,,,,,,,,
2011-09-20,0.97,1.01,0.97,1.01,20,20.2,,,,,,,,
2011-09-21,0.98,0.98,0.97,0.97,6960,6751.2,,,,,,,,
2011-09-22,1.01,1.01,0.99,0.99,70,69.3,,,,,,,,
2011-09-23,0.99,1.01,0.99,1.01,3960,3999.6,,,,,,,,
2011-09-26,0.98,1.01,0.98,1.01,5500,5555.0,,,,,,,,
2011-09-27,0.98,0.98,0.98,0.98,10,9.8,,,,,,,,
2011-09-28,0.98,1.01,0.98,0.98,10500,10290.0,,,,,,,,
2011-09-29,0.99,0.99,0.98,0.98,15000,14700.0,,,,,,,,
2011-09-30,0.96,0.98,0.96,0.98,3300,3234.0,,,,,,,,
2011-10-03,0.98,0.98,0.98,0.98,200,196.0,,,,,,,,
2011-10-04,0.96,0.98,0.96,0.98,1670,1636.6,,,,,,,,
2011-10-05,1.01,1.01,0.98,0.98,960,940.8,,,,,,,,
2011-10-06,0.98,0.99,0.98,0.99,14790,14642.1,,,,,,,,
2011-10-07,0.99,0.99,0.98,0.98,8740,8565.2,,,,,,,,
