time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2011-03-02,4.06,4.33,3.79,3.95,403600,1594220.0,,,,,,,,
2011-03-03,4.01,4.09,3.9,3.98,241400,960772.0,,,,,,,,
2011-03-04,4.04,4.04,3.71,3.79,171100,648469.0,,,,,,,,
2011-03-07,3.79,3.79,3.6,3.6,187500,675000.0,,,,,,,,
2011-03-08,3.76,3.85,3.66,3.71,186300,691173.0,,,,,,,,
2011-03-09,3.9,3.93,3.66,3.74,154200,576708.0,,,,,,,,
2011-03-10,3.74,3.98,3.74,3.98,237500,945250.0,,,,,,,,
2011-03-11,3.79,4.01,3.79,3.93,142100,558453.0,,,,,,,,
2011-03-14,3.98,4.01,3.76,3.76,137000,515120.0,,,,,,,,
2011-03-15,3.9,3.9,3.79,3.79,145500,551445.0,,,,,,,,
2011-03-16,3.9,3.93,3.79,3.82,162000,618840.0,,,,,,,,
2011-03-17,3.85,3.85,3.79,3.82,207000,790740.0,,,,,,,,
2011-03-18,3.9,3.9,3.79,3.87,145600,563472.0,,,,,,,,
2011-03-21,3.9,3.95,3.85,3.85,103800,399630.0,,,,,,,,
2011-03-22,3.87,3.9,3.68,3.74,118300,442442.0,,,,,,,,
2011-03-23,3.71,3.79,3.68,3.71,135400,502334.0,,,,,,,,
2011-03-24,3.87,3.87,3.71,3.71,129700,481187.0,,,,,,,,
2011-03-25,3.85,3.85,3.71,3.71,131900,489349.0,,,,,,,,
2011-03-28,3.76,3.76,3.66,3.68,122400,450432.0,,,,,,,,
2011-03-29,3.68,3.74,3.6,3.66,131800,482388.0,,,,,,,,
2011-03-30,3.63,3.66,3.47,3.66,84700,310002.0,,,,,,,,
2011-03-31,3.63,3.74,3.55,3.66,145500,532530.0,,,,,,,,
2011-04-01,3.66,3.66,3.47,3.58,97700,349766.0,,,,,,,,
2011-04-04,3.55,3.55,3.47,3.49,61100,213239.0,,,,,,,,
2011-04-05,3.63,3.63,3.41,3.6,148800,535680.0,,,,,,,,
2011-04-06,3.66,3.66,3.55,3.58,120800,432464.0,,,,,,,,
2011-04-07,3.36,3.52,3.36,3.52,177400,624448.0,,,,,,,,
2011-04-08,3.44,3.55,3.3,3.55,105200,373460.0,,,,,,,,
2011-04-13,3.52,3.6,3.41,3.55,106300,377365.0,,,,,,,,
2011-04-14,3.41,3.55,3.41,3.49,145800,508842.00000000006,,,,,,,,
2011-04-15,3.39,3.52,3.28,3.28,150700,494296.0,,,,,,,,
