time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2013-01-02,3.1,3.1,3.1,3.1,289880,898628.0,,,,,,,,
2013-01-03,3.2,3.2,3.1,3.2,1810730,5794336.0,,,,,,,,
2013-01-04,3.2,3.3,3.1,3.3,625710,2064843.0,,,,,,,,
2013-01-07,3.4,3.4,3.3,3.3,356360,1175988.0,,,,,,,,
2013-01-08,3.2,3.3,3.2,3.2,737190,2359008.0,,,,,,,,
2013-01-09,3.1,3.3,3.1,3.1,558050,1729955.0,,,,,,,,
2013-01-10,3.0,3.1,3.0,3.0,569610,1708830.0,,,,,,,,
2013-01-11,3.1,3.1,3.0,3.1,557020,1726762.0,,,,,,,,
2013-01-14,3.0,3.2,3.0,3.2,261380,836416.0,,,,,,,,
2013-01-15,3.1,3.4,3.1,3.4,1004960,3416864.0,,,,,,,,
2013-01-16,3.5,3.6,3.5,3.6,913150,3287340.0,,,,,,,,
2013-01-17,3.6,3.7,3.4,3.6,524900,1889640.0,,,,,,,,
2013-01-18,3.4,3.5,3.4,3.4,885700,3011380.0,,,,,,,,
2013-01-21,3.5,3.5,3.3,3.5,344410,1205435.0,,,,,,,,
2013-01-22,3.5,3.5,3.3,3.3,300620,992046.0,,,,,,,,
2013-01-23,3.3,3.4,3.1,3.2,385940,1235008.0,,,,,,,,
2013-01-24,3.1,3.3,3.1,3.3,329180,1086294.0,,,,,,,,
2013-01-25,3.3,3.5,3.3,3.4,382820,1301588.0,,,,,,,,
2013-01-28,3.4,3.5,3.2,3.2,368130,1178016.0,,,,,,,,
2013-01-29,3.2,3.3,3.1,3.2,397130,1270816.0,,,,,,,,
2013-01-30,3.1,3.4,3.1,3.3,340710,1124343.0,,,,,,,,
2013-01-31,3.2,3.3,3.1,3.2,148100,473920.0,,,,,,,,
2013-02-01,3.2,3.2,3.1,3.2,154210,493472.0,,,,,,,,
2013-02-04,3.3,3.4,3.2,3.2,380980,1219136.0,,,,,,,,
2013-02-05,3.2,3.3,3.1,3.3,113480,374484.0,,,,,,,,
