time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2009-12-15,10.22,10.22,10.22,10.22,0,0.0,,,,,,,,
2009-12-23,10.22,10.22,10.22,10.22,0,0.0,,,,,,,,
2010-01-05,6.21,6.21,6.21,6.21,10,62.1,,,,,,,,
2010-01-11,4.13,4.13,4.13,4.13,4507,18613.91,,,,,,,,
2010-01-13,4.5,4.5,4.5,4.5,10,45.0,,,,,,,,
2010-01-14,4.7,4.7,4.5,4.7,6700,31490.0,,,,,,,,
2010-01-26,2.86,2.86,2.86,2.86,155,443.3,,,,,,,,
2010-01-27,2.66,2.66,2.66,2.66,440,1170.4,,,,,,,,
2010-02-05,3.76,3.76,3.76,3.76,500,1880.0,,,,,,,,
2010-03-01,3.68,3.68,3.68,3.68,10,36.8,,,,,,,,
2010-03-02,3.68,3.68,3.68,3.68,0,0.0,,,,,,,,
2010-03-03,3.68,3.68,3.68,3.68,0,0.0,,,,,,,,
2010-03-04,3.31,3.31,3.31,3.31,15,49.65,,,,,,,,
2010-03-05,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2010-03-08,3.64,3.64,2.98,2.98,65,193.7,,,,,,,,
2010-03-09,3.07,3.07,3.07,3.07,1395,4282.65,,,,,,,,
2010-03-10,3.35,3.35,3.35,3.35,10,33.5,,,,,,,,
2010-03-11,3.68,3.68,3.68,3.68,10,36.8,,,,,,,,
2010-03-12,4.05,4.05,4.05,4.05,1000,4050.0,,,,,,,,
2010-03-15,3.68,4.41,3.68,3.68,180,662.4,,,,,,,,
2010-03-16,4.62,4.62,3.8,3.8,416,1580.8,,,,,,,,
2010-03-17,4.37,4.37,4.37,4.37,1300,5681.0,,,,,,,,
2010-03-18,3.96,3.96,3.96,3.96,15,59.4,,,,,,,,
2010-03-19,4.33,4.33,4.33,4.33,400,1732.0,,,,,,,,
2010-03-22,4.7,4.7,4.7,4.7,1000,4700.0,,,,,,,,
2010-03-23,4.7,4.7,4.7,4.7,0,0.0,,,,,,,,
2010-03-24,4.7,4.7,4.7,4.7,0,0.0,,,,,,,,
2010-03-26,3.84,3.84,3.84,3.84,10,38.4,,,,,,,,
2010-03-29,3.84,3.84,3.84,3.84,0,0.0,,,,,,,,
2010-03-30,3.84,0.0,0.0,0.0,0,0.0,,,,,,,,
2010-03-31,4.21,4.21,4.21,4.21,10,42.1,,,,,,,,
2010-04-01,4.21,4.21,4.21,4.21,0,0.0,,,,,,,,
2010-04-02,3.8,3.8,3.8,3.8,13,49.4,,,,,,,,
2010-04-05,3.8,3.8,3.8,3.8,0,0.0,,,,,,,,
2010-04-06,3.43,3.43,3.43,3.43,11,37.73,,,,,,,,
2010-04-07,3.15,3.15,3.15,3.15,10,31.5,,,,,,,,
2010-04-08,3.15,3.15,3.15,3.15,0,0.0,,,,,,,,
2010-04-09,3.15,3.15,3.15,3.15,0,0.0,,,,,,,,
2010-04-12,2.86,2.86,2.86,2.86,10,28.6,,,,,,,,
2010-04-13,2.58,2.58,2.58,2.58,10,25.8,,,,,,,,
2010-04-14,2.58,0.0,0.0,0.0,0,0.0,,,,,,,,
2010-04-15,2.58,2.58,2.58,2.58,0,0.0,,,,,,,,
2010-04-16,2.58,2.58,2.58,2.58,0,0.0,,,,,,,,
2010-04-19,2.58,2.58,2.58,2.58,0,0.0,,,,,,,,
2010-04-20,2.58,2.58,2.58,2.58,0,0.0,,,,,,,,
2010-04-21,2.58,2.58,2.58,2.58,0,0.0,,,,,,,,
2010-04-22,2.58,2.58,2.58,2.58,0,0.0,,,,,,,,
2010-04-26,2.58,2.58,2.58,2.58,0,0.0,,,,,,,,
2010-04-27,2.33,2.33,2.33,2.33,10,23.3,,,,,,,,
2010-04-28,2.53,2.53,2.53,2.53,100,253.0,,,,,,,,
2010-04-29,2.29,2.29,2.29,2.29,10,22.9,,,,,,,,
2010-05-04,2.49,2.49,2.49,2.49,2500,6225.000000000001,,,,,,,,
