time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2013-01-02,4.986,5.305,4.986,5.241,281900,1477437.9,,,,,,,,
2013-01-03,5.241,5.241,4.922,5.05,374000,1888700.0,,,,,,,,
2013-01-04,4.922,5.115,4.858,5.05,194600,982730.0,,,,,,,,
2013-01-07,5.178,5.241,4.858,4.858,99700,484342.6,,,,,,,,
2013-01-08,4.858,4.986,4.667,4.922,132800,653641.6,,,,,,,,
2013-01-09,4.986,5.115,4.73,4.73,161600,764368.0000000001,,,,,,,,
2013-01-10,4.795,4.858,4.538,4.795,78700,377366.5,,,,,,,,
2013-01-11,4.858,4.922,4.795,4.795,167800,804601.0,,,,,,,,
2013-01-14,4.667,4.795,4.667,4.795,58100,278589.5,,,,,,,,
2013-01-15,4.858,4.986,4.795,4.922,225100,1107942.2,,,,,,,,
2013-01-16,5.05,5.241,4.922,5.05,363500,1835675.0,,,,,,,,
2013-01-17,5.115,5.115,4.858,4.986,213900,1066505.4,,,,,,,,
2013-01-18,4.922,4.922,4.73,4.795,108600,520737.0,,,,,,,,
2013-01-21,4.73,4.795,4.603,4.603,233800,1076181.4,,,,,,,,
2013-01-22,4.603,4.667,4.41,4.475,134000,599650.0,,,,,,,,
2013-01-23,4.603,4.603,4.41,4.475,92300,413042.5,,,,,,,,
2013-01-24,4.603,4.667,4.475,4.667,48400,225882.8,,,,,,,,
2013-01-25,4.667,4.667,4.538,4.603,87200,401381.6,,,,,,,,
2013-01-28,4.667,4.858,4.667,4.795,150600,722127.0,,,,,,,,
2013-01-29,4.795,4.986,4.73,4.922,199100,979970.2,,,,,,,,
2013-01-30,4.986,5.05,4.795,4.858,110500,536809.0,,,,,,,,
2013-01-31,4.795,4.858,4.667,4.73,129500,612535.0,,,,,,,,
2013-02-01,4.667,4.73,4.603,4.73,94700,447931.00000000006,,,,,,,,
2013-02-04,4.795,4.986,4.73,4.73,92900,439417.00000000006,,,,,,,,
2013-02-05,4.667,4.73,4.603,4.603,71200,327733.6,,,,,,,,
2013-02-06,4.667,4.795,4.667,4.795,24400,116998.0,,,,,,,,
2013-02-07,4.858,4.922,4.73,4.858,75800,368236.4,,,,,,,,
2013-02-08,4.922,4.986,4.858,4.922,75600,372103.2,,,,,,,,
2013-02-18,5.05,5.115,4.922,4.986,56800,283204.8,,,,,,,,
2013-02-19,4.858,4.986,4.795,4.922,76900,378501.8,,,,,,,,
2013-02-20,4.858,4.922,4.795,4.922,96300,473988.6,,,,,,,,
2013-02-21,4.922,5.05,4.603,4.603,231700,1066515.1,,,,,,,,
2013-02-22,4.73,4.795,4.603,4.73,141500,669295.0000000001,,,,,,,,
2013-02-25,4.73,4.795,4.667,4.73,37200,175956.00000000003,,,,,,,,
2013-02-26,4.667,4.73,4.475,4.475,146100,653797.5,,,,,,,,
2013-02-27,4.475,4.538,4.41,4.538,32400,147031.2,,,,,,,,
