time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,5.087,5.469,5.087,5.469,558100,3052248.9000000004,,,,,
2013-01-03,5.469,5.596,5.214,5.278,354500,1871051.0,,,,,
2013-01-04,5.278,5.596,5.278,5.532,363400,2010328.8,,,,,
2013-01-07,5.596,5.914,5.596,5.596,500600,2801357.6,,,,,
2013-01-08,5.596,5.786,5.596,5.659,373500,2113636.5,,,,,
2013-01-09,5.723,5.85,5.341,5.469,494000,2701686.0,,,,,
2013-01-10,5.341,5.532,5.214,5.469,249000,1361781.0,,,,,
2013-01-11,5.405,5.786,5.405,5.532,373200,2064542.4,,,,,
2013-01-14,5.532,5.596,5.278,5.532,232100,1283977.2,,,,,
2013-01-15,5.532,5.723,5.532,5.723,464400,2657761.2,,,,,
2013-01-16,5.786,6.168,5.786,6.041,1505200,9092913.2,,,,,
2013-01-17,6.104,6.232,5.85,5.85,262300,1534455.0,,,,,
2013-01-18,5.914,5.914,5.659,5.723,261600,1497136.8,,,,,
2013-01-21,5.723,5.85,5.532,5.659,270700,1531891.3,,,,,
2013-01-22,5.596,5.659,5.278,5.405,225500,1218827.5,,,,,
2013-01-23,5.596,5.596,5.341,5.469,183600,1004108.4,,,,,
2013-01-24,5.405,5.596,5.341,5.596,176000,984896.0,,,,,
2013-01-25,5.659,5.723,5.532,5.659,337300,1908780.7,,,,,
2013-01-28,5.723,5.914,5.659,5.723,443300,2537005.9,,,,,
2013-01-29,5.659,5.786,5.596,5.723,299600,1714610.8,,,,,
2013-01-30,5.85,5.85,5.723,5.723,376900,2156998.7,,,,,
2013-01-31,5.786,5.85,5.596,5.596,188800,1056524.8,,,,,
2013-02-01,5.532,5.659,5.532,5.659,242800,1374005.2,,,,,
2013-02-04,5.723,5.723,5.532,5.596,107400,601010.4,,,,,
2013-02-05,5.532,5.596,5.469,5.532,164300,908907.6,,,,,
2013-02-06,5.532,5.723,5.532,5.659,261400,1479262.6,,,,,
