time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2017-05-19,6.6,6.6,6.6,6.6,0,0.0,,,,,
2017-05-22,6.6,6.6,6.6,6.6,0,0.0,,,,,
2017-05-23,4.0,6.6,4.0,6.6,18200,120120.0,,,,,
2017-05-24,3.4,3.4,3.4,3.4,1300,4420.0,,,,,
2017-05-25,2.9,2.9,2.9,2.9,6500,18850.0,,,,,
2017-05-26,2.5,2.5,2.5,2.5,6900,17250.0,,,,,
2017-05-29,2.2,2.6,2.2,2.6,39200,101920.0,,,,,
2017-05-30,2.6,2.6,2.6,2.6,33800,87880.0,,,,,
2017-05-31,2.9,2.9,2.9,2.9,11100,32190.0,,,,,
2017-06-01,3.3,3.3,3.3,3.3,10800,35640.0,,,,,
2017-06-02,3.7,3.7,3.0,3.0,44200,132600.0,,,,,
2017-06-05,3.0,3.5,3.0,3.0,20100,60300.0,,,,,
2017-06-06,2.7,3.0,2.6,2.9,16600,48140.0,,,,,
2017-06-07,2.7,3.0,2.3,3.0,28200,84600.0,,,,,
2017-06-08,2.7,2.7,2.4,2.7,2000,5400.0,,,,,
2017-06-09,2.7,2.7,2.3,2.6,42000,109200.0,,,,,
2017-06-12,2.4,2.4,2.1,2.3,19700,45310.0,,,,,
2017-06-13,2.5,2.5,2.5,2.5,1000,2500.0,,,,,
2017-06-14,2.2,2.4,2.2,2.3,33900,77970.0,,,,,
2017-06-15,2.4,2.4,2.3,2.3,700,1609.9999999999998,,,,,
2017-06-16,2.2,2.3,2.2,2.3,19200,44160.0,,,,,
2017-06-19,2.3,2.4,2.2,2.4,17300,41520.0,,,,,
2017-06-20,2.2,2.4,2.2,2.2,22200,48840.00000000001,,,,,
2017-06-21,2.2,2.3,2.2,2.3,4800,11040.0,,,,,
2017-06-22,2.2,2.2,2.2,2.2,19100,42020.0,,,,,
2017-06-23,2.2,2.2,2.2,2.2,0,0.0,,,,,
2017-06-26,2.2,2.2,1.9,2.2,28400,62480.00000000001,,,,,
2017-06-27,2.2,2.2,2.0,2.0,900,1800.0,,,,,
2017-06-28,2.1,2.1,2.1,2.1,1100,2310.0,,,,,
2017-06-29,2.0,2.1,2.0,2.1,5100,10710.0,,,,,
2017-06-30,2.0,2.1,1.9,1.9,18300,34770.0,,,,,
2017-07-03,2.0,2.0,2.0,2.0,6300,12600.0,,,,,
2017-07-04,2.1,2.1,2.1,2.1,2200,4620.0,,,,,
2017-07-05,2.1,2.1,2.0,2.1,5500,11550.0,,,,,
2017-07-06,2.3,2.3,2.1,2.1,9400,19740.0,,,,,
2017-07-07,2.1,2.1,2.1,2.1,100,210.0,,,,,
2017-07-10,2.2,2.2,2.1,2.1,5100,10710.0,,,,,
2017-07-11,2.1,2.1,2.1,2.1,5000,10500.0,,,,,
2017-07-12,2.0,2.0,2.0,2.0,2100,4200.0,,,,,
2017-07-13,2.1,2.1,1.9,2.0,9200,18400.0,,,,,
2017-07-14,2.0,2.0,2.0,2.0,6700,13400.0,,,,,
2017-07-17,2.0,2.0,1.8,1.9,27000,51300.0,,,,,
2017-07-18,1.9,1.9,1.8,1.9,4710,8949.0,,,,,
2017-07-19,1.9,2.0,1.8,1.8,6400,11520.0,,,,,
2017-07-20,1.9,1.9,1.9,1.9,3000,5700.0,,,,,
2017-07-21,1.9,1.9,1.9,1.9,2600,4940.0,,,,,
2017-07-24,2.0,2.0,1.9,1.9,3200,6080.0,,,,,
2017-07-25,1.9,1.9,1.8,1.8,14500,26100.0,,,,,
2017-07-26,1.7,1.9,1.7,1.8,13900,25020.0,,,,,
2017-07-27,1.8,1.9,1.8,1.8,6600,11880.0,,,,,
2017-07-28,1.8,1.9,1.8,1.8,7600,13680.0,,,,,
2017-07-31,1.8,1.8,1.7,1.8,5800,10440.0,,,,,
2017-08-01,1.8,1.8,1.7,1.8,12300,22140.0,,,,,
2017-08-02,1.8,1.8,1.8,1.8,1100,1980.0,,,,,
2017-08-03,1.8,1.8,1.8,1.8,2400,4320.0,,,,,
2017-08-04,1.8,1.8,1.7,1.8,5500,9900.0,,,,,
2017-08-07,1.8,1.9,1.8,1.9,34700,65930.0,,,,,
2017-08-08,2.0,2.1,2.0,2.1,19700,41370.0,,,,,
2017-08-09,2.3,2.4,2.2,2.4,75010,180024.0,,,,,
2017-08-10,2.3,2.3,2.2,2.3,12200,28060.0,,,,,
2017-08-11,2.1,2.3,2.0,2.3,3700,8510.0,,,,,
2017-08-14,2.3,2.3,2.1,2.1,10000,21000.0,,,,,
2017-08-15,2.2,2.2,2.0,2.2,1600,3520.0000000000005,,,,,
2017-08-16,2.0,2.1,1.9,2.1,1200,2520.0,,,,,
2017-08-17,1.9,2.2,1.9,2.0,25500,51000.0,,,,,
2017-08-18,2.1,2.1,2.1,2.1,0,0.0,,,,,
2017-08-21,2.1,2.1,2.1,2.1,0,0.0,,,,,
2017-08-22,2.1,2.3,1.9,1.9,5000,9500.0,,,,,
2017-08-23,2.0,2.0,2.0,2.0,1000,2000.0,,,,,
2017-08-24,2.0,2.0,2.0,2.0,1100,2200.0,,,,,
2017-08-25,2.0,2.0,2.0,2.0,100,200.0,,,,,
2017-08-28,2.0,2.0,2.0,2.0,2200,4400.0,,,,,
2017-08-29,2.1,2.1,2.1,2.1,100,210.0,,,,,
2017-08-30,2.0,2.0,2.0,2.0,510,1020.0,,,,,
2017-08-31,2.1,2.1,2.1,2.1,100,210.0,,,,,
2017-09-01,2.1,2.1,2.1,2.1,0,0.0,,,,,
2017-09-05,2.0,2.0,2.0,2.0,1700,3400.0,,,,,
2017-09-06,2.0,2.0,1.9,1.9,1200,2280.0,,,,,
2017-09-07,2.0,2.0,1.9,1.9,2100,3990.0,,,,,
2017-09-08,1.9,1.9,1.9,1.9,1000,1900.0,,,,,
2017-09-11,1.9,1.9,1.9,1.9,0,0.0,,,,,
2017-09-12,1.8,1.8,1.8,1.8,3500,6300.0,,,,,
2017-09-13,1.8,1.8,1.8,1.8,0,0.0,,,,,
2017-09-14,2.0,2.0,2.0,2.0,100,200.0,,,,,
2017-09-15,2.0,2.0,2.0,2.0,0,0.0,,,,,
2017-09-18,2.0,2.0,2.0,2.0,0,0.0,,,,,
2017-09-19,1.8,2.0,1.8,2.0,9600,19200.0,,,,,
2017-09-20,2.0,2.0,2.0,2.0,3000,6000.0,,,,,
2017-09-21,2.0,2.0,2.0,2.0,0,0.0,,,,,
2017-09-22,2.0,2.0,2.0,2.0,0,0.0,,,,,
2017-09-25,2.0,2.0,2.0,2.0,2300,4600.0,,,,,
2017-09-26,2.0,2.0,2.0,2.0,2000,4000.0,,,,,
2017-09-27,2.0,2.0,2.0,2.0,0,0.0,,,,,
2017-09-28,2.0,2.0,2.0,2.0,0,0.0,,,,,
2017-09-29,2.0,2.0,2.0,2.0,0,0.0,,,,,
2017-10-02,1.8,2.0,1.8,2.0,2000,4000.0,,,,,
2017-10-03,1.8,1.8,1.8,1.8,5100,9180.0,,,,,
2017-10-04,1.8,1.8,1.8,1.8,0,0.0,,,,,
2017-10-05,1.8,1.8,1.8,1.8,0,0.0,,,,,
2017-10-06,1.8,1.8,1.8,1.8,0,0.0,,,,,
2017-10-09,2.0,2.0,2.0,2.0,100,200.0,,,,,
2017-10-10,1.8,1.8,1.8,1.8,20600,37080.0,,,,,
2017-10-11,1.7,1.8,1.7,1.8,1400,2520.0,,,,,
2017-10-12,1.8,1.8,1.8,1.8,0,0.0,,,,,
2017-10-13,1.8,1.8,1.8,1.8,6600,11880.0,,,,,
2017-10-16,1.7,1.7,1.7,1.7,5600,9520.0,,,,,
2017-10-17,1.8,1.8,1.8,1.8,100,180.0,,,,,
2017-10-18,1.7,1.7,1.7,1.7,13900,23630.0,,,,,
2017-10-19,1.7,1.7,1.7,1.7,2000,3400.0,,,,,
2017-10-20,1.6,1.7,1.6,1.7,4200,7140.0,,,,,
2017-10-23,1.5,1.8,1.5,1.8,6300,11340.0,,,,,
2017-10-24,1.5,1.5,1.5,1.5,0,0.0,,,,,
2017-10-25,1.5,1.5,1.5,1.5,0,0.0,,,,,
2017-10-26,1.6,1.6,1.6,1.6,100,160.0,,,,,
2017-10-27,1.4,1.7,1.4,1.7,15300,26010.0,,,,,
2017-10-30,1.6,1.6,1.6,1.6,600,960.0,,,,,
2017-10-31,1.6,1.6,1.6,1.6,0,0.0,,,,,
2017-11-01,1.6,1.6,1.6,1.6,0,0.0,,,,,
2017-11-02,1.5,1.7,1.4,1.7,3500,5950.0,,,,,
2017-11-03,1.5,1.6,1.5,1.6,5400,8640.0,,,,,
2017-11-06,1.7,1.7,1.7,1.7,300,510.0,,,,,
2017-11-07,1.7,1.7,1.7,1.7,0,0.0,,,,,
2017-11-08,1.8,1.8,1.8,1.8,100,180.0,,,,,
2017-11-09,1.8,1.8,1.8,1.8,0,0.0,,,,,
2017-11-10,1.8,1.8,1.8,1.8,0,0.0,,,,,
2017-11-13,1.8,1.8,1.8,1.8,0,0.0,,,,,
2017-11-14,1.8,1.8,1.8,1.8,0,0.0,,,,,
2017-11-15,1.6,1.7,1.6,1.7,1700,2890.0,,,,,
2017-11-16,1.8,1.8,1.8,1.8,100,180.0,,,,,
2017-11-17,2.0,2.0,1.8,1.8,2200,3960.0,,,,,
2017-11-20,1.8,1.8,1.8,1.8,0,0.0,,,,,
2017-11-21,1.8,1.8,1.8,1.8,0,0.0,,,,,
2017-11-22,1.7,1.7,1.7,1.7,200,340.0,,,,,
2017-11-23,1.8,1.8,1.8,1.8,100,180.0,,,,,
2017-11-24,1.7,1.7,1.7,1.7,400,680.0,,,,,
2017-11-27,1.8,1.8,1.6,1.6,2600,4160.0,,,,,
2017-11-28,1.8,1.8,1.8,1.8,100,180.0,,,,,
2017-11-29,1.7,1.7,1.7,1.7,300,510.0,,,,,
