time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2010-04-15,46.0,46.0,20.0,31.6,3387100,107032360.0,,,,,,,,
2010-04-16,30.5,31.3,30.5,31.3,197300,6175490.0,,,,,,,,
2010-04-19,33.4,33.4,33.4,33.4,274700,9174980.0,,,,,,,,
2010-04-20,35.7,35.7,34.6,35.7,1923600,68672520.0,,,,,,,,
2010-04-21,38.1,38.1,35.2,38.1,3244800,123626880.0,,,,,,,,
2010-04-22,40.2,40.2,35.8,36.2,1211700,43863540.0,,,,,,,,
2010-04-26,36.0,36.0,34.8,34.8,1051900,36606120.0,,,,,,,,
2010-04-27,32.6,35.7,32.5,33.5,2256400,75589400.0,,,,,,,,
2010-04-28,32.5,34.5,32.0,33.4,1751900,58513460.0,,,,,,,,
2010-04-29,33.5,36.0,33.5,36.0,1802000,64872000.0,,,,,,,,
2010-05-04,38.0,38.1,37.5,38.1,1102700,42012870.0,,,,,,,,
2010-05-05,39.9,40.0,36.2,37.5,1699700,63738750.0,,,,,,,,
2010-05-06,37.6,40.2,37.0,39.9,3261300,130125870.0,,,,,,,,
2010-05-07,38.0,40.2,37.2,38.3,2232400,85500920.0,,,,,,,,
2010-05-10,38.0,38.4,36.1,36.9,1437800,53054820.0,,,,,,,,
2010-05-11,37.5,38.0,35.5,36.3,1133300,41138790.0,,,,,,,,
2010-05-12,36.5,36.5,34.0,34.0,1811600,61594400.0,,,,,,,,
2010-05-13,33.9,35.5,32.5,33.2,1321200,43863840.00000001,,,,,,,,
2010-05-14,33.5,34.3,33.0,33.6,669700,22501920.0,,,,,,,,
2010-05-17,34.0,34.8,32.3,32.4,751200,24338880.0,,,,,,,,
2010-05-18,33.0,33.0,31.0,31.2,1142000,35630400.0,,,,,,,,
2010-05-19,31.4,31.4,29.3,29.3,667800,19566540.0,,,,,,,,
2010-05-20,29.0,30.9,27.5,28.8,1526100,43951680.0,,,,,,,,
2010-05-21,28.7,28.7,26.3,26.3,637900,16776770.0,,,,,,,,
2010-05-24,24.6,26.3,24.5,24.7,1463300,36143510.0,,,,,,,,
2010-05-25,24.5,26.0,23.0,25.3,846100,21406330.0,,,,,,,,
2010-05-26,25.0,26.8,25.0,26.8,669700,17947960.0,,,,,,,,
2010-05-27,28.1,28.4,26.7,28.4,1054700,29953480.0,,,,,,,,
2010-05-28,30.1,30.1,30.1,30.1,360200,10842020.0,,,,,,,,
2010-05-31,32.2,32.2,29.0,29.3,794900,23290570.0,,,,,,,,
2010-06-01,28.8,29.5,28.2,28.5,970000,27645000.0,,,,,,,,
2010-06-02,27.6,28.8,26.8,27.8,723300,20107740.0,,,,,,,,
2010-06-03,29.3,29.7,28.0,28.7,681700,19564790.0,,,,,,,,
2010-06-04,28.7,28.8,27.5,27.8,494600,13749880.0,,,,,,,,
2010-06-07,26.1,26.9,26.1,26.1,995300,25977330.0,,,,,,,,
2010-06-08,25.8,27.1,25.5,27.0,584000,15768000.0,,,,,,,,
2010-06-09,27.2,27.5,26.5,26.7,505900,13507530.0,,,,,,,,
2010-06-10,27.0,27.0,26.5,26.9,253500,6819150.0,,,,,,,,
2010-06-11,27.3,27.8,26.8,27.0,479000,12933000.0,,,,,,,,
2010-06-14,27.4,28.0,27.0,27.9,647600,18068040.0,,,,,,,,
2010-06-15,27.6,29.5,27.6,28.9,1160700,33544230.0,,,,,,,,
2010-06-16,30.0,30.7,29.8,30.7,1036100,31808270.0,,,,,,,,
2010-06-17,31.9,31.9,29.3,29.6,1151900,34096240.0,,,,,,,,
2010-06-18,30.0,30.0,28.8,29.2,763400,22291280.0,,,,,,,,
2010-06-21,29.5,31.3,29.5,30.9,1440800,44520720.0,,,,,,,,
2010-06-22,30.9,30.9,29.4,29.6,769800,22786080.0,,,,,,,,
2010-06-23,29.3,29.9,28.6,29.3,639100,18725630.0,,,,,,,,
2010-06-24,29.8,30.2,28.9,29.1,542400,15783840.0,,,,,,,,
2010-06-25,28.8,28.8,28.0,28.5,720300,20528550.0,,,,,,,,
2010-06-28,28.5,29.1,28.1,28.7,408700,11729690.0,,,,,,,,
2010-06-29,29.1,29.2,28.4,28.5,396700,11305950.0,,,,,,,,
2010-06-30,27.7,28.0,27.1,27.9,564100,15738390.0,,,,,,,,
2010-07-01,27.2,28.4,27.2,27.8,384700,10694660.0,,,,,,,,
2010-07-02,28.0,28.2,27.7,28.0,613000,17164000.0,,,,,,,,
2010-07-05,28.3,28.7,28.0,28.1,370300,10405430.0,,,,,,,,
2010-07-06,28.0,28.2,27.4,27.8,356900,9921820.0,,,,,,,,
2010-07-07,28.1,28.1,26.9,27.2,407300,11078560.0,,,,,,,,
2010-07-08,28.0,28.2,26.0,27.0,336200,9077400.0,,,,,,,,
2010-07-09,27.3,27.4,27.0,27.1,326600,8850860.0,,,,,,,,
2010-07-12,27.8,27.8,27.0,27.4,243800,6680120.0,,,,,,,,
2010-07-13,28.2,28.6,27.6,28.5,535900,15273150.0,,,,,,,,
2010-07-14,28.9,29.4,28.0,28.3,356800,10097440.0,,,,,,,,
2010-07-15,28.0,28.4,27.7,27.9,228600,6377940.0,,,,,,,,
2010-07-16,28.4,28.4,27.6,27.7,256500,7105050.0,,,,,,,,
2010-07-19,27.5,28.3,27.5,27.8,445100,12373780.0,,,,,,,,
2010-07-20,27.9,28.2,27.4,27.6,297900,8222040.0,,,,,,,,
2010-07-21,27.9,28.0,27.2,27.2,335800,9133760.0,,,,,,,,
2010-07-22,27.2,27.5,26.8,26.9,342800,9221320.0,,,,,,,,
2010-07-23,27.5,27.6,26.8,27.3,379600,10363080.0,,,,,,,,
2010-07-26,27.5,27.5,26.5,26.6,191400,5091240.0,,,,,,,,
2010-07-27,26.9,27.0,26.3,26.5,314700,8339550.0,,,,,,,,
2010-07-28,26.7,26.7,25.5,25.7,339100,8714870.0,,,,,,,,
2010-07-29,25.3,26.1,25.2,25.9,291700,7555030.0,,,,,,,,
2010-07-30,26.0,26.2,25.7,25.9,382900,9917110.0,,,,,,,,
2010-08-02,26.0,26.0,25.2,25.2,247200,6229440.0,,,,,,,,
2010-08-03,25.5,25.8,25.1,25.3,244800,6193440.0,,,,,,,,
2010-08-04,25.1,25.1,24.3,24.5,279800,6855100.0,,,,,,,,
2010-08-05,24.8,25.1,24.1,24.3,184600,4485780.0,,,,,,,,
2010-08-06,24.5,24.6,24.0,24.1,207400,4998340.0,,,,,,,,
2010-08-09,24.2,24.2,22.6,22.7,355900,8078930.0,,,,,,,,
2010-08-10,22.5,22.5,21.4,21.5,566100,12171150.0,,,,,,,,
2010-08-11,21.4,22.2,21.0,21.7,277600,6023920.0,,,,,,,,
2010-08-12,21.6,21.6,20.1,20.1,392400,7887240.000000001,,,,,,,,
2010-08-13,19.0,20.1,18.8,19.9,534500,10636550.0,,,,,,,,
2010-08-16,19.5,20.8,19.5,20.8,231200,4808960.0,,,,,,,,
2010-08-17,22.1,22.1,20.8,22.0,1104000,24288000.0,,,,,,,,
2010-08-18,21.5,21.5,20.6,20.7,379200,7849440.0,,,,,,,,
2010-08-19,20.7,20.9,20.0,20.5,274600,5629300.0,,,,,,,,
2010-08-20,20.3,21.2,19.9,20.5,397700,8152850.0,,,,,,,,
2010-08-23,20.5,20.5,19.6,19.7,352500,6944250.0,,,,,,,,
2010-08-24,20.0,20.0,18.6,18.7,544300,10178410.0,,,,,,,,
2010-08-25,17.8,18.1,17.4,17.4,181600,3159839.9999999995,,,,,,,,
2010-08-26,17.5,18.2,16.5,17.3,343400,5940820.0,,,,,,,,
2010-08-27,16.5,17.3,16.1,16.7,236800,3954560.0,,,,,,,,
