time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,3.4,3.4,3.4,3.4,49500,168300.0,,,,,
2013-01-03,3.6,3.6,3.6,3.6,592300,2132280.0,,,,,
2013-01-04,3.7,3.8,3.6,3.8,339500,1290100.0,,,,,
2013-01-07,4.0,4.0,3.9,4.0,317000,1268000.0,,,,,
2013-01-08,3.9,4.0,3.8,3.8,402900,1531020.0,,,,,
2013-01-09,3.8,4.0,3.6,3.6,299400,1077840.0,,,,,
2013-01-10,3.6,3.7,3.4,3.7,135200,500240.0,,,,,
2013-01-11,3.7,3.7,3.5,3.5,149700,523950.0,,,,,
2013-01-14,3.4,3.6,3.4,3.6,97700,351720.0,,,,,
2013-01-15,3.7,3.9,3.7,3.9,261400,1019460.0,,,,,
2013-01-16,4.2,4.2,4.1,4.2,311100,1306620.0,,,,,
2013-01-17,4.4,4.5,3.9,4.0,1017800,4071200.0,,,,,
2013-01-18,4.1,4.2,3.8,4.0,190900,763600.0,,,,,
2013-01-21,4.0,4.1,3.8,3.8,251000,953800.0,,,,,
2013-01-22,3.7,3.7,3.5,3.6,392600,1413360.0,,,,,
2013-01-23,3.7,3.7,3.3,3.5,170300,596050.0,,,,,
2013-01-24,3.5,3.7,3.4,3.7,155000,573500.0,,,,,
2013-01-25,3.9,3.9,3.6,3.8,120200,456760.0,,,,,
2013-01-28,3.9,4.0,3.6,3.9,219800,857220.0,,,,,
2013-01-29,3.9,4.0,3.7,3.9,159600,622440.0,,,,,
2013-01-30,3.9,4.0,3.7,3.8,134000,509200.0,,,,,
2013-01-31,4.0,4.1,3.7,4.1,663600,2720759.9999999995,,,,,
2013-02-01,4.0,4.1,3.9,4.1,122700,503070.0,,,,,
2013-02-04,4.2,4.2,3.8,3.9,109200,425880.0,,,,,
2013-02-05,3.9,3.9,3.7,3.9,145700,568230.0,,,,,
2013-02-06,3.9,4.0,3.8,4.0,57900,231600.0,,,,,
2013-02-07,4.1,4.2,3.8,4.2,195000,819000.0,,,,,
2013-02-08,4.1,4.3,4.1,4.2,166700,700140.0,,,,,
2013-02-18,4.3,4.4,4.1,4.2,122600,514920.0,,,,,
2013-02-19,4.2,4.2,4.0,4.1,173600,711759.9999999999,,,,,
2013-02-20,4.0,4.2,3.9,4.2,236800,994560.0,,,,,
2013-02-21,4.0,4.2,3.8,3.8,374700,1423860.0,,,,,
2013-02-22,3.8,4.0,3.6,3.6,229700,826920.0,,,,,
2013-02-25,3.7,3.8,3.7,3.8,59700,226860.0,,,,,
2013-02-26,3.7,3.8,3.5,3.6,186700,672120.0,,,,,
2013-02-27,3.5,3.5,3.2,3.4,241300,820420.0,,,,,
2013-02-28,3.6,3.6,3.4,3.5,15800,55300.0,,,,,
2013-03-01,3.5,3.5,3.3,3.3,21400,70620.0,,,,,
2013-03-04,3.3,3.3,3.0,3.0,177800,533400.0,,,,,
2013-03-05,3.0,3.0,2.7,2.8,108700,304360.0,,,,,
2013-03-06,3.0,3.0,2.9,3.0,90000,270000.0,,,,,
2013-03-07,3.2,3.2,3.0,3.1,7200,22320.0,,,,,
2013-03-08,3.1,3.2,3.1,3.2,34100,109120.0,,,,,
2013-03-11,3.2,3.4,3.1,3.3,133800,441540.0,,,,,
2013-03-12,3.3,3.3,3.1,3.2,125500,401600.0,,,,,
2013-03-13,3.1,3.2,2.9,3.2,59300,189760.0,,,,,
2013-03-14,3.2,3.2,3.0,3.1,64000,198400.0,,,,,
2013-03-15,3.1,3.2,3.1,3.2,44100,141120.0,,,,,
2013-03-18,3.1,3.2,3.0,3.2,66100,211520.0,,,,,
2013-03-19,3.1,3.1,2.9,3.1,6600,20460.0,,,,,
2013-03-20,3.1,3.1,3.1,3.1,46000,142600.0,,,,,
