time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2010-06-21,16.23,18.39,16.23,18.33,1478250,27096322.5,,,,,,,,
2010-06-22,18.39,19.21,18.14,19.21,1570740,30173915.4,,,,,,,,
2010-06-23,20.17,20.17,19.98,20.17,1033400,20843678.0,,,,,,,,
2010-06-24,21.12,21.12,20.99,21.12,1115720,23564006.4,,,,,,,,
2010-06-25,20.93,22.13,20.29,21.31,1358250,28944307.5,,,,,,,,
2010-06-28,21.24,21.31,20.61,20.67,893030,18458930.1,,,,,,,,
2010-06-29,20.67,21.56,20.67,20.93,992320,20769257.6,,,,,,,,
2010-06-30,20.36,20.61,20.17,20.23,658390,13319229.7,,,,,,,,
2010-07-01,20.29,20.29,19.41,19.41,533300,10351353.0,,,,,,,,
2010-07-02,19.66,19.91,19.28,19.6,525430,10298428.0,,,,,,,,
2010-07-05,20.1,20.55,20.1,20.55,877300,18028515.0,,,,,,,,
2010-07-06,21.37,21.43,20.29,20.29,1672660,33938271.4,,,,,,,,
2010-07-07,20.93,20.93,19.6,19.91,549060,10931784.6,,,,,,,,
2010-07-08,20.36,20.48,19.28,19.66,686650,13499539.0,,,,,,,,
2010-07-09,19.53,19.79,19.09,19.09,526640,10053557.6,,,,,,,,
2010-07-12,19.15,19.6,19.15,19.53,416110,8126628.300000001,,,,,,,,
2010-07-13,19.98,20.29,19.53,19.98,412610,8243947.8,,,,,,,,
2010-07-14,19.98,20.23,19.34,19.34,381900,7385946.0,,,,,,,,
2010-07-15,19.53,19.91,19.34,19.34,734300,14201362.0,,,,,,,,
2010-07-16,19.02,19.34,18.96,19.28,387530,7471578.4,,,,,,,,
2010-07-19,19.02,19.34,18.9,19.02,292080,5555361.6,,,,,,,,
2010-07-20,19.21,19.21,18.83,18.83,292280,5503632.399999999,,,,,,,,
2010-07-21,19.47,19.47,18.9,18.96,562720,10669171.2,,,,,,,,
2010-07-22,18.96,18.96,18.2,18.33,480860,8814163.799999999,,,,,,,,
2010-07-23,18.39,18.77,17.88,18.77,653480,12265819.6,,,,,,,,
2010-07-26,19.28,19.53,19.02,19.28,1217400,23471472.0,,,,,,,,
2010-07-27,19.21,19.53,18.9,19.34,445940,8624479.6,,,,,,,,
2010-07-28,19.41,19.41,18.52,18.52,322430,5971403.6,,,,,,,,
2010-07-29,18.07,18.83,18.07,18.64,314280,5858179.2,,,,,,,,
2010-07-30,18.96,19.21,18.9,18.96,754010,14296029.6,,,,,,,,
2010-08-02,19.09,19.09,18.07,18.58,490040,9104943.2,,,,,,,,
2010-08-03,18.52,18.77,18.33,18.39,331030,6087641.7,,,,,,,,
2010-08-04,18.01,18.45,17.5,17.5,735560,12872300.0,,,,,,,,
2010-08-05,17.69,17.69,16.87,16.87,188400,3178308.0,,,,,,,,
2010-08-06,16.87,17.12,16.36,16.36,143910,2354367.6,,,,,,,,
2010-08-09,16.04,16.49,15.6,15.6,512600,7996560.0,,,,,,,,
2010-08-10,14.97,15.09,14.84,14.84,168880,2506179.2,,,,,,,,
2010-08-11,14.59,15.16,14.14,14.21,322830,4587414.3,,,,,,,,
2010-08-12,13.57,13.57,13.51,13.51,157810,2132013.1,,,,,,,,
2010-08-13,12.94,14.14,12.87,13.76,467940,6438854.399999999,,,,,,,,
2010-08-16,14.4,14.4,13.95,14.4,113530,1634832.0,,,,,,,,
2010-08-17,15.03,15.09,14.4,15.09,607180,9162346.2,,,,,,,,
2010-08-18,15.22,15.79,14.52,15.09,684000,10321560.0,,,,,,,,
2010-08-19,15.03,15.22,14.4,14.59,176600,2576594.0,,,,,,,,
2010-08-20,14.84,15.28,13.89,15.28,331890,5071279.2,,,,,,,,
2010-08-23,14.65,14.65,14.52,14.52,159670,2318408.4,,,,,,,,
2010-08-24,13.95,13.95,13.82,13.82,443310,6126544.2,,,,,,,,
2010-08-25,13.32,13.38,13.19,13.19,323500,4266965.0,,,,,,,,
2010-08-26,13.19,13.44,12.56,12.62,192670,2431495.4,,,,,,,,
2010-08-27,12.18,12.81,12.05,12.62,208980,2637327.6,,,,,,,,
2010-08-30,13.19,13.19,13.19,13.19,51330,677042.7,,,,,,,,
2010-08-31,13.82,13.82,13.63,13.82,175730,2428588.6,,,,,,,,
2010-09-01,14.46,14.46,14.33,14.46,720170,10413658.2,,,,,,,,
2010-09-06,15.16,15.16,15.09,15.16,993570,15062521.2,,,,,,,,
2010-09-07,15.47,15.85,15.16,15.85,884040,14012034.0,,,,,,,,
2010-09-08,15.85,16.17,15.22,15.85,491890,7796456.5,,,,,,,,
2010-09-09,16.49,16.49,15.6,15.85,489670,7761269.5,,,,,,,,
2010-09-10,15.54,15.92,15.09,15.09,593410,8954556.9,,,,,,,,
2010-09-13,14.46,15.66,14.4,14.4,580980,8366112.0,,,,,,,,
2010-09-14,14.4,14.59,13.95,14.33,216020,3095566.6,,,,,,,,
2010-09-15,13.76,14.46,13.63,13.76,174660,2403321.6,,,,,,,,
2010-09-16,14.08,14.33,13.38,14.01,237410,3326114.1,,,,,,,,
2010-09-17,14.59,14.71,14.46,14.71,500290,7359265.9,,,,,,,,
2010-09-20,15.41,15.41,14.9,14.97,234000,3502980.0,,,,,,,,
2010-09-21,14.4,14.97,14.4,14.46,170500,2465430.0,,,,,,,,
2010-09-22,14.33,14.59,14.14,14.33,204720,2933637.6,,,,,,,,
2010-09-23,13.95,14.4,13.7,13.95,191510,2671564.5,,,,,,,,
2010-09-24,14.27,14.27,13.89,14.01,133960,1876779.6,,,,,,,,
2010-09-27,13.76,14.27,13.7,13.76,67090,923158.4,,,,,,,,
2010-09-28,14.33,14.33,13.82,13.89,71060,987023.4,,,,,,,,
