time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2013-01-02,6.853,6.853,6.853,6.853,11040,75657.12,,,,,,,,
2013-01-03,7.124,7.124,6.943,7.034,705100,4959673.399999999,,,,,,,,
2013-01-04,6.943,7.305,6.943,7.305,393280,2872910.4,,,,,,,,
2013-01-07,7.124,7.484,7.124,7.214,247180,1783156.52,,,,,,,,
2013-01-08,7.034,7.214,7.034,7.124,242200,1725432.7999999998,,,,,,,,
2013-01-09,7.034,7.214,6.853,6.853,386770,2650534.81,,,,,,,,
2013-01-10,6.853,6.853,6.583,6.853,387590,2656154.27,,,,,,,,
2013-01-11,6.943,6.943,6.583,6.583,214110,1409486.13,,,,,,,,
2013-01-14,6.493,6.673,6.402,6.673,77000,513821.0,,,,,,,,
2013-01-15,6.673,7.124,6.583,7.124,367120,2615362.88,,,,,,,,
2013-01-16,6.943,7.305,6.943,7.124,212110,1511071.64,,,,,,,,
2013-01-17,7.124,7.214,6.943,7.124,133610,951837.64,,,,,,,,
2013-01-18,7.034,7.124,6.853,7.034,77490,545064.66,,,,,,,,
2013-01-21,7.034,7.034,6.764,6.853,84360,578119.08,,,,,,,,
2013-01-22,6.943,6.943,6.583,6.673,53780,358873.94,,,,,,,,
2013-01-23,6.764,6.853,6.493,6.673,17970,119913.81,,,,,,,,
2013-01-24,6.402,6.673,6.402,6.402,43260,276950.52,,,,,,,,
2013-01-25,6.673,6.673,6.493,6.673,23290,155414.17,,,,,,,,
2013-01-28,6.673,6.764,6.673,6.673,59600,397710.8,,,,,,,,
2013-01-29,6.583,6.583,6.312,6.312,58020,366222.24,,,,,,,,
2013-01-30,6.493,6.583,6.222,6.583,21180,139427.94,,,,,,,,
2013-01-31,6.493,6.583,6.312,6.583,19440,127973.52,,,,,,,,
2013-02-01,6.312,6.583,6.312,6.583,20400,134293.2,,,,,,,,
2013-02-04,6.493,6.583,6.402,6.583,19370,127512.71,,,,,,,,
2013-02-05,6.312,6.583,6.312,6.493,3870,25127.91,,,,,,,,
2013-02-06,6.583,6.583,6.493,6.583,35400,233038.2,,,,,,,,
2013-02-07,6.583,6.943,6.493,6.943,153560,1066167.0799999998,,,,,,,,
2013-02-08,7.034,7.214,6.943,7.124,91400,651133.6,,,,,,,,
2013-02-18,7.214,7.214,6.853,7.214,111940,807535.16,,,,,,,,
2013-02-19,7.305,7.305,6.943,7.124,58300,415329.2,,,,,,,,
2013-02-20,7.034,7.124,6.853,7.034,65970,464032.98,,,,,,,,
2013-02-21,6.853,7.034,6.583,6.583,98830,650597.89,,,,,,,,
2013-02-22,6.583,6.764,6.493,6.583,23730,156214.59,,,,,,,,
2013-02-25,6.493,6.673,6.493,6.583,41420,272667.86,,,,,,,,
2013-02-26,6.583,6.583,6.132,6.402,74770,478677.54,,,,,,,,
2013-02-27,6.132,6.493,6.132,6.402,48080,307808.16000000003,,,,,,,,
2013-02-28,6.764,6.764,6.764,6.764,208670,1411443.88,,,,,,,,
2013-03-01,7.214,7.214,6.764,6.764,129050,872894.2000000001,,,,,,,,
2013-03-04,6.764,6.764,6.312,6.402,80440,514976.88,,,,,,,,
2013-03-05,6.312,6.312,6.042,6.042,65140,393575.88,,,,,,,,
2013-03-06,6.222,6.222,5.861,6.132,70950,435065.4,,,,,,,,
2013-03-07,6.132,6.132,5.951,5.951,80880,481316.88,,,,,,,,
2013-03-08,6.042,6.042,6.042,6.042,32970,199204.74,,,,,,,,
2013-03-11,6.042,6.402,6.042,6.402,71690,458959.38,,,,,,,,
2013-03-12,6.402,6.402,6.312,6.402,47210,302238.42,,,,,,,,
2013-03-13,6.402,6.402,6.222,6.312,18200,114878.4,,,,,,,,
2013-03-14,6.312,6.493,6.222,6.493,45040,292444.72000000003,,,,,,,,
2013-03-15,6.402,6.402,6.222,6.402,27150,173814.30000000002,,,,,,,,
2013-03-18,6.312,6.402,6.312,6.402,7660,49039.32,,,,,,,,
2013-03-19,6.312,6.312,6.222,6.312,39820,251343.84,,,,,,,,
2013-03-20,6.312,6.312,6.222,6.222,43190,268728.18,,,,,,,,
2013-03-21,6.222,6.312,6.222,6.312,15690,99035.28,,,,,,,,
2013-03-22,6.222,6.222,6.132,6.222,8900,55375.8,,,,,,,,
2013-03-25,6.042,6.222,5.951,6.222,17110,106458.42,,,,,,,,
2013-03-26,6.222,6.312,6.132,6.312,25530,161145.36000000002,,,,,,,,
2013-03-27,6.222,6.312,6.222,6.312,39430,248882.16,,,,,,,,
2013-03-28,6.312,6.402,6.132,6.312,80090,505528.08,,,,,,,,
2013-03-29,6.222,6.312,6.222,6.312,26760,168909.12,,,,,,,,
2013-04-01,6.312,6.402,6.312,6.312,16770,105852.24,,,,,,,,
2013-04-02,6.222,6.402,6.222,6.312,37480,236573.76,,,,,,,,
2013-04-03,6.402,6.402,6.222,6.312,26970,170234.64,,,,,,,,
2013-04-04,6.402,6.402,6.222,6.312,42290,266934.48000000004,,,,,,,,
2013-04-05,6.312,6.402,6.312,6.402,10540,67477.08,,,,,,,,
2013-04-08,6.312,6.493,6.312,6.493,17840,115835.12,,,,,,,,
2013-04-09,6.493,6.493,6.222,6.493,15850,102914.05,,,,,,,,
2013-04-10,6.583,6.673,6.402,6.583,65710,432568.93,,,,,,,,
2013-04-11,6.312,6.583,6.312,6.583,14830,97625.89,,,,,,,,
2013-04-12,6.583,6.583,6.312,6.583,110620,728211.46,,,,,,,,
2013-04-15,6.493,6.493,6.402,6.402,57180,366066.36,,,,,,,,
2013-04-16,6.402,6.493,6.312,6.493,31220,202711.46,,,,,,,,
2013-04-17,6.493,6.493,6.312,6.493,3360,21816.48,,,,,,,,
2013-04-18,6.402,6.493,6.222,6.312,29810,188160.72,,,,,,,,
2013-04-22,6.402,6.402,6.222,6.222,21630,134581.86000000002,,,,,,,,
2013-04-23,6.222,6.222,6.132,6.222,119010,740480.2200000001,,,,,,,,
2013-04-24,6.222,6.222,6.132,6.222,60100,373942.2,,,,,,,,
2013-04-25,6.222,6.312,6.132,6.312,36310,229188.72,,,,,,,,
2013-04-26,6.312,6.312,6.132,6.222,31630,196801.86,,,,,,,,
2013-05-02,6.132,6.222,6.132,6.222,20020,124564.44,,,,,,,,
2013-05-03,6.132,6.222,6.132,6.222,90610,563775.42,,,,,,,,
2013-05-06,6.222,6.312,6.132,6.222,144810,901007.82,,,,,,,,
2013-05-07,6.222,6.222,6.132,6.132,29600,181507.2,,,,,,,,
