time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2013-01-02,10.035,10.429,9.996,10.429,58810,613329.49,,,,,,,,
2013-01-03,10.429,10.783,10.429,10.508,16460,172961.68,,,,,,,,
2013-01-04,10.547,10.626,10.232,10.508,38630,405924.04,,,,,,,,
2013-01-07,10.35,10.822,10.35,10.429,23940,249670.26,,,,,,,,
2013-01-08,10.468,10.508,10.114,10.114,25270,255580.78000000003,,,,,,,,
2013-01-09,10.153,10.429,10.153,10.193,17440,177765.91999999998,,,,,,,,
2013-01-10,10.429,10.429,10.232,10.271,1410,14482.11,,,,,,,,
2013-01-11,10.508,10.508,10.271,10.389,6230,64723.47,,,,,,,,
2013-01-14,10.389,10.389,10.153,10.153,17990,182652.47,,,,,,,,
2013-01-15,10.153,10.153,10.153,10.153,5540,56247.62,,,,,,,,
2013-01-16,10.311,10.429,10.271,10.311,24440,252000.84,,,,,,,,
2013-01-17,10.311,10.311,10.232,10.271,4120,42316.52,,,,,,,,
2013-01-18,10.232,10.232,10.153,10.232,4030,41234.96,,,,,,,,
2013-01-21,10.389,10.389,10.389,10.389,100,1038.9,,,,,,,,
2013-01-22,10.744,10.744,10.35,10.35,57590,596056.5,,,,,,,,
2013-01-23,10.35,10.389,10.35,10.35,13500,139725.0,,,,,,,,
2013-01-24,10.35,10.429,10.232,10.429,530,5527.37,,,,,,,,
2013-01-25,10.429,10.586,10.429,10.429,43740,456164.46,,,,,,,,
2013-01-28,10.429,11.098,10.429,10.822,108070,1169533.5399999998,,,,,,,,
2013-01-29,10.822,11.098,10.822,11.019,30970,341258.43,,,,,,,,
2013-01-30,11.019,11.019,10.783,10.98,20910,229591.8,,,,,,,,
2013-01-31,10.783,10.822,10.626,10.626,43870,466162.62,,,,,,,,
2013-02-01,10.468,10.586,10.468,10.586,8900,94215.4,,,,,,,,
2013-02-04,10.744,10.94,10.704,10.822,9140,98913.08,,,,,,,,
2013-02-05,10.822,10.901,10.704,10.822,8730,94476.06,,,,,,,,
2013-02-06,10.704,10.862,10.704,10.862,9120,99061.44,,,,,,,,
2013-02-07,10.94,10.94,10.901,10.94,4800,52512.0,,,,,,,,
2013-02-08,10.98,11.019,10.98,11.019,11440,126057.36,,,,,,,,
2013-02-18,11.019,11.767,11.019,11.531,50620,583699.22,,,,,,,,
2013-02-19,12.2,12.318,11.57,12.16,46190,561670.4,,,,,,,,
2013-02-20,12.16,12.2,11.806,12.16,29180,354828.8,,,,,,,,
2013-02-21,11.885,12.042,11.334,11.334,57110,647284.74,,,,,,,,
2013-02-22,11.334,11.924,10.901,11.019,25490,280874.31,,,,,,,,
2013-02-25,11.688,11.688,11.019,11.57,3350,38759.5,,,,,,,,
2013-02-26,11.216,11.216,10.98,10.98,42480,466430.4,,,,,,,,
2013-02-27,10.98,11.058,10.862,11.058,5920,65463.36,,,,,,,,
2013-02-28,11.216,11.413,11.137,11.373,3090,35142.57,,,,,,,,
2013-03-01,11.373,11.452,11.373,11.452,15310,175330.12,,,,,,,,
2013-03-04,11.452,11.609,11.295,11.295,9030,101993.85,,,,,,,,
2013-03-05,11.688,11.688,11.295,11.295,29520,333428.4,,,,,,,,
2013-03-06,11.767,11.767,11.767,11.767,2000,23534.0,,,,,,,,
2013-03-07,11.806,12.003,11.609,11.964,24560,293835.84,,,,,,,,
2013-03-08,11.964,12.79,11.964,12.711,59250,753126.75,,,,,,,,
2013-03-11,12.79,13.577,12.79,13.538,190640,2580884.32,,,,,,,,
2013-03-12,13.774,14.482,13.774,14.364,57420,824780.88,,,,,,,,
2013-03-13,14.915,15.033,14.167,14.679,38180,560444.22,,,,,,,,
2013-03-14,14.561,14.994,14.561,14.955,81450,1218084.75,,,,,,,,
2013-03-15,15.112,15.978,15.112,15.978,92390,1476207.42,,,,,,,,
2013-03-18,15.978,17.08,15.702,15.781,52120,822505.7200000001,,,,,,,,
2013-03-19,15.781,16.529,15.781,16.293,18100,294903.3,,,,,,,,
2013-03-20,16.371,16.529,15.191,16.293,46270,753877.11,,,,,,,,
2013-03-21,16.293,16.529,16.293,16.489,37480,618007.72,,,,,,,,
2013-03-22,16.135,16.135,15.348,15.348,14600,224080.8,,,,,,,,
2013-03-25,14.955,15.348,14.286,14.561,20210,294277.81,,,,,,,,
2013-03-26,14.561,15.348,14.561,15.348,40110,615608.28,,,,,,,,
2013-03-27,15.545,15.545,14.758,14.758,16140,238194.12,,,,,,,,
2013-03-28,15.387,15.387,14.758,15.348,5330,81804.84000000001,,,,,,,,
2013-03-29,14.561,15.348,14.443,14.6,14810,216226.0,,,,,,,,
2013-04-01,14.561,14.955,14.246,14.955,6850,102441.75,,,,,,,,
2013-04-02,14.955,15.23,14.836,15.23,3300,50259.0,,,,,,,,
2013-04-03,15.19,15.435,14.985,14.985,5090,76273.65,,,,,,,,
2013-04-04,14.862,15.108,14.739,15.108,8910,134612.28,,,,,,,,
2013-04-05,15.026,15.558,14.985,15.558,14270,222012.66,,,,,,,,
2013-04-08,15.558,16.172,15.558,15.968,7700,122953.6,,,,,,,,
2013-04-09,15.558,15.804,15.19,15.763,2480,39092.24,,,,,,,,
2013-04-10,16.131,16.131,15.763,15.763,7450,117434.35,,,,,,,,
2013-04-11,15.558,15.927,15.558,15.681,1050,16465.05,,,,,,,,
2013-04-12,15.558,15.558,15.435,15.558,3370,52430.46,,,,,,,,
2013-04-15,15.558,15.722,14.739,14.739,8690,128081.91,,,,,,,,
2013-04-16,15.313,15.353,14.657,15.067,3150,47461.05,,,,,,,,
2013-04-17,15.149,15.353,15.149,15.272,4510,68876.72,,,,,,,,
2013-04-18,15.149,15.149,14.739,14.78,5610,82915.8,,,,,,,,
2013-04-22,14.78,15.149,14.084,15.149,2600,39387.4,,,,,,,,
2013-04-23,15.64,15.64,15.64,15.64,360,5630.400000000001,,,,,,,,
2013-04-24,15.149,15.599,15.149,15.599,510,7955.49,,,,,,,,
2013-04-25,15.353,15.476,15.149,15.476,1600,24761.6,,,,,,,,
2013-04-26,15.476,15.476,14.739,15.026,11080,166488.08,,,,,,,,
2013-05-02,14.739,14.862,14.576,14.657,4520,66249.64,,,,,,,,
2013-05-03,14.002,15.149,14.002,15.149,2640,39993.36,,,,,,,,
2013-05-06,14.739,15.517,14.739,15.476,2740,42404.240000000005,,,,,,,,
2013-05-07,14.739,14.862,14.412,14.412,10390,149740.68000000002,,,,,,,,
2013-05-08,14.657,14.739,14.453,14.739,18400,271197.60000000003,,,,,,,,
2013-05-09,14.739,15.313,14.739,14.944,14070,210262.08,,,,,,,,
2013-05-10,14.371,14.944,14.371,14.944,20740,309938.56,,,,,,,,
2013-05-13,14.739,15.067,14.739,15.067,30,452.01,,,,,,,,
2013-05-14,14.535,14.535,14.535,14.535,6720,97675.2,,,,,,,,
2013-05-15,14.33,14.944,14.33,14.944,5560,83088.64,,,,,,,,
2013-05-16,14.944,14.944,14.944,14.944,40,597.76,,,,,,,,
2013-05-17,14.453,14.453,14.453,14.453,1510,21824.03,,,,,,,,
2013-05-20,14.453,14.944,14.453,14.576,2490,36294.24,,,,,,,,
2013-05-21,14.944,14.944,14.944,14.944,10,149.44,,,,,,,,
2013-05-22,14.371,15.067,14.371,14.739,4540,66915.06,,,,,,,,
2013-05-23,15.763,15.763,14.739,14.739,7510,110689.89,,,,,,,,
2013-05-24,14.944,14.944,14.944,14.944,2000,29888.0,,,,,,,,
2013-05-27,14.453,15.149,14.412,15.149,5920,89682.08,,,,,,,,
2013-05-28,15.149,15.149,14.33,14.944,5920,88468.48000000001,,,,,,,,
2013-05-29,15.067,15.108,14.657,14.657,22390,328170.23,,,,,,,,
2013-05-30,14.78,14.985,14.453,14.739,5130,75611.07,,,,,,,,
2013-05-31,14.78,14.78,14.617,14.617,16760,244980.92,,,,,,,,
2013-06-03,14.494,14.535,14.33,14.33,40040,573773.2,,,,,,,,
2013-06-04,14.125,14.535,14.125,14.125,12260,173172.5,,,,,,,,
2013-06-05,14.125,14.535,14.125,14.535,16310,237065.85,,,,,,,,
2013-06-06,14.33,14.33,14.043,14.043,130,1825.59,,,,,,,,
2013-06-07,13.961,14.043,13.92,14.002,16330,228652.66,,,,,,,,
2013-06-10,14.002,14.698,14.002,14.125,530,7486.25,,,,,,,,
2013-06-11,14.33,14.576,14.207,14.576,16150,235402.4,,,,,,,,
2013-06-12,14.617,15.558,14.617,15.558,62550,973152.9,,,,,,,,
2013-06-13,15.763,16.623,15.763,16.623,61850,1028132.55,,,,,,,,
2013-06-14,17.196,17.196,16.213,16.377,2160,35374.32,,,,,,,,
2013-06-17,15.968,15.968,15.231,15.394,14190,218440.86,,,,,,,,
2013-06-18,14.698,15.599,14.698,14.985,3760,56343.6,,,,,,,,
2013-06-19,15.394,15.394,15.394,15.394,20,307.88,,,,,,,,
2013-06-20,14.576,15.149,14.576,15.149,7130,108012.37,,,,,,,,
2013-06-21,14.739,15.149,14.33,15.149,28540,432352.46,,,,,,,,
2013-06-24,14.739,15.149,14.453,15.149,3450,52264.05,,,,,,,,
2013-06-25,14.739,15.067,14.494,15.067,5010,75485.67,,,,,,,,
2013-06-26,15.067,15.149,14.739,15.067,8150,122796.05,,,,,,,,
2013-06-27,15.19,15.353,14.739,15.313,3930,60180.09,,,,,,,,
2013-06-28,15.681,15.681,15.64,15.64,3540,55365.6,,,,,,,,
2013-07-01,14.698,15.64,14.698,15.558,1600,24892.8,,,,,,,,
2013-07-02,15.64,15.64,15.64,15.64,20,312.8,,,,,,,,
2013-07-03,15.558,15.599,15.558,15.599,3220,50228.78,,,,,,,,
2013-07-04,14.78,15.558,14.78,15.558,4270,66432.66,,,,,,,,
2013-07-05,15.558,15.558,15.558,15.558,0,0.0,,,,,,,,
2013-07-08,14.821,15.517,14.821,15.517,1010,15672.17,,,,,,,,
2013-07-09,15.149,15.435,14.739,15.435,9820,151571.7,,,,,,,,
2013-07-10,15.353,15.353,14.944,15.353,330,5066.49,,,,,,,,
2013-07-11,15.394,15.394,15.394,15.394,20,307.88,,,,,,,,
2013-07-12,14.903,15.353,14.903,15.149,980,14846.02,,,,,,,,
2013-07-15,15.19,15.353,14.862,14.862,2280,33885.36,,,,,,,,
2013-07-16,15.149,15.353,15.108,15.353,21000,322413.0,,,,,,,,
2013-07-17,15.067,15.353,15.026,15.353,8200,125894.6,,,,,,,,
2013-07-18,15.149,15.353,14.944,15.353,4770,73233.81,,,,,,,,
2013-07-19,15.763,16.418,15.763,16.418,35250,578734.5,,,,,,,,
2013-07-22,16.5,16.582,16.172,16.213,11260,182558.38,,,,,,,,
2013-07-23,16.009,16.336,15.968,16.213,7880,127758.44,,,,,,,,
2013-07-24,15.968,16.295,15.968,16.295,23320,379999.4,,,,,,,,
2013-07-25,16.377,17.401,16.377,17.401,32330,562574.33,,,,,,,,
2013-07-26,17.401,18.588,17.401,17.605,50670,892045.35,,,,,,,,
2013-07-29,17.196,18.793,17.196,17.278,6780,117144.84,,,,,,,,
2013-07-30,17.319,18.465,17.237,18.465,31500,581647.5,,,,,,,,
2013-07-31,18.793,19.734,18.793,19.571,38730,757984.8300000001,,,,,,,,
2013-08-01,19.571,20.062,18.834,19.038,24460,465669.48,,,,,,,,
2013-08-02,20.185,20.185,19.12,19.898,3240,64469.52,,,,,,,,
2013-08-05,19.898,20.185,18.834,19.939,10100,201383.9,,,,,,,,
2013-08-06,19.898,20.676,19.898,20.43,12290,251084.7,,,,,,,,
2013-08-07,20.471,21.7,20.308,20.308,59980,1218073.84,,,,,,,,
2013-08-08,21.7,21.7,20.267,20.471,26700,546575.7,,,,,,,,
2013-08-09,21.7,21.904,21.495,21.904,18720,410042.88,,,,,,,,
2013-08-12,21.904,23.337,21.904,23.337,52890,1234293.93,,,,,,,,
2013-08-13,24.566,24.566,22.518,23.747,16210,384938.87,,,,,,,,
2013-08-14,22.928,25.18,22.928,24.566,26410,648788.0599999999,,,,,,,,
2013-08-15,24.566,26.203,23.337,25.794,60810,1568533.14,,,,,,,,
2013-08-16,25.794,26.203,24.566,25.794,64570,1665518.58,,,,,,,,
2013-08-19,24.566,27.227,24.566,27.022,95300,2575196.6,,,,,,,,
2013-08-20,25.794,27.432,25.794,27.022,74880,2023407.36,,,,,,,,
2013-08-21,26.613,26.817,25.794,26.817,49730,1333609.41,,,,,,,,
2013-08-22,25.589,27.022,25.589,26.817,80840,2167886.28,,,,,,,,
2013-08-23,25.794,26.613,25.18,26.613,27710,737446.23,,,,,,,,
2013-08-26,26.404,26.823,25.985,26.823,3800,101927.4,,,,,,,,
2013-08-27,25.775,26.823,25.775,26.823,11410,306050.43,,,,,,,,
2013-08-28,25.775,25.775,25.146,25.146,156490,3935097.54,,,,,,,,
2013-08-29,23.47,23.47,23.47,23.47,160,3755.2,,,,,,,,
2013-08-30,22.003,23.47,22.003,22.003,14180,312002.54,,,,,,,,
2013-09-03,23.051,23.051,20.955,23.051,2060,47485.06,,,,,,,,
2013-09-04,23.051,23.889,22.213,23.051,1700,39186.7,,,,,,,,
2013-09-05,23.051,23.47,23.051,23.47,630,14786.1,,,,,,,,
2013-09-06,22.003,23.47,22.003,22.632,2670,60427.44,,,,,,,,
2013-09-09,23.26,23.889,21.584,22.632,980,22179.36,,,,,,,,
2013-09-10,21.584,23.889,21.165,21.584,7120,153678.08,,,,,,,,
2013-09-11,21.584,22.841,20.075,22.213,2910,64639.83,,,,,,,,
2013-09-12,22.841,22.841,21.794,21.794,1570,34216.58,,,,,,,,
2013-09-13,21.165,21.794,20.536,21.584,12800,276275.2,,,,,,,,
2013-09-16,20.536,21.165,20.075,20.075,24440,490633.0,,,,,,,,
2013-09-17,18.776,21.374,18.776,21.374,19130,408884.62,,,,,,,,
2013-09-18,20.955,21.794,20.955,21.374,2890,61770.85999999999,,,,,,,,
2013-09-19,20.955,21.165,20.955,20.955,9300,194881.5,,,,,,,,
2013-09-20,20.955,20.955,20.955,20.955,550,11525.249999999998,,,,,,,,
2013-09-23,20.955,21.794,20.913,21.794,5520,120302.88,,,,,,,,
2013-09-24,21.794,23.051,21.794,22.213,2660,59086.58,,,,,,,,
2013-09-25,21.165,21.794,20.955,20.955,5690,119233.95,,,,,,,,
2013-09-26,19.908,20.955,19.908,20.411,10930,223092.23,,,,,,,,
2013-09-27,20.201,21.584,20.117,20.201,5020,101409.02,,,,,,,,
2013-09-30,20.201,20.536,19.489,19.95,9480,189126.0,,,,,,,,
2013-10-01,19.95,20.955,19.95,20.913,6190,129451.47,,,,,,,,
2013-10-02,20.955,21.374,20.578,21.165,7010,148366.65,,,,,,,,
2013-10-03,20.746,21.165,20.536,20.955,3720,77952.59999999999,,,,,,,,
2013-10-04,19.95,20.955,19.95,20.62,1880,38765.6,,,,,,,,
2013-10-07,20.955,21.165,20.536,20.62,6290,129699.8,,,,,,,,
2013-10-08,20.955,21.374,20.746,20.955,13440,281635.19999999995,,,,,,,,
2013-10-09,20.117,20.955,20.117,20.746,8410,174473.86,,,,,,,,
2013-10-10,20.746,22.003,20.746,22.003,30370,668231.11,,,,,,,,
2013-10-11,21.165,22.632,21.165,22.632,6130,138734.16,,,,,,,,
2013-10-14,23.47,23.47,22.422,22.632,26840,607442.88,,,,,,,,
2013-10-15,23.051,23.051,22.422,22.841,16900,386012.9,,,,,,,,
2013-10-16,23.051,23.47,22.841,23.051,8270,190631.77,,,,,,,,
2013-10-17,23.051,23.051,22.213,23.051,5240,120787.24,,,,,,,,
2013-10-18,22.632,23.051,22.213,23.051,5160,118943.16,,,,,,,,
2013-10-21,22.213,22.841,22.003,22.841,10020,228866.82,,,,,,,,
2013-10-22,22.003,22.422,22.003,22.422,1670,37444.74,,,,,,,,
2013-10-23,23.051,23.889,23.051,23.889,59630,1424501.07,,,,,,,,
2013-10-24,23.051,24.308,23.051,23.68,3360,79564.8,,,,,,,,
2013-10-25,23.051,23.47,23.051,23.47,4330,101625.1,,,,,,,,
2013-10-28,23.47,24.308,23.051,23.26,8440,196314.4,,,,,,,,
2013-10-29,22.422,24.099,22.422,23.26,5150,119789.0,,,,,,,,
2013-10-30,24.308,24.308,22.841,23.051,4160,95892.16,,,,,,,,
2013-10-31,22.841,23.26,22.841,23.26,2800,65128.00000000001,,,,,,,,
2013-11-01,23.051,23.26,22.841,23.051,4460,102807.46,,,,,,,,
2013-11-04,23.051,23.47,23.051,23.47,7770,182361.9,,,,,,,,
2013-11-05,23.051,23.47,23.051,23.47,7870,184708.9,,,,,,,,
2013-11-06,23.26,23.889,23.26,23.26,2800,65128.00000000001,,,,,,,,
2013-11-07,23.26,23.47,23.051,23.47,7860,184474.2,,,,,,,,
2013-11-08,23.889,23.889,23.47,23.47,960,22531.2,,,,,,,,
2013-11-11,23.47,23.889,23.051,23.889,3810,91017.09,,,,,,,,
2013-11-12,23.051,23.26,22.632,22.841,11630,265640.83,,,,,,,,
2013-11-13,22.841,23.26,22.632,23.26,970,22562.2,,,,,,,,
2013-11-14,22.632,22.841,22.632,22.841,2620,59843.420000000006,,,,,,,,
2013-11-15,22.632,23.051,22.632,22.841,1550,35403.55,,,,,,,,
2013-11-18,22.632,23.051,22.213,23.051,2120,48868.12,,,,,,,,
2013-11-19,22.632,23.051,22.422,23.051,5370,123783.87,,,,,,,,
2013-11-20,22.632,22.841,22.632,22.841,1510,34489.91,,,,,,,,
2013-11-21,22.841,23.26,22.632,23.26,5580,129790.8,,,,,,,,
2013-11-22,22.632,23.26,22.632,23.26,5590,130023.4,,,,,,,,
2013-11-25,22.632,23.26,22.632,23.26,1560,36285.600000000006,,,,,,,,
2013-11-26,23.26,23.26,22.841,23.051,4770,109953.27,,,,,,,,
2013-11-27,23.889,23.889,23.051,23.051,17140,395094.14,,,,,,,,
2013-11-28,22.632,22.632,22.632,22.632,710,16068.72,,,,,,,,
2013-11-29,22.632,23.47,22.632,22.632,8490,192145.68,,,,,,,,
2013-12-02,22.632,22.632,22.422,22.632,4270,96638.64,,,,,,,,
2013-12-03,22.632,22.632,22.422,22.632,11460,259362.72000000003,,,,,,,,
2013-12-04,22.632,22.632,22.422,22.422,7390,165698.58000000002,,,,,,,,
2013-12-05,22.422,22.422,22.213,22.213,10840,240788.92,,,,,,,,
2013-12-06,21.794,22.213,21.794,22.003,5490,120796.47,,,,,,,,
2013-12-09,21.794,22.213,21.165,21.165,5420,114714.3,,,,,,,,
2013-12-10,21.794,21.794,21.794,21.794,2090,45549.46,,,,,,,,
2013-12-11,21.374,21.794,21.374,21.794,3470,75625.18000000001,,,,,,,,
2013-12-12,21.584,21.794,21.584,21.794,900,19614.6,,,,,,,,
2013-12-13,21.794,23.26,21.794,22.003,1430,31464.29,,,,,,,,
2013-12-16,21.794,22.213,21.794,22.213,1350,29987.550000000003,,,,,,,,
2013-12-17,21.584,22.422,21.584,22.422,4650,104262.3,,,,,,,,
2013-12-18,22.213,22.213,22.213,22.213,260,5775.38,,,,,,,,
2013-12-19,22.422,22.632,22.422,22.422,1040,23318.88,,,,,,,,
2013-12-20,22.422,22.632,22.422,22.422,5130,115024.86,,,,,,,,
2013-12-23,22.632,22.632,22.632,22.632,4940,111802.08,,,,,,,,
2013-12-24,22.632,23.47,22.632,23.47,9340,219209.8,,,,,,,,
2013-12-25,23.051,23.47,23.051,23.26,5750,133745.0,,,,,,,,
2013-12-26,23.051,23.889,23.051,23.68,9900,234432.0,,,,,,,,
2013-12-27,23.68,25.146,23.47,23.889,10170,242951.13,,,,,,,,
2013-12-30,23.889,24.518,23.68,24.099,17300,416912.7,,,,,,,,
2013-12-31,23.889,24.518,23.889,24.308,2290,55665.32,,,,,,,,
2014-01-02,25.146,25.146,24.518,24.937,1250,31171.25,,,,,,,,
2014-01-03,24.937,24.937,23.68,24.518,7490,183639.82,,,,,,,,
2014-01-06,24.518,24.727,24.308,24.308,3850,93585.8,,,,,,,,
2014-01-07,24.308,24.727,23.889,24.727,2710,67010.17,,,,,,,,
2014-01-08,24.099,24.727,23.889,24.727,6720,166165.44,,,,,,,,
2014-01-09,24.099,24.727,24.099,24.727,9950,246033.65,,,,,,,,
2014-01-10,24.518,25.146,24.308,25.146,13850,348272.10000000003,,,,,,,,
2014-01-13,24.727,25.146,24.727,24.727,2220,54893.94,,,,,,,,
2014-01-14,25.985,25.985,24.727,24.727,9770,241582.79,,,,,,,,
2014-01-15,25.146,25.566,24.518,24.518,14590,357717.62,,,,,,,,
2014-01-16,24.518,24.937,24.308,24.727,1130,27941.51,,,,,,,,
2014-01-17,24.937,25.356,24.727,25.356,8200,207919.2,,,,,,,,
2014-01-20,25.146,25.775,24.727,24.727,19580,484154.66,,,,,,,,
2014-01-21,24.727,25.356,24.518,25.146,7820,196641.72,,,,,,,,
2014-01-22,24.727,25.356,24.727,24.937,12260,305727.62,,,,,,,,
2014-01-23,24.727,25.146,23.47,24.308,32430,788308.44,,,,,,,,
2014-01-24,23.889,24.099,23.889,24.099,2680,64585.32,,,,,,,,
2014-01-27,23.47,24.308,23.47,24.099,4060,97841.94,,,,,,,,
2014-02-06,23.889,25.146,23.68,25.146,5630,141571.98,,,,,,,,
2014-02-07,24.099,25.146,24.099,24.937,1350,33664.950000000004,,,,,,,,
2014-02-10,24.308,24.727,23.889,24.727,4750,117453.25,,,,,,,,
