time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2016-11-07,9.49,9.49,9.49,9.49,200,1898.0,,,,,,,,
2016-11-08,9.734,9.734,9.734,9.734,700,6813.8,,,,,,,,
2016-11-09,9.734,9.734,9.734,9.734,100,973.4,,,,,,,,
2016-11-10,9.734,9.977,9.734,9.977,4500,44896.5,,,,,,,,
2016-11-11,11.34,11.34,11.34,11.34,300,3402.0,,,,,,,,
2016-11-14,11.34,11.34,11.34,11.34,0,0.0,,,,,,,,
2016-11-15,11.34,11.34,11.34,11.34,0,0.0,,,,,,,,
2016-11-16,11.34,11.34,11.34,11.34,0,0.0,,,,,,,,
2016-11-17,9.685,9.685,9.685,9.685,100,968.5,,,,,,,,
2016-11-18,8.274,8.274,8.274,8.274,1700,14065.8,,,,,,,,
2016-11-21,7.057,7.057,7.057,7.057,100,705.7,,,,,,,,
2016-11-22,8.079,8.079,8.079,8.079,100,807.9000000000001,,,,,,,,
2016-11-23,8.079,8.079,8.079,8.079,0,0.0,,,,,,,,
2016-11-24,9.247,9.247,9.247,9.247,100,924.7,,,,,,,,
2016-11-25,9.247,9.247,7.884,7.884,200,1576.8000000000002,,,,,,,,
2016-11-28,9.685,9.685,9.685,9.685,100,968.5,,,,,,,,
2016-11-29,9.928,9.928,9.928,9.928,100,992.8,,,,,,,,
2016-11-30,10.172,10.172,10.172,10.172,100,1017.2,,,,,,,,
2016-12-01,10.172,10.172,10.172,10.172,0,0.0,,,,,,,,
2016-12-02,10.172,10.172,10.172,10.172,0,0.0,,,,,,,,
2016-12-05,10.172,10.172,10.172,10.172,0,0.0,,,,,,,,
2016-12-06,10.172,10.172,10.172,10.172,0,0.0,,,,,,,,
2016-12-07,10.172,10.172,10.172,10.172,0,0.0,,,,,,,,
2016-12-08,10.172,10.172,10.172,10.172,0,0.0,,,,,,,,
2016-12-09,8.663,8.663,8.663,8.663,100,866.3000000000001,,,,,,,,
2016-12-12,8.322,8.322,7.398,7.398,200,1479.6,,,,,,,,
2016-12-13,7.884,7.884,7.884,7.884,10,78.84,,,,,,,,
2016-12-14,7.884,7.884,7.884,7.884,0,0.0,,,,,,,,
2016-12-15,7.884,7.884,7.884,7.884,0,0.0,,,,,,,,
2016-12-16,8.76,8.955,6.716,8.955,300,2686.5,,,,,,,,
2016-12-19,8.712,8.712,8.712,8.712,100,871.1999999999999,,,,,,,,
2016-12-20,7.446,7.446,7.446,7.446,100,744.6,,,,,,,,
2016-12-21,8.517,8.517,8.517,8.517,100,851.6999999999999,,,,,,,,
2016-12-22,8.517,8.517,8.517,8.517,0,0.0,,,,,,,,
2016-12-23,9.636,9.636,7.544,7.544,200,1508.8,,,,,,,,
2016-12-26,9.685,9.685,9.685,9.685,100,968.5,,,,,,,,
2016-12-27,9.685,9.685,9.685,9.685,0,0.0,,,,,,,,
2016-12-28,8.274,8.274,8.274,8.274,1210,10011.54,,,,,,,,
2016-12-29,8.274,8.274,8.274,8.274,0,0.0,,,,,,,,
2016-12-30,8.274,8.274,8.274,8.274,0,0.0,,,,,,,,
2017-01-03,7.057,7.057,7.057,7.057,500,3528.5,,,,,,,,
2017-01-04,8.079,8.079,7.787,7.787,600,4672.2,,,,,,,,
2017-01-05,7.836,7.836,7.836,7.836,0,0.0,,,,,,,,
2017-01-06,7.836,7.836,7.836,7.836,0,0.0,,,,,,,,
2017-01-09,7.836,7.836,7.836,7.836,0,0.0,,,,,,,,
2017-01-10,6.668,6.668,6.668,6.668,100,666.8000000000001,,,,,,,,
2017-01-11,7.544,7.544,7.544,7.544,100,754.4,,,,,,,,
2017-01-12,7.982,7.982,7.982,7.982,100,798.2,,,,,,,,
2017-01-13,7.982,7.982,7.982,7.982,0,0.0,,,,,,,,
2017-01-16,7.982,7.982,7.982,7.982,0,0.0,,,,,,,,
2017-01-17,7.982,7.982,7.982,7.982,76,606.6320000000001,,,,,,,,
2017-01-18,7.982,7.982,7.982,7.982,0,0.0,,,,,,,,
2017-01-19,6.814,6.814,6.814,6.814,100,681.4,,,,,,,,
2017-01-20,6.814,6.814,6.814,6.814,0,0.0,,,,,,,,
2017-01-23,6.814,6.814,6.814,6.814,0,0.0,,,,,,,,
2017-01-24,6.814,6.814,6.814,6.814,0,0.0,,,,,,,,
2017-01-25,6.814,6.814,6.814,6.814,0,0.0,,,,,,,,
2017-02-02,6.814,6.814,6.814,6.814,0,0.0,,,,,,,,
2017-02-03,6.814,6.814,6.814,6.814,0,0.0,,,,,,,,
2017-02-06,6.814,6.814,6.814,6.814,0,0.0,,,,,,,,
2017-02-07,6.814,6.814,6.814,6.814,0,0.0,,,,,,,,
2017-02-08,6.814,6.814,6.814,6.814,0,0.0,,,,,,,,
2017-02-09,6.814,6.814,6.814,6.814,0,0.0,,,,,,,,
2017-02-10,6.814,6.814,6.814,6.814,0,0.0,,,,,,,,
2017-02-13,6.814,7.3,6.814,6.814,300,2044.2,,,,,,,,
2017-02-14,6.96,6.96,6.96,6.96,0,0.0,,,,,,,,
2017-02-15,6.96,6.96,6.96,6.96,0,0.0,,,,,,,,
2017-02-16,7.3,7.3,7.3,7.3,100,730.0,,,,,,,,
2017-02-17,7.3,7.3,7.3,7.3,100,730.0,,,,,,,,
2017-02-20,7.3,7.3,7.3,7.3,0,0.0,,,,,,,,
2017-02-21,7.3,7.3,7.3,7.3,0,0.0,,,,,,,,
2017-02-22,6.814,6.814,6.814,6.814,100,681.4,,,,,,,,
2017-02-23,6.814,6.814,6.814,6.814,0,0.0,,,,,,,,
2017-02-24,6.327,6.327,6.327,6.327,500,3163.5,,,,,,,,
2017-02-27,6.327,6.327,6.327,6.327,0,0.0,,,,,,,,
2017-02-28,6.327,6.327,6.327,6.327,0,0.0,,,,,,,,
2017-03-01,5.84,5.84,5.84,5.84,2000,11680.0,,,,,,,,
2017-03-02,5.84,5.84,5.84,5.84,0,0.0,,,,,,,,
2017-03-03,5.84,5.84,5.84,5.84,0,0.0,,,,,,,,
2017-03-06,5.84,5.84,5.84,5.84,600,3504.0,,,,,,,,
2017-03-07,5.84,5.84,5.84,5.84,0,0.0,,,,,,,,
2017-03-08,5.84,5.84,5.84,5.84,0,0.0,,,,,,,,
2017-03-09,5.84,5.84,5.84,5.84,0,0.0,,,,,,,,
2017-03-10,5.013,5.013,5.013,5.013,500,2506.5,,,,,,,,
2017-03-13,5.013,5.013,5.013,5.013,400,2005.2,,,,,,,,
2017-03-14,5.062,5.062,5.013,5.013,600,3007.8,,,,,,,,
2017-03-15,5.743,5.743,5.743,5.743,100,574.3000000000001,,,,,,,,
2017-03-16,6.57,6.57,6.57,6.57,100,657.0,,,,,,,,
2017-03-17,7.544,7.544,7.544,7.544,100,754.4,,,,,,,,
2017-03-20,8.663,8.663,8.517,8.663,938,8125.894,,,,,,,,
2017-03-21,8.614,8.614,8.614,8.614,0,0.0,,,,,,,,
2017-03-22,8.614,8.614,7.544,7.544,1400,10561.6,,,,,,,,
2017-03-23,6.522,6.522,6.522,6.522,2000,13044.0,,,,,,,,
2017-03-24,6.522,6.522,6.522,6.522,0,0.0,,,,,,,,
2017-03-27,7.495,7.495,7.495,7.495,100,749.5,,,,,,,,
2017-03-28,7.495,7.495,7.495,7.495,0,0.0,,,,,,,,
2017-03-29,7.495,7.495,7.495,7.495,0,0.0,,,,,,,,
2017-03-30,7.495,7.495,7.495,7.495,0,0.0,,,,,,,,
2017-03-31,7.495,7.495,7.495,7.495,0,0.0,,,,,,,,
2017-04-03,7.495,7.495,7.495,7.495,0,0.0,,,,,,,,
2017-04-04,7.495,7.495,7.495,7.495,0,0.0,,,,,,,,
2017-04-05,7.495,7.495,7.495,7.495,5,37.475,,,,,,,,
2017-04-07,7.495,7.495,7.495,7.495,5,37.475,,,,,,,,
2017-04-10,8.614,8.614,8.614,8.614,100,861.4000000000001,,,,,,,,
2017-04-11,8.614,8.614,8.614,8.614,0,0.0,,,,,,,,
2017-04-12,8.614,8.614,8.614,8.614,0,0.0,,,,,,,,
2017-04-13,8.614,8.614,8.614,8.614,0,0.0,,,,,,,,
