time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2016-12-06,49.341,49.341,49.341,49.341,3010,148516.41,,,,,,,,
2016-12-07,52.78,52.78,52.78,52.78,30,1583.4,,,,,,,,
2016-12-08,56.443,56.443,56.443,56.443,1000,56443.0,,,,,,,,
2016-12-09,56.443,60.368,56.443,60.368,3010,181707.68,,,,,,,,
2016-12-12,64.592,64.592,64.592,64.592,35690,2305288.48,,,,,,,,
2016-12-13,69.077,69.077,69.077,69.077,96830,6688725.91,,,,,,,,
2016-12-14,73.899,73.899,73.899,73.899,154380,11408527.62,,,,,,,,
2016-12-15,79.058,79.058,78.497,79.058,380050,30045992.9,,,,,,,,
2016-12-16,84.59,84.59,74.759,84.104,387520,32591982.08,,,,,,,,
2016-12-19,79.245,84.104,79.245,79.245,168190,13328216.55,,,,,,,,
2016-12-20,78.871,79.058,73.712,73.712,399710,29463423.52,,,,,,,,
2016-12-21,73.712,76.067,69.152,75.058,241750,18145271.5,,,,,,,,
2016-12-22,78.46,78.46,75.88,75.88,52460,3980664.8,,,,,,,,
2016-12-23,75.88,75.88,73.675,74.759,54810,4097540.79,,,,,,,,
2016-12-26,75.139,75.139,72.103,74.759,169870,12699311.33,,,,,,,,
2016-12-27,74.759,75.822,73.279,75.139,69880,5250713.319999999,,,,,,,,
2016-12-28,75.822,75.822,74.797,75.48,28530,2153444.4,,,,,,,,
2016-12-29,75.139,75.139,73.241,74.759,98560,7368247.04,,,,,,,,
2016-12-30,75.139,75.139,74.19,75.025,96740,7257918.500000001,,,,,,,,
2017-01-03,75.025,75.025,74.342,74.759,63170,4722526.03,,,,,,,,
2017-01-04,74.759,75.366,74.0,74.759,87490,6540664.91,,,,,,,,
2017-01-05,74.759,75.139,74.38,74.797,27170,2032234.49,,,,,,,,
2017-01-06,75.101,79.654,74.835,78.174,212390,16603375.86,,,,,,,,
2017-01-09,78.174,78.933,77.795,77.795,31390,2441985.0500000003,,,,,,,,
2017-01-10,78.516,78.516,76.467,77.605,44540,3456526.7,,,,,,,,
2017-01-11,77.415,79.692,76.656,79.692,228480,18208028.16,,,,,,,,
2017-01-12,80.831,80.831,79.692,79.92,55290,4418776.8,,,,,,,,
