time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,4.164,4.164,4.164,4.164,0,0.0,,,,,
2013-01-03,4.164,4.164,4.164,4.164,0,0.0,,,,,
2013-01-04,4.384,4.384,4.384,4.384,300,1315.2,,,,,
2013-01-07,4.384,4.384,4.384,4.384,0,0.0,,,,,
2013-01-08,4.384,4.384,4.384,4.384,0,0.0,,,,,
2013-01-09,4.384,4.384,4.384,4.384,0,0.0,,,,,
2013-01-10,4.676,4.676,4.676,4.676,100,467.6,,,,,
2013-01-11,4.676,4.676,4.676,4.676,0,0.0,,,,,
2013-01-14,4.676,4.676,4.676,4.676,0,0.0,,,,,
2013-01-15,4.676,4.676,4.676,4.676,0,0.0,,,,,
2013-01-16,4.676,4.676,4.676,4.676,0,0.0,,,,,
2013-01-17,4.676,4.676,4.676,4.676,0,0.0,,,,,
2013-01-18,4.676,4.676,4.676,4.676,0,0.0,,,,,
2013-01-21,4.676,4.676,4.676,4.676,0,0.0,,,,,
2013-01-22,4.676,4.676,4.676,4.676,0,0.0,,,,,
2013-01-23,4.676,4.676,4.676,4.676,0,0.0,,,,,
2013-01-24,4.676,4.676,4.676,4.676,0,0.0,,,,,
2013-01-25,4.676,4.676,4.676,4.676,0,0.0,,,,,
2013-01-28,4.676,4.676,4.676,4.676,0,0.0,,,,,
2013-01-29,4.676,4.676,4.676,4.676,0,0.0,,,,,
2013-01-30,4.676,4.676,4.676,4.676,0,0.0,,,,,
2013-01-31,4.676,4.676,4.676,4.676,0,0.0,,,,,
2013-02-01,4.676,4.676,4.676,4.676,0,0.0,,,,,
2013-02-04,4.676,4.676,4.676,4.676,0,0.0,,,,,
2013-02-05,4.676,4.676,4.676,4.676,0,0.0,,,,,
2013-02-06,4.676,4.676,4.676,4.676,0,0.0,,,,,
2013-02-07,4.712,4.712,4.712,4.712,100,471.2,,,,,
2013-02-08,4.712,4.712,4.712,4.712,0,0.0,,,,,
2013-02-18,4.712,4.712,4.712,4.712,0,0.0,,,,,
2013-02-19,4.712,4.712,4.712,4.712,0,0.0,,,,,
2013-02-20,4.712,4.712,4.712,4.712,0,0.0,,,,,
2013-02-21,4.712,4.712,4.712,4.712,0,0.0,,,,,
2013-02-22,4.712,4.712,4.712,4.712,0,0.0,,,,,
2013-02-25,4.712,4.712,4.712,4.712,0,0.0,,,,,
2013-02-26,4.767,4.785,4.767,4.785,300,1435.5,,,,,
2013-02-27,4.658,4.658,4.658,4.658,100,465.8,,,,,
2013-02-28,4.658,4.658,4.658,4.658,0,0.0,,,,,
2013-03-01,4.566,4.566,4.566,4.566,100,456.6,,,,,
2013-03-04,4.822,4.822,4.822,4.822,100,482.2,,,,,
2013-03-05,5.114,5.297,5.114,5.297,200,1059.4,,,,,
2013-03-06,5.297,5.297,5.297,5.297,0,0.0,,,,,
2013-03-07,5.297,5.297,5.297,5.297,0,0.0,,,,,
2013-03-08,5.297,5.297,5.297,5.297,0,0.0,,,,,
2013-03-11,5.297,5.297,5.297,5.297,0,0.0,,,,,
2013-03-12,5.297,5.297,5.297,5.297,0,0.0,,,,,
2013-03-13,5.297,5.297,5.297,5.297,0,0.0,,,,,
2013-03-14,5.297,5.297,5.297,5.297,0,0.0,,,,,
2013-03-15,5.297,5.297,5.297,5.297,0,0.0,,,,,
2013-03-18,5.297,5.297,5.297,5.297,0,0.0,,,,,
2013-03-19,5.297,5.297,5.297,5.297,0,0.0,,,,,
2013-03-20,5.297,5.297,5.297,5.297,0,0.0,,,,,
2013-03-21,5.297,5.297,5.297,5.297,0,0.0,,,,,
2013-03-22,5.297,5.297,5.297,5.297,0,0.0,,,,,
2013-03-25,5.297,5.297,5.297,5.297,0,0.0,,,,,
2013-03-26,5.297,5.297,5.297,5.297,0,0.0,,,,,
2013-03-27,5.297,5.297,5.297,5.297,0,0.0,,,,,
2013-03-28,5.297,5.297,5.297,5.297,0,0.0,,,,,
2013-03-29,5.297,5.297,5.297,5.297,0,0.0,,,,,
2013-04-01,5.297,5.297,5.297,5.297,0,0.0,,,,,
2013-04-02,5.297,5.297,5.297,5.297,0,0.0,,,,,
2013-04-03,5.297,5.297,5.297,5.297,0,0.0,,,,,
2013-04-04,5.297,5.297,5.297,5.297,0,0.0,,,,,
