time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2017-01-23,11.506,11.506,11.506,11.506,100,1150.6,,,,,
2017-01-24,13.198,13.198,13.198,13.198,100,1319.8,,,,,
2017-01-25,15.132,15.132,15.132,15.132,1100,16645.2,,,,,
2017-02-02,16.921,16.921,16.921,16.921,2100,35534.1,,,,,
2017-02-03,16.921,17.888,16.921,17.888,7400,132371.2,,,,,
2017-02-06,16.969,16.969,16.921,16.921,3300,55839.3,,,,,
2017-02-07,16.921,16.921,16.921,16.921,0,0.0,,,,,
2017-02-08,14.504,15.954,14.504,15.954,700,11167.8,,,,,
2017-02-09,16.437,16.437,13.295,15.712,900,14140.8,,,,,
2017-02-10,15.954,15.954,13.198,13.198,700,9238.6,,,,,
2017-02-13,15.229,15.712,15.229,15.712,2500,39280.0,,,,,
2017-02-14,14.987,14.987,13.827,13.827,200,2765.4,,,,,
2017-02-15,12.811,14.89,12.811,14.89,200,2978.0,,,,,
2017-02-16,14.068,14.068,14.068,14.068,5000,70340.0,,,,,
2017-02-17,14.068,14.068,14.068,14.068,1600,22508.8,,,,,
2017-02-20,14.068,14.068,14.068,14.068,0,0.0,,,,,
2017-02-21,13.778,13.778,13.778,13.778,4000,55112.0,,,,,
2017-02-22,13.778,13.778,13.778,13.778,0,0.0,,,,,
2017-02-23,13.779,13.779,13.779,13.779,0,0.0,,,,,
2017-02-24,13.779,13.779,13.779,13.779,0,0.0,,,,,
2017-02-27,13.779,13.779,13.779,13.779,0,0.0,,,,,
2017-02-28,13.779,13.779,13.779,13.779,0,0.0,,,,,
2017-03-01,15.031,15.031,15.031,15.031,2000,30062.0,,,,,
2017-03-02,16.534,16.534,16.534,16.534,500,8267.0,,,,,
2017-03-03,14.28,16.534,14.28,16.534,2200,36374.8,,,,,
2017-03-06,16.284,16.284,16.284,16.284,200,3256.8,,,,,
2017-03-07,16.284,16.284,16.284,16.284,200,3256.8,,,,,
2017-03-08,16.284,16.284,16.284,16.284,100,1628.4,,,,,
2017-03-09,16.284,16.284,16.284,16.284,0,0.0,,,,,
2017-03-10,16.284,16.284,16.284,16.284,0,0.0,,,,,
2017-03-13,16.284,16.284,16.284,16.284,0,0.0,,,,,
2017-03-14,16.284,16.284,16.284,16.284,0,0.0,,,,,
2017-03-15,16.284,16.284,16.284,16.284,0,0.0,,,,,
2017-03-16,16.735,16.735,14.079,14.079,1300,18302.7,,,,,
2017-03-17,14.68,14.68,14.68,14.68,0,0.0,,,,,
2017-03-20,14.68,14.68,13.929,13.929,8400,117003.6,,,,,
2017-03-21,14.029,14.029,14.029,14.029,0,0.0,,,,,
2017-03-22,13.578,13.578,13.578,13.578,1000,13578.0,,,,,
2017-03-23,13.578,13.578,13.578,13.578,0,0.0,,,,,
2017-03-24,13.578,13.578,13.578,13.578,0,0.0,,,,,
2017-03-27,13.578,13.578,13.578,13.578,400,5431.2,,,,,
2017-03-28,13.578,13.578,13.578,13.578,0,0.0,,,,,
2017-03-29,13.578,13.578,13.578,13.578,0,0.0,,,,,
2017-03-30,13.578,13.578,13.578,13.578,0,0.0,,,,,
2017-03-31,13.578,13.578,13.578,13.578,0,0.0,,,,,
2017-04-03,13.578,13.578,13.578,13.578,0,0.0,,,,,
2017-04-04,13.578,13.578,13.578,13.578,0,0.0,,,,,
2017-04-05,13.578,13.578,13.578,13.578,0,0.0,,,,,
2017-04-07,13.578,13.578,13.578,13.578,0,0.0,,,,,
2017-04-10,13.578,13.578,13.578,13.578,0,0.0,,,,,
2017-04-11,13.578,13.578,13.578,13.578,0,0.0,,,,,
2017-04-12,13.578,13.578,13.578,13.578,0,0.0,,,,,
2017-04-13,13.578,13.578,13.578,13.578,0,0.0,,,,,
2017-04-14,13.578,13.578,13.578,13.578,0,0.0,,,,,
2017-04-17,13.578,13.578,13.578,13.578,0,0.0,,,,,
2017-04-18,13.578,13.578,13.578,13.578,0,0.0,,,,,
2017-04-19,13.578,13.578,13.578,13.578,0,0.0,,,,,
2017-04-20,13.578,13.578,13.578,13.578,0,0.0,,,,,
2017-04-21,13.578,13.578,13.578,13.578,0,0.0,,,,,
2017-04-24,13.578,13.578,13.578,13.578,0,0.0,,,,,
2017-04-25,13.578,13.578,13.578,13.578,0,0.0,,,,,
2017-04-26,13.779,13.779,13.779,13.779,5000,68895.0,,,,,
2017-04-27,13.779,13.779,13.779,13.779,2000,27558.0,,,,,
2017-04-28,13.779,13.779,13.779,13.779,0,0.0,,,,,
2017-05-03,12.776,12.776,12.776,12.776,2000,25552.0,,,,,
2017-05-04,12.776,12.827,12.776,12.776,3000,38328.0,,,,,
2017-05-05,12.526,12.526,12.526,12.526,7500,93945.0,,,,,
