time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2007-10-18,58.92,58.92,58.92,58.92,5100,300492.0,,,,,
2007-10-19,61.68,61.68,61.68,61.68,16630,1025738.4,,,,,
2007-10-22,64.75,64.75,64.75,64.75,78970,5113307.5,,,,,
2007-10-23,67.82,67.82,67.82,67.82,87310,5921364.199999999,,,,,
2007-10-24,71.19,71.19,71.19,71.19,51270,3649911.3,,,,,
2007-10-25,74.57,74.57,74.57,74.57,76710,5720264.699999999,,,,,
2007-10-26,78.25,78.25,78.25,78.25,169820,13288415.0,,,,,
2007-10-29,81.32,81.32,76.71,76.71,267400,20512254.0,,,,,
2007-10-30,75.18,76.71,75.18,75.18,104260,7838266.800000001,,,,,
2007-10-31,71.81,73.65,71.81,73.03,110460,8066893.8,,,,,
2007-11-01,73.03,73.95,73.03,73.65,150260,11066649.0,,,,,
2007-11-02,74.57,74.57,72.73,72.73,65440,4759451.2,,,,,
2007-11-05,69.66,71.19,69.35,69.35,163020,11305437.0,,,,,
2007-11-06,66.59,68.12,66.28,66.28,250620,16611093.6,,,,,
2007-11-07,64.44,65.97,63.52,63.52,335550,21314136.0,,,,,
2007-11-08,65.97,66.59,65.67,66.59,157790,10507236.1,,,,,
2007-11-09,69.66,69.66,67.51,69.66,449940,31342820.4,,,,,
2007-11-12,67.51,69.04,66.59,67.2,106590,7162848.0,,,,,
2007-11-13,64.75,65.36,64.13,64.13,135850,8712060.5,,,,,
2007-11-14,65.97,67.2,65.36,66.9,190580,12749802.000000002,,,,,
2007-11-15,64.75,65.36,64.13,65.36,143400,9372624.0,,,,,
2007-11-16,64.75,65.36,64.75,65.05,105200,6843260.0,,,,,
2007-11-19,65.67,65.67,64.44,64.75,95140,6160315.0,,,,,
2007-11-20,64.75,64.75,63.83,63.83,154120,9837479.6,,,,,
2007-11-21,63.21,63.52,62.6,63.52,92000,5843840.0,,,,,
2007-11-22,63.83,64.44,63.52,63.52,73380,4661097.600000001,,,,,
2007-11-23,62.91,63.52,62.29,62.6,133090,8331434.0,,,,,
2007-11-26,64.13,64.13,63.21,63.83,197140,12583446.2,,,,,
2007-11-27,64.44,64.75,63.21,63.21,202790,12818355.9,,,,,
2007-11-28,63.21,64.13,63.21,64.13,125810,8068195.3,,,,,
2007-11-29,64.75,64.75,63.83,64.13,75880,4866184.399999999,,,,,
2007-11-30,63.52,63.83,63.52,63.52,42320,2688166.4,,,,,
2007-12-03,63.52,63.83,63.21,63.52,102960,6540019.2,,,,,
2007-12-04,64.13,64.13,63.52,63.52,123690,7856788.800000001,,,,,
2007-12-05,63.52,63.52,62.91,62.91,89100,5605281.0,,,,,
2007-12-06,62.91,62.91,62.6,62.6,82150,5142590.0,,,,,
2007-12-07,62.29,62.6,61.99,62.29,126950,7907715.5,,,,,
2007-12-10,61.37,61.68,59.84,60.14,132200,7950508.0,,,,,
2007-12-11,60.14,60.14,57.69,58.3,272030,15859349.0,,,,,
2007-12-12,57.69,60.14,57.69,58.92,130440,7685524.8,,,,,
2007-12-13,58.92,58.92,57.69,57.69,122680,7077409.2,,,,,
2007-12-14,57.08,57.38,56.77,56.77,89880,5102487.600000001,,,,,
2007-12-17,54.31,54.93,54.01,54.01,278070,15018560.7,,,,,
2007-12-18,51.55,52.47,51.55,52.17,222860,11626606.2,,,,,
2007-12-19,54.62,54.62,54.62,54.62,48580,2653439.6,,,,,
2007-12-20,57.08,57.08,54.62,55.54,230990,12829184.6,,,,,
2007-12-21,55.23,56.77,55.23,56.46,82260,4644399.6,,,,,
2007-12-24,56.16,56.16,55.23,55.54,80700,4482078.0,,,,,
2007-12-25,54.01,55.23,54.01,54.62,55660,3040149.2,,,,,
2007-12-26,54.93,55.54,54.62,55.54,78380,4353225.2,,,,,
2007-12-27,55.85,55.85,54.93,54.93,77300,4246089.0,,,,,
2007-12-28,55.23,55.23,54.93,55.23,63000,3479490.0,,,,,
2008-01-02,56.16,56.16,55.23,55.23,29850,1648615.5,,,,,
2008-01-03,55.23,55.23,54.01,54.31,38990,2117546.9,,,,,
2008-01-04,53.7,54.31,53.7,53.7,45910,2465367.0,,,,,
2008-01-07,53.39,53.39,51.55,52.78,53550,2826369.0,,,,,
2008-01-08,54.01,54.31,53.39,53.39,53200,2840348.0,,,,,
2008-01-09,53.39,53.39,52.47,52.47,58360,3062149.2,,,,,
2008-01-10,50.94,51.25,50.32,51.25,98610,5053762.5,,,,,
