time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2008-06-25,5.82,6.19,4.37,5.82,93900,546498.0,,,,,,,,
2008-06-26,5.53,5.53,5.49,5.53,43000,237790.0,,,,,,,,
2008-06-27,5.74,5.74,5.7,5.7,5000,28500.0,,,,,,,,
2008-06-30,5.9,5.9,5.7,5.9,16300,96170.0,,,,,,,,
2008-07-01,5.65,6.07,5.65,6.07,26500,160855.0,,,,,,,,
2008-07-02,6.28,6.28,5.86,6.28,56000,351680.0,,,,,,,,
2008-07-03,6.49,6.49,6.49,6.49,4500,29205.0,,,,,,,,
2008-07-04,6.74,6.74,6.74,6.74,29300,197482.0,,,,,,,,
2008-07-07,6.98,6.98,6.49,6.57,48300,317331.0,,,,,,,,
2008-07-08,6.53,6.9,6.53,6.9,26700,184230.0,,,,,,,,
2008-07-09,6.86,6.86,6.74,6.86,36400,249704.0,,,,,,,,
2008-07-10,7.11,7.11,6.98,7.11,17200,122292.0,,,,,,,,
2008-07-11,7.36,7.36,7.36,7.36,12800,94208.0,,,,,,,,
2008-07-14,7.65,7.65,7.65,7.65,3000,22950.0,,,,,,,,
2008-07-15,7.94,7.94,7.94,7.94,22600,179444.0,,,,,,,,
2008-07-16,8.23,8.23,7.65,8.23,60000,493800.0,,,,,,,,
2008-07-17,8.48,8.48,8.48,8.48,26200,222176.0,,,,,,,,
2008-07-18,8.81,8.81,8.15,8.15,59400,484110.0,,,,,,,,
2008-07-21,8.73,8.81,8.31,8.31,1400,11634.0,,,,,,,,
2008-07-22,8.31,8.31,8.31,8.31,0,0.0,,,,,,,,
2008-07-23,8.11,8.11,8.11,8.11,400,3244.0,,,,,,,,
2008-07-24,7.82,7.82,7.82,7.82,3300,25806.0,,,,,,,,
2008-07-25,7.53,7.53,7.53,7.53,2000,15060.0,,,,,,,,
2008-07-28,7.23,7.23,7.23,7.23,2300,16629.0,,,,,,,,
2008-07-29,6.98,7.11,6.98,6.98,89600,625408.0,,,,,,,,
2008-07-30,6.74,6.74,6.74,6.74,8800,59312.0,,,,,,,,
2008-07-31,6.49,6.49,6.49,6.49,100,649.0,,,,,,,,
2008-08-01,6.24,6.24,6.24,6.24,1200,7488.0,,,,,,,,
2008-08-04,5.99,5.99,5.99,5.99,200,1198.0,,,,,,,,
2008-08-05,5.78,5.78,5.78,5.78,100,578.0,,,,,,,,
2008-08-06,5.57,5.78,5.57,5.57,32000,178240.0,,,,,,,,
2008-08-07,5.78,5.78,5.36,5.36,17400,93264.0,,,,,,,,
2008-08-08,5.2,5.57,5.2,5.4,24000,129600.0,,,,,,,,
2008-08-11,5.61,5.61,5.61,5.61,600,3366.0,,,,,,,,
2008-08-12,5.82,5.82,5.61,5.82,33700,196134.0,,,,,,,,
2008-08-13,5.9,5.99,5.9,5.99,24200,144958.0,,,,,,,,
2008-08-14,6.03,6.19,6.03,6.19,48000,297120.0,,,,,,,,
2008-08-15,6.4,6.4,6.4,6.4,12400,79360.0,,,,,,,,
2008-08-18,6.82,6.82,6.65,6.82,35200,240064.0,,,,,,,,
2008-08-19,7.07,7.15,6.53,6.57,19400,127458.0,,,,,,,,
2008-08-20,6.32,6.32,6.32,6.32,17500,110600.0,,,,,,,,
2008-08-21,5.9,6.74,5.9,6.74,74500,502130.0,,,,,,,,
2008-08-22,6.9,6.9,6.78,6.9,62300,429870.0,,,,,,,,
2008-08-25,7.28,7.32,7.28,7.32,21800,159576.0,,,,,,,,
2008-08-26,7.82,7.82,7.82,7.82,20700,161874.0,,,,,,,,
2008-08-27,8.36,8.36,8.31,8.36,49900,417164.0,,,,,,,,
2008-08-28,8.31,8.73,7.77,7.77,50700,393939.0,,,,,,,,
2008-08-29,7.48,7.98,7.48,7.9,58500,462150.0,,,,,,,,
2008-09-03,8.02,8.02,8.02,8.02,3500,28070.0,,,,,,,,
2008-09-04,8.56,8.56,8.31,8.56,75700,647992.0,,,,,,,,
2008-09-05,8.73,9.1,8.52,9.1,99500,905450.0,,,,,,,,
2008-09-08,9.69,9.69,8.44,8.86,47900,424394.0,,,,,,,,
2008-09-09,8.73,9.23,8.65,9.23,82900,765167.0,,,,,,,,
2008-09-10,9.81,9.81,8.56,8.65,77800,672970.0,,,,,,,,
2008-09-11,8.73,8.73,8.65,8.65,6600,57090.0,,,,,,,,
2008-09-12,8.07,8.07,8.07,8.07,8700,70209.0,,,,,,,,
2008-09-15,7.53,8.61,7.53,7.9,99800,788420.0,,,,,,,,
2008-09-16,7.28,7.53,7.23,7.23,21400,154722.0,,,,,,,,
2008-09-17,6.74,6.74,6.74,6.74,10600,71444.0,,,,,,,,
2008-09-18,6.28,6.28,6.28,6.28,5900,37052.0,,,,,,,,
2008-09-19,5.86,6.69,5.86,6.69,24600,164574.0,,,,,,,,
