time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2008-01-18,56.35,67.62,56.35,67.62,71470,4832801.4,,,,,,,,
2008-01-21,70.12,70.12,65.11,68.24,25560,1744214.4,,,,,,,,
2008-01-22,68.24,68.24,65.11,65.11,3290,214211.9,,,,,,,,
2008-01-23,61.98,61.98,61.98,61.98,30260,1875514.8,,,,,,,,
2008-01-24,61.98,61.98,59.17,59.17,19200,1136064.0,,,,,,,,
2008-01-25,56.35,56.97,56.35,56.35,28860,1626261.0,,,,,,,,
2008-01-28,57.6,57.6,57.29,57.29,7070,405040.3,,,,,,,,
2008-01-29,54.78,60.11,54.47,60.11,36220,2177184.2,,,,,,,,
2008-01-30,61.36,62.61,61.36,62.61,19000,1189590.0,,,,,,,,
2008-01-31,65.11,65.11,62.61,62.61,2850,178438.5,,,,,,,,
2008-02-01,63.86,63.86,62.61,63.86,6010,383798.6,,,,,,,,
2008-02-12,60.73,61.36,60.73,60.73,5650,343124.5,,,,,,,,
2008-02-13,58.23,58.23,58.23,58.23,10710,623643.2999999999,,,,,,,,
2008-02-14,61.04,61.04,60.73,60.73,520,31579.6,,,,,,,,
2008-02-15,58.23,60.42,57.91,60.42,5210,314788.2,,,,,,,,
2008-02-18,57.6,57.6,57.6,57.6,3150,181440.0,,,,,,,,
2008-02-19,54.78,57.6,54.78,57.6,1350,77760.0,,,,,,,,
2008-02-20,57.6,57.6,54.78,54.78,2850,156123.0,,,,,,,,
2008-02-21,52.28,52.28,52.28,52.28,3100,162068.0,,,,,,,,
2008-02-22,50.09,50.09,49.77,49.77,1600,79632.0,,,,,,,,
2008-02-25,47.58,50.09,47.58,50.09,11160,559004.4,,,,,,,,
2008-02-26,49.77,47.58,47.58,47.58,6500,309270.0,,,,,,,,
2008-02-27,45.39,45.39,45.39,45.39,8440,383091.6,,,,,,,,
2008-02-28,46.33,46.33,43.2,46.33,6730,311800.9,,,,,,,,
2008-02-29,46.96,47.58,44.45,47.58,3210,152731.8,,,,,,,,
2008-03-03,48.21,49.77,45.39,49.77,21400,1065078.0,,,,,,,,
2008-03-04,47.58,47.58,47.58,47.58,4150,197457.0,,,,,,,,
2008-03-05,45.39,45.39,45.39,45.39,180,8170.2,,,,,,,,
2008-03-06,45.39,47.58,45.39,47.58,24280,1155242.4,,,,,,,,
2008-03-07,49.77,49.77,49.46,49.77,42200,2100294.0,,,,,,,,
2008-03-10,50.09,51.97,48.21,48.21,30090,1450638.9,,,,,,,,
2008-03-11,46.02,50.09,46.02,49.46,11760,581649.6,,,,,,,,
2008-03-12,47.27,48.21,47.27,47.27,9600,453792.00000000006,,,,,,,,
2008-03-13,47.58,47.27,47.27,47.27,3100,146537.0,,,,,,,,
2008-03-14,46.33,46.33,45.08,45.71,9580,437901.8,,,,,,,,
2008-03-17,43.51,43.83,43.51,43.51,13180,573461.7999999999,,,,,,,,
2008-03-18,41.64,41.64,41.64,41.64,500,20820.0,,,,,,,,
2008-03-19,39.76,41.95,39.76,39.76,6770,269175.2,,,,,,,,
2008-03-20,37.88,37.88,37.88,37.88,320,12121.6,,,,,,,,
2008-03-21,36.0,36.0,36.0,36.0,1700,61200.0,,,,,,,,
2008-03-24,34.44,34.44,34.44,34.44,350,12054.0,,,,,,,,
2008-03-25,32.87,32.87,32.87,32.87,100,3286.9999999999995,,,,,,,,
2008-03-26,31.24,34.44,31.24,34.44,32850,1131354.0,,,,,,,,
2008-03-27,34.12,34.75,34.12,34.75,13450,467387.5,,,,,,,,
2008-03-28,34.75,35.06,34.75,35.06,19860,696291.6000000001,,,,,,,,
2008-03-31,35.37,35.37,35.37,35.37,20250,716242.5,,,,,,,,
2008-04-01,35.69,35.69,35.69,35.69,18610,664190.8999999999,,,,,,,,
2008-04-02,36.0,36.0,36.0,36.0,5500,198000.0,,,,,,,,
2008-04-03,36.31,36.31,36.31,36.31,4010,145603.1,,,,,,,,
2008-04-04,36.63,36.63,36.63,36.63,21080,772160.4,,,,,,,,
2008-04-07,37.25,37.25,36.63,37.25,27970,1041882.5,,,,,,,,
2008-04-08,37.25,37.57,36.63,36.63,11260,412453.8000000001,,,,,,,,
2008-04-09,36.0,36.0,36.0,36.0,210,7560.0,,,,,,,,
2008-04-10,35.69,35.69,35.69,35.69,1010,36046.9,,,,,,,,
2008-04-11,35.06,35.06,35.06,35.06,830,29099.800000000003,,,,,,,,
2008-04-16,34.44,34.44,34.44,34.44,100,3444.0,,,,,,,,
2008-04-17,33.81,33.81,33.81,33.81,1610,54434.100000000006,,,,,,,,
2008-04-18,33.18,33.18,33.18,33.18,320,10617.6,,,,,,,,
2008-04-21,33.18,33.18,32.56,32.56,1800,58608.00000000001,,,,,,,,
2008-04-22,31.93,31.93,31.93,31.93,200,6386.0,,,,,,,,
2008-04-23,31.3,31.3,31.3,31.3,9800,306740.0,,,,,,,,
2008-04-24,30.68,30.68,30.68,30.68,320,9817.6,,,,,,,,
2008-04-25,30.12,30.12,30.12,30.12,640,19276.8,,,,,,,,
2008-04-28,29.55,29.55,29.55,29.55,1890,55849.5,,,,,,,,
2008-04-29,28.99,28.99,28.99,28.99,1120,32468.8,,,,,,,,
2008-05-05,28.99,28.99,28.42,28.42,770,21883.4,,,,,,,,
2008-05-06,27.86,27.86,27.86,27.86,520,14487.2,,,,,,,,
