time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2009-04-20,2.1,2.31,2.06,2.3,2079300,4782390.0,,,,,,,,
2009-04-21,2.28,2.33,2.13,2.33,769000,1791770.0,,,,,,,,
2009-04-22,2.44,2.44,2.44,2.44,424400,1035536.0,,,,,,,,
2009-04-23,2.6,2.6,2.6,2.6,682600,1774760.0,,,,,,,,
2009-04-24,2.72,2.75,2.44,2.56,2011700,5149952.0,,,,,,,,
2009-04-27,2.4,2.65,2.4,2.62,1312000,3437440.0,,,,,,,,
2009-04-28,2.57,2.63,2.5,2.62,1034100,2709342.0,,,,,,,,
2009-04-29,2.62,2.62,2.57,2.59,931300,2412067.0,,,,,,,,
2009-05-04,2.74,2.78,2.69,2.78,2145900,5965602.0,,,,,,,,
2009-05-05,2.96,2.96,2.87,2.93,1739600,5097028.0,,,,,,,,
2009-05-06,2.87,3.06,2.77,2.78,814900,2265422.0,,,,,,,,
2009-05-07,2.99,3.03,2.83,2.98,1194800,3560504.0,,,,,,,,
2009-05-08,2.95,2.95,2.75,2.84,1997000,5671480.0,,,,,,,,
2009-05-11,2.9,2.9,2.74,2.8,1146500,3210200.0,,,,,,,,
2009-05-12,2.8,2.84,2.69,2.81,1145200,3218012.0,,,,,,,,
2009-05-13,2.83,2.87,2.78,2.81,792100,2225801.0,,,,,,,,
2009-05-14,2.69,2.77,2.63,2.75,646100,1776775.0,,,,,,,,
2009-05-15,2.8,2.89,2.72,2.89,1343100,3881559.0,,,,,,,,
2009-05-18,2.89,2.89,2.83,2.86,1406100,4021446.0,,,,,,,,
2009-05-19,3.06,3.06,2.9,3.06,2239500,6852870.0,,,,,,,,
2009-05-20,3.19,3.24,3.06,3.22,1583300,5098226.0,,,,,,,,
2009-05-21,3.25,3.39,3.16,3.39,1642400,5567736.0,,,,,,,,
2009-05-22,3.43,3.48,3.18,3.33,1236700,4118211.0,,,,,,,,
2009-05-25,3.45,3.52,3.18,3.52,1349900,4751648.0,,,,,,,,
2009-05-26,3.74,3.74,3.52,3.72,1455100,5412972.0,,,,,,,,
2009-05-27,3.78,3.83,3.63,3.72,1309300,4870596.0,,,,,,,,
2009-05-28,3.71,3.71,3.51,3.52,1379400,4855488.0,,,,,,,,
2009-05-29,3.61,3.81,3.57,3.81,2490700,9489567.0,,,,,,,,
2009-06-01,4.05,4.05,3.93,4.05,794400,3217320.0,,,,,,,,
2009-06-02,4.33,4.33,4.31,4.33,1299400,5626402.0,,,,,,,,
2009-06-03,4.54,4.63,4.33,4.63,1870100,8658563.0,,,,,,,,
2009-06-04,4.52,4.83,4.52,4.83,1375000,6641250.0,,,,,,,,
2009-06-05,5.13,5.13,5.11,5.13,1878000,9634140.0,,,,,,,,
2009-06-08,5.48,5.48,5.43,5.48,1800100,9864548.0,,,,,,,,
2009-06-09,5.84,5.85,5.45,5.85,2388300,13971555.0,,,,,,,,
2009-06-10,6.05,6.05,5.35,5.73,2480500,14213265.000000002,,,,,,,,
2009-06-11,5.67,5.97,5.52,5.97,1969600,11758512.0,,,,,,,,
2009-06-12,5.97,6.29,5.75,5.9,1751300,10332670.0,,,,,,,,
2009-06-15,5.97,6.13,5.63,6.13,3651900,22386147.0,,,,,,,,
2009-06-16,5.81,5.97,5.41,5.41,1204400,6515804.0,,,,,,,,
2009-06-17,5.14,5.6,5.14,5.52,1894700,10458744.0,,,,,,,,
2009-06-18,5.45,5.6,5.25,5.4,1071600,5786640.0,,,,,,,,
2009-06-19,5.52,5.6,5.28,5.31,782500,4155075.0,,,,,,,,
2009-06-22,5.41,5.41,5.04,5.04,225300,1135512.0,,,,,,,,
2009-06-23,4.7,4.7,4.7,4.7,46200,217140.0,,,,,,,,
2009-06-24,4.39,5.02,4.39,5.02,1644400,8254887.999999999,,,,,,,,
2009-06-25,5.14,5.14,4.69,4.83,983400,4749822.0,,,,,,,,
2009-06-26,5.04,5.04,4.72,4.95,880500,4358475.0,,,,,,,,
2009-06-29,4.99,4.99,4.84,4.96,622800,3089088.0,,,,,,,,
2009-06-30,4.99,5.22,4.69,4.84,655200,3171168.0,,,,,,,,
2009-07-01,4.69,4.76,4.64,4.64,919900,4268336.0,,,,,,,,
2009-07-02,4.54,4.86,4.39,4.69,846800,3971492.000000001,,,,,,,,
2009-07-03,4.63,4.63,4.39,4.6,539000,2479400.0,,,,,,,,
2009-07-06,4.69,4.87,4.67,4.87,801500,3903305.0,,,,,,,,
2009-07-07,5.07,5.11,4.84,4.87,516900,2517303.0,,,,,,,,
