time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2006-12-14,5.37,5.79,5.37,5.79,13900,80481.0,,,,,,,,
2006-12-15,6.02,6.02,5.65,6.08,33800,205504.0,,,,,,,,
2006-12-18,6.22,6.33,6.08,6.08,4000,24320.0,,,,,,,,
2006-12-19,6.57,6.84,6.08,6.08,11900,72352.0,,,,,,,,
2006-12-20,6.22,6.22,6.08,6.08,700,4256.0,,,,,,,,
2006-12-21,6.05,6.08,6.05,6.08,900,5472.0,,,,,,,,
2006-12-22,6.08,6.08,6.08,6.08,0,0.0,,,,,,,,
2006-12-25,5.51,5.51,5.51,5.51,100,551.0,,,,,,,,
2006-12-26,5.02,5.02,4.96,4.96,200,992.0,,,,,,,,
2006-12-27,4.96,4.96,4.95,4.95,1500,7425.0,,,,,,,,
2006-12-28,4.8,4.8,4.45,4.95,600,2970.0,,,,,,,,
2006-12-29,4.54,4.54,4.52,4.52,500,2260.0,,,,,,,,
2007-01-02,4.59,4.66,4.59,4.52,6000,27120.0,,,,,,,,
2007-01-03,4.66,4.66,4.66,4.66,4500,20970.0,,,,,,,,
2007-01-04,4.69,4.95,4.66,4.95,4500,22275.0,,,,,,,,
2007-01-05,4.73,4.8,4.66,4.8,12100,58080.0,,,,,,,,
2007-01-08,4.78,4.78,4.78,4.78,1900,9082.0,,,,,,,,
2007-01-09,4.95,5.23,4.95,4.95,3000,14850.0,,,,,,,,
2007-01-10,5.37,5.37,5.09,5.37,300,1611.0,,,,,,,,
2007-01-11,5.79,5.79,5.23,5.23,7300,38179.0,,,,,,,,
2007-01-12,5.09,5.09,5.09,5.09,1300,6617.0,,,,,,,,
2007-01-15,5.09,5.09,5.09,5.09,3000,15270.0,,,,,,,,
2007-01-16,5.07,5.16,5.07,5.16,800,4128.0,,,,,,,,
2007-01-17,5.23,5.23,4.95,5.02,9300,46685.99999999999,,,,,,,,
2007-01-18,5.09,5.09,4.95,5.04,4200,21168.0,,,,,,,,
2007-01-19,5.02,5.16,5.02,5.16,7500,38700.0,,,,,,,,
2007-01-22,5.23,5.37,5.23,5.16,11900,61404.0,,,,,,,,
2007-01-23,5.34,5.58,5.34,5.58,4000,22320.0,,,,,,,,
2007-01-24,5.65,5.72,5.58,5.58,10700,59706.0,,,,,,,,
2007-01-25,5.72,5.72,5.09,5.09,9500,48355.0,,,,,,,,
2007-01-26,5.65,5.86,5.37,5.37,17300,92901.0,,,,,,,,
2007-01-29,5.44,5.65,5.44,5.65,4300,24295.0,,,,,,,,
2007-01-30,5.79,5.94,5.58,5.58,16000,89280.0,,,,,,,,
2007-01-31,5.95,6.08,5.95,6.08,7100,43168.0,,,,,,,,
2007-02-01,6.08,6.63,6.08,6.57,16000,105120.0,,,,,,,,
2007-02-02,6.61,7.05,6.5,7.05,47300,333465.0,,,,,,,,
2007-02-05,7.5,7.5,7.35,7.5,29900,224250.0,,,,,,,,
2007-02-06,8.24,8.24,8.24,8.24,25900,213416.0,,,,,,,,
2007-02-07,9.06,9.06,9.06,9.06,18200,164892.0,,,,,,,,
2007-02-08,9.96,9.96,9.11,9.61,35200,338272.0,,,,,,,,
2007-02-09,8.78,9.89,8.78,8.78,11700,102726.0,,,,,,,,
2007-02-12,8.27,8.48,8.27,8.27,15200,125704.0,,,,,,,,
2007-02-13,7.91,8.62,7.91,8.2,8600,70520.0,,,,,,,,
2007-02-14,8.48,9.09,8.31,9.09,13200,119988.0,,,,,,,,
2007-02-15,9.61,9.61,9.61,9.61,10500,100905.0,,,,,,,,
2007-02-26,10.57,10.57,10.57,10.57,5300,56021.0,,,,,,,,
2007-02-27,11.62,11.62,11.62,11.62,11000,127820.0,,,,,,,,
2007-02-28,12.77,12.77,11.62,12.29,32700,401883.0,,,,,,,,
2007-03-01,13.78,13.78,12.29,12.51,20400,255204.0,,,,,,,,
2007-03-02,12.72,12.72,12.15,12.51,9100,113841.0,,,,,,,,
2007-03-05,13.91,13.91,12.44,12.44,12300,153012.0,,,,,,,,
2007-03-06,14.13,14.57,13.85,14.27,15400,219758.0,,,,,,,,
2007-03-07,15.77,15.77,14.98,15.77,39800,627646.0,,,,,,,,
2007-03-08,17.03,17.03,15.97,16.82,21900,368358.0,,,,,,,,
2007-03-09,16.96,18.38,16.25,16.25,6300,102375.0,,,,,,,,
2007-03-12,18.72,18.72,15.33,16.11,13000,209430.0,,,,,,,,
2007-03-13,15.54,15.54,14.56,14.56,5800,84448.0,,,,,,,,
2007-03-14,13.47,13.47,13.47,14.56,9900,144144.0,,,,,,,,
2007-03-15,12.12,12.72,12.12,12.72,16400,208608.0,,,,,,,,
2007-03-16,13.47,13.47,13.47,13.47,3700,49839.0,,,,,,,,
2007-03-19,14.81,14.81,14.81,14.81,5500,81455.0,,,,,,,,
2007-03-20,16.28,16.28,16.22,16.22,39100,634202.0,,,,,,,,
2007-03-21,16.29,16.29,14.98,15.54,8000,124320.0,,,,,,,,
2007-03-22,16.53,17.13,14.13,15.69,29200,458148.0,,,,,,,,
2007-03-23,15.83,16.25,15.54,15.54,16700,259518.0,,,,,,,,
2007-03-26,15.98,16.11,14.84,15.54,11300,175602.0,,,,,,,,
2007-03-27,14.84,15.26,13.92,15.54,7700,119658.0,,,,,,,,
2007-03-28,13.42,14.13,13.14,14.13,23900,337707.0,,,,,,,,
2007-03-29,14.94,14.94,14.56,14.94,15600,233064.0,,,,,,,,
2007-03-30,16.39,16.39,14.91,14.94,11700,174798.0,,,,,,,,
2007-04-02,13.99,14.84,13.99,14.84,1000,14840.0,,,,,,,,
2007-04-03,13.0,13.07,13.0,13.07,800,10456.0,,,,,,,,
2007-04-04,12.72,13.42,12.72,13.41,3500,46935.0,,,,,,,,
2007-04-05,13.0,13.28,12.72,12.72,4400,55968.0,,,,,,,,
2007-04-06,12.73,12.73,12.58,12.7,8600,109220.0,,,,,,,,
2007-04-09,12.69,12.72,12.44,12.44,2100,26124.0,,,,,,,,
2007-04-10,12.6,12.68,12.6,12.68,3100,39308.0,,,,,,,,
2007-04-11,12.44,12.58,12.44,12.44,5900,73396.0,,,,,,,,
2007-04-12,12.15,12.44,12.01,12.01,3400,40834.0,,,,,,,,
2007-04-13,11.52,11.52,11.3,11.52,800,9216.0,,,,,,,,
2007-04-16,11.02,11.02,10.32,10.32,3100,31992.0,,,,,,,,
2007-04-17,9.58,9.58,9.58,9.58,2500,23950.0,,,,,,,,
2007-04-18,8.63,10.53,8.63,10.53,3700,38961.0,,,,,,,,
2007-04-19,10.5,10.5,10.17,10.25,7700,78925.0,,,,,,,,
2007-04-20,10.06,10.06,9.75,9.75,2800,27300.0,,,,,,,,
2007-04-23,9.96,9.96,8.9,9.04,3100,28024.0,,,,,,,,
2007-04-24,8.63,8.76,8.48,8.48,12300,104304.0,,,,,,,,
2007-04-25,8.65,8.69,8.59,8.69,8700,75603.0,,,,,,,,
2007-05-02,8.34,8.83,8.34,8.83,1200,10596.0,,,,,,,,
2007-05-03,8.76,8.76,8.48,8.48,1600,13568.0,,,,,,,,
2007-05-04,8.62,8.69,8.62,8.69,1100,9559.0,,,,,,,,
2007-05-07,8.8,8.9,8.48,8.89,4400,39116.0,,,,,,,,
2007-05-08,8.97,9.04,8.76,9.04,8200,74128.0,,,,,,,,
2007-05-09,9.26,9.47,9.19,9.45,9800,92610.0,,,,,,,,
2007-05-10,9.04,9.19,9.04,9.19,1300,11947.0,,,,,,,,
2007-05-11,9.19,9.19,9.04,9.04,4400,39775.99999999999,,,,,,,,
2007-05-14,9.04,9.26,9.04,9.26,4400,40744.0,,,,,,,,
2007-05-15,9.19,9.54,9.04,9.13,15100,137863.0,,,,,,,,
2007-05-16,9.27,9.27,9.02,9.23,1500,13845.0,,,,,,,,
2007-05-17,9.16,9.17,9.04,9.04,2500,22600.0,,,,,,,,
2007-05-18,9.19,9.19,9.04,9.11,5200,47372.0,,,,,,,,
2007-05-21,9.14,9.96,8.92,9.96,25400,252984.00000000003,,,,,,,,
2007-05-22,10.32,10.32,10.32,10.32,200,2064.0,,,,,,,,
2007-05-23,11.35,11.35,10.88,11.35,22100,250835.0,,,,,,,,
2007-05-24,11.16,11.16,10.19,10.25,13700,140425.0,,,,,,,,
2007-05-25,9.47,11.3,9.4,11.16,11600,129456.0,,,,,,,,
2007-05-28,10.88,11.3,10.6,10.6,13300,140980.0,,,,,,,,
2007-05-29,11.16,11.16,10.6,10.81,7100,76751.0,,,,,,,,
2007-05-30,10.46,10.47,10.25,10.4,9100,94640.0,,,,,,,,
2007-05-31,10.46,10.6,10.36,10.6,7600,80560.0,,,,,,,,
2007-06-01,10.6,10.6,10.46,10.6,9900,104940.0,,,,,,,,
2007-06-04,10.74,10.74,10.03,10.23,9300,95139.0,,,,,,,,
2007-06-05,9.96,9.96,9.75,9.89,9300,91977.0,,,,,,,,
2007-06-06,9.88,10.44,9.88,10.1,6900,69690.0,,,,,,,,
2007-06-07,10.23,10.46,10.23,10.32,8800,90816.0,,,,,,,,
2007-06-08,10.7,10.7,10.32,10.46,7900,82634.0,,,,,,,,
2007-06-11,10.54,10.58,9.75,10.32,10100,104232.0,,,,,,,,
2007-06-12,10.17,10.6,10.17,10.53,4100,43173.0,,,,,,,,
2007-06-13,10.53,10.53,10.46,10.46,4200,43932.0,,,,,,,,
2007-06-14,10.39,10.4,10.32,10.34,3100,32054.0,,,,,,,,
2007-06-15,10.34,10.36,10.08,10.32,3900,40248.0,,,,,,,,
2007-06-18,10.46,10.47,10.25,10.25,2300,23575.0,,,,,,,,
2007-06-19,10.17,10.17,10.03,10.03,2300,23069.0,,,,,,,,
2007-06-20,10.03,10.03,9.89,9.95,4100,40795.0,,,,,,,,
2007-06-21,9.89,9.89,9.89,9.89,500,4945.0,,,,,,,,
2007-06-22,9.75,9.78,9.75,9.75,1200,11700.0,,,,,,,,
2007-06-25,9.89,10.03,9.89,10.03,1700,17051.0,,,,,,,,
2007-06-26,9.82,9.82,9.61,9.61,5700,54777.0,,,,,,,,
2007-06-27,5.79,6.22,5.79,9.88,300,2964.0000000000005,,,,,,,,
2007-06-28,9.54,9.54,9.33,9.33,5700,53181.0,,,,,,,,
2007-06-29,6.5,6.5,6.08,9.47,9800,92806.0,,,,,,,,
2007-07-02,6.22,6.22,6.22,9.75,1700,16575.0,,,,,,,,
2007-07-03,5.79,5.79,5.79,9.19,1500,13785.0,,,,,,,,
2007-07-04,5.79,6.22,5.79,9.75,4900,47775.0,,,,,,,,
2007-07-05,6.22,6.22,5.94,9.4,1600,15040.0,,,,,,,,
2007-07-06,6.22,6.5,5.79,9.19,2300,21137.0,,,,,,,,
2007-07-09,5.94,6.08,5.94,9.47,1400,13258.0,,,,,,,,
2007-07-10,5.94,5.94,5.94,9.33,3500,32655.0,,,,,,,,
2007-07-11,5.94,5.94,5.94,9.41,2200,20702.0,,,,,,,,
2007-07-12,6.08,6.08,5.94,9.26,2800,25928.0,,,,,,,,
2007-07-13,5.94,9.38,9.38,9.38,0,0.0,,,,,,,,
2007-07-16,6.08,6.08,5.65,9.04,2700,24408.0,,,,,,,,
2007-07-17,5.65,5.94,5.65,9.4,2300,21620.0,,,,,,,,
2007-07-18,5.79,5.94,5.79,9.14,2500,22850.0,,,,,,,,
2007-07-19,5.79,5.79,5.79,9.04,2600,23504.0,,,,,,,,
2007-07-20,5.79,6.08,5.79,9.19,9800,90062.0,,,,,,,,
2007-07-23,6.08,6.08,5.94,9.4,7400,69560.0,,,,,,,,
2007-07-24,5.79,5.94,5.79,9.04,1800,16271.999999999998,,,,,,,,
2007-07-25,5.37,5.79,5.37,8.62,6000,51719.99999999999,,,,,,,,
2007-07-26,5.51,5.65,5.23,8.48,8800,74624.0,,,,,,,,
2007-07-27,5.37,5.51,5.09,8.46,8400,71064.0,,,,,,,,
2007-07-30,5.51,5.51,5.23,5.23,2100,10983.0,,,,,,,,
2007-07-31,5.51,5.51,5.09,5.12,800,4096.0,,,,,,,,
2007-08-01,5.09,5.23,5.09,5.23,6600,34518.0,,,,,,,,
2007-08-02,5.23,5.23,5.23,5.19,4400,22836.0,,,,,,,,
2007-08-03,5.23,5.23,5.23,5.2,2000,10400.0,,,,,,,,
2007-08-06,5.23,5.21,5.21,5.21,0,0.0,,,,,,,,
2007-08-07,5.23,5.23,5.09,5.09,3300,16797.0,,,,,,,,
2007-08-08,5.23,5.23,5.09,5.12,800,4096.0,,,,,,,,
