time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2017-10-25,20.319,21.422,17.996,19.157,858200,16440537.4,,,,,,,,
2017-10-26,19.68,19.738,18.577,18.577,113900,2115920.3000000003,,,,,,,,
2017-10-27,18.867,19.216,18.287,18.577,150000,2786550.0000000005,,,,,,,,
2017-10-30,18.287,18.751,17.126,17.126,192400,3295042.4000000004,,,,,,,,
2017-10-31,17.416,17.416,16.835,16.835,106600,1794611.0,,,,,,,,
2017-11-01,16.835,16.835,16.197,16.255,169300,2751971.5,,,,,,,,
2017-11-02,16.197,17.996,15.965,17.01,234400,3987144.000000001,,,,,,,,
2017-11-03,17.184,17.242,16.255,16.371,110300,1805721.3,,,,,,,,
2017-11-06,16.545,17.532,16.255,17.474,135900,2374716.6,,,,,,,,
2017-11-07,17.59,17.648,16.951,17.416,82100,1429853.6,,,,,,,,
2017-11-08,17.59,17.59,16.893,17.416,81300,1415920.8,,,,,,,,
2017-11-09,17.068,17.3,17.01,17.126,38600,661063.6000000001,,,,,,,,
2017-11-10,17.01,17.068,16.777,16.835,56600,952861.0,,,,,,,,
2017-11-13,16.951,16.951,16.545,16.545,38400,635328.0000000001,,,,,,,,
2017-11-14,16.487,16.487,16.255,16.371,66800,1093582.7999999998,,,,,,,,
2017-11-15,16.371,16.429,16.139,16.255,105100,1708400.5,,,,,,,,
2017-11-16,16.255,16.255,16.081,16.197,26900,435699.3,,,,,,,,
2017-11-17,16.139,16.313,15.965,16.023,57300,918117.9,,,,,,,,
2017-11-20,16.081,16.139,15.848,16.081,21400,344133.4,,,,,,,,
2017-11-21,16.023,16.023,15.848,15.965,29100,464581.5,,,,,,,,
2017-11-22,15.965,16.661,15.965,16.255,63400,1030567.0,,,,,,,,
2017-11-23,16.255,16.603,16.255,16.429,23500,386081.5,,,,,,,,
2017-11-24,16.429,17.996,16.371,17.358,149700,2598492.6,,,,,,,,
2017-11-27,17.416,17.416,16.893,16.893,18100,305763.3,,,,,,,,
