time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2010-09-08,5.21,5.21,5.21,5.21,2500,13025.0,,,,,,,,
2010-09-09,5.21,5.21,5.21,5.21,9900,51579.0,,,,,,,,
2010-09-10,5.21,5.21,5.21,5.21,100,521.0,,,,,,,,
2010-09-13,4.86,4.86,4.86,4.86,1000,4860.0,,,,,,,,
2010-09-14,5.21,5.21,4.69,5.04,6200,31248.0,,,,,,,,
2010-09-15,5.21,5.21,5.04,5.04,8000,40320.0,,,,,,,,
2010-09-16,5.21,5.28,5.21,5.28,33700,177936.0,,,,,,,,
2010-09-17,5.21,5.28,5.21,5.21,26900,140149.0,,,,,,,,
2010-09-20,5.21,5.21,5.21,5.21,34400,179224.0,,,,,,,,
2010-09-21,5.25,5.28,5.25,5.28,41400,218592.0,,,,,,,,
2010-09-22,5.25,5.28,5.25,5.28,6300,33264.0,,,,,,,,
2010-09-23,5.28,5.28,5.28,5.28,5400,28512.0,,,,,,,,
2010-09-24,5.28,5.8,5.28,5.8,5300,30740.0,,,,,,,,
2010-09-27,5.73,5.73,5.59,5.59,7100,39689.0,,,,,,,,
2010-09-28,5.56,5.56,5.56,5.56,6300,35028.0,,,,,,,,
2010-09-29,5.52,5.52,5.39,5.39,2800,15092.0,,,,,,,,
2010-09-30,5.35,5.56,5.35,5.56,20200,112312.0,,,,,,,,
2010-10-01,5.49,5.49,5.49,5.49,300,1647.0,,,,,,,,
2010-10-04,5.42,5.42,5.42,5.42,4000,21680.0,,,,,,,,
2010-10-05,5.21,5.21,5.21,5.21,19000,98990.0,,,,,,,,
2010-10-06,5.28,5.28,5.21,5.21,10300,53663.0,,,,,,,,
2010-10-07,5.21,5.25,5.21,5.25,11300,59325.0,,,,,,,,
2010-10-08,5.39,5.39,5.28,5.28,2100,11088.0,,,,,,,,
2010-10-11,5.39,5.39,5.32,5.32,1500,7980.0,,,,,,,,
2010-10-12,5.35,5.32,5.32,5.32,0,0.0,,,,,,,,
2010-10-13,5.25,5.25,5.21,5.21,9700,50537.0,,,,,,,,
2010-10-14,5.21,5.21,5.21,5.21,0,0.0,,,,,,,,
2010-10-15,5.21,5.21,5.21,5.21,7200,37512.0,,,,,,,,
2010-10-18,5.21,5.21,5.21,5.21,0,0.0,,,,,,,,
2010-10-19,5.21,5.21,5.21,5.21,0,0.0,,,,,,,,
2010-10-20,5.28,5.28,5.28,5.28,25000,132000.0,,,,,,,,
2010-10-21,5.14,5.14,5.04,5.04,8700,43848.0,,,,,,,,
2010-10-22,5.21,5.21,5.14,5.14,11700,60137.99999999999,,,,,,,,
2010-10-25,5.21,5.14,5.14,5.14,0,0.0,,,,,,,,
2010-10-26,5.21,5.14,5.14,5.14,0,0.0,,,,,,,,
2010-10-27,4.86,4.86,4.86,4.86,2000,9720.0,,,,,,,,
2010-10-28,4.86,4.86,4.86,4.86,0,0.0,,,,,,,,
2010-10-29,5.21,5.21,5.21,5.21,200,1042.0,,,,,,,,
2010-11-01,5.21,5.21,5.21,5.21,0,0.0,,,,,,,,
2010-11-02,5.21,5.21,5.21,5.21,0,0.0,,,,,,,,
2010-11-03,5.21,5.21,5.21,5.21,0,0.0,,,,,,,,
2010-11-04,5.21,5.21,5.21,5.21,0,0.0,,,,,,,,
2010-11-05,5.21,5.21,5.21,5.21,0,0.0,,,,,,,,
