time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2017-02-14,8.126,8.126,8.126,8.126,0,0.0,,,,,
2017-02-15,8.126,8.126,8.126,8.126,0,0.0,,,,,
2017-02-16,8.126,8.126,8.126,8.126,0,0.0,,,,,
2017-02-17,8.126,8.126,8.126,8.126,0,0.0,,,,,
2017-02-20,8.126,8.126,8.126,8.126,0,0.0,,,,,
2017-02-21,8.126,8.126,8.126,8.126,0,0.0,,,,,
2017-02-22,8.126,8.126,8.126,8.126,0,0.0,,,,,
2017-02-23,8.126,8.126,8.126,8.126,0,0.0,,,,,
2017-02-24,8.126,8.126,8.126,8.126,0,0.0,,,,,
2017-02-27,8.126,8.126,8.126,8.126,0,0.0,,,,,
2017-02-28,8.126,8.126,8.126,8.126,0,0.0,,,,,
2017-03-01,8.126,8.126,8.126,8.126,0,0.0,,,,,
2017-03-02,8.126,8.126,8.126,8.126,0,0.0,,,,,
2017-03-03,4.891,4.891,4.891,4.891,2700,13205.7,,,,,
2017-03-06,4.891,4.891,4.891,4.891,0,0.0,,,,,
2017-03-07,4.891,4.891,4.891,4.891,0,0.0,,,,,
2017-03-08,4.891,4.891,4.891,4.891,0,0.0,,,,,
2017-03-09,4.891,4.891,4.891,4.891,0,0.0,,,,,
2017-03-10,4.891,4.891,4.891,4.891,0,0.0,,,,,
2017-03-13,4.181,4.181,4.181,4.181,5000,20905.0,,,,,
2017-03-14,4.734,4.734,4.734,4.734,4400,20829.6,,,,,
2017-03-15,4.734,4.734,4.734,4.734,0,0.0,,,,,
2017-03-16,4.734,4.734,4.734,4.734,0,0.0,,,,,
2017-03-17,4.734,4.734,4.734,4.734,0,0.0,,,,,
2017-03-20,4.734,4.734,4.734,4.734,0,0.0,,,,,
2017-03-21,4.734,4.734,4.734,4.734,0,0.0,,,,,
2017-03-22,4.734,4.734,4.734,4.734,0,0.0,,,,,
2017-03-23,4.734,4.734,4.734,4.734,0,0.0,,,,,
2017-03-24,4.734,4.734,4.734,4.734,0,0.0,,,,,
2017-03-27,4.734,4.734,4.734,4.734,0,0.0,,,,,
2017-03-28,4.734,4.734,4.734,4.734,0,0.0,,,,,
2017-03-29,5.444,5.444,5.444,5.444,100,544.4,,,,,
2017-03-30,6.233,6.233,6.233,6.233,100,623.3,,,,,
2017-03-31,6.233,6.233,6.233,6.233,0,0.0,,,,,
2017-04-03,6.233,6.233,6.233,6.233,0,0.0,,,,,
2017-04-04,6.233,6.233,6.233,6.233,0,0.0,,,,,
2017-04-05,6.233,6.233,6.233,6.233,0,0.0,,,,,
2017-04-07,6.233,6.233,6.233,6.233,0,0.0,,,,,
2017-04-10,6.233,6.233,6.233,6.233,0,0.0,,,,,
2017-04-11,6.233,6.233,6.233,6.233,0,0.0,,,,,
2017-04-12,6.233,6.233,6.233,6.233,0,0.0,,,,,
2017-04-13,6.233,6.233,6.233,6.233,0,0.0,,,,,
2017-04-14,6.233,6.233,6.233,6.233,0,0.0,,,,,
2017-04-17,6.233,6.233,6.233,6.233,0,0.0,,,,,
2017-04-18,6.233,6.233,6.233,6.233,0,0.0,,,,,
2017-04-19,6.233,6.233,6.233,6.233,0,0.0,,,,,
2017-04-20,6.233,6.233,6.233,6.233,0,0.0,,,,,
2017-04-21,6.233,6.233,6.233,6.233,0,0.0,,,,,
2017-04-24,6.233,6.233,6.233,6.233,0,0.0,,,,,
2017-04-25,6.233,6.233,6.233,6.233,0,0.0,,,,,
2017-04-26,6.233,6.233,6.233,6.233,0,0.0,,,,,
