time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2013-01-02,2.902,2.902,2.89,2.902,1480,4294.96,,,,,,,,
2013-01-03,2.902,2.902,2.902,2.902,2500,7255.0,,,,,,,,
2013-01-04,2.913,2.947,2.913,2.947,9300,27407.1,,,,,,,,
2013-01-07,2.947,2.947,2.947,2.947,2500,7367.5,,,,,,,,
2013-01-08,2.958,2.97,2.923,2.923,6120,17888.760000000002,,,,,,,,
2013-01-09,2.947,2.947,2.923,2.923,7540,22039.42,,,,,,,,
2013-01-10,2.958,2.958,2.868,2.868,3490,10009.32,,,,,,,,
2013-01-11,2.913,2.913,2.913,2.913,1260,3670.38,,,,,,,,
2013-01-14,2.913,2.913,2.913,2.913,0,0.0,,,,,,,,
2013-01-15,2.913,2.947,2.913,2.947,1700,5009.900000000001,,,,,,,,
2013-01-16,2.958,2.97,2.958,2.97,1640,4870.8,,,,,,,,
2013-01-17,2.97,2.97,2.97,2.97,8170,24264.9,,,,,,,,
2013-01-18,2.947,2.97,2.947,2.97,4810,14285.7,,,,,,,,
2013-01-21,2.97,2.992,2.97,2.992,2030,6073.76,,,,,,,,
2013-01-22,2.992,2.992,2.992,2.992,0,0.0,,,,,,,,
2013-01-23,2.992,2.992,2.992,2.992,1000,2992.0,,,,,,,,
2013-01-24,3.028,3.085,3.016,3.085,14780,45596.3,,,,,,,,
2013-01-25,3.085,3.085,3.085,3.085,0,0.0,,,,,,,,
2013-01-28,3.106,3.106,3.016,3.016,5810,17522.96,,,,,,,,
2013-01-29,3.016,3.016,3.016,3.016,0,0.0,,,,,,,,
2013-01-30,3.016,3.028,3.016,3.028,1220,3694.16,,,,,,,,
2013-01-31,3.028,3.028,3.028,3.028,0,0.0,,,,,,,,
2013-02-01,3.028,3.028,3.028,3.028,0,0.0,,,,,,,,
2013-02-04,3.028,3.028,3.028,3.028,0,0.0,,,,,,,,
2013-02-05,3.028,3.028,3.028,3.028,0,0.0,,,,,,,,
2013-02-06,3.028,3.028,3.028,3.028,0,0.0,,,,,,,,
2013-02-07,3.028,3.028,3.028,3.028,0,0.0,,,,,,,,
2013-02-08,3.028,3.028,3.028,3.028,0,0.0,,,,,,,,
2013-02-18,3.028,3.028,3.028,3.028,0,0.0,,,,,,,,
2013-02-19,3.028,3.028,3.016,3.028,3400,10295.2,,,,,,,,
2013-02-20,3.028,3.028,3.028,3.028,100,302.8,,,,,,,,
2013-02-21,3.028,3.028,3.028,3.028,0,0.0,,,,,,,,
2013-02-22,3.028,3.028,3.028,3.028,40,121.12,,,,,,,,
2013-02-25,3.028,3.028,3.028,3.028,0,0.0,,,,,,,,
2013-02-26,3.028,3.028,3.028,3.028,0,0.0,,,,,,,,
2013-02-27,3.049,3.085,3.049,3.085,1000,3085.0,,,,,,,,
2013-02-28,3.095,3.29,3.095,3.29,16530,54383.7,,,,,,,,
2013-03-01,3.427,3.427,3.117,3.427,6560,22481.12,,,,,,,,
2013-03-04,3.198,3.198,3.198,3.198,850,2718.3,,,,,,,,
2013-03-05,3.154,3.154,3.154,3.154,10,31.54,,,,,,,,
