time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2020-03-17,9.086,9.086,9.086,9.086,3400,30892.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-03-18,10.445,10.445,10.445,10.445,13100,136829.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-03-19,11.991,11.991,11.991,11.991,5700,68348.7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-03-20,13.783,13.783,13.783,13.783,51800,713959.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-03-23,13.783,14.092,13.783,14.092,39600,558043.2000000001,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-03-24,13.968,14.154,13.968,14.03,31600,443348.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-03-25,13.968,14.277,13.968,14.277,62700,895167.8999999999,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-03-26,14.216,14.277,14.154,14.216,25300,359664.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-03-27,13.783,14.339,13.783,14.154,24900,352434.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-03-30,14.092,14.339,13.968,14.092,37400,527040.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-03-31,14.154,14.339,14.154,14.277,23300,332654.1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-04-01,14.277,14.339,14.092,14.216,21600,307065.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-04-03,14.277,14.339,14.03,14.03,20400,286212.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-04-06,14.092,14.216,13.907,13.907,33000,458931.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-04-07,14.092,14.216,14.03,14.092,17400,245200.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-04-08,13.968,14.092,13.968,13.968,28800,402278.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-04-09,13.968,14.092,13.968,14.092,19300,271975.60000000003,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-04-10,14.092,14.154,13.907,13.907,28000,389396.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-04-13,14.03,14.092,14.03,14.092,14000,197288.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-04-14,13.968,14.092,13.845,13.845,23800,329511.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-04-15,13.968,14.092,13.845,13.845,22000,304590.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-04-16,13.598,14.03,13.598,14.03,35400,496662.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-04-17,13.968,14.03,13.907,13.968,15000,209520.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-04-20,13.968,13.968,13.783,13.783,25900,356979.7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-04-21,13.907,13.907,13.659,13.845,29900,413965.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-04-22,13.845,13.845,13.721,13.845,24600,340587.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-04-23,13.845,13.907,13.783,13.845,59000,816855.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-04-24,13.845,13.968,13.845,13.907,18500,257279.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-04-27,13.845,13.907,13.659,13.783,21900,301847.7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-04-28,13.783,13.783,13.598,13.659,45100,616020.9,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-04-29,13.659,13.659,13.598,13.598,14200,193091.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-05-04,13.598,13.659,13.598,13.659,20900,285473.10000000003,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-05-05,13.659,13.659,13.598,13.598,20700,281478.60000000003,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-05-06,13.598,13.721,13.598,13.721,19100,262071.1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-05-07,13.721,13.845,13.598,13.721,35400,485723.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-05-08,13.721,13.907,13.598,13.845,20900,289360.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-05-11,13.598,13.598,13.103,13.103,47200,618461.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-05-12,13.412,13.412,13.165,13.35,25300,337755.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-05-13,13.412,13.412,13.103,13.165,20800,273832.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-05-14,13.227,13.227,13.103,13.103,20400,267301.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-05-15,13.165,13.289,12.98,13.103,23500,307920.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-05-18,13.289,13.289,12.98,13.103,76300,999758.9,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-05-19,13.165,13.35,13.165,13.289,33500,445181.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-05-20,13.289,13.474,13.041,13.041,33000,430353.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-05-21,13.35,13.35,12.856,12.98,48900,634722.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-05-22,12.98,13.041,12.918,12.918,46200,596811.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-05-25,12.918,13.103,12.918,13.041,39300,512511.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-05-26,13.041,13.227,12.794,12.918,61200,790581.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-05-27,12.98,12.98,12.98,12.98,10300,133694.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-05-28,12.98,13.103,12.98,13.041,31500,410791.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-05-29,13.227,13.227,12.856,12.918,61400,793165.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-06-01,12.98,12.98,12.856,12.98,18900,245322.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-06-02,12.98,13.227,12.98,13.103,34200,448122.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-06-03,13.165,13.289,12.794,13.041,50900,663786.9,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-06-04,13.041,13.041,12.918,12.98,23900,310222.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-06-05,12.98,13.103,12.98,13.103,34300,449432.9,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-06-08,13.103,13.165,12.98,12.98,53600,695728.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-06-09,12.98,12.98,12.856,12.918,15800,204104.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-06-10,12.918,12.98,12.918,12.98,27700,359546.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
