time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2015-09-30,10.687,11.008,10.509,11.008,397320,4373698.56,,,,,,,,
2015-10-01,11.222,11.756,11.08,11.756,236460,2779823.76,,,,,,,,
2015-10-02,11.756,12.22,11.756,11.934,57350,684414.8999999999,,,,,,,,
2015-10-05,11.934,12.469,11.934,12.469,275190,3431344.11,,,,,,,,
2015-10-06,13.288,13.288,12.826,12.969,228850,2967955.65,,,,,,,,
2015-10-07,12.969,12.969,12.647,12.826,204010,2616632.26,,,,,,,,
2015-10-08,12.647,12.826,12.327,12.826,163690,2099487.94,,,,,,,,
2015-10-09,12.826,12.826,12.398,12.54,97100,1217634.0,,,,,,,,
2015-10-12,12.184,12.576,12.113,12.469,83520,1041410.88,,,,,,,,
2015-10-13,12.469,12.717,12.469,12.682,96370,1222164.34,,,,,,,,
2015-10-14,12.682,12.754,12.682,12.717,184950,2352009.15,,,,,,,,
2015-10-15,12.647,12.969,12.647,12.969,165540,2146888.26,,,,,,,,
2015-10-16,12.931,13.217,12.931,13.217,374950,4955714.15,,,,,,,,
2015-10-19,13.217,13.431,13.217,13.394,204350,2737063.9,,,,,,,,
2015-10-20,13.394,13.502,13.394,13.431,201770,2709972.87,,,,,,,,
2015-10-21,13.431,13.431,13.075,13.217,429360,5674851.12,,,,,,,,
2015-10-22,13.181,13.288,13.075,13.288,132100,1755344.8,,,,,,,,
2015-10-23,13.288,13.359,13.181,13.181,127720,1683477.3199999998,,,,,,,,
2015-10-26,13.252,13.252,13.002,13.002,143630,1867477.26,,,,,,,,
2015-10-27,12.469,13.002,12.469,13.002,43090,560256.18,,,,,,,,
2015-10-28,12.931,13.039,12.931,12.931,36220,468360.82,,,,,,,,
2015-10-29,12.861,13.002,12.754,13.002,40170,522290.34,,,,,,,,
2015-10-30,12.896,13.002,12.826,12.931,14530,187887.43,,,,,,,,
2015-11-02,12.754,12.969,12.754,12.969,105520,1368488.88,,,,,,,,
2015-11-03,13.007,13.123,12.928,13.123,42640,559564.72,,,,,,,,
2015-11-04,13.123,13.399,13.123,13.399,100490,1346465.51,,,,,,,,
2015-11-05,13.399,13.595,13.399,13.595,103970,1413472.15,,,,,,,,
2015-11-06,13.556,13.595,13.516,13.595,12610,171432.95,,,,,,,,
2015-11-09,13.516,13.595,13.477,13.595,41540,564736.3,,,,,,,,
2015-11-10,13.439,13.595,13.439,13.595,9650,131191.75,,,,,,,,
2015-11-11,13.477,13.556,13.203,13.399,23000,308177.0,,,,,,,,
2015-11-12,13.321,13.516,13.321,13.516,8990,121508.84,,,,,,,,
2015-11-13,13.477,13.516,13.321,13.399,4490,60161.51,,,,,,,,
2015-11-16,13.321,13.516,13.007,13.359,6310,84295.29,,,,,,,,
2015-11-17,12.811,13.359,12.576,13.242,12270,162479.34,,,,,,,,
2015-11-18,12.928,13.123,12.616,12.928,3540,45765.12,,,,,,,,
2015-11-19,12.733,12.733,12.733,12.733,520,6621.16,,,,,,,,
2015-11-20,12.733,13.595,12.536,12.928,38280,494883.84,,,,,,,,
2015-11-23,12.223,13.321,12.223,12.928,21140,273297.92000000004,,,,,,,,
2015-11-24,12.928,12.928,12.34,12.851,37450,481269.95,,,,,,,,
2015-11-25,12.851,12.851,12.419,12.851,34370,441688.87000000005,,,,,,,,
2015-11-26,12.851,12.851,12.536,12.536,32040,401653.44,,,,,,,,
2015-11-27,12.928,12.928,12.459,12.536,36590,458692.24,,,,,,,,
2015-11-30,12.891,12.891,12.459,12.536,32880,412183.68,,,,,,,,
2015-12-01,12.851,12.851,12.616,12.811,86400,1106870.4,,,,,,,,
2015-12-02,12.811,13.516,12.772,13.242,54980,728045.16,,,,,,,,
2015-12-03,13.242,13.321,13.123,13.321,64980,865598.58,,,,,,,,
2015-12-04,13.321,13.321,13.047,13.123,37020,485813.46,,,,,,,,
2015-12-07,13.868,13.868,12.928,12.928,42170,545173.76,,,,,,,,
2015-12-08,12.928,13.047,12.694,12.772,73630,940402.36,,,,,,,,
2015-12-09,12.772,13.085,12.733,12.928,116020,1499906.56,,,,,,,,
2015-12-10,12.928,13.123,12.928,13.085,129000,1687965.0,,,,,,,,
2015-12-11,13.085,13.123,12.733,13.007,107210,1394480.47,,,,,,,,
2015-12-14,12.536,13.085,12.536,12.928,152420,1970485.76,,,,,,,,
2015-12-15,12.067,12.928,12.067,12.851,12160,156268.16,,,,,,,,
2015-12-16,12.576,12.654,12.536,12.536,37090,464960.24,,,,,,,,
2015-12-17,12.459,12.616,12.419,12.616,19920,251310.72,,,,,,,,
2015-12-18,12.027,12.536,12.027,12.498,21160,264457.68,,,,,,,,
2015-12-21,12.34,12.536,12.223,12.459,12170,151626.03,,,,,,,,
2015-12-22,11.792,12.536,11.792,12.536,5140,64435.04,,,,,,,,
2015-12-23,12.536,12.536,12.184,12.536,20000,250720.0,,,,,,,,
2015-12-24,12.536,12.536,12.067,12.536,22700,284567.2,,,,,,,,
2015-12-25,12.067,12.459,11.91,12.459,55990,697579.41,,,,,,,,
2015-12-28,12.459,12.459,12.459,12.459,10,124.59,,,,,,,,
2015-12-29,12.459,12.459,12.459,12.459,100,1245.9,,,,,,,,
2015-12-30,12.146,12.459,12.106,12.459,18000,224262.0,,,,,,,,
