time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2006-10-09,3.47,3.88,3.47,3.7,16700,61790.0,,,,,,,,
2006-10-10,3.8,3.86,3.62,3.72,7800,29016.0,,,,,,,,
2006-10-11,3.78,3.78,3.7,3.75,8100,30375.0,,,,,,,,
2006-10-12,3.77,3.77,3.73,3.73,3400,12682.0,,,,,,,,
2006-10-13,3.75,3.77,3.73,3.77,17800,67106.0,,,,,,,,
2006-10-16,3.78,3.78,3.77,3.78,7100,26838.0,,,,,,,,
2006-10-17,3.91,3.91,3.75,3.77,11100,41847.0,,,,,,,,
2006-10-18,3.78,3.78,3.72,3.77,3900,14703.0,,,,,,,,
2006-10-19,3.72,3.77,3.72,3.73,9100,33943.0,,,,,,,,
2006-10-20,3.73,3.73,3.7,3.73,5300,19769.0,,,,,,,,
2006-10-23,3.7,3.72,3.7,3.72,1400,5208.0,,,,,,,,
2006-10-24,3.7,3.7,3.69,3.69,300,1107.0,,,,,,,,
2006-10-25,3.62,3.66,3.62,3.66,1700,6222.0,,,,,,,,
2006-10-26,3.62,3.62,3.61,3.61,600,2166.0,,,,,,,,
2006-10-27,3.62,3.62,3.62,3.62,400,1448.0,,,,,,,,
2006-10-30,3.55,3.55,3.47,3.47,1000,3470.0,,,,,,,,
2006-10-31,3.62,3.62,3.5,3.47,200,694.0,,,,,,,,
2006-11-01,3.51,3.58,3.51,3.55,2200,7810.0,,,,,,,,
2006-11-02,3.47,3.51,3.47,3.51,2300,8072.999999999999,,,,,,,,
2006-11-03,3.55,3.55,3.5,3.51,8000,28080.0,,,,,,,,
2006-11-06,3.55,3.55,3.51,3.55,13300,47215.0,,,,,,,,
2006-11-07,3.55,3.62,3.55,3.62,4600,16652.0,,,,,,,,
2006-11-08,3.66,3.72,3.62,3.72,6600,24552.0,,,,,,,,
2006-11-09,3.7,3.78,3.7,3.78,10800,40824.0,,,,,,,,
2006-11-10,3.94,3.94,3.78,3.78,3400,12852.0,,,,,,,,
2006-11-13,3.86,3.86,3.78,3.78,6200,23436.0,,,,,,,,
2006-11-14,3.69,3.69,3.62,3.62,7000,25340.0,,,,,,,,
2006-11-15,3.62,3.64,3.62,3.64,3100,11284.0,,,,,,,,
2006-11-16,3.69,3.69,3.69,3.69,2000,7380.0,,,,,,,,
2006-11-17,3.67,3.7,3.67,3.7,2400,8880.0,,,,,,,,
2006-11-20,3.72,3.78,3.7,3.77,7700,29029.0,,,,,,,,
2006-11-21,3.78,3.81,3.78,3.78,6700,25326.0,,,,,,,,
2006-11-22,3.8,3.8,3.78,3.78,6400,24192.0,,,,,,,,
2006-11-23,3.78,3.81,3.78,3.81,4700,17907.0,,,,,,,,
2006-11-24,3.86,3.86,3.81,3.86,10000,38600.0,,,,,,,,
2006-11-27,3.86,3.86,3.86,3.86,0,0.0,,,,,,,,
2006-11-28,3.86,3.86,3.86,3.86,4000,15440.0,,,,,,,,
2006-11-29,3.78,3.88,3.78,3.88,14400,55872.0,,,,,,,,
2006-11-30,3.89,3.97,3.89,3.94,17000,66980.0,,,,,,,,
