time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2019-12-20,16.282,18.814,16.282,18.814,45700,859799.8,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2019-12-23,18.694,20.684,18.694,20.684,5800,119967.2,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2019-12-24,22.01,22.433,20.684,20.684,39900,825291.6000000001,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2019-12-25,20.804,20.804,19.297,19.357,5300,102592.1,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2019-12-26,18.694,18.694,18.091,18.091,3300,59700.3,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2019-12-27,16.885,19.297,16.885,17.608,2300,40498.4,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2019-12-30,17.608,17.608,17.608,17.608,0,0.0,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2019-12-31,17.608,19.297,17.608,18.03,500,9015.0,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2020-01-02,19.779,19.779,18.211,18.211,600,10926.6,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2020-01-03,18.392,19.297,18.392,18.995,3000,56985.0,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2020-01-06,18.995,18.995,18.995,18.995,0,0.0,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2020-01-07,18.392,19.297,18.392,19.297,900,17367.3,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2020-01-08,19.297,19.297,19.297,19.297,0,0.0,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2020-01-09,20.503,21.106,20.503,21.106,300,6331.8,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2020-01-10,20.503,20.503,20.503,20.503,100,2050.3,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2020-01-13,21.106,21.106,21.106,21.106,100,2110.6000000000004,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2020-01-14,21.227,21.468,21.046,21.046,1100,23150.6,500.0,0.0,20000.0,0.0,,6.86,0.02,0.0
2020-01-15,21.046,21.046,21.046,21.046,0,0.0,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2020-01-16,21.046,21.046,21.046,21.046,0,0.0,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2020-01-17,18.995,21.106,18.995,21.106,900,18995.4,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2020-01-20,21.106,21.106,21.106,21.106,0,0.0,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2020-01-21,21.106,21.106,21.106,21.106,0,0.0,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2020-01-22,21.709,21.709,21.407,21.407,800,17125.6,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2020-01-30,21.407,21.407,21.407,21.407,0,0.0,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2020-01-31,19.598,21.106,19.297,19.297,1800,34734.6,0.0,100.0,0.0,0.0,,6.86,0.0,0.0
2020-02-03,19.297,19.297,19.297,19.297,0,0.0,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2020-02-04,21.106,21.106,18.151,19.9,600,11940.0,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2020-02-05,19.9,19.9,19.9,19.9,0,0.0,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2020-02-06,20.744,20.744,20.744,20.744,235,4874.84,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2020-02-07,20.503,20.503,19.598,19.598,600,11758.8,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2020-02-10,19.297,19.297,19.297,19.297,100,1929.7,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2020-02-11,19.297,19.297,19.297,19.297,0,0.0,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
2020-02-12,19.297,19.598,18.995,19.598,5000,97990.0,0.0,0.0,0.0,0.0,,6.86,0.0,0.0
