time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2008-09-09,7.74,8.51,7.74,8.13,165860,1348441.8,,,,,,,,
2008-09-10,7.93,7.93,7.74,7.74,43460,336380.4,,,,,,,,
2008-09-11,7.35,7.35,7.35,7.35,21550,158392.5,,,,,,,,
2008-09-12,7.01,7.01,7.01,7.01,250,1752.5,,,,,,,,
2008-09-15,6.67,7.01,6.67,6.67,54370,362647.9,,,,,,,,
2008-09-16,6.38,6.38,6.38,6.38,610,3891.8,,,,,,,,
2008-09-17,6.09,6.09,6.09,6.09,20,121.8,,,,,,,,
2008-09-18,5.8,5.8,5.8,5.8,30,174.0,,,,,,,,
2008-09-19,5.51,6.09,5.51,5.9,127160,750244.0,,,,,,,,
2008-09-22,6.19,6.19,6.09,6.09,59460,362111.4,,,,,,,,
2008-09-23,5.8,5.8,5.8,5.8,5830,33814.0,,,,,,,,
2008-09-24,5.51,5.51,5.51,5.51,20300,111853.0,,,,,,,,
2008-09-25,5.27,5.76,5.27,5.76,56750,326880.0,,,,,,,,
2008-09-26,5.95,5.95,5.51,5.56,36290,201772.4,,,,,,,,
2008-09-29,5.37,5.37,5.32,5.32,57690,306910.8,,,,,,,,
2008-09-30,5.08,5.08,5.08,5.08,24860,126288.8,,,,,,,,
2008-10-01,5.32,5.32,5.13,5.22,23170,120947.4,,,,,,,,
2008-10-02,5.47,5.47,5.42,5.47,39040,213548.8,,,,,,,,
2008-10-03,5.42,5.71,5.42,5.71,33640,192084.4,,,,,,,,
2008-10-06,5.85,5.85,5.47,5.47,64600,353362.0,,,,,,,,
2008-10-07,5.22,5.71,5.22,5.22,36450,190269.0,,,,,,,,
2008-10-08,4.98,5.22,4.98,4.98,26460,131770.80000000002,,,,,,,,
2008-10-09,4.74,5.03,4.74,4.74,52040,246669.6,,,,,,,,
2008-10-10,4.51,4.51,4.51,4.51,35080,158210.8,,,,,,,,
2008-10-13,4.72,4.73,4.51,4.53,16150,73159.5,,,,,,,,
2008-10-14,4.75,4.75,4.75,4.75,7800,37050.0,,,,,,,,
2008-10-15,4.98,4.98,4.93,4.98,18900,94122.0,,,,,,,,
2008-10-16,4.98,5.22,4.93,5.22,25430,132744.6,,,,,,,,
2008-10-17,5.47,5.47,5.47,5.47,5610,30686.7,,,,,,,,
2008-10-20,5.71,5.71,5.71,5.71,30840,176096.4,,,,,,,,
2008-10-21,5.95,5.95,5.71,5.95,41040,244188.0,,,,,,,,
2008-10-22,5.66,5.9,5.66,5.66,51270,290188.2,,,,,,,,
2008-10-23,5.66,5.66,5.42,5.42,21070,114199.4,,,,,,,,
2008-10-24,5.42,5.42,5.17,5.42,31510,170784.2,,,,,,,,
2008-10-27,5.17,5.42,5.17,5.32,30230,160823.6,,,,,,,,
2008-10-28,5.32,5.32,5.27,5.32,20430,108687.6,,,,,,,,
2008-10-29,5.56,5.56,5.42,5.56,46340,257650.4,,,,,,,,
2008-10-30,5.56,5.61,5.42,5.56,16120,89627.2,,,,,,,,
2008-10-31,5.56,5.56,5.37,5.51,21270,117197.7,,,,,,,,
2008-11-03,5.32,5.51,5.27,5.27,19180,101078.6,,,,,,,,
2008-11-04,5.42,5.51,5.32,5.51,37890,208773.9,,,,,,,,
2008-11-05,5.71,5.71,5.51,5.66,10710,60618.6,,,,,,,,
2008-11-06,5.42,5.61,5.42,5.61,17280,96940.8,,,,,,,,
2008-11-07,5.37,5.61,5.37,5.37,10980,58962.6,,,,,,,,
2008-11-10,5.22,5.42,5.22,5.42,21070,114199.4,,,,,,,,
2008-11-11,5.42,5.51,5.42,5.42,13500,73170.0,,,,,,,,
2008-11-12,5.42,5.42,5.37,5.42,5200,28184.0,,,,,,,,
2008-11-13,5.42,5.42,5.37,5.42,7220,39132.4,,,,,,,,
2008-11-14,5.47,5.47,5.37,5.42,15100,81842.0,,,,,,,,
2008-11-17,5.22,5.42,5.22,5.42,12130,65744.6,,,,,,,,
2008-11-18,5.42,5.47,5.37,5.47,21060,115198.2,,,,,,,,
2008-11-19,5.51,5.51,5.47,5.51,23410,128989.1,,,,,,,,
2008-11-20,5.51,5.76,5.32,5.76,24710,142329.6,,,,,,,,
2008-11-21,5.76,5.9,5.66,5.9,56900,335710.0,,,,,,,,
2008-11-24,5.76,5.95,5.76,5.9,19470,114873.0,,,,,,,,
2008-11-25,5.9,5.9,5.8,5.9,25710,151689.0,,,,,,,,
2008-11-26,5.85,5.85,5.8,5.85,18360,107406.0,,,,,,,,
2008-11-27,5.8,5.8,5.76,5.76,4300,24768.0,,,,,,,,
2008-11-28,5.51,5.8,5.51,5.8,33170,192386.0,,,,,,,,
2008-12-01,5.71,5.8,5.66,5.8,11210,65018.0,,,,,,,,
2008-12-02,5.51,5.76,5.51,5.51,11650,64191.5,,,,,,,,
2008-12-03,5.51,5.66,5.51,5.66,4720,26715.2,,,,,,,,
2008-12-04,5.76,5.76,5.56,5.56,1350,7505.999999999999,,,,,,,,
2008-12-05,5.27,5.51,5.27,5.51,2250,12397.5,,,,,,,,
2008-12-08,5.51,5.51,5.27,5.27,5200,27404.0,,,,,,,,
2008-12-09,5.32,5.51,5.08,5.08,4000,20320.0,,,,,,,,
2008-12-10,5.17,5.17,4.98,5.08,2150,10922.0,,,,,,,,
2008-12-11,5.08,5.08,4.98,5.08,2900,14732.0,,,,,,,,
2008-12-12,5.13,5.27,5.13,5.27,10070,53068.9,,,,,,,,
2008-12-15,5.47,5.51,5.42,5.47,6310,34515.7,,,,,,,,
2008-12-16,5.56,5.66,5.56,5.56,15500,86180.0,,,,,,,,
2008-12-17,5.32,5.51,5.32,5.37,27000,144990.0,,,,,,,,
2008-12-18,5.27,5.32,5.13,5.13,25000,128250.0,,,,,,,,
2008-12-19,4.88,5.08,4.88,4.88,16830,82130.4,,,,,,,,
2008-12-22,5.13,5.13,5.03,5.03,610,3068.3,,,,,,,,
2008-12-23,4.88,5.03,4.79,4.88,9160,44700.8,,,,,,,,
2008-12-24,4.84,4.84,4.74,4.74,15000,71100.0,,,,,,,,
2008-12-25,4.74,4.74,4.74,4.74,0,0.0,,,,,,,,
2008-12-26,4.74,4.88,4.74,4.88,150,732.0,,,,,,,,
2008-12-29,4.93,5.03,4.84,4.93,1030,5077.9,,,,,,,,
2008-12-30,4.75,4.93,4.75,4.93,6640,32735.2,,,,,,,,
2008-12-31,4.93,4.98,4.93,4.98,6280,31274.4,,,,,,,,
2009-01-02,4.98,4.98,4.98,4.98,10,49.8,,,,,,,,
2009-01-05,4.93,4.93,4.93,4.93,4610,22727.3,,,,,,,,
2009-01-06,4.93,4.93,4.93,4.93,70,345.1,,,,,,,,
2009-01-07,4.98,4.98,4.84,4.98,5550,27639.000000000004,,,,,,,,
2009-01-08,4.84,4.88,4.74,4.84,6710,32476.4,,,,,,,,
2009-01-09,4.79,4.84,4.79,4.79,2690,12885.1,,,,,,,,
2009-01-12,4.64,4.74,4.64,4.64,6210,28814.4,,,,,,,,
2009-01-13,4.84,4.84,4.5,4.55,3060,13923.0,,,,,,,,
2009-01-14,4.64,4.64,4.55,4.64,1200,5568.0,,,,,,,,
2009-01-15,4.74,4.74,4.74,4.74,10,47.400000000000006,,,,,,,,
2009-01-16,4.69,4.74,4.57,4.69,5900,27671.000000000004,,,,,,,,
2009-01-19,4.5,4.55,4.5,4.5,5000,22500.0,,,,,,,,
