time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2016-10-05,7.676,7.676,7.676,7.676,205890,1580411.64,,,,,
2016-10-06,8.209,8.209,8.209,8.209,14250,116978.25,,,,,
2016-10-07,8.763,8.763,8.763,8.763,30910,270864.33,,,,,
2016-10-10,9.36,9.36,9.36,9.36,450360,4215369.6,,,,,
2016-10-11,10.0,10.0,10.0,10.0,799790,7997900.0,,,,,
2016-10-12,10.682,10.682,10.682,10.682,1130610,12077176.02,,,,,
2016-10-13,11.428,11.428,11.407,11.428,3145880,35951116.64,,,,,
2016-10-14,12.153,12.217,11.94,12.217,2242380,27395156.46,,,,,
2016-10-17,13.049,13.07,12.963,13.07,1428260,18667358.2,,,,,
2016-10-18,13.965,13.965,13.944,13.965,1439460,20102058.9,,,,,
2016-10-19,14.904,14.904,13.006,13.006,1389260,18068715.56,,,,,
2016-10-20,12.11,12.11,12.11,12.11,805310,9752304.1,,,,,
2016-10-21,11.279,12.601,11.279,12.366,3892820,48138612.12,,,,,
2016-10-24,12.409,12.729,12.388,12.644,1239320,15669962.08,,,,,
2016-10-25,12.686,13.049,11.897,12.132,1387380,16831694.16,,,,,
2016-10-26,11.513,12.153,11.322,12.153,2192960,26651042.880000003,,,,,
2016-10-27,12.217,12.729,12.217,12.707,1137290,14451544.03,,,,,
2016-10-28,11.983,12.963,11.983,12.878,1771130,22808612.14,,,,,
2016-10-31,12.729,12.729,11.983,12.068,557560,6728634.08,,,,,
2016-11-01,11.386,12.281,11.236,12.068,941280,11359367.04,,,,,
2016-11-02,12.089,12.089,11.236,11.236,733570,8242392.52,,,,,
2016-11-03,10.469,10.831,10.469,10.469,280160,2932995.04,,,,,
2016-11-04,9.744,10.213,9.744,10.106,1020320,10311353.92,,,,,
2016-11-07,9.808,10.234,9.403,9.403,179850,1691129.55,,,,,
2016-11-08,8.763,10.042,8.763,10.042,1175430,11803668.06,,,,,
2016-11-09,10.085,10.469,9.595,10.17,1376620,14000225.4,,,,,
2016-11-10,10.213,10.874,10.192,10.192,617110,6289585.12,,,,,
2016-11-11,9.595,10.192,9.488,9.488,610960,5796788.48,,,,,
2016-11-14,9.381,9.424,8.955,9.317,910960,8487414.32,,,,,
2016-11-15,9.339,9.531,9.339,9.509,717210,6819949.890000001,,,,,
2016-11-16,9.552,9.786,9.552,9.637,1183670,11407027.79,,,,,
2016-11-17,9.381,9.637,9.381,9.509,775880,7377842.92,,,,,
2016-11-18,9.552,10.0,9.552,9.936,1545900,15360062.4,,,,,
2016-11-21,10.021,10.575,9.957,9.957,265960,2648163.72,,,,,
2016-11-22,9.957,10.17,9.957,10.0,1039110,10391100.0,,,,,
2016-11-23,10.0,10.149,9.317,9.467,352320,3335413.4400000004,,,,,
2016-11-24,9.467,9.573,8.955,9.04,282950,2557867.9999999995,,,,,
2016-11-25,9.04,9.126,8.443,8.742,260410,2276504.22,,,,,
2016-11-28,8.763,8.784,8.145,8.23,164100,1350543.0,,,,,
2016-11-29,7.718,8.806,7.697,8.806,377890,3327699.34,,,,,
2016-11-30,8.87,9.381,8.699,8.848,410010,3627768.48,,,,,
2016-12-01,8.848,8.848,8.315,8.401,152600,1281992.6,,,,,
2016-12-02,7.974,8.401,7.974,8.187,338550,2771708.85,,,,,
2016-12-05,8.443,8.748,8.443,8.748,403940,3533667.12,,,,,
2016-12-06,8.818,9.1,8.748,8.771,447500,3925022.500000001,,,,,
2016-12-07,8.49,8.983,8.49,8.959,457640,4099996.76,,,,,
2016-12-08,9.147,9.287,8.959,9.287,541740,5031139.380000001,,,,,
2016-12-09,9.053,9.287,9.053,9.287,395990,3677559.13,,,,,
2016-12-12,9.053,9.147,8.748,8.748,154710,1353403.0799999998,,,,,
2016-12-13,8.607,8.654,8.209,8.209,115150,945266.35,,,,,
2016-12-14,8.021,8.537,7.927,8.232,188730,1553625.36,,,,,
2016-12-15,8.185,8.279,8.115,8.256,254330,2099748.48,,,,,
2016-12-16,8.279,8.349,8.256,8.302,316980,2631567.96,,,,,
2016-12-19,8.256,8.42,8.232,8.396,461400,3873914.4,,,,,
2016-12-20,8.373,8.49,8.349,8.373,330030,2763341.19,,,,,
2016-12-21,8.373,8.396,8.209,8.373,602550,5045151.149999999,,,,,
2016-12-22,8.302,8.349,8.091,8.209,137410,1127998.69,,,,,
2016-12-23,8.138,8.209,7.974,8.138,67440,548826.72,,,,,
2016-12-26,8.162,8.185,7.88,8.021,104860,841082.06,,,,,
2016-12-27,8.068,8.091,7.646,7.74,354160,2741198.4,,,,,
2016-12-28,7.669,7.716,7.505,7.599,237510,1804838.49,,,,,
2016-12-29,7.505,7.622,7.106,7.505,312690,2346738.45,,,,,
2016-12-30,7.317,7.927,7.294,7.927,763300,6050679.1,,,,,
2017-01-03,7.763,7.927,7.763,7.927,524250,4155729.75,,,,,
2017-01-04,7.951,7.974,7.833,7.88,532300,4194524.0,,,,,
2017-01-05,7.74,8.068,7.74,7.998,954840,7636810.32,,,,,
2017-01-06,7.927,7.951,7.786,7.951,736580,5856547.58,,,,,
2017-01-09,8.021,8.115,8.021,8.068,710260,5730377.68,,,,,
2017-01-10,7.88,8.068,7.763,7.88,665850,5246898.0,,,,,
2017-01-11,7.88,7.951,7.74,7.951,764900,6081719.899999999,,,,,
2017-01-12,7.951,8.068,7.646,7.88,1352390,10656833.2,,,,,
2017-01-13,7.857,7.857,7.646,7.833,528940,4143187.02,,,,,
2017-01-16,7.646,7.786,7.599,7.74,101340,784371.6,,,,,
2017-01-17,7.763,7.763,7.458,7.505,175430,1316602.15,,,,,
2017-01-18,7.411,7.622,7.13,7.411,449810,3333541.91,,,,,
2017-01-19,7.411,7.411,7.224,7.341,337660,2478762.06,,,,,
2017-01-20,7.13,7.833,7.13,7.833,1088720,8527943.76,,,,,
2017-01-23,7.927,7.974,7.763,7.833,1001740,7846629.42,,,,,
2017-01-24,7.646,7.857,7.646,7.763,166130,1289667.19,,,,,
2017-01-25,7.669,7.904,7.552,7.904,454370,3591340.48,,,,,
2017-02-02,7.927,7.951,7.81,7.833,467920,3665217.36,,,,,
2017-02-03,7.669,7.904,7.599,7.786,527030,4103455.58,,,,,
2017-02-06,7.646,7.74,7.622,7.716,723590,5583220.44,,,,,
2017-02-07,7.646,7.693,7.528,7.669,873580,6699485.02,,,,,
2017-02-08,7.552,7.693,7.435,7.552,406410,3069208.32,,,,,
2017-02-09,7.622,7.74,7.552,7.599,971380,7381516.62,,,,,
2017-02-10,7.552,7.622,7.528,7.599,628100,4772931.9,,,,,
2017-02-13,7.505,7.998,7.364,7.951,1490320,11849534.32,,,,,
2017-02-14,7.88,8.209,7.857,8.138,1701010,13842819.38,,,,,
2017-02-15,8.162,8.162,7.81,7.974,648820,5173690.68,,,,,
2017-02-16,7.998,8.091,7.974,8.044,856650,6890892.600000001,,,,,
2017-02-17,8.091,8.138,7.974,8.044,518980,4174675.12,,,,,
2017-02-20,8.021,8.044,7.786,7.833,435780,3413464.74,,,,,
2017-02-21,7.833,7.951,7.693,7.786,611860,4763941.96,,,,,
2017-02-22,7.786,7.786,7.482,7.622,654550,4988980.1,,,,,
2017-02-23,7.622,7.716,7.622,7.669,377190,2892670.11,,,,,
2017-02-24,7.599,7.74,7.575,7.693,460030,3539010.79,,,,,
2017-02-27,7.693,7.716,7.177,7.716,611930,4721651.88,,,,,
2017-02-28,7.74,7.74,7.575,7.622,311580,2374862.76,,,,,
2017-03-01,7.599,7.622,7.458,7.552,271930,2053615.36,,,,,
2017-03-02,7.575,7.693,7.482,7.505,444350,3334846.75,,,,,
2017-03-03,7.528,7.575,7.458,7.575,319000,2416425.0,,,,,
2017-03-06,7.622,7.646,7.552,7.599,365180,2775002.8200000003,,,,,
2017-03-07,7.599,7.669,7.528,7.669,572700,4392036.3,,,,,
2017-03-08,7.669,7.716,7.575,7.669,774020,5935959.38,,,,,
2017-03-09,7.599,7.669,7.552,7.622,739780,5638603.16,,,,,
2017-03-10,7.575,7.646,7.528,7.575,734820,5566261.5,,,,,
2017-03-13,7.27,7.505,7.27,7.294,521770,3805790.38,,,,,
2017-03-14,7.153,7.528,7.153,7.528,1339100,10080744.8,,,,,
2017-03-15,7.388,7.716,7.388,7.693,1527440,11750595.92,,,,,
2017-03-16,7.693,7.833,7.693,7.833,1306070,10230446.31,,,,,
2017-03-17,7.786,8.326,7.763,8.302,1818910,15100590.819999998,,,,,
2017-03-20,8.256,8.443,8.256,8.396,1315030,11040991.88,,,,,
2017-03-21,8.42,8.443,8.115,8.326,1106450,9212302.7,,,,,
2017-03-22,8.326,8.584,8.326,8.513,1977230,16832158.99,,,,,
2017-03-23,8.49,8.912,8.302,8.912,1364990,12164790.88,,,,,
2017-03-24,8.771,8.771,8.584,8.631,601920,5195171.5200000005,,,,,
2017-03-27,8.513,8.771,8.513,8.701,1036850,9021631.85,,,,,
2017-03-28,8.701,8.725,8.443,8.513,1066770,9081413.01,,,,,
2017-03-29,8.373,8.49,8.302,8.42,1098030,9245412.6,,,,,
2017-03-30,8.349,8.584,8.232,8.537,1244880,10627540.56,,,,,
2017-03-31,8.443,8.56,8.232,8.232,699400,5757460.8,,,,,
2017-04-03,8.256,8.373,8.209,8.302,973990,8086064.979999999,,,,,
2017-04-04,8.279,8.42,8.279,8.396,1261940,10595248.24,,,,,
2017-04-05,8.42,8.443,8.373,8.396,940450,7896018.200000001,,,,,
2017-04-07,8.396,8.42,8.256,8.396,689360,5787866.5600000005,,,,,
2017-04-10,8.42,8.467,8.373,8.42,1286570,10832919.4,,,,,
2017-04-11,8.443,8.584,8.349,8.537,1909480,16301230.760000002,,,,,
