time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2006-12-29,20.55,20.55,20.55,20.55,7000,143850.0,,,,,,,,
2007-01-02,20.55,21.55,20.55,21.55,26870,579048.5,,,,,,,,
2007-01-03,21.55,21.55,21.13,21.13,38730,818364.8999999999,,,,,,,,
2007-01-04,21.13,21.13,21.13,21.13,9350,197565.5,,,,,,,,
2007-01-05,20.55,20.55,20.08,20.08,7050,141564.0,,,,,,,,
2007-01-08,19.08,19.08,19.08,19.08,9350,178397.99999999997,,,,,,,,
2007-01-09,18.49,18.49,18.14,18.14,6950,126073.0,,,,,,,,
2007-01-10,17.26,17.26,17.26,17.26,6740,116332.4,,,,,,,,
2007-01-11,17.03,17.26,17.03,17.26,31930,551111.8,,,,,,,,
2007-01-12,17.26,17.61,17.26,17.55,31650,555457.5,,,,,,,,
2007-01-15,17.03,17.03,16.73,16.73,20780,347649.4,,,,,,,,
2007-01-16,17.55,17.55,16.14,17.55,31430,551596.5,,,,,,,,
2007-01-17,17.91,17.91,16.73,16.73,36920,617671.6,,,,,,,,
2007-01-18,16.73,16.73,15.91,15.91,42420,674902.2,,,,,,,,
2007-01-19,16.44,16.67,16.14,16.67,42310,705307.7000000001,,,,,,,,
2007-01-22,16.73,17.49,16.73,17.49,56030,979964.7,,,,,,,,
2007-01-23,18.32,18.32,18.32,18.32,30770,563706.4,,,,,,,,
2007-01-24,19.2,19.2,19.2,19.2,119680,2297856.0,,,,,,,,
2007-01-25,19.2,19.96,19.2,19.96,79670,1590213.2,,,,,,,,
2007-01-26,19.96,19.96,19.37,19.37,52630,1019443.1,,,,,,,,
2007-01-29,18.79,19.61,18.79,19.61,67150,1316811.5,,,,,,,,
2007-01-30,20.55,20.55,20.55,20.55,125930,2587861.5,,,,,,,,
2007-01-31,21.55,21.55,19.96,19.96,74680,1490612.8,,,,,,,,
2007-02-01,20.96,20.96,20.84,20.84,128180,2671271.2,,,,,,,,
2007-02-02,19.96,19.96,19.96,19.96,24900,497004.0,,,,,,,,
2007-02-05,19.96,19.96,19.96,19.96,18790,375048.4,,,,,,,,
2007-02-06,20.43,20.43,19.96,20.43,53830,1099746.9,,,,,,,,
2007-02-07,19.96,20.31,19.96,20.31,54220,1101208.2,,,,,,,,
2007-02-08,20.14,20.14,19.67,19.96,36280,724148.8,,,,,,,,
2007-02-09,19.96,19.96,19.96,19.96,22500,449100.0,,,,,,,,
2007-02-12,19.96,19.96,19.96,19.96,19780,394808.8,,,,,,,,
2007-02-13,18.96,20.25,18.96,20.25,25640,519210.0,,,,,,,,
2007-02-14,20.25,20.25,19.96,19.96,16360,326545.60000000003,,,,,,,,
2007-02-15,19.96,20.55,19.96,20.25,42660,863865.0,,,,,,,,
2007-02-26,21.13,21.13,21.13,21.13,82490,1743013.7,,,,,,,,
2007-02-27,21.43,21.55,21.37,21.37,135900,2904183.0,,,,,,,,
2007-02-28,21.43,21.43,21.13,21.13,80920,1709839.6,,,,,,,,
2007-03-01,20.55,20.55,20.08,20.08,54300,1090344.0,,,,,,,,
2007-03-02,20.08,21.08,20.08,20.55,95440,1961292.0,,,,,,,,
2007-03-05,21.55,21.55,21.55,21.55,268420,5784451.0,,,,,,,,
2007-03-06,22.02,22.6,22.02,22.6,284570,6431282.0,,,,,,,,
2007-03-07,23.72,23.72,23.72,23.72,319930,7588739.6,,,,,,,,
2007-03-08,24.89,24.89,24.89,24.89,304910,7589209.9,,,,,,,,
2007-03-09,26.12,26.12,26.12,26.12,87950,2297254.0,,,,,,,,
2007-03-12,27.42,27.42,27.42,27.42,85830,2353458.6,,,,,,,,
2007-03-13,28.77,28.77,28.77,28.77,302140,8692567.8,,,,,,,,
2007-03-14,27.36,27.36,27.36,27.36,195740,5355446.399999999,,,,,,,,
2007-03-15,26.01,26.01,26.01,26.01,52790,1373067.9,,,,,,,,
2007-03-16,24.72,24.72,24.72,24.72,99840,2468044.8,,,,,,,,
2007-03-19,25.95,25.95,25.24,25.24,215240,5432657.6,,,,,,,,
2007-03-20,24.95,24.95,24.66,24.66,107360,2647497.6,,,,,,,,
2007-03-21,24.07,24.07,23.42,23.42,87510,2049484.2,,,,,,,,
2007-03-22,22.31,22.31,22.31,22.31,83830,1870247.3,,,,,,,,
2007-03-23,21.43,21.72,21.43,21.72,111340,2418304.8,,,,,,,,
2007-03-26,21.72,21.72,20.67,20.67,103270,2134590.9000000004,,,,,,,,
2007-03-27,19.67,19.67,19.67,19.67,136600,2686922.0000000005,,,,,,,,
2007-03-28,18.9,18.9,18.73,18.79,107950,2028380.5,,,,,,,,
2007-03-29,19.73,19.73,19.73,19.73,63390,1250684.7,,,,,,,,
2007-03-30,20.67,20.67,20.67,20.67,66260,1369594.2000000002,,,,,,,,
2007-04-02,21.66,21.66,21.66,21.66,190920,4135327.2,,,,,,,,
2007-04-03,20.61,20.61,20.61,20.61,75960,1565535.6,,,,,,,,
2007-04-04,20.61,21.13,20.61,21.13,38710,817942.2999999999,,,,,,,,
2007-04-05,20.43,21.13,20.43,21.13,64360,1359926.8,,,,,,,,
2007-04-06,20.55,20.55,20.25,20.25,32430,656707.5,,,,,,,,
2007-04-09,21.13,21.13,19.96,19.96,15070,300797.2,,,,,,,,
2007-04-10,19.96,20.55,19.96,20.55,16750,344212.5,,,,,,,,
2007-04-11,20.25,20.49,20.25,20.25,17600,356400.0,,,,,,,,
