time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2006-12-14,62.35,62.35,62.35,62.35,92900,5792315.0,,,,,,,,
2006-12-15,59.24,65.47,59.24,65.47,845440,55350956.8,,,,,,,,
2006-12-18,62.35,62.35,62.35,62.35,265860,16576371.0,,,,,,,,
2006-12-19,59.24,59.24,59.24,59.24,26940,1595925.6,,,,,,,,
2006-12-20,56.33,56.33,56.33,56.33,16420,924938.6,,,,,,,,
2006-12-21,55.5,55.5,53.62,53.62,2480,132977.6,,,,,,,,
2006-12-22,51.34,51.34,51.13,51.13,1530,78228.90000000001,,,,,,,,
2006-12-25,51.13,51.13,48.64,48.64,1420,69068.8,,,,,,,,
2006-12-26,46.35,46.35,46.35,46.35,7320,339282.0,,,,,,,,
2006-12-27,44.06,44.06,44.06,44.06,20170,888690.2000000001,,,,,,,,
2006-12-28,41.99,41.99,41.99,41.99,104850,4402651.5,,,,,,,,
2006-12-29,39.91,39.91,39.91,39.91,77860,3107392.6,,,,,,,,
2007-01-02,38.04,38.04,38.04,38.04,32230,1226029.2,,,,,,,,
2007-01-03,36.17,36.17,36.17,36.17,20700,748719.0,,,,,,,,
2007-01-04,34.5,37.83,34.5,37.83,516290,19531250.7,,,,,,,,
2007-01-05,39.7,39.7,39.7,39.7,510280,20258116.0,,,,,,,,
2007-01-08,41.57,41.57,39.7,41.57,202610,8422497.7,,,,,,,,
2007-01-09,41.57,42.82,40.53,42.82,233690,10006605.8,,,,,,,,
2007-01-10,41.57,42.82,41.57,41.57,232550,9667103.5,,,,,,,,
2007-01-11,40.53,40.53,39.49,39.49,101070,3991254.3,,,,,,,,
2007-01-12,38.45,38.66,38.45,38.66,127110,4914072.6,,,,,,,,
2007-01-15,38.45,39.08,38.45,39.08,98990,3868529.2,,,,,,,,
2007-01-16,40.95,40.95,40.95,40.95,167700,6867315.000000001,,,,,,,,
2007-01-17,42.82,42.82,40.95,40.95,283390,11604820.5,,,,,,,,
2007-01-18,40.95,41.36,40.95,40.95,189370,7754701.500000001,,,,,,,,
2007-01-19,42.4,42.4,41.57,41.57,97540,4054737.8,,,,,,,,
2007-01-22,41.57,43.65,41.57,43.65,250220,10922103.0,,,,,,,,
2007-01-23,45.52,45.52,45.52,45.52,93440,4253388.800000001,,,,,,,,
2007-01-24,47.6,47.6,43.44,43.44,130520,5669788.8,,,,,,,,
2007-01-25,41.36,41.36,41.36,41.36,70490,2915466.4,,,,,,,,
2007-01-26,39.49,39.49,39.49,39.49,335060,13231519.4,,,,,,,,
2007-01-29,39.49,39.49,39.49,39.49,181360,7161906.4,,,,,,,,
2007-01-30,41.36,41.36,41.36,41.36,39780,1645300.8,,,,,,,,
2007-01-31,43.23,43.23,43.23,43.23,65820,2845398.6,,,,,,,,
2007-02-01,45.31,45.31,44.69,45.31,240130,10880290.3,,,,,,,,
2007-02-02,45.31,45.31,45.31,45.31,105340,4772955.4,,,,,,,,
2007-02-05,45.31,45.31,43.23,43.23,22150,957544.5,,,,,,,,
2007-02-06,43.23,43.65,43.23,43.65,60250,2629912.5,,,,,,,,
2007-02-07,42.61,42.61,41.78,41.78,76830,3209957.4,,,,,,,,
2007-02-08,41.78,41.78,41.57,41.57,47470,1973327.9,,,,,,,,
2007-02-09,40.53,41.57,40.53,41.57,68180,2834242.6,,,,,,,,
2007-02-12,43.65,43.65,43.65,43.65,64600,2819790.0,,,,,,,,
2007-02-13,44.69,45.31,43.65,43.65,42690,1863418.5,,,,,,,,
2007-02-14,43.65,44.69,43.65,44.69,88700,3964003.0,,,,,,,,
2007-02-15,46.77,46.77,45.73,45.73,134980,6172635.399999999,,,,,,,,
2007-02-26,48.01,48.01,48.01,48.01,90600,4349706.0,,,,,,,,
2007-02-27,50.3,50.3,50.3,50.3,166680,8384003.999999999,,,,,,,,
2007-02-28,48.43,48.43,47.8,47.8,43190,2064482.0,,,,,,,,
2007-03-01,47.8,47.8,46.14,46.14,35460,1636124.4,,,,,,,,
2007-03-02,45.73,48.43,45.73,47.8,88130,4212614.0,,,,,,,,
2007-03-05,50.09,50.09,47.6,47.6,67800,3227280.0,,,,,,,,
2007-03-06,46.77,46.77,45.93,46.56,21860,1017801.6,,,,,,,,
2007-03-07,45.73,46.56,45.73,46.56,21100,982416.0,,,,,,,,
2007-03-08,46.56,46.56,46.56,46.56,44730,2082628.8,,,,,,,,
2007-03-09,48.84,48.84,47.39,47.39,85200,4037628.0,,,,,,,,
2007-03-12,46.56,48.84,46.56,47.39,141350,6698576.5,,,,,,,,
2007-03-13,47.39,47.39,45.1,45.1,137100,6183210.0,,,,,,,,
2007-03-14,45.1,45.1,43.02,43.02,56890,2447407.8000000003,,,,,,,,
2007-03-15,40.95,41.57,40.95,41.57,70090,2913641.3,,,,,,,,
2007-03-16,43.65,43.65,43.65,43.65,52450,2289442.5,,,,,,,,
2007-03-19,45.73,45.73,43.23,43.23,64760,2799574.8,,,,,,,,
2007-03-20,45.31,45.31,43.23,43.23,58420,2525496.6,,,,,,,,
2007-03-21,43.65,43.65,43.44,43.44,35950,1561668.0,,,,,,,,
2007-03-22,43.65,43.65,43.23,43.23,51570,2229371.1,,,,,,,,
2007-03-23,43.65,43.65,43.23,43.65,82560,3603744.0,,,,,,,,
2007-03-26,43.65,43.65,43.65,43.65,68680,2997882.0,,,,,,,,
2007-03-27,43.65,43.65,42.19,42.19,31560,1331516.4,,,,,,,,
2007-03-28,40.11,40.11,40.11,40.11,56650,2272231.5,,,,,,,,
2007-03-29,41.15,41.57,41.15,41.15,44870,1846400.5,,,,,,,,
2007-03-30,42.61,43.02,41.57,41.57,43010,1787925.7,,,,,,,,
2007-04-02,43.23,43.23,41.99,41.99,17660,741543.4,,,,,,,,
2007-04-03,41.15,41.15,40.53,40.95,10140,415233.0,,,,,,,,
2007-04-04,41.57,42.82,41.57,42.82,50280,2152989.6,,,,,,,,
2007-04-05,43.23,43.23,43.23,43.23,53340,2305888.2,,,,,,,,
2007-04-06,41.15,42.61,41.15,42.61,15630,665994.3,,,,,,,,
2007-04-09,43.23,43.23,43.02,43.23,41890,1810904.7,,,,,,,,
2007-04-10,41.78,43.65,41.78,43.65,58950,2573167.5,,,,,,,,
2007-04-11,43.65,43.65,43.65,43.65,8370,365350.5,,,,,,,,
2007-04-12,43.65,43.65,43.65,43.65,19970,871690.5,,,,,,,,
2007-04-13,43.65,43.65,43.65,43.65,34520,1506798.0,,,,,,,,
2007-04-16,42.61,43.65,42.61,43.65,95450,4166392.5,,,,,,,,
2007-04-17,42.82,42.82,42.4,42.4,47850,2028840.0,,,,,,,,
2007-04-18,41.78,42.4,41.78,42.4,64320,2727168.0,,,,,,,,
2007-04-19,43.65,43.65,42.61,42.61,16150,688151.5,,,,,,,,
2007-04-20,40.53,41.57,40.53,41.57,25330,1052968.1,,,,,,,,
2007-04-23,40.53,40.53,39.49,39.49,21320,841926.8,,,,,,,,
2007-04-24,37.83,37.83,37.83,37.83,16140,610576.2,,,,,,,,
2007-04-25,37.83,39.7,37.83,39.7,9810,389457.0,,,,,,,,
2007-05-02,41.57,41.57,41.57,41.57,53130,2208614.1,,,,,,,,
2007-05-03,40.11,40.74,40.11,40.53,34270,1388963.1,,,,,,,,
2007-05-04,40.53,40.53,39.7,39.7,45810,1818657.0,,,,,,,,
2007-05-07,39.7,40.53,39.7,40.32,72080,2906265.6,,,,,,,,
2007-05-08,40.95,41.15,40.95,41.15,101420,4173433.0,,,,,,,,
2007-05-09,41.15,41.57,41.15,41.57,49880,2073511.6,,,,,,,,
2007-05-10,43.23,43.23,41.99,41.99,53210,2234287.9,,,,,,,,
2007-05-11,41.99,42.19,41.99,42.19,57860,2441113.4,,,,,,,,
2007-05-14,43.02,43.02,41.99,41.99,43130,1811028.7,,,,,,,,
2007-05-15,43.02,43.02,42.4,42.61,60750,2588557.5,,,,,,,,
2007-05-16,42.61,42.61,42.4,42.61,65120,2774763.2,,,,,,,,
2007-05-17,42.61,42.61,42.61,42.61,28390,1209697.9,,,,,,,,
2007-05-18,42.61,42.61,42.4,42.4,48380,2051312.0,,,,,,,,
2007-05-21,42.4,44.48,42.4,44.48,73760,3280844.8,,,,,,,,
2007-05-22,45.73,46.35,45.73,46.35,129590,6006496.5,,,,,,,,
2007-05-23,48.64,48.64,48.01,48.01,154450,7415144.5,,,,,,,,
2007-05-24,46.97,46.97,45.73,45.73,33070,1512291.1,,,,,,,,
2007-05-25,44.9,45.73,44.9,45.73,59720,2730995.6,,,,,,,,
2007-05-28,47.39,47.39,46.77,46.77,76440,3575098.8000000003,,,,,,,,
2007-05-29,47.18,47.39,47.18,47.39,104710,4962206.9,,,,,,,,
2007-05-30,47.39,47.39,45.93,46.77,66570,3113478.9000000004,,,,,,,,
2007-05-31,46.14,46.14,45.93,45.93,81160,3727678.8,,,,,,,,
2007-06-01,45.73,45.73,45.31,45.31,42280,1915706.8,,,,,,,,
2007-06-04,45.31,45.31,43.44,43.65,36430,1590169.5,,,,,,,,
2007-06-05,43.65,43.65,42.19,42.19,11150,470418.5,,,,,,,,
2007-06-06,42.19,42.19,41.99,42.19,69300,2923767.0,,,,,,,,
2007-06-07,42.19,42.19,41.57,41.57,57260,2380298.2,,,,,,,,
2007-06-08,42.19,42.19,41.57,41.57,41890,1741367.3,,,,,,,,
2007-06-11,41.57,41.57,40.53,41.15,23040,948096.0,,,,,,,,
2007-06-12,42.19,42.19,40.74,40.74,83070,3384271.8000000003,,,,,,,,
2007-06-13,40.74,40.74,40.74,40.74,62760,2556842.4,,,,,,,,
2007-06-14,40.74,40.74,40.53,40.74,62750,2556435.0,,,,,,,,
2007-06-15,40.74,40.74,40.53,40.53,43690,1770755.7,,,,,,,,
2007-06-18,40.95,40.95,40.32,40.32,88740,3577996.8,,,,,,,,
2007-06-19,40.53,40.53,40.11,40.11,118670,4759853.7,,,,,,,,
2007-06-20,40.32,40.32,40.32,40.32,117930,4754937.6,,,,,,,,
2007-06-21,40.95,40.95,40.32,40.32,146230,5895993.6,,,,,,,,
2007-06-22,40.32,40.32,40.11,40.32,218220,8798630.4,,,,,,,,
2007-06-25,40.53,40.53,39.91,39.91,135540,5409401.399999999,,,,,,,,
2007-06-26,41.36,41.36,40.11,40.53,151920,6157317.600000001,,,,,,,,
2007-06-27,41.78,41.78,41.57,41.57,120870,5024565.9,,,,,,,,
2007-06-28,40.74,41.57,40.74,41.57,44130,1834484.1,,,,,,,,
2007-06-29,40.95,40.95,40.74,40.95,40510,1658884.5,,,,,,,,
2007-07-02,40.95,41.15,40.53,40.53,63830,2587029.9,,,,,,,,
2007-07-03,39.91,40.32,39.91,40.11,37270,1494899.7,,,,,,,,
2007-07-04,40.11,40.95,40.11,40.95,29310,1200244.5,,,,,,,,
2007-07-05,40.95,40.95,40.95,40.95,72750,2979112.5,,,,,,,,
2007-07-06,41.57,41.57,40.95,40.95,55210,2260849.5,,,,,,,,
2007-07-09,40.95,40.95,40.74,40.74,18450,751653.0,,,,,,,,
2007-07-10,40.53,40.95,40.53,40.95,20550,841522.5000000001,,,,,,,,
2007-07-11,41.15,41.15,40.95,40.95,12180,498771.00000000006,,,,,,,,
2007-07-12,40.95,40.95,40.74,40.74,24190,985500.6,,,,,,,,
2007-07-13,40.95,40.95,40.74,40.74,16800,684432.0,,,,,,,,
2007-07-16,40.74,40.74,40.32,40.53,7040,285331.2,,,,,,,,
2007-07-17,40.32,40.53,40.32,40.53,6660,269929.8,,,,,,,,
2007-07-18,40.32,40.32,40.11,40.32,13390,539884.8,,,,,,,,
2007-07-19,40.32,40.32,39.91,39.91,14410,575103.1,,,,,,,,
2007-07-20,39.49,39.49,39.49,39.49,27860,1100191.4,,,,,,,,
2007-07-23,40.32,40.32,39.49,39.49,16430,648820.7000000001,,,,,,,,
