time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2016-04-01,4.997,4.997,4.997,4.997,0,0.0,,,,,
2016-04-04,4.997,4.997,4.997,4.997,0,0.0,,,,,
2016-04-05,6.996,6.996,4.997,4.997,27500,137417.5,,,,,
2016-04-06,5.996,5.996,5.996,5.996,0,0.0,,,,,
2016-04-07,5.996,5.996,5.996,5.996,0,0.0,,,,,
2016-04-08,6.846,6.846,6.846,6.846,100,684.6,,,,,
2016-04-11,7.795,7.795,7.745,7.745,400,3098.0,,,,,
2016-04-12,8.894,8.894,8.894,8.894,1100,9783.4,,,,,
2016-04-13,8.994,10.194,8.994,10.194,2500,25485.000000000004,,,,,
2016-04-14,11.243,11.243,11.243,11.243,1500,16864.5,,,,,
2016-04-15,12.892,12.892,12.892,12.892,300,3867.6,,,,,
2016-04-19,14.791,14.791,14.691,14.691,600,8814.6,,,,,
2016-04-20,16.889,16.889,16.889,16.889,100,1688.9,,,,,
2016-04-21,19.388,19.388,17.489,17.489,800,13991.2,,,,,
2016-04-22,19.887,19.887,19.887,19.887,800,15909.6,,,,,
2016-04-25,19.987,19.987,19.488,19.488,300,5846.4,,,,,
2016-04-26,19.638,19.638,19.638,19.638,0,0.0,,,,,
2016-04-27,19.638,19.638,19.638,19.638,0,0.0,,,,,
2016-04-28,16.739,16.739,16.739,16.739,200,3347.8,,,,,
2016-04-29,16.739,16.739,16.739,16.739,0,0.0,,,,,
2016-05-04,16.739,16.739,16.739,16.739,0,0.0,,,,,
2016-05-05,14.241,14.241,14.241,14.241,400,5696.4,,,,,
2016-05-06,14.241,14.241,14.241,14.241,0,0.0,,,,,
2016-05-09,14.241,14.241,14.241,14.241,0,0.0,,,,,
2016-05-10,14.241,14.241,14.241,14.241,0,0.0,,,,,
2016-05-11,14.241,14.241,14.241,14.241,0,0.0,,,,,
2016-05-12,14.241,14.241,14.241,14.241,0,0.0,,,,,
2016-05-13,14.241,14.241,14.241,14.241,0,0.0,,,,,
2016-05-16,14.241,14.241,14.241,14.241,0,0.0,,,,,
2016-05-17,14.241,14.241,14.241,14.241,0,0.0,,,,,
2016-05-18,14.241,14.241,14.241,14.241,0,0.0,,,,,
2016-05-19,14.241,14.241,14.241,14.241,0,0.0,,,,,
2016-05-20,12.142,12.142,12.142,12.142,100,1214.2,,,,,
2016-05-23,12.142,12.142,12.142,12.142,0,0.0,,,,,
2016-05-24,12.142,12.142,12.142,12.142,0,0.0,,,,,
2016-05-25,12.142,12.142,12.142,12.142,0,0.0,,,,,
2016-05-26,12.142,12.142,12.142,12.142,0,0.0,,,,,
2016-05-27,12.142,12.142,12.142,12.142,0,0.0,,,,,
2016-05-30,12.142,12.142,12.142,12.142,0,0.0,,,,,
2016-05-31,12.142,12.142,12.142,12.142,0,0.0,,,,,
2016-06-01,10.343,10.343,10.343,10.343,100,1034.3,,,,,
2016-06-02,8.794,8.794,8.794,8.794,200,1758.8000000000002,,,,,
2016-06-03,7.495,7.495,7.495,7.495,200,1499.0,,,,,
2016-06-06,6.396,6.396,6.396,6.396,100,639.6,,,,,
2016-06-07,7.345,7.345,7.345,7.345,100,734.5,,,,,
2016-06-08,7.345,7.345,7.345,7.345,0,0.0,,,,,
2016-06-09,7.345,7.345,7.345,7.345,0,0.0,,,,,
2016-06-10,8.445,8.445,8.445,8.445,100,844.5,,,,,
2016-06-13,8.445,8.445,8.445,8.445,0,0.0,,,,,
2016-06-14,8.445,8.445,8.445,8.445,0,0.0,,,,,
2016-06-15,8.445,8.445,8.445,8.445,0,0.0,,,,,
2016-06-16,9.694,9.694,9.694,9.694,100,969.4,,,,,
