time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2018-11-12,7.344,7.344,7.344,7.344,31200,229132.8,,,,,
2018-11-13,8.429,8.429,8.429,8.429,14800,124749.2,,,,,
2018-11-14,8.429,8.429,8.429,8.429,0,0.0,,,,,
2018-11-15,8.429,8.429,8.429,8.429,0,0.0,,,,,
2018-11-16,9.661,9.661,7.196,7.246,3300,23911.800000000003,,,,,
2018-11-19,8.774,8.774,8.774,8.774,0,0.0,,,,,
2018-11-20,8.774,8.774,8.774,8.774,0,0.0,,,,,
2018-11-21,8.774,8.774,8.774,8.774,0,0.0,,,,,
2018-11-22,8.774,8.774,8.774,8.774,0,0.0,,,,,
2018-11-23,8.774,8.774,8.774,8.774,0,0.0,,,,,
2018-11-26,8.774,8.774,8.774,8.774,0,0.0,,,,,
2018-11-27,8.577,8.577,8.379,8.379,3600,30164.4,,,,,
2018-11-28,7.886,8.133,7.886,8.084,3600,29102.4,,,,,
2018-11-29,7.886,7.886,7.886,7.886,2000,15772.0,,,,,
2018-11-30,7.64,7.64,7.64,7.64,1500,11460.0,,,,,
2018-12-03,7.64,7.64,7.64,7.64,1500,11460.0,,,,,
2018-12-04,7.64,7.64,7.64,7.64,0,0.0,,,,,
2018-12-05,7.394,7.492,7.295,7.443,7200,53589.6,,,,,
2018-12-06,7.394,7.394,7.394,7.394,0,0.0,,,,,
2018-12-07,7.246,7.394,7.246,7.394,5100,37709.4,,,,,
2018-12-10,7.394,7.394,7.394,7.394,52000,384488.0,,,,,
2018-12-11,7.344,7.344,7.344,7.344,1000,7344.0,,,,,
2018-12-12,7.344,7.344,7.295,7.295,4000,29180.0,,,,,
2018-12-13,7.394,7.394,7.394,7.394,2500,18485.0,,,,,
2018-12-14,7.394,7.394,7.394,7.394,0,0.0,,,,,
2018-12-17,7.394,7.394,7.394,7.394,0,0.0,,,,,
2018-12-18,7.394,7.394,7.394,7.394,2000,14788.0,,,,,
2018-12-19,7.394,7.394,7.295,7.295,5000,36475.0,,,,,
2018-12-20,7.344,7.344,7.344,7.344,2600,19094.4,,,,,
2018-12-21,7.394,7.394,7.394,7.394,2500,18485.0,,,,,
2018-12-24,7.394,7.394,7.394,7.394,0,0.0,,,,,
2018-12-25,7.344,7.344,7.344,7.344,4000,29376.0,,,,,
2018-12-26,7.394,7.394,7.344,7.344,7700,56548.8,,,,,
2018-12-27,7.295,7.295,7.295,7.295,2600,18967.0,,,,,
2018-12-28,7.196,7.196,7.196,7.196,2800,20148.8,,,,,
2019-01-02,7.246,7.246,7.246,7.246,3600,26085.6,,,,,
2019-01-03,7.541,7.541,7.541,7.541,400,3016.4,,,,,
2019-01-04,7.492,7.492,7.492,7.492,5400,40456.8,,,,,
2019-01-07,7.492,7.492,7.492,7.492,0,0.0,,,,,
2019-01-08,7.394,7.394,7.394,7.394,4200,31054.8,,,,,
2019-01-09,7.394,7.394,7.394,7.394,0,0.0,,,,,
2019-01-10,7.344,7.344,7.344,7.344,3900,28641.6,,,,,
2019-01-11,7.344,7.344,7.344,7.344,3400,24969.6,,,,,
2019-01-14,7.344,7.344,7.344,7.344,0,0.0,,,,,
2019-01-15,6.26,7.394,6.26,7.394,11400,84291.6,,,,,
2019-01-16,7.492,7.492,7.492,7.492,4200,31466.4,,,,,
2019-01-17,8.379,8.379,8.379,8.379,3100,25974.9,,,,,
2019-01-18,8.379,8.379,8.379,8.379,0,0.0,,,,,
2019-01-21,8.034,8.034,7.886,7.886,5500,43373.0,,,,,
2019-01-22,7.936,7.936,7.936,7.936,0,0.0,,,,,
2019-01-23,7.936,7.936,7.936,7.936,0,0.0,,,,,
2019-01-24,7.443,7.443,7.443,7.443,5000,37215.0,,,,,
2019-01-25,7.443,7.443,7.443,7.443,0,0.0,,,,,
2019-01-28,7.443,7.443,7.443,7.443,0,0.0,,,,,
2019-01-29,7.295,7.295,7.295,7.295,5000,36475.0,,,,,
2019-01-30,7.098,7.098,7.098,7.098,2500,17745.0,,,,,
2019-01-31,7.098,7.098,7.098,7.098,0,0.0,,,,,
2019-02-01,7.394,7.837,7.394,7.837,27500,215517.5,,,,,
2019-02-11,7.443,7.443,7.443,7.443,0,0.0,,,,,
2019-02-12,7.443,7.443,7.443,7.443,0,0.0,,,,,
2019-02-13,7.443,7.443,7.443,7.443,0,0.0,,,,,
2019-02-14,7.443,7.443,7.443,7.443,0,0.0,,,,,
2019-02-15,7.443,7.443,7.443,7.443,0,0.0,,,,,
2019-02-18,7.443,7.443,7.443,7.443,0,0.0,,,,,
2019-02-19,7.344,7.344,7.344,7.344,5000,36720.0,,,,,
2019-02-20,7.344,7.344,7.344,7.344,0,0.0,,,,,
2019-02-21,7.344,7.344,7.344,7.344,0,0.0,,,,,
2019-02-22,7.295,7.295,7.295,7.295,7300,53253.5,,,,,
2019-02-25,7.295,7.295,7.295,7.295,0,0.0,,,,,
2019-02-26,7.196,7.196,7.196,7.196,3000,21588.0,,,,,
