time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2010-11-11,3.71,3.75,3.71,3.71,25110,93158.1,,,,,,,,
2010-11-12,3.71,3.71,3.56,3.71,5620,20850.2,,,,,,,,
2010-11-15,3.56,3.56,3.56,3.56,30,106.8,,,,,,,,
2010-11-16,3.41,3.45,3.41,3.41,1620,5524.2,,,,,,,,
2010-11-17,3.26,3.56,3.26,3.56,5440,19366.4,,,,,,,,
2010-11-18,3.68,3.68,3.41,3.68,3340,12291.2,,,,,,,,
2010-11-19,3.53,3.56,3.53,3.53,1320,4659.599999999999,,,,,,,,
2010-11-22,3.6,3.6,3.41,3.6,110,396.0,,,,,,,,
2010-11-23,3.6,3.6,3.45,3.6,1810,6516.0,,,,,,,,
2010-11-24,3.45,3.45,3.45,3.45,310,1069.5,,,,,,,,
2010-11-25,3.3,3.6,3.3,3.3,3560,11748.0,,,,,,,,
2010-11-26,3.23,3.38,3.15,3.38,11790,39850.2,,,,,,,,
2010-11-29,3.45,3.53,3.45,3.53,50,176.5,,,,,,,,
2010-11-30,3.53,3.6,3.49,3.53,1020,3600.6,,,,,,,,
2010-12-01,3.38,3.38,3.38,3.38,5440,18387.2,,,,,,,,
2010-12-02,3.38,3.53,3.23,3.53,11310,39924.3,,,,,,,,
2010-12-03,3.68,3.68,3.41,3.6,7630,27468.0,,,,,,,,
2010-12-06,3.64,3.64,3.45,3.64,5810,21148.4,,,,,,,,
2010-12-07,3.64,3.64,3.49,3.49,2590,9039.1,,,,,,,,
2010-12-08,3.34,3.45,3.34,3.34,7500,25050.0,,,,,,,,
2010-12-09,3.34,3.34,3.34,3.34,20,66.8,,,,,,,,
2010-12-10,3.41,3.41,3.26,3.41,1110,3785.1,,,,,,,,
2010-12-13,3.41,3.45,3.41,3.41,680,2318.8,,,,,,,,
2010-12-14,3.45,3.45,3.26,3.45,2650,9142.5,,,,,,,,
2010-12-15,3.3,3.34,3.3,3.3,1010,3333.0,,,,,,,,
2010-12-16,3.19,3.26,3.19,3.26,560,1825.6,,,,,,,,
2010-12-17,3.34,3.34,3.23,3.34,670,2237.8,,,,,,,,
2010-12-20,3.34,3.34,3.34,3.34,100,334.0,,,,,,,,
2010-12-21,3.34,3.34,3.3,3.34,20,66.8,,,,,,,,
2010-12-22,3.34,3.34,3.34,3.34,0,0.0,,,,,,,,
2010-12-23,3.19,3.3,3.19,3.19,360,1148.4,,,,,,,,
2010-12-24,3.11,3.11,3.11,3.11,110,342.1,,,,,,,,
2010-12-27,3.11,3.19,3.11,3.19,210,669.9,,,,,,,,
2010-12-28,3.19,3.26,3.26,3.26,20,65.19999999999999,,,,,,,,
2010-12-29,3.34,3.34,3.26,3.26,100,326.0,,,,,,,,
2010-12-30,3.26,3.34,3.23,3.34,1010,3373.4,,,,,,,,
2010-12-31,3.34,3.34,3.34,3.34,4190,13994.6,,,,,,,,
2011-01-04,3.41,3.41,3.38,3.38,3190,10782.2,,,,,,,,
2011-01-05,3.38,3.3,3.26,3.26,200,652.0,,,,,,,,
2011-01-06,3.38,3.38,3.38,3.38,2900,9802.0,,,,,,,,
2011-01-07,3.38,3.38,3.26,3.26,320,1043.1999999999998,,,,,,,,
2011-01-10,3.15,3.15,3.11,3.11,400,1244.0,,,,,,,,
2011-01-11,3.08,3.26,3.08,3.26,1310,4270.599999999999,,,,,,,,
2011-01-12,3.3,3.38,3.3,3.38,880,2974.4,,,,,,,,
2011-01-13,3.45,3.45,3.45,3.45,10,34.5,,,,,,,,
2011-01-14,3.34,3.34,3.34,3.34,20,66.8,,,,,,,,
2011-01-17,3.45,3.45,3.45,3.45,10,34.5,,,,,,,,
2011-01-18,3.45,3.45,3.45,3.45,0,0.0,,,,,,,,
2011-01-19,3.34,3.34,3.34,3.34,100,334.0,,,,,,,,
2011-01-20,3.34,3.34,3.34,3.34,0,0.0,,,,,,,,
2011-01-21,3.23,3.23,3.23,3.23,30,96.9,,,,,,,,
2011-01-24,3.19,3.19,3.19,3.19,10,31.9,,,,,,,,
2011-01-25,3.34,3.34,3.34,3.34,10,33.4,,,,,,,,
2011-01-26,3.34,3.34,3.34,3.34,0,0.0,,,,,,,,
2011-01-27,3.23,3.23,3.19,3.19,390,1244.1,,,,,,,,
2011-01-28,3.26,3.3,3.26,3.3,20,66.0,,,,,,,,
2011-02-08,3.45,3.45,3.45,3.45,10,34.5,,,,,,,,
2011-02-09,3.45,3.45,3.45,3.45,0,0.0,,,,,,,,
2011-02-10,3.45,3.45,3.45,3.45,0,0.0,,,,,,,,
2011-02-11,3.34,3.34,3.34,3.34,10,33.4,,,,,,,,
2011-02-14,3.34,3.34,3.34,3.34,0,0.0,,,,,,,,
2011-02-15,3.34,3.34,3.34,3.34,0,0.0,,,,,,,,
2011-02-16,3.34,3.34,3.34,3.34,0,0.0,,,,,,,,
2011-02-17,3.34,3.34,3.34,3.34,0,0.0,,,,,,,,
2011-02-18,3.19,3.34,3.19,3.19,120,382.8,,,,,,,,
2011-02-21,3.08,3.3,3.08,3.3,820,2706.0,,,,,,,,
2011-02-22,3.3,3.3,3.3,3.3,0,0.0,,,,,,,,
2011-02-23,3.3,3.3,3.3,3.3,0,0.0,,,,,,,,
2011-02-24,3.3,3.3,3.3,3.3,0,0.0,,,,,,,,
2011-02-25,3.3,3.3,3.3,3.3,0,0.0,,,,,,,,
2011-02-28,3.15,3.15,3.15,3.15,400,1260.0,,,,,,,,
2011-03-01,3.15,3.15,3.15,3.15,0,0.0,,,,,,,,
2011-03-02,3.0,3.23,3.0,3.23,4710,15213.3,,,,,,,,
2011-03-03,3.23,3.23,3.23,3.23,0,0.0,,,,,,,,
2011-03-04,3.23,3.23,3.23,3.23,100,323.0,,,,,,,,
2011-03-07,3.23,3.23,3.23,3.23,0,0.0,,,,,,,,
2011-03-08,3.23,3.23,3.23,3.23,60,193.8,,,,,,,,
2011-03-09,3.23,3.23,3.23,3.23,3200,10336.0,,,,,,,,
2011-03-10,3.34,3.34,3.34,3.34,10,33.4,,,,,,,,
2011-03-11,3.34,3.38,3.34,3.38,60,202.8,,,,,,,,
2011-03-14,3.34,3.34,3.34,3.34,30,100.2,,,,,,,,
2011-03-15,3.34,3.34,3.34,3.34,0,0.0,,,,,,,,
2011-03-16,3.34,3.34,3.34,3.34,0,0.0,,,,,,,,
2011-03-17,3.26,3.26,3.26,3.26,10,32.599999999999994,,,,,,,,
2011-03-18,3.26,3.26,3.26,3.26,0,0.0,,,,,,,,
2011-03-21,3.26,3.26,3.26,3.26,0,0.0,,,,,,,,
2011-03-22,3.26,3.26,3.26,3.26,0,0.0,,,,,,,,
2011-03-23,3.26,3.26,3.26,3.26,0,0.0,,,,,,,,
2011-03-24,3.26,3.26,3.26,3.26,0,0.0,,,,,,,,
2011-03-25,3.34,3.34,3.34,3.34,10,33.4,,,,,,,,
2011-03-28,3.34,3.34,3.34,3.34,20,66.8,,,,,,,,
2011-03-29,3.19,3.19,3.19,3.19,490,1563.1,,,,,,,,
2011-03-30,3.19,3.19,3.19,3.19,0,0.0,,,,,,,,
2011-03-31,3.19,3.19,3.19,3.19,0,0.0,,,,,,,,
2011-04-01,3.19,3.19,3.11,3.11,890,2767.9,,,,,,,,
2011-04-04,3.11,3.11,3.11,3.11,0,0.0,,,,,,,,
2011-04-05,3.11,3.11,3.11,3.11,0,0.0,,,,,,,,
2011-04-06,3.04,3.04,3.04,3.04,1900,5776.0,,,,,,,,
2011-04-07,3.04,3.19,2.96,3.19,5020,16013.8,,,,,,,,
2011-04-08,3.3,3.3,3.3,3.3,10,33.0,,,,,,,,
2011-04-13,3.45,3.45,3.45,3.45,10,34.5,,,,,,,,
2011-04-14,3.38,3.56,3.38,3.56,1010,3595.6,,,,,,,,
2011-04-15,3.56,3.56,3.41,3.41,140,477.4,,,,,,,,
2011-04-18,3.3,3.56,3.3,3.3,2550,8415.0,,,,,,,,
2011-04-19,3.3,3.3,3.23,3.23,30,96.9,,,,,,,,
2011-04-20,3.23,3.23,3.23,3.23,0,0.0,,,,,,,,
2011-04-21,3.26,3.26,3.26,3.26,30,97.8,,,,,,,,
2011-04-22,3.26,3.26,3.11,3.11,410,1275.1,,,,,,,,
2011-04-25,3.0,3.0,3.0,3.0,10,30.0,,,,,,,,
2011-04-26,3.08,3.08,3.08,3.08,260,800.8000000000001,,,,,,,,
2011-04-27,3.11,3.11,3.11,3.11,20,62.2,,,,,,,,
2011-04-28,3.11,3.11,3.08,3.11,2800,8708.0,,,,,,,,
2011-04-29,3.19,3.26,3.19,3.26,580,1890.8,,,,,,,,
2011-05-04,3.41,3.41,3.41,3.41,2850,9718.5,,,,,,,,
2011-05-05,3.53,3.53,3.41,3.41,1670,5694.7,,,,,,,,
2011-05-06,3.45,3.45,3.45,3.45,300,1035.0,,,,,,,,
2011-05-09,3.53,3.6,3.53,3.56,3640,12958.4,,,,,,,,
2011-05-10,3.56,3.56,3.56,3.56,10,35.6,,,,,,,,
2011-05-11,3.56,3.56,3.56,3.56,10,35.6,,,,,,,,
2011-05-12,3.56,3.56,3.56,3.56,0,0.0,,,,,,,,
2011-05-13,3.41,3.45,3.41,3.41,670,2284.7000000000003,,,,,,,,
2011-05-16,3.56,3.56,3.53,3.56,2230,7938.8,,,,,,,,
2011-05-17,3.56,3.56,3.56,3.56,1120,3987.2,,,,,,,,
2011-05-18,3.44,3.61,3.44,3.61,1610,5812.099999999999,,,,,,,,
2011-05-19,3.48,3.48,3.44,3.44,1040,3577.6,,,,,,,,
2011-05-20,3.26,3.26,3.26,3.26,970,3162.2,,,,,,,,
2011-05-23,3.14,3.18,3.14,3.14,2200,6908.0,,,,,,,,
2011-05-24,3.09,3.09,3.09,3.09,400,1236.0,,,,,,,,
2011-05-25,3.01,3.14,2.96,3.14,3030,9514.2,,,,,,,,
