time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2015-12-03,16.337,17.221,15.454,15.94,231200,3685328.0,,,,,,,,
2015-12-04,15.896,15.896,15.013,15.145,60700,919301.5,,,,,,,,
2015-12-07,15.145,15.145,14.615,15.013,117000,1756521.0,,,,,,,,
2015-12-08,15.013,15.057,14.571,15.013,123500,1854105.5,,,,,,,,
2015-12-09,15.057,15.057,14.704,14.836,102700,1523657.2,,,,,,,,
2015-12-10,14.836,15.057,14.836,15.013,107700,1616900.1,,,,,,,,
2015-12-11,15.013,15.189,15.013,15.101,94100,1421004.1,,,,,,,,
2015-12-14,15.101,15.145,14.836,15.145,105600,1599312.0,,,,,,,,
2015-12-15,15.145,15.189,14.924,15.101,111800,1688291.8,,,,,,,,
2015-12-16,15.101,15.189,15.013,15.101,104800,1582584.8,,,,,,,,
2015-12-17,15.145,15.234,15.101,15.101,8600,129868.6,,,,,,,,
2015-12-18,15.013,15.101,14.924,15.101,25400,383565.4,,,,,,,,
2015-12-21,15.057,15.057,14.836,14.969,14800,221541.2,,,,,,,,
2015-12-22,14.792,14.836,14.66,14.66,16400,240424.0,,,,,,,,
2015-12-23,14.792,14.836,14.571,14.571,33600,489585.6,,,,,,,,
2015-12-24,14.571,14.704,13.467,14.571,40500,590125.5,,,,,,,,
2015-12-25,14.571,14.571,13.467,13.467,26600,358222.2,,,,,,,,
2015-12-28,14.13,14.527,13.688,13.688,22100,302504.8,,,,,,,,
2015-12-29,14.439,14.527,13.997,13.997,22600,316332.2,,,,,,,,
2015-12-30,14.35,14.395,13.997,14.174,20600,291984.4,,,,,,,,
2015-12-31,14.35,14.35,14.13,14.174,114100,1617253.4,,,,,,,,
2016-01-04,14.174,14.218,13.776,13.865,132900,1842658.5,,,,,,,,
2016-01-05,13.997,14.041,13.556,13.732,129200,1774174.4,,,,,,,,
2016-01-06,13.776,13.865,13.688,13.732,108800,1494041.6,,,,,,,,
2016-01-07,13.556,13.688,13.423,13.423,93400,1253708.2,,,,,,,,
2016-01-08,13.423,13.511,13.026,13.247,48400,641154.8,,,,,,,,
2016-01-11,13.026,13.202,12.187,12.805,29100,372625.5,,,,,,,,
2016-01-12,12.363,12.805,12.363,12.805,7500,96037.5,,,,,,,,
2016-01-13,12.937,12.937,12.717,12.805,13000,166465.0,,,,,,,,
2016-01-14,12.805,12.805,12.761,12.761,300,3828.3,,,,,,,,
2016-01-15,12.363,12.717,12.363,12.717,13300,169136.1,,,,,,,,
