time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2010-10-08,9.21,10.59,9.21,9.87,561200,5539044.0,,,,,,,,
2010-10-11,9.54,10.49,9.54,10.1,253700,2562370.0,,,,,,,,
2010-10-12,9.93,10.0,9.47,9.47,362200,3430034.0,,,,,,,,
2010-10-13,9.01,9.54,8.91,9.37,130200,1219974.0,,,,,,,,
2010-10-14,9.5,9.5,8.88,9.04,147800,1336111.9999999998,,,,,,,,
2010-10-15,9.31,9.31,8.65,8.71,105100,915421.0,,,,,,,,
2010-10-18,8.71,8.88,8.29,8.29,217300,1801416.9999999998,,,,,,,,
2010-10-19,8.55,8.68,7.86,7.86,297700,2339922.0,,,,,,,,
2010-10-20,7.5,8.25,7.5,8.19,65700,538083.0,,,,,,,,
2010-10-21,7.86,8.45,7.86,8.12,48500,393820.0,,,,,,,,
2010-10-22,8.09,8.09,7.73,8.06,33300,268398.0,,,,,,,,
2010-10-25,8.12,8.29,8.09,8.29,72100,597708.9999999999,,,,,,,,
2010-10-26,8.55,8.75,8.42,8.75,86300,755125.0,,,,,,,,
2010-10-27,8.39,8.81,8.22,8.22,71900,591018.0,,,,,,,,
2010-10-28,8.48,8.52,7.99,7.99,35000,279650.0,,,,,,,,
2010-10-29,8.06,8.22,7.92,7.99,49500,395505.0,,,,,,,,
2010-11-01,8.39,8.39,7.66,7.66,49600,379936.0,,,,,,,,
2010-11-02,7.96,8.02,7.56,7.56,67500,510300.0,,,,,,,,
2010-11-03,7.86,7.86,7.33,7.33,74300,544619.0,,,,,,,,
2010-11-04,7.66,7.69,7.33,7.66,151700,1162022.0,,,,,,,,
2010-11-05,7.89,7.89,7.56,7.6,162100,1231960.0,,,,,,,,
2010-11-08,7.76,7.89,7.4,7.56,87600,662256.0,,,,,,,,
2010-11-09,7.66,7.69,7.17,7.17,112500,806625.0,,,,,,,,
2010-11-10,7.43,7.43,6.91,6.91,73000,504430.0,,,,,,,,
2010-11-11,7.14,7.2,6.64,6.64,94600,628144.0,,,,,,,,
2010-11-12,6.68,6.81,6.45,6.58,100600,661948.0,,,,,,,,
2010-11-15,6.54,6.81,6.12,6.12,52200,319464.0,,,,,,,,
2010-11-16,6.45,6.48,6.12,6.12,49900,305388.0,,,,,,,,
2010-11-17,6.08,6.28,5.75,5.75,82100,472075.0,,,,,,,,
2010-11-18,6.12,6.38,5.95,5.95,85500,508725.0,,,,,,,,
2010-11-19,6.18,6.25,5.72,5.72,43900,251108.0,,,,,,,,
2010-11-22,5.98,5.98,5.69,5.69,27100,154199.0,,,,,,,,
2010-11-23,5.85,5.85,5.46,5.75,151400,870550.0,,,,,,,,
2010-11-24,5.59,5.89,5.36,5.36,160100,858136.0,,,,,,,,
2010-11-25,5.79,5.95,5.75,5.95,142700,849065.0,,,,,,,,
2010-11-26,6.28,6.28,6.28,6.28,97900,614812.0,,,,,,,,
2010-11-29,6.71,6.71,6.71,6.71,95900,643489.0,,,,,,,,
2010-11-30,7.17,7.17,7.17,7.17,11000,78870.0,,,,,,,,
2010-12-01,7.66,7.66,7.43,7.66,610100,4673366.0,,,,,,,,
2010-12-02,8.09,8.19,7.83,8.19,911700,7466823.0,,,,,,,,
2010-12-03,8.22,8.75,8.22,8.75,421800,3690750.0,,,,,,,,
2010-12-06,9.21,9.27,8.55,8.75,143400,1254750.0,,,,,,,,
2010-12-07,8.35,8.48,8.35,8.35,607000,5068450.0,,,,,,,,
2010-12-08,7.79,8.16,7.79,7.79,278900,2172631.0,,,,,,,,
2010-12-09,7.3,7.89,7.3,7.3,942100,6877330.0,,,,,,,,
2010-12-10,7.83,7.83,7.83,7.83,547500,4286925.0,,,,,,,,
2010-12-13,8.35,8.35,7.86,8.22,469900,3862578.000000001,,,,,,,,
2010-12-14,7.92,7.92,7.73,7.73,202300,1563779.0,,,,,,,,
2010-12-15,7.4,7.73,7.23,7.23,447900,3238317.0,,,,,,,,
2010-12-16,6.91,6.94,6.87,6.87,563300,3869871.0,,,,,,,,
