time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2009-11-25,7.99,7.99,7.65,7.71,168860,1301910.6,,,,,
2009-11-26,7.38,7.76,7.38,7.38,15000,110700.0,,,,,
2009-11-27,7.04,7.71,7.04,7.04,167610,1179974.4,,,,,
2009-11-30,7.04,7.32,6.99,7.1,62470,443537.0,,,,,
2009-12-01,6.93,7.32,6.93,7.21,93580,674711.8,,,,,
2009-12-02,6.99,7.04,6.88,6.88,107670,740769.6,,,,,
2009-12-03,6.88,6.93,6.54,6.66,43500,289710.0,,,,,
2009-12-04,6.6,6.77,6.43,6.43,41300,265559.0,,,,,
2009-12-07,6.54,6.54,6.21,6.49,30760,199632.4,,,,,
2009-12-08,6.54,6.54,6.21,6.38,29570,188656.6,,,,,
2009-12-09,6.1,6.1,6.1,6.1,20270,123647.0,,,,,
2009-12-10,5.82,5.99,5.82,5.82,83640,486784.8000000001,,,,,
2009-12-11,5.55,5.92,5.54,5.54,32360,179274.4,,,,,
2009-12-14,5.57,5.8,5.26,5.51,49860,274728.6,,,,,
2009-12-15,5.57,5.63,5.27,5.57,3180,17712.600000000002,,,,,
2009-12-16,5.51,5.51,5.3,5.3,28290,149937.0,,,,,
2009-12-17,5.05,5.4,5.05,5.4,45820,247428.00000000003,,,,,
2009-12-18,5.61,5.66,5.51,5.66,44010,249096.6,,,,,
2009-12-21,5.86,5.92,5.69,5.92,22520,133318.4,,,,,
2009-12-22,5.92,6.2,5.74,5.97,17510,104534.7,,,,,
2009-12-23,5.86,6.09,5.74,5.86,16620,97393.2,,,,,
2009-12-24,5.86,5.86,5.64,5.86,11430,66979.8,,,,,
2009-12-25,5.86,6.15,5.86,6.15,69750,428962.5,,,,,
2009-12-28,6.43,6.43,6.43,6.43,158330,1018061.9,,,,,
2009-12-29,6.72,6.72,6.72,6.72,111520,749414.4,,,,,
2009-12-30,7.01,7.01,6.95,7.01,84440,591924.4,,,,,
2009-12-31,7.29,7.29,6.89,7.24,100650,728706.0,,,,,
2010-01-04,7.12,7.35,7.12,7.35,148030,1088020.5,,,,,
2010-01-05,7.7,7.7,7.52,7.7,301540,2321858.0,,,,,
2010-01-06,7.47,7.81,7.47,7.7,75760,583352.0,,,,,
2010-01-07,7.81,8.04,7.81,8.04,229370,1844134.8,,,,,
