time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2013-01-02,1.304,1.353,1.304,1.353,3100,4194.3,,,,,,,,
2013-01-03,1.304,1.304,1.304,1.304,2200,2868.8,,,,,,,,
2013-01-04,1.256,1.353,1.256,1.353,6200,8388.6,,,,,,,,
2013-01-07,1.353,1.353,1.353,1.353,0,0.0,,,,,,,,
2013-01-08,1.353,1.353,1.353,1.353,200,270.6,,,,,,,,
2013-01-09,1.304,1.304,1.304,1.304,300,391.2,,,,,,,,
2013-01-10,1.304,1.304,1.304,1.304,0,0.0,,,,,,,,
2013-01-11,1.304,1.353,1.256,1.353,2800,3788.4,,,,,,,,
2013-01-14,1.304,1.304,1.304,1.304,100,130.4,,,,,,,,
2013-01-15,1.304,1.304,1.304,1.304,1500,1956.0,,,,,,,,
2013-01-16,1.304,1.401,1.304,1.401,6100,8546.1,,,,,,,,
2013-01-17,1.353,1.353,1.353,1.353,3900,5276.7,,,,,,,,
2013-01-18,1.353,1.353,1.353,1.353,0,0.0,,,,,,,,
2013-01-21,1.353,1.353,1.353,1.353,0,0.0,,,,,,,,
2013-01-22,1.353,1.353,1.353,1.353,0,0.0,,,,,,,,
2013-01-23,1.304,1.304,1.304,1.304,2800,3651.2,,,,,,,,
2013-01-24,1.353,1.353,1.353,1.353,1700,2300.1,,,,,,,,
2013-01-25,1.353,1.353,1.353,1.353,3100,4194.3,,,,,,,,
2013-01-28,1.401,1.401,1.256,1.256,4000,5024.0,,,,,,,,
2013-01-29,1.16,1.208,1.16,1.208,8000,9664.0,,,,,,,,
2013-01-30,1.304,1.304,1.304,1.304,9100,11866.4,,,,,,,,
2013-01-31,1.304,1.304,1.304,1.304,0,0.0,,,,,,,,
2013-02-01,1.304,1.304,1.304,1.304,3500,4564.0,,,,,,,,
2013-02-04,1.304,1.304,1.304,1.304,2000,2608.0,,,,,,,,
2013-02-05,1.304,1.304,1.304,1.304,4000,5216.0,,,,,,,,
2013-02-06,1.304,1.304,1.304,1.304,0,0.0,,,,,,,,
2013-02-07,1.304,1.304,1.304,1.304,4100,5346.400000000001,,,,,,,,
2013-02-08,1.304,1.304,1.304,1.304,0,0.0,,,,,,,,
2013-02-18,1.304,1.304,1.304,1.304,3300,4303.2,,,,,,,,
2013-02-19,1.256,1.353,1.256,1.353,3200,4329.6,,,,,,,,
2013-02-20,1.353,1.401,1.353,1.401,4700,6584.7,,,,,,,,
2013-02-21,1.353,1.353,1.353,1.353,1000,1353.0,,,,,,,,
2013-02-22,1.401,1.401,1.353,1.353,1100,1488.3,,,,,,,,
2013-02-25,1.256,1.353,1.256,1.353,500,676.5,,,,,,,,
2013-02-26,1.304,1.304,1.304,1.304,600,782.4,,,,,,,,
2013-02-27,1.304,1.304,1.304,1.304,400,521.6,,,,,,,,
2013-02-28,1.401,1.401,1.401,1.401,100,140.1,,,,,,,,
2013-03-01,1.401,1.401,1.401,1.401,0,0.0,,,,,,,,
2013-03-04,1.401,1.401,1.401,1.401,0,0.0,,,,,,,,
2013-03-05,1.401,1.401,1.401,1.401,0,0.0,,,,,,,,
2013-03-06,1.401,1.401,1.401,1.401,0,0.0,,,,,,,,
2013-03-07,1.304,1.304,1.304,1.304,400,521.6,,,,,,,,
2013-03-08,1.353,1.353,1.353,1.353,100,135.3,,,,,,,,
2013-03-11,1.353,1.353,1.353,1.353,0,0.0,,,,,,,,
2013-03-12,1.353,1.353,1.353,1.353,100,135.3,,,,,,,,
2013-03-13,1.353,1.353,1.353,1.353,100,135.3,,,,,,,,
2013-03-14,1.353,1.353,1.353,1.353,0,0.0,,,,,,,,
2013-03-15,1.353,1.353,1.353,1.353,0,0.0,,,,,,,,
2013-03-18,1.353,1.353,1.353,1.353,0,0.0,,,,,,,,
2013-03-19,1.304,1.304,1.304,1.304,400,521.6,,,,,,,,
2013-03-20,1.353,1.353,1.353,1.353,100,135.3,,,,,,,,
2013-03-21,1.304,1.353,1.256,1.353,1100,1488.3,,,,,,,,
2013-03-22,1.304,1.304,1.304,1.304,400,521.6,,,,,,,,
2013-03-25,1.304,1.304,1.304,1.304,0,0.0,,,,,,,,
2013-03-26,1.304,1.304,1.304,1.304,0,0.0,,,,,,,,
2013-03-27,1.304,1.304,1.304,1.304,0,0.0,,,,,,,,
2013-03-28,1.304,1.304,1.304,1.304,0,0.0,,,,,,,,
2013-03-29,1.304,1.304,1.304,1.304,0,0.0,,,,,,,,
2013-04-01,1.304,1.304,1.304,1.304,0,0.0,,,,,,,,
2013-04-02,1.304,1.304,1.256,1.256,2700,3391.2,,,,,,,,
2013-04-03,1.304,1.304,1.304,1.304,100,130.4,,,,,,,,
2013-04-04,1.353,1.353,1.353,1.353,100,135.3,,,,,,,,
2013-04-05,1.353,1.353,1.353,1.353,100,135.3,,,,,,,,
2013-04-08,1.353,1.353,1.353,1.353,0,0.0,,,,,,,,
2013-04-09,1.353,1.353,1.353,1.353,800,1082.4,,,,,,,,
2013-04-10,1.353,1.353,1.353,1.353,0,0.0,,,,,,,,
2013-04-11,1.256,1.256,1.256,1.256,17400,21854.4,,,,,,,,
2013-04-12,1.256,1.256,1.256,1.256,1100,1381.6,,,,,,,,
2013-04-15,1.256,1.256,1.256,1.256,0,0.0,,,,,,,,
2013-04-16,1.256,1.256,1.256,1.256,1100,1381.6,,,,,,,,
2013-04-17,1.256,1.256,1.256,1.256,0,0.0,,,,,,,,
2013-04-18,1.256,1.256,1.256,1.256,0,0.0,,,,,,,,
2013-04-22,1.16,1.16,1.16,1.16,15000,17400.0,,,,,,,,
2013-04-23,1.208,1.208,1.208,1.208,2500,3020.0,,,,,,,,
2013-04-24,1.111,1.208,1.111,1.208,3700,4469.599999999999,,,,,,,,
2013-04-25,1.208,1.208,1.208,1.208,0,0.0,,,,,,,,
2013-04-26,1.208,1.208,1.208,1.208,3000,3624.0,,,,,,,,
2013-05-02,1.208,1.208,1.208,1.208,0,0.0,,,,,,,,
2013-05-03,1.208,1.208,1.208,1.208,0,0.0,,,,,,,,
2013-05-06,1.111,1.256,1.111,1.256,5600,7033.6,,,,,,,,
2013-05-07,1.256,1.256,1.256,1.256,0,0.0,,,,,,,,
2013-05-08,1.256,1.256,1.256,1.256,200,251.2,,,,,,,,
2013-05-09,1.256,1.256,1.256,1.256,0,0.0,,,,,,,,
2013-05-10,1.256,1.256,1.256,1.256,0,0.0,,,,,,,,
2013-05-13,1.208,1.208,1.16,1.16,600,696.0,,,,,,,,
2013-05-14,1.16,1.16,1.16,1.16,2100,2436.0,,,,,,,,
2013-05-15,1.16,1.16,1.16,1.16,500,580.0,,,,,,,,
2013-05-16,1.16,1.16,1.16,1.16,0,0.0,,,,,,,,
2013-05-17,1.16,1.16,1.16,1.16,0,0.0,,,,,,,,
2013-05-20,1.16,1.16,1.16,1.16,500,580.0,,,,,,,,
2013-05-21,1.063,1.208,1.063,1.208,600,724.8,,,,,,,,
2013-05-22,1.208,1.208,1.208,1.208,0,0.0,,,,,,,,
