time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2009-12-01,11.02,11.02,8.77,8.77,58800,515676.0,,,,,,,,
2009-12-02,9.03,9.03,9.03,9.03,7900,71337.0,,,,,,,,
2009-12-03,8.41,8.41,8.41,8.41,23900,200999.0,,,,,,,,
2009-12-04,7.83,7.83,7.83,7.83,20000,156600.0,,,,,,,,
2009-12-07,7.28,7.75,7.28,7.75,135400,1049350.0,,,,,,,,
2009-12-08,7.44,7.73,7.36,7.44,113600,845184.0,,,,,,,,
2009-12-09,7.05,7.05,7.02,7.02,1900,13338.0,,,,,,,,
2009-12-10,7.28,7.28,6.55,6.55,4800,31440.0,,,,,,,,
2009-12-11,6.21,6.21,6.21,6.21,1800,11178.0,,,,,,,,
2009-12-14,5.8,6.06,5.8,5.8,66300,384540.0,,,,,,,,
2009-12-15,6.0,6.0,5.4,5.4,27900,150660.0,,,,,,,,
2009-12-16,5.22,5.22,5.04,5.04,58900,296856.0,,,,,,,,
2009-12-17,4.73,4.73,4.7,4.7,64000,300800.0,,,,,,,,
2009-12-18,4.93,5.01,4.83,5.01,27200,136272.0,,,,,,,,
2009-12-21,5.35,5.35,5.35,5.35,265800,1422030.0,,,,,,,,
2009-12-22,5.72,5.72,5.01,5.01,109100,546591.0,,,,,,,,
2009-12-23,5.09,5.27,4.96,5.27,45700,240839.0,,,,,,,,
2009-12-24,5.22,5.46,5.09,5.43,58300,316569.0,,,,,,,,
2009-12-25,5.74,5.77,5.35,5.72,190500,1089660.0,,,,,,,,
2009-12-28,5.74,5.9,5.74,5.9,171500,1011850.0,,,,,,,,
2009-12-29,6.27,6.27,6.24,6.27,81500,511005.0,,,,,,,,
2009-12-30,6.68,6.68,6.53,6.68,140600,939208.0,,,,,,,,
2009-12-31,7.13,7.13,6.92,6.92,253900,1756988.0,,,,,,,,
2010-01-04,7.31,7.55,7.05,7.55,152800,1153640.0,,,,,,,,
2010-01-05,7.83,7.96,7.34,7.34,102900,755286.0,,,,,,,,
2010-01-06,7.21,7.44,7.15,7.15,137300,981695.0,,,,,,,,
2010-01-07,7.31,7.7,6.79,7.57,259000,1960630.0,,,,,,,,
2010-01-08,7.7,7.99,7.57,7.83,346800,2715444.0,,,,,,,,
2010-01-11,7.94,7.96,7.57,7.78,79700,620066.0,,,,,,,,
2010-01-12,7.73,7.73,7.26,7.26,106600,773916.0,,,,,,,,
2010-01-13,7.1,7.44,6.94,7.31,194200,1419602.0,,,,,,,,
2010-01-14,7.49,7.49,7.05,7.18,76400,548552.0,,,,,,,,
2010-01-15,7.26,7.26,6.81,6.87,48000,329760.0,,,,,,,,
2010-01-18,6.58,6.61,6.5,6.5,40800,265200.0,,,,,,,,
2010-01-19,6.55,6.79,6.55,6.79,29500,200305.0,,,,,,,,
2010-01-20,6.89,7.02,6.61,6.76,23800,160888.0,,,,,,,,
2010-01-21,6.4,6.4,6.32,6.32,56200,355184.0,,,,,,,,
2010-01-22,6.14,6.53,6.0,6.37,40500,257985.0,,,,,,,,
2010-01-25,6.53,6.53,5.95,6.16,2800,17248.0,,,,,,,,
2010-01-26,6.53,6.58,6.4,6.58,47500,312550.0,,,,,,,,
2010-01-27,6.89,6.89,6.21,6.21,40500,251505.0,,,,,,,,
2010-01-28,6.27,6.4,6.06,6.37,26300,167531.0,,,,,,,,
2010-01-29,6.42,6.42,6.4,6.4,16900,108160.0,,,,,,,,
2010-02-01,6.74,6.74,6.32,6.5,8400,54600.0,,,,,,,,
2010-02-02,6.4,6.4,6.27,6.27,25400,159258.0,,,,,,,,
2010-02-03,6.42,6.42,6.27,6.29,28300,178007.0,,,,,,,,
2010-02-04,6.27,6.4,6.27,6.27,21700,136059.0,,,,,,,,
2010-02-05,6.53,6.53,6.24,6.24,700,4368.0,,,,,,,,
2010-02-08,6.4,6.47,6.21,6.27,20200,126654.0,,,,,,,,
2010-02-09,6.27,6.27,6.0,6.0,36000,216000.0,,,,,,,,
2010-02-10,6.06,6.14,6.06,6.08,9000,54720.0,,,,,,,,
2010-02-11,6.06,6.06,6.06,6.06,2000,12120.0,,,,,,,,
2010-02-12,6.24,6.47,6.24,6.47,134500,870215.0,,,,,,,,
2010-02-22,6.4,6.66,6.4,6.45,17600,113520.0,,,,,,,,
2010-02-23,6.32,6.42,6.21,6.42,10300,66126.0,,,,,,,,
2010-02-24,6.4,6.53,6.32,6.53,30600,199818.0,,,,,,,,
2010-02-25,6.58,6.66,6.4,6.5,43600,283400.0,,,,,,,,
2010-02-26,6.47,6.61,6.4,6.58,36800,242144.0,,,,,,,,
2010-03-01,6.97,7.0,6.71,7.0,81900,573300.0,,,,,,,,
2010-03-02,7.47,7.47,6.84,7.0,58600,410200.0,,,,,,,,
2010-03-03,7.05,7.18,6.79,7.08,14900,105492.0,,,,,,,,
2010-03-04,7.05,7.18,6.66,6.66,47800,318348.0,,,,,,,,
2010-03-05,6.79,7.0,6.76,7.0,82800,579600.0,,,,,,,,
2010-03-08,7.28,7.31,7.02,7.31,176800,1292408.0,,,,,,,,
2010-03-09,7.44,7.73,7.44,7.73,197900,1529767.0,,,,,,,,
2010-03-10,8.09,8.22,7.73,7.81,92700,723987.0,,,,,,,,
2010-03-11,8.17,8.17,7.44,7.57,45900,347463.0,,,,,,,,
2010-03-12,7.73,7.73,7.31,7.65,116800,893520.0,,,,,,,,
2010-03-15,7.96,8.07,7.57,7.7,126200,971740.0,,,,,,,,
2010-03-16,7.39,7.52,7.21,7.26,101600,737616.0,,,,,,,,
2010-03-17,7.31,7.44,6.92,6.92,32300,223516.0,,,,,,,,
2010-03-18,7.31,7.31,6.68,7.13,97200,693036.0,,,,,,,,
2010-03-19,7.28,7.41,7.28,7.41,97700,723957.0,,,,,,,,
2010-03-22,7.91,7.91,7.75,7.91,338100,2674371.0,,,,,,,,
2010-03-23,7.96,7.96,7.57,7.62,83400,635508.0,,,,,,,,
2010-03-24,7.7,7.78,7.57,7.68,55100,423168.0,,,,,,,,
2010-03-25,7.52,7.52,7.18,7.18,137300,985814.0,,,,,,,,
2010-03-26,7.31,7.31,6.84,7.18,62100,445878.0,,,,,,,,
2010-03-29,7.31,7.31,7.02,7.31,48100,351611.0,,,,,,,,
2010-03-30,7.44,7.44,7.05,7.1,55800,396180.0,,,,,,,,
2010-03-31,7.18,7.18,6.74,6.92,79500,550140.0,,,,,,,,
2010-04-01,6.84,7.18,6.84,7.1,67100,476410.0,,,,,,,,
2010-04-02,6.92,7.26,6.92,7.05,34600,243930.0,,,,,,,,
2010-04-05,7.28,7.49,7.05,7.41,81000,600210.0,,,,,,,,
2010-04-06,7.57,7.57,6.94,7.05,66300,467415.0,,,,,,,,
2010-04-07,7.28,7.31,7.05,7.31,94900,693719.0,,,,,,,,
2010-04-08,7.15,7.65,7.15,7.65,242300,1853595.0,,,,,,,,
2010-04-09,7.96,8.12,7.49,7.57,55500,420135.0,,,,,,,,
2010-04-12,8.15,8.15,7.28,7.34,73000,535820.0,,,,,,,,
2010-04-13,7.36,7.39,7.21,7.34,91800,673812.0,,,,,,,,
2010-04-14,7.34,7.36,7.23,7.34,53500,392690.0,,,,,,,,
2010-04-15,7.36,7.81,7.31,7.81,316400,2471084.0,,,,,,,,
2010-04-16,7.96,8.25,7.96,8.25,281900,2325675.0,,,,,,,,
2010-04-19,8.51,8.82,8.51,8.82,237700,2096514.0,,,,,,,,
2010-04-20,9.43,9.43,9.43,9.43,30500,287615.0,,,,,,,,
2010-04-21,10.08,10.08,10.08,10.08,32600,328608.0,,,,,,,,
2010-04-22,10.78,10.78,9.37,10.78,1036400,11172392.0,,,,,,,,
2010-04-26,11.2,11.2,10.97,11.2,213100,2386720.0,,,,,,,,
2010-04-27,11.98,11.98,11.75,11.98,259000,3102820.0,,,,,,,,
2010-04-28,12.82,12.82,11.91,11.96,183500,2194660.0,,,,,,,,
2010-04-29,11.72,12.61,11.72,12.45,307700,3830865.0,,,,,,,,
2010-05-04,13.05,13.18,12.79,13.18,344800,4544464.0,,,,,,,,
2010-05-05,13.84,14.07,13.18,14.07,364500,5128515.0,,,,,,,,
2010-05-06,14.15,14.88,13.84,14.36,174500,2505820.0,,,,,,,,
2010-05-07,13.47,14.1,13.47,13.47,219800,2960706.0,,,,,,,,
2010-05-10,12.64,13.58,12.64,12.64,156000,1971840.0,,,,,,,,
2010-05-11,13.32,13.58,12.92,13.26,672300,8914698.0,,,,,,,,
2010-05-12,13.52,14.23,12.58,12.61,150500,1897805.0,,,,,,,,
2010-05-13,13.84,13.84,12.32,12.53,68900,863317.0,,,,,,,,
2010-05-14,12.53,13.26,12.53,12.58,203500,2560030.0,,,,,,,,
2010-05-17,12.85,12.85,11.96,11.96,138500,1656460.0000000002,,,,,,,,
2010-05-18,11.49,12.22,11.49,11.49,35400,406746.0,,,,,,,,
2010-05-19,10.7,10.7,10.7,10.7,9400,100580.0,,,,,,,,
2010-05-20,9.97,11.23,9.97,11.23,309600,3476808.0,,,,,,,,
2010-05-21,9.5,9.5,9.5,9.5,17400,165300.0,,,,,,,,
