time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2017-12-07,9.75,11.415,9.512,11.415,2566650,29298309.75,,,,,,,,
2017-12-08,11.534,12.207,11.454,12.207,1260740,15389853.180000002,,,,,,,,
2017-12-11,12.366,12.762,12.287,12.525,643090,8054702.25,,,,,,,,
2017-12-12,11.89,11.89,11.653,11.653,646450,7533081.850000001,,,,,,,,
2017-12-13,10.86,10.86,10.86,10.86,522310,5672286.6,,,,,,,,
2017-12-14,10.107,10.107,10.107,10.107,443330,4480736.31,,,,,,,,
2017-12-15,9.433,10.067,9.433,9.988,1432860,14311405.68,,,,,,,,
2017-12-18,10.067,10.305,9.948,9.988,507270,5066612.76,,,,,,,,
2017-12-19,9.948,10.067,9.79,9.829,246780,2425600.62,,,,,,,,
2017-12-20,9.75,9.909,9.592,9.631,408080,3930218.48,,,,,,,,
2017-12-21,9.592,9.75,9.552,9.592,210900,2022952.8,,,,,,,,
2017-12-22,9.552,9.671,9.512,9.592,274450,2632524.4000000004,,,,,,,,
2017-12-25,9.671,9.71,9.512,9.592,192340,1844925.28,,,,,,,,
2017-12-26,9.512,9.671,9.473,9.473,482240,4568259.5200000005,,,,,,,,
2017-12-27,9.473,9.512,9.393,9.473,185500,1757241.5000000002,,,,,,,,
2017-12-28,9.592,9.671,9.473,9.592,206790,1983529.68,,,,,,,,
2017-12-29,9.631,9.631,9.473,9.552,276930,2645235.36,,,,,,,,
2018-01-02,9.473,9.631,9.433,9.473,176650,1673405.4500000002,0.0,0.0,0.0,0.0,,0.04,0.0,0.0
2018-01-03,9.592,9.988,9.473,9.988,826360,8253683.68,0.0,0.0,0.0,0.0,,0.04,0.0,0.0
2018-01-04,10.028,10.384,9.909,10.384,617570,6412846.88,0.0,0.0,0.0,0.0,,0.04,0.0,0.0
2018-01-05,10.305,10.622,10.305,10.503,520330,5465025.99,0.0,0.0,0.0,0.0,,0.04,0.0,0.0
2018-01-08,10.464,10.701,10.464,10.662,1334250,14225773.500000002,0.0,0.0,0.0,0.0,,0.04,0.0,0.0
2018-01-09,10.582,10.701,10.543,10.582,320920,3395975.4400000004,0.0,0.0,0.0,0.0,,0.04,0.0,0.0
2018-01-10,10.622,10.701,10.503,10.543,203270,2143075.61,0.0,0.0,0.0,0.0,,0.04,0.0,0.0
2018-01-11,10.503,10.543,10.424,10.503,265600,2789596.8,0.0,0.0,0.0,0.0,,0.04,0.0,0.0
2018-01-12,10.305,10.582,10.305,10.543,462910,4880460.13,0.0,0.0,0.0,0.0,,0.04,0.0,0.0
2018-01-15,10.543,10.701,10.464,10.582,170320,1802326.24,0.0,0.0,0.0,0.0,,0.04,0.0,0.0
2018-01-16,10.582,10.701,10.543,10.582,211640,2239574.48,0.0,0.0,0.0,0.0,,0.04,0.0,0.0
2018-01-17,10.622,11.098,10.582,11.058,839670,9285070.86,0.0,0.0,0.0,0.0,,0.04,0.0,0.0
2018-01-18,11.098,11.336,11.018,11.336,593910,6732563.76,0.0,0.0,0.0,0.0,,0.04,0.0,0.0
2018-01-19,11.415,11.454,11.256,11.256,287470,3235762.3200000003,0.0,0.0,0.0,0.0,,0.04,0.0,0.0
2018-01-22,11.177,11.256,11.098,11.177,169370,1893048.49,0.0,0.0,0.0,0.0,,0.04,0.0,0.0
