time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2006-12-08,22.42,22.42,22.42,22.42,2800,62776.00000000001,,,,,,,,
2006-12-11,22.42,22.42,21.46,21.46,800,17168.0,,,,,,,,
2006-12-12,20.05,20.05,20.05,20.05,600,12030.0,,,,,,,,
2006-12-13,19.54,19.54,19.54,19.54,1000,19540.0,,,,,,,,
2006-12-14,18.9,18.9,18.9,18.9,600,11340.0,,,,,,,,
2006-12-15,19.22,19.22,19.22,19.22,100,1922.0,,,,,,,,
2006-12-18,19.22,19.22,19.22,19.22,100,1922.0,,,,,,,,
2006-12-19,19.86,19.86,19.86,19.22,400,7688.0,,,,,,,,
2006-12-20,20.18,20.18,20.18,20.18,100,2018.0,,,,,,,,
2006-12-21,20.18,20.18,20.18,20.18,0,0.0,,,,,,,,
2006-12-22,20.18,20.18,20.18,20.18,0,0.0,,,,,,,,
2006-12-25,18.2,18.2,18.2,18.2,7500,136500.0,,,,,,,,
2006-12-26,16.98,16.98,16.98,16.98,100,1698.0,,,,,,,,
2006-12-27,18.58,18.58,18.58,18.58,200,3716.0,,,,,,,,
2006-12-28,16.72,16.72,16.72,18.58,100,1858.0,,,,,,,,
2006-12-29,18.39,18.39,18.26,18.26,600,10956.000000000002,,,,,,,,
2007-01-02,20.12,20.12,20.12,18.26,6900,125994.0,,,,,,,,
2007-01-03,22.1,22.1,21.53,22.1,4000,88400.0,,,,,,,,
2007-01-04,23.71,24.03,23.71,24.03,4300,103329.0,,,,,,,,
2007-01-05,24.35,24.67,24.35,24.67,3600,88812.0,,,,,,,,
2007-01-08,23.07,25.63,23.07,25.63,2900,74327.0,,,,,,,,
2007-01-09,26.27,27.55,26.27,27.55,1900,52345.0,,,,,,,,
2007-01-10,27.55,27.55,25.63,25.63,5200,133276.0,,,,,,,,
2007-01-11,27.55,27.55,25.56,26.59,2800,74452.0,,,,,,,,
2007-01-12,25.63,25.63,25.63,25.63,1400,35882.0,,,,,,,,
2007-01-15,25.63,27.55,25.63,27.55,8300,228665.0,,,,,,,,
2007-01-16,28.83,28.9,26.91,28.9,15500,447950.0,,,,,,,,
2007-01-17,30.11,31.52,30.11,31.39,8700,273093.0,,,,,,,,
2007-01-18,32.04,33.32,31.71,32.04,5800,185832.0,,,,,,,,
2007-01-19,31.59,31.59,31.39,31.39,3600,113004.0,,,,,,,,
2007-01-22,29.47,29.79,29.47,31.39,1100,34529.0,,,,,,,,
2007-01-23,29.41,30.43,29.41,29.6,1700,50320.0,,,,,,,,
2007-01-24,30.11,30.11,29.66,30.11,6100,183671.0,,,,,,,,
2007-01-25,30.11,30.11,29.79,29.79,2500,74475.0,,,,,,,,
2007-01-26,30.11,30.75,30.11,30.75,1200,36900.0,,,,,,,,
2007-01-29,32.04,32.68,32.04,32.68,3700,120916.0,,,,,,,,
2007-01-30,35.62,35.62,33.32,34.6,18700,647020.0,,,,,,,,
2007-01-31,36.52,37.74,35.24,37.48,18600,697128.0,,,,,,,,
2007-02-01,39.08,40.04,37.48,37.48,1900,71212.0,,,,,,,,
2007-02-02,38.89,39.4,37.48,38.44,17700,680388.0,,,,,,,,
2007-02-05,42.61,42.61,37.16,37.16,10800,401328.0,,,,,,,,
2007-02-06,36.52,37.8,35.37,35.56,10300,366268.0,,,,,,,,
2007-02-07,37.8,37.8,35.24,36.2,10000,362000.0,,,,,,,,
2007-02-08,37.03,37.03,36.39,36.39,5500,200145.0,,,,,,,,
2007-02-09,35.37,37.16,35.37,37.16,3800,141208.0,,,,,,,,
2007-02-12,37.16,38.06,37.16,37.16,3200,118912.0,,,,,,,,
2007-02-13,37.74,38.06,37.74,37.93,11000,417230.0,,,,,,,,
2007-02-14,38.44,38.44,37.16,37.16,3500,130060.0,,,,,,,,
2007-02-15,38.44,39.72,38.25,39.08,9600,375168.0,,,,,,,,
2007-02-26,42.74,42.74,40.36,41.9,51600,2162040.0,,,,,,,,
2007-02-27,45.23,45.23,43.57,45.23,30700,1388561.0,,,,,,,,
2007-02-28,49.59,49.59,49.59,49.59,33400,1656306.0,,,,,,,,
2007-03-01,54.52,54.52,51.26,53.82,28900,1555398.0,,,,,,,,
2007-03-02,55.1,55.1,51.26,53.82,16700,898794.0,,,,,,,,
2007-03-05,53.82,57.02,53.82,55.16,7600,419216.0,,,,,,,,
2007-03-06,57.09,59.14,55.74,57.73,17600,1016048.0,,,,,,,,
2007-03-07,58.94,62.15,58.94,58.94,9800,577612.0,,,,,,,,
2007-03-08,60.23,60.23,58.94,59.91,5000,299550.0,,,,,,,,
2007-03-09,57.66,58.94,53.88,57.6,8900,512640.0,,,,,,,,
2007-03-12,57.6,58.94,56.38,57.66,15000,864900.0,,,,,,,,
2007-03-13,63.94,63.94,58.3,59.59,18100,1078579.0,,,,,,,,
2007-03-14,58.94,59.91,56.13,59.59,19600,1167964.0,,,,,,,,
2007-03-15,52.92,55.42,52.92,52.92,7000,370440.0,,,,,,,,
2007-03-16,53.82,59.01,53.82,59.01,11400,672714.0,,,,,,,,
2007-03-19,64.58,64.58,64.58,64.58,16400,1059112.0,,,,,,,,
2007-03-20,69.2,70.99,65.35,68.56,21200,1453472.0,,,,,,,,
2007-03-21,73.04,73.04,70.48,71.12,19500,1386840.0,,,,,,,,
2007-03-22,73.68,73.68,67.27,69.2,17000,1176400.0,,,,,,,,
2007-03-23,70.54,72.4,65.99,69.84,26400,1843776.0,,,,,,,,
2007-03-26,74.96,77.14,71.76,69.84,24500,1711080.0,,,,,,,,
2007-03-27,82.97,83.36,73.68,69.84,12800,893952.0,,,,,,,,
2007-03-28,74.96,76.88,71.57,76.88,12800,984064.0,,,,,,,,
2007-03-29,80.09,81.69,76.88,76.88,9800,753424.0,,,,,,,,
2007-03-30,83.29,84.57,76.88,76.88,11200,861056.0,,,,,,,,
2007-04-02,82.01,82.01,79.45,80.09,2600,208234.0,,,,,,,,
2007-04-03,76.88,79.77,76.88,78.81,3900,307359.0,,,,,,,,
2007-04-04,71.37,76.88,71.37,76.88,5500,422840.0,,,,,,,,
2007-04-05,73.68,75.15,73.68,73.68,4700,346296.00000000006,,,,,,,,
2007-04-06,71.76,73.68,70.48,70.48,2800,197344.0,,,,,,,,
2007-04-09,70.48,70.48,69.2,69.84,7500,523800.0,,,,,,,,
2007-04-10,70.48,70.48,67.91,68.56,6900,473064.0,,,,,,,,
2007-04-11,66.7,67.27,64.26,67.27,14300,961961.0,,,,,,,,
2007-04-12,65.67,65.99,64.07,65.16,10800,703728.0,,,,,,,,
2007-04-13,67.27,67.27,65.35,67.27,2200,147994.0,,,,,,,,
2007-04-16,65.99,67.27,65.99,66.31,5700,377967.0,,,,,,,,
2007-04-17,66.63,66.95,62.15,65.35,7800,509730.0,,,,,,,,
2007-04-18,54.33,54.33,53.69,53.76,2000,107520.0,,,,,,,,
2007-04-19,56.38,57.66,56.38,57.02,3100,176762.0,,,,,,,,
2007-04-20,57.02,57.41,51.9,51.9,3300,171270.0,,,,,,,,
2007-04-23,51.13,51.13,51.13,51.13,300,15339.0,,,,,,,,
2007-04-24,47.73,48.05,47.73,47.73,1500,71595.0,,,,,,,,
2007-04-25,47.41,47.99,47.41,47.73,1700,81141.0,,,,,,,,
2007-05-02,47.8,47.8,47.8,47.8,200,9560.0,,,,,,,,
2007-05-03,47.8,49.97,47.8,49.97,200,9994.0,,,,,,,,
2007-05-04,48.05,48.5,48.05,48.5,1200,58200.0,,,,,,,,
2007-05-07,52.47,52.47,52.47,52.47,100,5247.0,,,,,,,,
2007-05-08,53.18,53.82,53.18,53.18,500,26590.0,,,,,,,,
2007-05-09,52.22,52.54,51.26,51.26,1100,56386.0,,,,,,,,
2007-05-10,48.05,48.05,48.05,48.05,400,19220.0,,,,,,,,
2007-05-11,48.05,49.33,43.25,49.33,4900,241717.0,,,,,,,,
2007-05-14,48.57,48.57,47.41,47.41,700,33187.0,,,,,,,,
2007-05-15,48.05,48.18,48.05,48.05,3200,153760.0,,,,,,,,
2007-05-16,48.05,48.12,48.05,48.12,600,28872.0,,,,,,,,
2007-05-17,49.33,49.33,49.33,49.33,500,24665.0,,,,,,,,
2007-05-18,50.62,50.62,48.05,49.33,5100,251583.0,,,,,,,,
2007-05-21,52.54,54.52,51.26,54.52,6000,327120.0,,,,,,,,
2007-05-22,56.38,58.37,56.38,58.37,16800,980616.0,,,,,,,,
2007-05-23,63.75,63.75,56.38,58.3,14800,862840.0,,,,,,,,
2007-05-24,57.02,57.02,53.18,54.52,3300,179916.0,,,,,,,,
2007-05-25,54.46,54.78,53.18,54.46,6200,337652.0,,,,,,,,
2007-05-28,57.54,59.52,57.54,57.54,10700,615678.0,,,,,,,,
2007-05-29,58.3,58.88,56.38,56.38,12800,721664.0,,,,,,,,
2007-05-30,55.74,55.74,55.1,55.1,2800,154280.0,,,,,,,,
2007-05-31,55.74,55.74,55.74,55.74,1700,94758.0,,,,,,,,
2007-06-01,56.38,56.96,56.38,56.96,3600,205056.0,,,,,,,,
2007-06-04,56.45,57.02,56.13,56.13,4900,275037.0,,,,,,,,
2007-06-05,55.74,55.74,55.74,55.74,1600,89184.0,,,,,,,,
2007-06-06,55.74,55.74,55.74,55.74,3400,189516.0,,,,,,,,
2007-06-07,55.1,56.38,55.1,55.74,4300,239682.0,,,,,,,,
2007-06-08,55.74,55.74,55.49,55.49,2000,110980.0,,,,,,,,
2007-06-11,55.74,55.74,54.46,54.46,5800,315868.0,,,,,,,,
2007-06-12,55.1,55.1,54.91,54.91,1400,76874.0,,,,,,,,
2007-06-13,54.46,55.1,54.46,55.1,3400,187340.0,,,,,,,,
2007-06-14,54.78,54.78,54.59,54.59,800,43672.0,,,,,,,,
2007-06-15,54.33,54.33,53.88,53.88,1800,96984.0,,,,,,,,
2007-06-18,54.46,54.46,54.4,54.4,700,38080.0,,,,,,,,
2007-06-19,54.46,54.46,53.82,53.82,400,21528.0,,,,,,,,
2007-06-20,53.82,53.82,53.82,53.82,0,0.0,,,,,,,,
2007-06-21,53.82,53.82,53.82,53.82,0,0.0,,,,,,,,
2007-06-22,52.54,53.69,52.54,53.69,400,21476.0,,,,,,,,
2007-06-25,52.54,52.54,51.9,51.9,1300,67470.0,,,,,,,,
2007-06-26,51.9,51.9,51.9,51.9,200,10380.0,,,,,,,,
