time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2000-08-04,1.82,1.82,1.82,1.82,100,182.0,,,,,
2000-08-07,1.82,1.82,1.82,1.82,0,0.0,,,,,
2000-08-09,1.82,1.82,1.82,1.82,0,0.0,,,,,
2000-08-11,1.82,1.82,1.82,1.82,0,0.0,,,,,
2000-08-14,1.82,1.82,1.82,1.82,0,0.0,,,,,
2000-08-16,1.82,1.82,1.82,1.82,0,0.0,,,,,
2000-08-18,1.82,1.82,1.82,1.82,0,0.0,,,,,
2000-08-21,1.82,1.82,1.82,1.82,0,0.0,,,,,
2000-08-23,1.82,1.82,1.82,1.82,0,0.0,,,,,
2000-08-25,1.82,1.82,1.82,1.82,0,0.0,,,,,
2000-08-28,1.82,1.82,1.82,1.82,0,0.0,,,,,
2000-08-30,1.82,1.82,1.82,1.82,0,0.0,,,,,
2000-09-01,1.82,1.82,1.82,1.82,0,0.0,,,,,
2000-09-22,2.23,2.23,2.23,2.23,100,223.0,,,,,
2000-09-25,2.26,2.26,2.26,2.26,100,226.0,,,,,
2000-09-27,2.3,2.3,2.3,2.3,100,230.0,,,,,
2000-09-29,2.34,2.34,2.34,2.34,200,468.0,,,,,
2000-10-02,2.38,2.38,2.38,2.38,300,714.0,,,,,
2000-10-04,2.42,2.42,2.42,2.42,100,242.0,,,,,
2000-10-06,2.42,2.42,2.42,2.42,0,0.0,,,,,
2000-10-09,2.46,2.46,2.46,2.46,100,246.0,,,,,
2000-10-11,2.5,2.5,2.5,2.5,100,250.0,,,,,
2000-10-13,2.54,2.54,2.54,2.54,100,254.0,,,,,
2000-10-16,2.58,2.58,2.58,2.58,100,258.0,,,,,
2000-10-18,2.62,2.62,2.62,2.62,100,262.0,,,,,
2000-10-20,2.67,2.67,2.67,2.67,100,267.0,,,,,
2000-10-23,2.72,2.72,2.72,2.72,100,272.0,,,,,
2000-10-25,2.77,2.77,2.77,2.77,400,1108.0,,,,,
2000-10-27,2.82,2.82,2.82,2.82,100,282.0,,,,,
2000-10-30,2.88,2.88,2.88,2.88,100,288.0,,,,,
2000-11-01,2.93,2.93,2.93,2.93,100,293.0,,,,,
2000-11-03,2.98,2.98,2.98,2.98,100,298.0,,,,,
2000-11-06,3.03,3.03,3.03,3.03,100,303.0,,,,,
2000-11-08,3.08,3.08,3.08,3.08,200,616.0,,,,,
2000-11-10,3.14,3.14,3.14,3.14,100,314.0,,,,,
2000-11-13,3.19,3.19,3.19,3.19,200,638.0,,,,,
2000-11-15,3.24,3.24,3.24,3.24,100,324.0,,,,,
2000-11-17,3.29,3.29,3.29,3.29,100,329.0,,,,,
2000-11-20,3.36,3.36,3.36,3.36,1000,3360.0,,,,,
2000-11-22,3.42,3.42,3.42,3.42,500,1710.0,,,,,
2000-11-24,3.49,3.49,3.49,3.49,400,1396.0,,,,,
2000-11-27,3.55,3.55,3.55,3.55,600,2130.0,,,,,
2000-11-29,3.62,3.62,3.62,3.62,200,724.0,,,,,
2000-12-01,3.68,3.68,3.68,3.68,300,1104.0,,,,,
2000-12-04,3.75,3.75,3.75,3.75,700,2625.0,,,,,
2000-12-06,3.81,3.81,3.81,3.81,800,3048.0,,,,,
2000-12-08,3.88,3.88,3.88,3.88,1100,4268.0,,,,,
2000-12-11,3.94,3.94,3.94,3.94,100,394.0,,,,,
2000-12-13,3.89,3.89,3.89,3.89,100,389.0,,,,,
2000-12-15,3.96,3.96,3.96,3.96,200,792.0,,,,,
2000-12-18,4.03,4.03,4.03,4.03,100,403.0,,,,,
2000-12-20,4.11,4.11,4.11,4.11,100,411.00000000000006,,,,,
2000-12-22,4.19,4.19,4.19,4.19,2700,11313.000000000002,,,,,
2000-12-25,4.27,4.27,4.27,4.27,800,3415.9999999999995,,,,,
2000-12-27,4.35,4.35,4.35,4.35,800,3479.9999999999995,,,,,
2000-12-29,4.42,4.42,4.42,4.42,1700,7514.0,,,,,
2001-01-03,4.5,4.5,4.5,4.5,1500,6750.0,,,,,
2001-01-05,4.58,4.58,4.58,4.58,1300,5954.0,,,,,
2001-01-08,4.67,4.67,4.67,4.67,3900,18213.0,,,,,
2001-01-10,4.76,4.76,4.76,4.76,900,4284.0,,,,,
2001-01-12,4.85,4.85,4.85,4.85,1100,5335.0,,,,,
2001-01-15,4.94,4.94,4.94,4.94,1200,5928.000000000001,,,,,
2001-01-17,5.04,5.04,5.04,5.04,200,1008.0,,,,,
2001-01-19,5.13,5.13,5.13,5.13,300,1539.0,,,,,
2001-01-29,5.22,5.22,5.22,5.22,200,1044.0,,,,,
2001-01-31,5.32,5.32,5.32,5.32,200,1064.0,,,,,
2001-02-02,5.43,5.43,5.43,5.43,1400,7602.0,,,,,
2001-02-05,5.53,5.53,5.53,5.53,300,1659.0,,,,,
2001-02-07,5.63,5.63,5.63,5.63,400,2252.0,,,,,
2001-02-09,5.74,5.74,5.74,5.74,2300,13202.0,,,,,
2001-02-12,5.84,5.84,5.84,5.84,400,2336.0,,,,,
2001-02-14,5.95,5.95,5.95,5.95,4800,28560.0,,,,,
2001-02-16,6.06,6.06,6.06,6.06,9900,59993.99999999999,,,,,
2001-02-19,6.18,6.18,6.18,6.18,7300,45114.0,,,,,
2001-02-21,6.3,6.3,6.3,6.3,10100,63630.0,,,,,
2001-02-23,6.42,6.42,6.42,6.42,12500,80250.0,,,,,
2001-02-26,6.51,6.51,6.51,6.51,22600,147126.0,,,,,
2001-02-28,6.64,6.64,6.64,6.64,32700,217128.0,,,,,
