time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2017-05-29,10.897,12.474,10.515,12.474,5124680,63925258.32,,,,,,,,
2017-05-30,12.665,13.335,12.474,12.857,4453270,57255692.39,,,,,,,,
2017-05-31,12.904,13.239,12.283,12.283,1562860,19196609.38,,,,,,,,
2017-06-01,11.471,11.471,11.471,11.471,743410,8527656.11,,,,,,,,
2017-06-02,10.706,10.706,10.706,10.706,924640,9899195.84,,,,,,,,
2017-06-05,9.989,10.18,9.989,9.989,2266580,22640867.62,,,,,,,,
2017-06-06,9.291,9.654,9.291,9.329,4493100,41916129.900000006,,,,,,,,
2017-06-07,9.349,9.798,9.272,9.387,1339010,12569286.87,,,,,,,,
2017-06-08,9.224,9.387,8.737,8.737,725280,6336771.36,,,,,,,,
2017-06-09,8.135,8.316,8.135,8.173,1217110,9947440.03,,,,,,,,
2017-06-12,7.934,8.125,7.743,7.886,474890,3744982.54,,,,,,,,
2017-06-13,7.886,8.01,7.743,7.886,441090,3478435.74,,,,,,,,
2017-06-14,7.896,8.287,7.838,8.268,714910,5910875.880000001,,,,,,,,
2017-06-15,8.221,8.412,8.125,8.393,552760,4639314.680000001,,,,,,,,
2017-06-16,8.393,8.794,8.23,8.622,1020660,8800130.52,,,,,,,,
2017-06-19,8.555,8.718,8.555,8.632,309490,2671517.68,,,,,,,,
2017-06-20,8.632,8.699,8.46,8.632,323580,2793142.56,,,,,,,,
2017-06-21,8.507,8.746,8.507,8.699,351730,3059699.27,,,,,,,,
2017-06-22,8.699,9.224,8.699,9.196,1053230,9685503.08,,,,,,,,
2017-06-23,9.196,9.798,9.081,9.75,1688050,16458487.5,,,,,,,,
2017-06-26,9.893,10.228,9.444,9.559,1083220,10354499.98,,,,,,,,
2017-06-27,9.654,9.846,9.349,9.463,639010,6046951.63,,,,,,,,
2017-06-28,9.415,9.559,9.253,9.463,560480,5303822.239999999,,,,,,,,
2017-06-29,9.444,10.085,9.368,10.085,2766130,27896421.05,,,,,,,,
2017-06-30,10.18,10.754,9.846,10.754,3403220,36598227.88,,,,,,,,
2017-07-03,10.849,10.993,10.419,10.61,1445620,15338028.2,,,,,,,,
2017-07-04,10.515,11.088,9.893,10.037,1766700,17732367.900000002,,,,,,,,
2017-07-05,9.75,10.037,9.349,9.415,444190,4182048.85,,,,,,,,
2017-07-06,9.415,9.846,9.176,9.482,679320,6441312.239999999,,,,,,,,
2017-07-07,9.482,9.75,9.415,9.54,561300,5354801.999999999,,,,,,,,
2017-07-10,9.463,9.798,9.368,9.798,456150,4469357.7,,,,,,,,
2017-07-11,9.798,9.893,9.463,9.654,392960,3793635.84,,,,,,,,
2017-07-12,9.559,9.75,9.415,9.463,230490,2181126.87,,,,,,,,
2017-07-13,9.368,9.75,9.368,9.463,405440,3836678.72,,,,,,,,
2017-07-14,9.463,9.463,8.947,9.463,366250,3465823.7499999995,,,,,,,,
2017-07-17,9.511,9.846,9.463,9.702,2633310,25548373.62,,,,,,,,
2017-07-18,9.702,9.75,9.463,9.559,128910,1232250.69,,,,,,,,
2017-07-19,9.559,9.75,9.368,9.368,240410,2252160.88,,,,,,,,
2017-07-20,9.559,9.559,9.081,9.32,197230,1838183.6,,,,,,,,
2017-07-21,9.272,9.511,9.272,9.32,360270,3357716.4,,,,,,,,
2017-07-24,9.32,9.482,9.176,9.482,266380,2525815.16,,,,,,,,
2017-07-25,9.482,9.549,9.32,9.549,261490,2496968.01,,,,,,,,
2017-07-26,9.549,9.654,9.052,9.463,821370,7772624.31,,,,,,,,
2017-07-27,9.482,10.085,9.368,10.085,2351700,23716894.500000004,,,,,,,,
2017-07-28,10.18,10.754,9.989,10.085,2347610,23675646.85,,,,,,,,
2017-07-31,9.846,10.132,9.387,9.549,1838920,17559847.08,,,,,,,,
2017-08-01,9.549,9.549,8.89,8.89,2051260,18235701.4,,,,,,,,
2017-08-02,8.268,8.794,8.268,8.268,1631670,13490647.56,,,,,,,,
2017-08-03,7.695,7.934,7.695,7.867,2490530,19592999.51,,,,,,,,
2017-08-04,7.886,8.412,7.886,8.412,3140940,26421587.28,,,,,,,,
2017-08-07,8.526,8.526,7.829,8.221,1982240,16295995.04,,,,,,,,
2017-08-08,7.743,8.115,7.647,7.647,1967520,15045625.44,,,,,,,,
2017-08-09,7.169,7.647,7.112,7.112,2128050,15134691.6,,,,,,,,
2017-08-10,6.624,7.265,6.624,7.074,1396910,9881741.34,,,,,,,,
2017-08-11,6.882,7.121,6.835,7.074,933540,6603861.96,,,,,,,,
2017-08-14,7.074,7.379,6.806,7.312,1706900,12480852.8,,,,,,,,
2017-08-15,7.456,7.724,7.045,7.217,1541170,11122623.89,,,,,,,,
2017-08-16,6.978,7.169,6.825,7.169,787130,5642934.97,,,,,,,,
2017-08-17,7.074,7.074,6.768,6.768,770010,5211427.68,,,,,,,,
2017-08-18,6.691,6.691,6.462,6.596,921790,6080126.84,,,,,,,,
2017-08-21,6.643,6.682,6.5,6.634,267900,1777248.6,,,,,,,,
2017-08-22,6.51,6.672,6.51,6.643,456170,3030337.31,,,,,,,,
2017-08-23,6.5,6.768,6.5,6.682,317920,2124341.44,,,,,,,,
2017-08-24,6.682,6.787,6.529,6.768,452990,3065836.32,,,,,,,,
2017-08-25,6.787,6.949,6.739,6.835,741370,5067263.95,,,,,,,,
2017-08-28,6.835,6.911,6.596,6.643,537680,3571808.24,,,,,,,,
2017-08-29,6.691,6.787,6.596,6.605,538320,3555603.6,,,,,,,,
2017-08-30,6.596,6.863,6.567,6.682,818640,5470152.48,,,,,,,,
2017-08-31,6.691,6.806,6.605,6.634,378370,2510106.58,,,,,,,,
2017-09-01,6.634,6.787,6.596,6.691,1077600,7210221.6,,,,,,,,
2017-09-05,6.653,6.72,6.643,6.662,545020,3630923.24,,,,,,,,
2017-09-06,6.662,6.72,6.662,6.691,664750,4447842.25,,,,,,,,
2017-09-07,6.672,6.739,6.596,6.701,778610,5217465.609999999,,,,,,,,
2017-09-08,6.72,6.787,6.672,6.739,587130,3956669.07,,,,,,,,
2017-09-11,6.749,7.179,6.749,7.083,1592140,11277127.62,,,,,,,,
2017-09-12,7.074,7.169,6.863,6.863,704040,4831826.5200000005,,,,,,,,
2017-09-13,6.882,7.026,6.777,6.911,646750,4469689.25,,,,,,,,
2017-09-14,6.892,6.93,6.787,6.835,264760,1809634.6,,,,,,,,
2017-09-15,6.749,6.835,6.749,6.787,355240,2411013.88,,,,,,,,
2017-09-18,6.768,6.825,6.739,6.806,346530,2358483.18,,,,,,,,
2017-09-19,6.796,6.949,6.796,6.815,448760,3058299.4000000004,,,,,,,,
2017-09-20,6.825,6.863,6.739,6.758,492470,3328112.26,,,,,,,,
2017-09-21,6.787,6.873,6.739,6.873,427660,2939307.18,,,,,,,,
2017-09-22,6.873,6.93,6.796,6.796,591970,4023028.12,,,,,,,,
2017-09-25,6.815,6.815,6.739,6.739,284460,1916975.94,,,,,,,,
2017-09-26,6.768,6.796,6.72,6.768,312130,2112495.84,,,,,,,,
2017-09-27,6.768,6.768,6.701,6.739,192190,1295168.41,,,,,,,,
2017-09-28,6.749,6.873,6.691,6.787,791770,5373742.99,,,,,,,,
2017-09-29,6.787,6.787,6.682,6.739,943860,6360672.54,,,,,,,,
