time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2009-10-27,12.81,15.37,7.68,8.54,21180,180877.2,,,,,,,,
2009-10-28,7.77,9.14,7.77,7.86,10100,79386.0,,,,,,,,
2009-10-29,8.11,8.88,8.11,8.11,4020,32602.2,,,,,,,,
2009-10-30,8.37,8.37,7.68,7.68,8500,65280.0,,,,,,,,
2009-11-02,7.94,7.68,7.68,7.68,0,0.0,,,,,,,,
2009-11-03,8.11,8.11,8.11,8.11,1000,8109.999999999999,,,,,,,,
2009-11-04,7.34,8.79,7.34,8.79,750,6592.499999999999,,,,,,,,
2009-11-05,7.51,7.51,7.51,7.51,1000,7510.0,,,,,,,,
2009-11-06,8.2,8.2,6.83,7.26,25990,188687.4,,,,,,,,
2009-11-09,7.09,7.26,7.26,7.26,0,0.0,,,,,,,,
2009-11-10,7.09,7.26,7.26,7.26,0,0.0,,,,,,,,
2009-11-11,7.09,7.26,7.26,7.26,0,0.0,,,,,,,,
2009-11-12,7.77,7.77,6.83,6.83,4100,28003.0,,,,,,,,
2009-11-13,7.26,7.26,6.4,6.4,2010,12864.0,,,,,,,,
2009-11-16,6.49,6.83,6.49,6.83,1100,7513.0,,,,,,,,
2009-11-17,7.0,7.0,7.0,7.0,600,4200.0,,,,,,,,
2009-11-18,7.0,7.0,7.0,7.0,0,0.0,,,,,,,,
2009-11-23,6.4,6.4,6.23,6.23,26200,163226.0,,,,,,,,
2009-11-26,5.29,5.29,5.29,0.0,2800,0.0,,,,,,,,
2009-11-30,5.29,5.29,5.29,5.29,0,0.0,,,,,,,,
2009-12-02,6.32,6.32,5.98,5.98,905,5411.900000000001,,,,,,,,
2009-12-09,6.83,6.83,6.83,6.83,5000,34150.0,,,,,,,,
2009-12-15,7.34,7.34,7.34,7.34,10,73.4,,,,,,,,
2009-12-23,6.75,6.75,6.75,6.75,5000,33750.0,,,,,,,,
2010-01-05,7.09,7.26,7.26,7.26,0,0.0,,,,,,,,
2010-01-11,7.09,7.0,7.0,7.0,0,0.0,,,,,,,,
2010-01-13,7.26,7.26,7.26,7.26,0,0.0,,,,,,,,
2010-01-14,7.26,7.26,7.26,7.26,4000,29040.0,,,,,,,,
2010-01-26,7.26,7.26,7.26,7.26,0,0.0,,,,,,,,
2010-01-27,7.26,7.26,7.26,7.26,0,0.0,,,,,,,,
2010-02-05,6.23,6.23,6.23,6.23,0,0.0,,,,,,,,
2010-03-01,6.83,6.83,6.83,6.83,2000,13660.0,,,,,,,,
2010-03-02,6.83,6.83,6.83,6.83,0,0.0,,,,,,,,
2010-03-03,7.26,7.26,7.26,7.26,90,653.4,,,,,,,,
2010-03-04,6.57,7.0,6.57,6.57,160,1051.2,,,,,,,,
2010-03-05,7.51,7.51,6.15,6.15,40,246.0,,,,,,,,
2010-03-08,5.89,5.89,5.89,5.89,20,117.8,,,,,,,,
2010-03-09,6.4,6.4,6.4,6.4,1010,6464.0,,,,,,,,
2010-03-10,5.81,5.98,5.81,5.98,5020,30019.6,,,,,,,,
2010-03-11,6.57,6.57,6.57,6.57,10,65.7,,,,,,,,
2010-03-12,7.09,7.09,7.09,7.09,100,709.0,,,,,,,,
2010-03-15,6.83,7.77,6.83,7.77,3200,24864.0,,,,,,,,
2010-03-16,7.6,7.6,7.6,7.6,10,76.0,,,,,,,,
2010-03-17,7.6,7.6,7.6,7.6,0,0.0,,,,,,,,
2010-03-18,6.92,8.28,6.92,6.92,160,1107.2,,,,,,,,
2010-03-19,7.94,6.92,6.92,6.92,0,0.0,,,,,,,,
2010-03-22,7.17,7.17,7.17,7.17,20,143.4,,,,,,,,
2010-03-23,6.49,6.49,6.49,6.49,20,129.8,,,,,,,,
2010-03-24,5.89,5.89,5.89,5.89,20,117.8,,,,,,,,
2010-03-26,5.81,5.98,5.81,5.98,525,3139.5,,,,,,,,
2010-03-29,5.98,5.98,5.98,5.98,0,0.0,,,,,,,,
2010-03-30,5.38,5.38,5.38,0.0,20,0.0,,,,,,,,
2010-03-31,6.06,6.57,6.57,6.57,0,0.0,,,,,,,,
2010-04-01,5.98,6.66,5.46,6.66,50,333.0,,,,,,,,
2010-04-02,6.57,6.57,6.49,6.49,2000,12980.0,,,,,,,,
2010-04-05,7.17,7.17,7.17,7.17,10,71.7,,,,,,,,
2010-04-06,7.17,7.17,7.17,7.17,0,0.0,,,,,,,,
2010-04-07,7.17,7.17,7.17,7.17,0,0.0,,,,,,,,
2010-04-08,6.57,6.66,6.57,6.66,3550,23643.0,,,,,,,,
2010-04-09,6.66,6.66,6.66,6.66,2000,13320.0,,,,,,,,
2010-04-12,6.32,6.4,6.32,6.4,10000,64000.0,,,,,,,,
2010-04-13,5.81,5.81,5.81,5.81,5000,29050.0,,,,,,,,
2010-04-14,5.89,6.15,5.89,0.0,500,0.0,,,,,,,,
2010-04-15,5.89,6.15,5.89,6.15,2250,13837.5,,,,,,,,
2010-04-16,6.23,6.4,6.23,6.4,1900,12160.0,,,,,,,,
2010-04-19,6.83,6.92,6.83,6.92,19710,136393.2,,,,,,,,
2010-04-20,6.92,7.09,6.83,7.09,4700,33323.0,,,,,,,,
2010-04-21,7.6,7.6,7.6,7.6,40,304.0,,,,,,,,
2010-04-22,8.28,8.28,8.28,8.28,30,248.4,,,,,,,,
2010-04-26,7.51,7.51,7.51,7.51,350,2628.5,,,,,,,,
2010-04-27,6.83,6.83,6.83,6.83,6000,40980.0,,,,,,,,
2010-04-28,6.15,7.51,6.15,7.51,2560,19225.6,,,,,,,,
2010-04-29,6.83,6.83,6.83,6.83,3200,21856.0,,,,,,,,
2010-05-04,7.51,7.51,6.92,7.51,10740,80657.4,,,,,,,,
2010-05-05,7.43,8.11,7.43,8.11,21400,173554.0,,,,,,,,
2010-05-06,8.71,8.71,8.54,8.71,24910,216966.10000000003,,,,,,,,
2010-05-07,9.56,9.56,9.39,9.56,37120,354867.2,,,,,,,,
2010-05-10,10.5,10.5,10.42,10.5,35680,374640.0,,,,,,,,
