time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2024-11-08,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-11-11,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-11-12,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-11-13,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-11-14,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-11-15,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-11-18,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-11-19,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-11-20,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-11-21,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-11-22,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-11-25,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-11-26,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-11-27,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-11-28,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-11-29,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-12-02,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-12-03,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-12-04,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-12-05,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-12-06,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-12-09,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-12-10,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-12-11,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-12-12,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-12-13,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-12-16,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-12-17,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-12-18,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-12-19,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-12-20,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-12-23,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-12-24,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-12-25,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-12-26,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-12-27,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-12-30,8.9,8.9,8.9,8.9,0,0.0,,,,,
2024-12-31,8.9,8.9,8.9,8.9,0,0.0,,,,,
2025-01-02,8.9,8.9,8.9,8.9,0,0.0,,,,,
2025-01-03,8.9,8.9,8.9,8.9,0,0.0,,,,,
2025-01-06,8.9,8.9,8.9,8.9,0,0.0,,,,,
2025-01-07,8.9,8.9,8.9,8.9,0,0.0,,,,,
2025-01-08,8.9,8.9,8.9,8.9,0,0.0,,,,,
2025-01-09,8.9,8.9,8.9,8.9,0,0.0,,,,,
2025-01-10,8.9,8.9,8.9,8.9,0,0.0,,,,,
2025-01-13,8.9,8.9,8.9,8.9,0,0.0,,,,,
2025-01-14,8.9,8.9,8.9,8.9,0,0.0,,,,,
2025-01-15,8.9,8.9,8.9,8.9,0,0.0,,,,,
2025-01-16,8.9,8.9,8.9,8.9,0,0.0,,,,,
2025-01-17,8.9,8.9,8.9,8.9,0,0.0,,,,,
2025-01-20,8.9,8.9,8.9,8.9,0,0.0,,,,,
2025-01-21,8.9,8.9,8.9,8.9,0,0.0,,,,,
2025-01-22,8.9,8.9,8.9,8.9,0,0.0,,,,,
2025-01-23,8.9,8.9,8.9,8.9,0,0.0,,,,,
2025-01-24,8.9,8.9,8.9,8.9,0,0.0,,,,,
2025-02-03,8.9,8.9,8.9,8.9,0,0.0,,,,,
2025-02-04,8.9,8.9,8.9,8.9,0,0.0,,,,,
2025-02-05,8.9,8.9,8.9,8.9,0,0.0,,,,,
2025-02-06,12.4,12.4,12.4,12.4,100,1240.0,,,,,
2025-02-07,14.2,14.2,14.2,14.2,100,1420.0,,,,,
2025-02-10,16.3,16.3,16.3,16.3,400,6520.0,,,,,
2025-02-11,18.7,18.7,18.7,18.7,100,1870.0,,,,,
2025-02-12,21.5,21.5,21.5,21.5,100,2150.0,,,,,
