time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2015-07-23,11.314,11.82,8.865,11.82,31100,367602.0,,,,,,,,
2015-07-24,11.82,12.665,9.456,12.665,35400,448341.0,,,,,,,,
2015-07-27,12.665,14.522,12.665,14.522,24400,354336.8,,,,,,,,
2015-07-28,15.198,15.198,11.989,11.989,1700,20381.300000000003,,,,,,,,
2015-07-29,10.807,10.807,10.807,10.807,100,1080.7,,,,,,,,
2015-07-30,9.203,9.203,9.203,9.203,200,1840.6,,,,,,,,
2015-07-31,7.852,7.852,7.852,7.852,5600,43971.2,,,,,,,,
2015-08-03,6.754,6.754,6.754,6.754,8000,54032.0,,,,,,,,
2015-08-04,5.741,5.741,5.741,5.741,1100,6315.099999999999,,,,,,,,
2015-08-05,4.897,4.897,4.897,4.897,100,489.7000000000001,,,,,,,,
2015-08-06,4.222,4.222,4.222,4.222,1100,4644.200000000001,,,,,,,,
2015-08-07,3.631,3.631,3.631,3.631,101400,368183.4,,,,,,,,
2015-08-10,3.124,3.124,3.124,3.124,37400,116837.6,,,,,,,,
2015-08-11,2.702,2.702,2.702,2.702,27200,73494.4,,,,,,,,
2015-08-12,2.364,2.364,2.364,2.364,1500,3546.0,,,,,,,,
2015-08-13,2.026,2.026,2.026,2.026,10900,22083.4,,,,,,,,
2015-08-14,2.28,2.28,2.28,2.28,10400,23712.0,,,,,,,,
2015-08-17,2.617,2.617,2.617,2.617,20400,53386.8,,,,,,,,
2015-08-18,2.955,2.955,2.955,2.955,71300,210691.5,,,,,,,,
2015-08-19,3.377,3.377,3.293,3.377,121400,409967.8,,,,,,,,
2015-08-20,3.884,3.884,3.631,3.799,146700,557313.3,,,,,,,,
2015-08-21,3.884,3.968,3.377,3.377,120500,406928.5,,,,,,,,
2015-08-24,3.546,3.546,2.871,2.871,12300,35313.3,,,,,,,,
2015-08-25,2.533,3.377,2.533,3.377,195100,658852.7,,,,,,,,
2015-08-26,3.377,3.546,3.377,3.546,191100,677640.6,,,,,,,,
2015-08-27,3.799,3.799,3.377,3.377,34300,115831.1,,,,,,,,
2015-08-28,3.377,3.715,3.04,3.546,185500,657783.0,,,,,,,,
2015-08-31,3.462,3.799,3.462,3.631,104600,379802.6,,,,,,,,
2015-09-01,3.715,3.715,3.208,3.208,42700,136981.6,,,,,,,,
2015-09-03,2.955,3.631,2.955,2.955,360300,1064686.5,,,,,,,,
2015-09-04,3.293,3.293,2.617,2.617,354500,927726.5,,,,,,,,
2015-09-07,2.702,2.955,2.702,2.871,149300,428640.3,,,,,,,,
2015-09-08,2.871,2.955,2.448,2.448,372100,910900.8,,,,,,,,
2015-09-09,2.617,2.702,2.364,2.617,119500,312731.5,,,,,,,,
2015-09-10,2.617,2.617,2.448,2.448,91400,223747.2,,,,,,,,
2015-09-11,2.448,2.533,2.364,2.364,175000,413700.0,,,,,,,,
2015-09-14,2.448,2.533,2.28,2.28,102200,233016.0,,,,,,,,
2015-09-15,2.448,2.448,2.28,2.448,73700,180417.6,,,,,,,,
2015-09-16,2.28,2.28,2.026,2.026,450000,911700.0,,,,,,,,
2015-09-17,2.195,2.195,1.857,2.026,30500,61792.99999999999,,,,,,,,
2015-09-18,2.026,2.195,1.942,2.026,39100,79216.59999999999,,,,,,,,
2015-09-21,1.942,1.942,1.857,1.857,179800,333888.6,,,,,,,,
2015-09-22,1.857,2.026,1.857,2.026,181300,367313.8,,,,,,,,
2015-09-23,2.026,2.111,2.026,2.026,142100,287894.6,,,,,,,,
2015-09-24,2.026,2.111,1.942,1.942,76800,149145.6,,,,,,,,
2015-09-25,2.026,2.026,1.857,2.026,61700,125004.19999999998,,,,,,,,
2015-09-28,2.026,2.026,1.857,1.857,94600,175672.2,,,,,,,,
2015-09-29,1.773,1.942,1.773,1.857,399000,740943.0,,,,,,,,
2015-09-30,1.942,1.942,1.857,1.857,32200,59795.4,,,,,,,,
2015-10-01,1.942,1.942,1.857,1.942,65300,126812.6,,,,,,,,
2015-10-02,1.857,1.857,1.773,1.857,23800,44196.6,,,,,,,,
2015-10-05,1.857,2.111,1.857,2.111,429800,907307.8,,,,,,,,
2015-10-06,2.111,2.28,2.111,2.28,106100,241908.0,,,,,,,,
2015-10-07,2.533,2.617,2.533,2.617,257900,674924.3,,,,,,,,
2015-10-08,2.786,2.786,2.28,2.448,178700,437457.6,,,,,,,,
2015-10-09,2.533,2.533,2.448,2.448,145400,355939.2,,,,,,,,
2015-10-12,2.533,2.617,2.448,2.448,195600,478828.8,,,,,,,,
2015-10-13,2.533,2.702,2.533,2.617,285400,746891.8,,,,,,,,
2015-10-14,2.533,2.533,2.448,2.448,55700,136353.6,,,,,,,,
2015-10-15,2.533,2.617,2.533,2.617,280700,734591.9,,,,,,,,
2015-10-16,2.533,2.617,2.448,2.617,43800,114624.6,,,,,,,,
2015-10-19,2.533,2.533,2.448,2.533,109100,276350.3,,,,,,,,
2015-10-20,2.448,2.448,2.364,2.448,144700,354225.6,,,,,,,,
2015-10-21,2.448,2.786,2.448,2.786,286400,797910.4,,,,,,,,
2015-10-22,3.04,3.04,2.955,2.955,202800,599274.0,,,,,,,,
2015-10-23,3.04,3.377,2.871,3.124,298600,932826.4,,,,,,,,
2015-10-26,3.377,3.462,3.124,3.208,222800,714742.4,,,,,,,,
2015-10-27,3.293,3.293,2.871,3.124,213100,665724.4,,,,,,,,
2015-10-28,2.871,3.04,2.786,2.871,162300,465963.3,,,,,,,,
2015-10-29,2.955,2.955,2.702,2.871,120200,345094.2,,,,,,,,
2015-10-30,2.871,2.955,2.702,2.871,54200,155608.2,,,,,,,,
2015-11-02,2.955,3.293,2.871,3.124,220600,689154.4,,,,,,,,
2015-11-03,3.124,3.124,2.702,2.702,352700,952995.4,,,,,,,,
2015-11-04,2.871,2.871,2.786,2.871,11700,33590.7,,,,,,,,
2015-11-05,2.786,2.786,2.533,2.786,114800,319832.8,,,,,,,,
2015-11-06,2.702,2.786,2.617,2.702,49400,133478.8,,,,,,,,
2015-11-09,2.702,2.786,2.617,2.702,107600,290735.2,,,,,,,,
2015-11-10,2.702,2.871,2.702,2.871,72000,206712.0,,,,,,,,
