time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2008-09-26,3.33,3.33,2.68,2.97,21400,63558.00000000001,,,,,
2008-09-29,2.77,2.77,2.77,2.77,2900,8033.0,,,,,
2008-09-30,2.77,2.77,2.77,2.77,0,0.0,,,,,
2008-10-01,2.57,2.57,2.57,2.57,5000,12850.0,,,,,
2008-10-02,2.39,2.41,2.39,2.39,9800,23422.0,,,,,
2008-10-03,2.23,2.31,2.23,2.23,15700,35011.0,,,,,
2008-10-06,2.1,2.11,2.1,2.1,45200,94920.0,,,,,
2008-10-07,1.96,2.08,1.96,2.08,16600,34528.0,,,,,
2008-10-08,2.14,2.14,2.08,2.14,17800,38092.0,,,,,
2008-10-09,2.29,2.29,2.29,2.29,16000,36640.0,,,,,
2008-10-10,2.42,2.44,2.14,2.14,23700,50718.0,,,,,
2008-10-13,2.08,2.23,2.08,2.08,11300,23504.0,,,,,
2008-10-14,2.23,2.23,2.23,2.23,32400,72252.0,,,,,
2008-10-15,2.31,2.31,2.08,2.08,7700,16016.0,,,,,
2008-10-16,1.98,1.98,1.98,1.98,17000,33660.0,,,,,
2008-10-17,1.98,1.98,1.98,1.98,1000,1980.0,,,,,
2008-10-20,1.93,1.93,1.93,1.93,500,965.0,,,,,
2008-10-21,1.93,1.93,1.8,1.86,13600,25296.0,,,,,
2008-10-22,1.77,1.93,1.77,1.93,1400,2702.0,,,,,
2008-10-23,1.73,1.73,1.73,1.73,12500,21625.0,,,,,
2008-10-24,1.71,1.71,1.65,1.65,400,660.0,,,,,
2008-10-27,1.56,1.56,1.56,1.56,9700,15132.0,,,,,
2008-10-28,1.46,1.65,1.46,1.56,6300,9828.0,,,,,
2008-10-29,1.7,1.73,1.64,1.71,7600,12996.0,,,,,
2008-10-30,1.62,1.71,1.62,1.71,1700,2907.0,,,,,
2008-10-31,1.78,1.83,1.77,1.83,13900,25437.0,,,,,
2008-11-03,1.7,1.7,1.68,1.68,3000,5040.0,,,,,
2008-11-04,1.78,1.8,1.77,1.8,13100,23580.0,,,,,
2008-11-05,1.9,1.9,1.89,1.89,800,1512.0,,,,,
2008-11-06,1.77,1.77,1.77,1.77,500,885.0,,,,,
2008-11-07,1.65,1.65,1.65,1.65,1600,2640.0,,,,,
2008-11-10,1.65,1.67,1.65,1.67,1100,1837.0,,,,,
2008-11-11,1.58,1.58,1.55,1.56,3000,4680.0,,,,,
2008-11-12,1.65,1.67,1.65,1.67,11000,18370.0,,,,,
2008-11-13,1.71,1.77,1.71,1.77,6900,12213.0,,,,,
2008-11-14,1.78,1.86,1.78,1.78,18000,32040.0,,,,,
2008-11-17,1.78,1.78,1.78,1.78,0,0.0,,,,,
2008-11-18,1.73,1.73,1.73,1.73,2800,4844.0,,,,,
2008-11-19,1.77,1.77,1.77,1.77,100,177.0,,,,,
2008-11-20,1.67,1.71,1.67,1.7,5000,8500.0,,,,,
2008-11-21,1.61,1.61,1.59,1.59,7000,11130.0,,,,,
2008-11-24,1.59,1.59,1.59,1.59,0,0.0,,,,,
2008-11-25,1.64,1.64,1.64,1.64,100,164.0,,,,,
2008-11-26,1.64,1.64,1.64,1.64,0,0.0,,,,,
2008-11-27,1.55,1.74,1.55,1.56,3000,4680.0,,,,,
2008-11-28,1.62,1.62,1.62,1.62,700,1134.0,,,,,
2008-12-01,1.53,1.53,1.53,1.53,2000,3060.0,,,,,
2008-12-02,1.53,1.53,1.53,1.53,2000,3060.0,,,,,
2008-12-03,1.53,1.53,1.53,1.53,1600,2448.0,,,,,
2008-12-04,1.53,1.53,1.53,1.53,0,0.0,,,,,
2008-12-05,1.53,1.53,1.53,1.53,0,0.0,,,,,
2008-12-08,1.49,1.49,1.49,1.49,200,298.0,,,,,
2008-12-09,1.49,1.52,1.49,1.52,3100,4712.0,,,,,
2008-12-10,1.52,1.52,1.52,1.52,0,0.0,,,,,
2008-12-11,1.58,1.61,1.58,1.61,4700,7567.000000000001,,,,,
2008-12-12,1.56,1.61,1.56,1.56,5300,8268.0,,,,,
2008-12-15,1.68,1.68,1.64,1.68,4300,7224.0,,,,,
2008-12-16,1.68,1.68,1.68,1.68,0,0.0,,,,,
2008-12-17,1.52,1.52,1.52,1.52,400,608.0,,,,,
2008-12-18,1.52,1.52,1.52,1.52,0,0.0,,,,,
2008-12-19,1.41,1.41,1.41,1.41,1000,1410.0,,,,,
2008-12-22,1.41,1.41,1.41,1.41,0,0.0,,,,,
2008-12-23,1.49,1.49,1.49,1.49,200,298.0,,,,,
2008-12-24,1.43,1.43,1.43,1.43,1400,2002.0,,,,,
2008-12-25,1.34,1.34,1.34,1.34,1300,1742.0,,,,,
2008-12-26,1.43,1.43,1.43,1.43,300,429.0,,,,,
2008-12-29,1.46,1.46,1.46,1.46,1100,1606.0,,,,,
2008-12-30,1.4,1.4,1.4,1.4,800,1120.0,,,,,
2008-12-31,1.49,1.49,1.49,1.49,1000,1490.0,,,,,
2009-01-02,1.56,1.56,1.56,1.56,1000,1560.0,,,,,
2009-01-05,1.56,1.56,1.56,1.56,0,0.0,,,,,
2009-01-06,1.56,1.56,1.56,1.56,0,0.0,,,,,
2009-01-07,1.61,1.61,1.61,1.61,100,161.0,,,,,
2009-01-08,1.61,1.61,1.61,1.61,0,0.0,,,,,
2009-01-09,1.61,1.61,1.61,1.61,0,0.0,,,,,
2009-01-12,1.61,1.61,1.61,1.61,0,0.0,,,,,
2009-01-13,1.5,1.53,1.5,1.53,200,306.0,,,,,
2009-01-14,1.41,1.41,1.41,1.41,1400,1974.0,,,,,
2009-01-15,1.41,1.41,1.41,1.41,0,0.0,,,,,
2009-01-16,1.34,1.34,1.34,1.34,500,670.0,,,,,
2009-01-19,1.34,1.34,1.34,1.34,1000,1340.0,,,,,
2009-01-20,1.26,1.26,1.26,1.26,900,1134.0,,,,,
2009-01-21,1.26,1.26,1.26,1.26,0,0.0,,,,,
2009-01-22,1.26,1.26,1.26,1.26,0,0.0,,,,,
2009-01-23,1.26,1.26,1.26,1.26,0,0.0,,,,,
2009-02-02,1.26,1.26,1.26,1.26,0,0.0,,,,,
2009-02-03,1.26,1.26,1.26,1.26,0,0.0,,,,,
2009-02-04,1.19,1.19,1.19,1.19,2100,2499.0,,,,,
2009-02-05,1.19,1.19,1.19,1.19,1900,2261.0,,,,,
2009-02-06,1.19,1.19,1.19,1.19,0,0.0,,,,,
2009-02-09,1.19,1.19,1.19,1.19,2000,2380.0,,,,,
2009-02-10,1.19,1.19,1.19,1.19,0,0.0,,,,,
2009-02-11,1.12,1.12,1.12,1.12,7100,7952.000000000001,,,,,
2009-02-12,1.19,1.19,1.19,1.19,400,476.0,,,,,
2009-02-13,1.26,1.26,1.26,1.26,100,126.0,,,,,
2009-02-16,1.34,1.34,1.34,1.34,100,134.0,,,,,
2009-02-17,1.34,1.34,1.34,1.34,0,0.0,,,,,
2009-02-18,1.43,1.43,1.25,1.25,2300,2875.0,,,,,
2009-02-19,1.25,1.25,1.25,1.25,0,0.0,,,,,
2009-02-20,1.25,1.25,1.25,1.25,0,0.0,,,,,
2009-02-23,1.25,1.25,1.25,1.25,0,0.0,,,,,
2009-02-24,1.23,1.23,1.23,1.23,200,246.0,,,,,
