time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2007-10-04,11.72,11.72,11.72,11.72,9890,115910.8,,,,,,,,
2007-10-05,12.2,12.2,12.2,12.2,3210,39162.0,,,,,,,,
2007-10-08,12.82,12.82,12.82,12.82,1000,12820.0,,,,,,,,
2007-10-09,13.43,13.43,13.43,13.43,410,5506.3,,,,,,,,
2007-10-10,14.04,14.04,14.04,14.04,1010,14180.4,,,,,,,,
2007-10-11,14.65,14.65,14.65,14.65,2810,41166.5,,,,,,,,
2007-10-12,15.38,15.38,15.38,15.38,810,12457.8,,,,,,,,
2007-10-15,16.11,16.11,16.11,16.11,1000,16110.0,,,,,,,,
2007-10-16,16.84,16.84,16.84,16.84,4000,67360.0,,,,,,,,
2007-10-17,17.58,17.58,17.58,17.58,21490,377794.2,,,,,,,,
2007-10-18,18.43,18.43,18.43,18.43,7250,133617.5,,,,,,,,
2007-10-19,19.28,19.28,19.28,19.28,28360,546780.8,,,,,,,,
2007-10-22,20.14,20.14,20.14,20.14,11630,234228.2,,,,,,,,
2007-10-23,21.11,21.11,21.11,21.11,25070,529227.7,,,,,,,,
2007-10-24,22.09,22.09,22.09,22.09,32860,725877.4,,,,,,,,
2007-10-25,23.19,23.19,23.19,23.19,120870,2802975.3000000003,,,,,,,,
2007-10-26,24.29,24.29,24.29,24.29,50850,1235146.5,,,,,,,,
2007-10-29,25.39,25.39,24.9,24.9,268850,6694365.0,,,,,,,,
2007-10-30,23.68,23.68,23.68,23.68,65300,1546304.0,,,,,,,,
2007-10-31,22.58,24.65,22.58,24.65,242410,5975406.5,,,,,,,,
2007-11-01,25.87,25.87,25.87,25.87,38320,991338.4,,,,,,,,
2007-11-02,27.09,27.09,26.61,27.09,136630,3701306.7,,,,,,,,
2007-11-05,25.87,28.32,25.87,28.32,88160,2496691.2,,,,,,,,
2007-11-06,27.58,28.07,27.34,27.58,87950,2425661.0,,,,,,,,
2007-11-07,27.09,27.58,27.09,27.34,111740,3054971.6,,,,,,,,
2007-11-08,27.34,27.34,26.12,26.12,38600,1008232.0,,,,,,,,
2007-11-09,24.9,26.12,24.9,26.12,127040,3318284.8000000003,,,,,,,,
2007-11-12,26.85,26.85,26.36,26.36,44370,1169593.2,,,,,,,,
2007-11-13,25.14,26.36,25.14,25.14,144560,3634238.4,,,,,,,,
2007-11-14,24.41,25.39,24.41,25.14,224330,5639656.2,,,,,,,,
2007-11-15,23.92,24.29,23.92,23.92,224930,5380325.600000001,,,,,,,,
