time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2017-04-18,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-04-19,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-04-20,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-04-21,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-04-24,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-04-25,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-04-26,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-04-27,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-04-28,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-05-03,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-05-04,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-05-05,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-05-08,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-05-09,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-05-10,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-05-11,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-05-12,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-05-15,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-05-16,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-05-17,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-05-18,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-05-19,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-05-22,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-05-23,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-05-24,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-05-25,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-05-26,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-05-29,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-05-30,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-05-31,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-06-01,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-06-02,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-06-05,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-06-06,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-06-07,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-06-08,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-06-09,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-06-12,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-06-13,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-06-14,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-06-15,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-06-16,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-06-19,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-06-20,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-06-21,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-06-22,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-06-23,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-06-26,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-06-27,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-06-28,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-06-29,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-06-30,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-07-03,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-07-04,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
2017-07-05,3.932,3.932,3.932,3.932,0,0.0,,,,,,,,
