time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2010-01-07,3.58,3.62,3.58,3.62,8800,31856.0,,,,,,,,
2010-01-08,3.86,3.86,3.86,3.86,55200,213072.0,,,,,,,,
2010-01-11,3.97,4.11,3.79,3.86,48700,187982.0,,,,,,,,
2010-01-12,3.86,3.9,3.76,3.76,46500,174840.0,,,,,,,,
2010-01-13,3.79,3.79,3.51,3.72,29800,110856.0,,,,,,,,
2010-01-14,3.76,3.76,3.72,3.72,10300,38316.0,,,,,,,,
2010-01-15,3.72,3.76,3.47,3.51,16000,56160.0,,,,,,,,
2010-01-18,3.37,3.4,3.37,3.37,19200,64704.0,,,,,,,,
2010-01-19,3.58,3.58,3.55,3.55,1100,3905.0,,,,,,,,
2010-01-20,3.4,3.4,3.33,3.4,7700,26180.0,,,,,,,,
2010-01-21,3.62,3.62,3.23,3.23,16400,52972.0,,,,,,,,
2010-01-22,3.44,3.44,3.26,3.26,5500,17930.0,,,,,,,,
2010-01-25,3.37,3.41,3.37,3.37,11100,37407.0,,,,,,,,
2010-01-26,3.37,3.6,3.37,3.6,41100,147960.0,,,,,,,,
2010-01-27,3.75,3.75,3.37,3.37,4000,13480.0,,,,,,,,
2010-01-28,3.34,3.34,3.3,3.3,7400,24420.0,,,,,,,,
2010-01-29,3.37,3.37,3.22,3.3,4400,14520.0,,,,,,,,
2010-02-01,3.49,3.49,3.26,3.37,4100,13817.0,,,,,,,,
2010-02-02,3.52,3.52,3.34,3.37,6100,20557.0,,,,,,,,
2010-02-03,3.37,3.45,3.22,3.45,7600,26220.0,,,,,,,,
2010-02-04,3.22,3.37,3.22,3.37,17000,57290.0,,,,,,,,
2010-02-05,3.41,3.41,3.3,3.3,600,1980.0,,,,,,,,
2010-02-08,3.52,3.52,3.22,3.22,700,2254.0,,,,,,,,
2010-02-09,3.41,3.41,3.07,3.15,7500,23625.0,,,,,,,,
2010-02-10,3.3,3.3,3.22,3.22,1100,3542.0,,,,,,,,
2010-02-11,3.41,3.41,3.22,3.34,4500,15030.0,,,,,,,,
2010-02-12,3.37,3.37,3.37,3.37,2800,9436.0,,,,,,,,
2010-02-22,3.56,3.56,3.22,3.45,5600,19320.0,,,,,,,,
2010-02-23,3.22,3.34,3.22,3.22,2200,7084.0,,,,,,,,
2010-02-24,3.34,3.34,3.26,3.26,800,2608.0,,,,,,,,
2010-02-25,3.49,3.49,3.3,3.3,1600,5280.0,,,,,,,,
2010-02-26,3.22,3.34,3.22,3.34,14800,49432.0,,,,,,,,
2010-03-01,3.45,3.45,3.26,3.3,12900,42570.0,,,,,,,,
2010-03-02,3.41,3.41,3.19,3.19,47900,152801.0,,,,,,,,
2010-03-03,3.37,3.37,3.04,3.26,21000,68460.0,,,,,,,,
2010-03-04,3.34,3.45,3.3,3.37,27700,93349.0,,,,,,,,
2010-03-05,3.45,3.45,3.34,3.37,10100,34037.0,,,,,,,,
2010-03-08,3.37,3.52,3.37,3.41,41600,141856.0,,,,,,,,
2010-03-09,3.49,3.49,3.37,3.37,37300,125701.0,,,,,,,,
