time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2018-01-18,11.386,11.386,8.758,8.758,39700,347692.6,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-01-19,8.758,8.758,8.758,8.758,200,1751.6,200.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-01-22,8.409,8.409,7.882,7.882,12000,94584.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-01-23,7.094,7.795,7.094,7.795,10600,82627.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-01-24,8.32,8.32,8.146,8.32,900,7488.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-01-25,8.32,8.496,8.32,8.496,1100,9345.6,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-01-26,7.708,7.708,7.708,7.708,2700,20811.6,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-01-29,7.708,7.708,7.708,7.708,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-01-30,7.708,7.708,7.708,7.708,500,3854.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-01-31,8.32,8.32,8.32,8.32,100,832.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-02-01,8.934,8.934,8.934,8.934,100,893.4,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-02-02,8.058,8.058,8.058,8.058,200,1611.6,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-02-05,8.758,8.758,8.758,8.758,100,875.8,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-02-06,7.882,7.882,7.882,7.882,100,788.1999999999999,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-02-07,7.094,7.882,7.094,7.882,3100,24434.2,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-02-08,7.181,7.181,7.181,7.181,400,2872.4,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-02-09,7.882,7.882,7.882,7.882,400,3152.8,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-02-12,7.882,7.882,7.882,7.882,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-02-13,7.882,8.671,7.882,8.146,7500,61095.00000000001,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-02-21,8.146,8.146,8.146,8.146,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-02-22,8.146,8.146,8.146,8.146,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-02-23,8.146,8.146,8.146,8.146,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-02-26,8.233,8.233,8.233,8.233,300,2469.9,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-02-27,8.233,8.233,8.233,8.233,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-02-28,8.496,8.758,7.882,7.882,1400,11034.8,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-03-01,7.882,7.882,7.882,7.882,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-03-02,8.32,8.671,8.32,8.671,700,6069.7,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-03-05,8.583,8.758,8.583,8.671,600,5202.599999999999,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-03-06,8.671,8.671,8.671,8.671,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-03-07,8.671,8.671,8.671,8.671,200,1734.1999999999998,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-03-08,8.758,8.758,8.758,8.758,100,875.8,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-03-09,8.583,8.758,8.583,8.758,1100,9633.8,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-03-12,8.671,8.671,7.882,8.583,4600,39481.8,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-03-13,8.583,8.583,8.583,8.583,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-03-14,8.583,8.583,8.583,8.583,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-03-15,8.583,8.583,8.583,8.583,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-03-16,8.233,8.32,8.233,8.32,2000,16640.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-03-19,8.32,8.32,8.32,8.32,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-03-20,8.496,8.496,8.496,8.496,300,2548.8,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-03-21,8.409,8.496,8.409,8.496,300,2548.8,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-03-22,8.496,8.496,8.496,8.496,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-03-23,8.496,8.496,8.496,8.496,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-03-26,8.496,8.496,8.496,8.496,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-03-27,8.496,8.496,8.496,8.496,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-03-28,8.496,8.496,8.496,8.496,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-03-29,8.496,8.496,8.496,8.496,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-03-30,8.496,8.496,8.496,8.496,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-04-02,8.583,8.583,8.583,8.583,100,858.3000000000001,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-04-03,8.583,8.583,8.583,8.583,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-04-04,8.583,8.583,8.583,8.583,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-04-05,8.583,8.583,8.583,8.583,100,858.3000000000001,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-04-06,8.496,8.583,7.795,8.583,900,7724.7,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-04-09,7.795,7.795,7.795,7.795,300,2338.5,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-04-10,7.795,7.795,7.795,7.795,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-04-11,7.444,7.444,7.444,7.444,500,3722.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-04-12,7.444,7.444,7.444,7.444,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-04-13,7.444,7.444,7.444,7.444,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-04-16,7.444,7.444,7.444,7.444,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-04-17,7.444,7.444,7.444,7.444,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-04-18,8.146,8.146,8.146,8.146,100,814.6000000000001,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-04-19,8.146,8.146,8.146,8.146,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-04-20,8.146,8.146,8.146,8.146,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-04-23,7.882,8.32,7.882,7.97,21200,168964.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-04-24,7.97,7.97,7.97,7.97,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-04-26,7.97,7.97,7.97,7.97,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-04-27,7.882,8.758,7.444,7.444,3900,29031.6,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-05-02,7.27,7.27,7.27,7.27,800,5816.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-05-03,7.882,7.97,7.882,7.97,200,1594.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-05-04,7.97,7.97,7.97,7.97,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-05-07,7.882,7.97,7.882,7.97,800,6376.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-05-08,7.97,8.233,7.97,8.233,1000,8233.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-05-09,8.233,8.233,8.233,8.233,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-05-10,7.444,7.532,7.444,7.532,400,3012.8,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-05-11,7.532,7.532,7.532,7.532,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-05-14,7.532,7.532,7.532,7.532,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-05-15,7.882,7.882,7.882,7.882,2100,16552.2,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-05-16,7.882,7.882,7.882,7.882,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-05-17,7.882,7.882,7.882,7.882,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-05-18,7.444,7.444,7.444,7.444,1200,8932.8,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-05-21,7.007,7.882,7.007,7.882,600,4729.2,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-05-22,7.094,7.795,7.094,7.795,2100,16369.5,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-05-23,7.795,7.795,7.795,7.795,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-05-24,7.795,7.795,7.795,7.795,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-05-25,7.795,7.795,7.795,7.795,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-05-28,7.795,7.795,7.795,7.795,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-05-29,7.795,7.795,7.795,7.795,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-05-30,7.795,7.795,7.795,7.795,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-05-31,7.094,7.094,7.094,7.094,300,2128.2000000000003,100.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-06-01,7.094,7.094,7.094,7.094,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-06-04,7.444,7.795,7.444,7.795,2700,21046.5,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-06-05,7.795,7.795,7.795,7.795,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-06-06,7.882,7.882,7.882,7.882,1200,9458.4,1200.0,0.0,10000.0,0.0,,7.18,0.01,0.0
2018-06-07,7.882,7.882,7.882,7.882,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-06-08,7.882,7.882,7.882,7.882,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-06-11,7.27,7.795,7.27,7.795,2100,16369.5,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-06-12,7.795,7.795,7.795,7.795,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-06-13,7.795,7.795,7.795,7.795,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-06-14,7.795,7.795,7.795,7.795,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-06-15,7.795,7.795,7.795,7.795,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-06-18,7.238,7.238,7.238,7.238,100,723.8000000000001,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-06-19,6.682,6.682,6.682,6.682,100,668.2,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-06-20,7.331,7.331,7.331,7.331,200,1466.2,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-06-21,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-06-22,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-06-25,7.331,7.331,7.331,7.331,200,1466.2,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-06-26,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-06-27,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-06-28,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-06-29,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-07-02,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-07-03,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-07-04,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-07-05,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-07-06,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-07-09,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-07-10,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-07-11,7.424,7.424,7.424,7.424,3000,22272.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-07-12,7.331,7.331,7.331,7.331,200,1466.2,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-07-13,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-07-16,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-07-17,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-07-18,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-07-19,7.331,7.331,7.331,7.331,100,733.1,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-07-20,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-07-23,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-07-24,7.146,7.146,6.96,6.96,3100,21576.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-07-25,7.61,7.61,7.61,7.61,100,761.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-07-26,6.96,6.96,6.96,6.96,100,696.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-07-27,6.682,6.682,6.682,6.682,100,668.2,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-07-30,6.403,6.403,6.403,6.403,2000,12806.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-07-31,6.96,6.96,6.96,6.96,100,696.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-08-01,7.238,7.238,7.238,7.238,100,723.8000000000001,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-08-02,7.238,7.238,7.238,7.238,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-08-03,6.867,6.867,6.774,6.774,1200,8128.8,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-08-06,6.589,7.331,6.589,7.331,400,2932.4,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-08-07,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-08-08,6.774,6.774,6.774,6.774,200,1354.8,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-08-09,7.331,7.331,7.331,7.331,100,733.1,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-08-10,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-08-13,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-08-14,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-08-15,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-08-16,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-08-17,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-08-20,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-08-21,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-08-22,7.331,7.331,7.331,7.331,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-08-23,6.96,6.96,6.774,6.774,3900,26418.6,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-08-24,6.682,6.682,6.682,6.682,1400,9354.8,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-08-27,6.682,6.682,6.682,6.682,15000,100230.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-08-28,6.496,6.496,6.496,6.496,11600,75353.6,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-08-29,6.496,6.496,6.496,6.496,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-08-30,6.496,6.496,6.496,6.496,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-08-31,7.146,7.146,5.846,6.496,1300,8444.800000000001,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-09-04,5.846,6.032,5.846,6.032,5100,30763.2,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-09-05,6.496,6.496,6.496,6.496,1000,6496.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-09-06,6.496,6.496,6.496,6.496,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-09-07,6.496,6.496,6.496,6.496,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-09-10,6.496,6.496,6.496,6.496,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-09-11,6.496,6.496,6.496,6.496,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-09-12,6.496,6.496,6.496,6.496,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-09-13,6.496,6.496,6.496,6.496,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-09-14,6.496,6.496,6.496,6.496,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-09-17,6.496,6.496,6.496,6.496,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-09-18,6.496,6.496,6.496,6.496,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-09-19,6.496,6.496,6.496,6.496,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
2018-09-20,6.496,6.496,6.496,6.496,0,0.0,0.0,0.0,0.0,0.0,,7.18,0.0,0.0
