time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2017-06-02,55.497,55.497,42.85,42.85,5300,227105.0,,,,,,,,
2017-06-05,46.996,46.996,42.85,45.614,8500,387719.0,,,,,,,,
2017-06-06,50.176,50.176,44.923,49.07,4300,211001.0,,,,,,,,
2017-06-07,46.305,48.379,46.305,46.374,5800,268969.2,,,,,,,,
2017-06-08,46.374,50.798,46.374,47.687,4800,228897.6,,,,,,,,
2017-06-09,46.513,49.623,46.374,49.623,5200,258039.6,,,,,,,,
2017-06-12,49.761,49.761,48.379,49.623,3200,158793.6,,,,,,,,
2017-06-13,48.379,48.379,48.033,48.033,7500,360247.5,,,,,,,,
2017-06-14,47.618,47.618,47.618,47.618,900,42856.2,,,,,,,,
2017-06-15,44.923,46.651,42.919,46.651,1200,55981.2,,,,,,,,
2017-06-16,42.02,42.02,42.02,42.02,7200,302544.0,,,,,,,,
2017-06-19,42.02,46.167,41.467,44.301,2200,97462.2,,,,,,,,
2017-06-20,44.301,44.301,44.301,44.301,0,0.0,,,,,,,,
2017-06-21,44.923,45.614,44.923,45.614,4800,218947.2,,,,,,,,
2017-06-22,45.614,46.996,45.614,46.996,800,37596.8,,,,,,,,
2017-06-23,47.687,47.687,47.687,47.687,100,4768.7,,,,,,,,
2017-06-26,42.988,42.988,42.988,42.988,2000,85976.0,,,,,,,,
2017-06-27,43.057,43.057,42.988,42.988,4000,171952.0,,,,,,,,
2017-06-28,43.541,44.923,43.541,44.923,2100,94338.3,,,,,,,,
2017-06-29,41.467,43.886,41.467,43.886,3300,144823.80000000002,,,,,,,,
2017-06-30,41.467,42.85,40.085,42.85,9800,419930.0,,,,,,,,
2017-07-03,42.85,42.85,40.431,41.398,2500,103495.0,,,,,,,,
2017-07-04,40.776,41.122,40.776,40.984,2600,106558.4,,,,,,,,
2017-07-05,40.776,40.914,39.394,40.914,4500,184113.0,,,,,,,,
2017-07-06,40.085,40.362,40.085,40.362,2300,92832.6,,,,,,,,
2017-07-07,39.74,40.016,38.703,38.703,12400,479917.2,,,,,,,,
2017-07-10,38.703,38.703,38.703,38.703,2300,89016.90000000001,,,,,,,,
2017-07-11,37.321,38.012,37.321,37.943,14300,542584.9,,,,,,,,
2017-07-12,37.321,38.012,36.63,38.012,32200,1223986.4,,,,,,,,
2017-07-13,39.394,39.394,39.394,39.394,100,3939.4,,,,,,,,
2017-07-14,38.012,38.012,38.012,38.012,2500,95030.0,,,,,,,,
2017-07-17,37.666,37.943,36.975,37.943,600,22765.8,,,,,,,,
2017-07-18,37.943,37.943,37.943,37.943,100,3794.3,,,,,,,,
2017-07-19,37.321,37.321,36.146,36.146,900,32531.4,,,,,,,,
2017-07-20,35.938,35.938,35.593,35.662,9000,320958.0,,,,,,,,
2017-07-21,35.593,35.938,34.003,35.938,2800,100626.4,,,,,,,,
2017-07-24,35.593,35.593,35.593,35.593,3300,117456.9,,,,,,,,
2017-07-25,35.593,35.662,35.593,35.662,4400,156912.8,,,,,,,,
