time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2009-10-13,0.64,0.93,0.64,0.88,84300,74184.0,,,,,,,,
2009-10-14,0.95,0.95,0.83,0.85,47300,40205.0,,,,,,,,
2009-10-15,0.84,0.85,0.81,0.83,41800,34694.0,,,,,,,,
2009-10-16,0.81,0.81,0.77,0.77,47500,36575.0,,,,,,,,
2009-10-19,0.75,0.77,0.74,0.74,34400,25456.0,,,,,,,,
2009-10-20,0.72,0.8,0.7,0.8,78200,62560.0,,,,,,,,
2009-10-21,0.83,0.83,0.83,0.83,29800,24734.0,,,,,,,,
2009-10-22,0.83,0.88,0.83,0.83,27100,22493.0,,,,,,,,
2009-10-23,0.83,0.85,0.79,0.79,34600,27334.0,,,,,,,,
2009-10-26,0.79,0.79,0.74,0.75,25700,19275.0,,,,,,,,
2009-10-27,0.76,0.76,0.73,0.75,10800,8100.0,,,,,,,,
2009-10-28,0.71,0.77,0.7,0.77,31400,24178.0,,,,,,,,
2009-10-29,0.75,0.75,0.73,0.75,7300,5475.0,,,,,,,,
2009-10-30,0.77,0.77,0.76,0.76,2000,1520.0,,,,,,,,
2009-11-02,0.76,0.76,0.71,0.72,23900,17208.0,,,,,,,,
2009-11-03,0.72,0.72,0.68,0.68,15000,10200.0,,,,,,,,
2009-11-04,0.68,0.72,0.64,0.67,12400,8308.0,,,,,,,,
2009-11-05,0.69,0.71,0.69,0.71,7400,5254.0,,,,,,,,
2009-11-06,0.75,0.75,0.71,0.71,8300,5893.0,,,,,,,,
2009-11-09,0.69,0.69,0.67,0.67,3700,2479.0,,,,,,,,
2009-11-10,0.67,0.67,0.64,0.64,11700,7488.0,,,,,,,,
2009-11-11,0.64,0.67,0.64,0.67,5900,3953.000000000001,,,,,,,,
2009-11-12,0.67,0.67,0.67,0.67,3900,2613.0,,,,,,,,
2009-11-13,0.67,0.67,0.67,0.67,2100,1407.0,,,,,,,,
2009-11-16,0.69,0.69,0.67,0.67,8800,5896.0,,,,,,,,
2009-11-17,0.64,0.65,0.64,0.65,3000,1950.0,,,,,,,,
2009-11-18,0.64,0.64,0.64,0.64,3200,2048.0,,,,,,,,
2009-11-19,0.67,0.69,0.67,0.68,8200,5576.0,,,,,,,,
2009-11-20,0.68,0.68,0.67,0.67,9000,6030.0,,,,,,,,
2009-11-23,0.65,0.69,0.65,0.69,3400,2346.0,,,,,,,,
2009-11-24,0.68,0.68,0.67,0.68,2000,1360.0,,,,,,,,
2009-11-25,0.64,0.64,0.63,0.63,11400,7182.0,,,,,,,,
2009-11-26,0.6,0.6,0.6,0.6,7400,4440.0,,,,,,,,
2009-11-27,0.61,0.61,0.61,0.61,8000,4880.0,,,,,,,,
2009-11-30,0.64,0.64,0.64,0.64,600,384.0,,,,,,,,
2009-12-01,0.67,0.68,0.67,0.68,6700,4556.0,,,,,,,,
2009-12-02,0.7,0.7,0.7,0.7,100,70.0,,,,,,,,
2009-12-03,0.65,0.65,0.65,0.65,700,455.0,,,,,,,,
2009-12-04,0.65,0.68,0.64,0.64,2200,1408.0,,,,,,,,
2009-12-07,0.64,0.64,0.64,0.64,0,0.0,,,,,,,,
2009-12-08,0.64,0.64,0.64,0.64,0,0.0,,,,,,,,
2009-12-09,0.61,0.61,0.61,0.61,2000,1220.0,,,,,,,,
2009-12-10,0.57,0.57,0.57,0.57,4900,2792.9999999999995,,,,,,,,
2009-12-11,0.53,0.53,0.53,0.53,200,106.0,,,,,,,,
2009-12-14,0.53,0.53,0.53,0.53,1800,954.0,,,,,,,,
2009-12-15,0.53,0.53,0.53,0.53,0,0.0,,,,,,,,
2009-12-16,0.53,0.53,0.53,0.53,0,0.0,,,,,,,,
2009-12-17,0.56,0.56,0.56,0.56,100,56.00000000000001,,,,,,,,
2009-12-18,0.55,0.55,0.55,0.55,600,330.0,,,,,,,,
2009-12-21,0.55,0.59,0.55,0.59,300,177.0,,,,,,,,
2009-12-22,0.53,0.53,0.53,0.53,500,265.0,,,,,,,,
2009-12-23,0.53,0.53,0.53,0.53,0,0.0,,,,,,,,
2009-12-24,0.53,0.54,0.53,0.53,2300,1219.0,,,,,,,,
2009-12-25,0.57,0.57,0.53,0.53,3100,1643.0,,,,,,,,
2009-12-28,0.54,0.54,0.53,0.53,5100,2703.0,,,,,,,,
2009-12-29,0.53,0.53,0.53,0.53,0,0.0,,,,,,,,
2009-12-30,0.5,0.51,0.5,0.51,1600,816.0,,,,,,,,
2009-12-31,0.5,0.5,0.47,0.5,14100,7050.0,,,,,,,,
2010-01-04,0.52,0.52,0.5,0.52,17300,8996.0,,,,,,,,
2010-01-05,0.56,0.56,0.56,0.56,29600,16576.0,,,,,,,,
2010-01-06,0.59,0.59,0.54,0.54,700,378.0,,,,,,,,
